@relation wine

@attribute Alcohol numeric
@attribute TotalPhenols numeric
@attribute flavanoids numeric
@attribute Class {1,2,3}

@data
13.74,2.6,2.9,1
14.02,2.65,2.33,1
13.72,3.4,3.67,1
14.37,3.85,3.49,1
13.71,2.61,2.88,1
13.56,2.96,2.78,1
13.87,2.95,2.97,1
13.64,2.7,3.03,1
14.75,3.1,3.69,1
13.24,2.64,2.63,1
14.19,3.3,3.93,1
13.24,2.8,2.69,1
13.83,2.95,3.4,1
13.83,2.45,2.99,1
13.51,2.35,2.53,1
13.05,2.45,2.43,1
14.1,2.75,2.92,1
14.22,3.2,3,1
13.58,2.86,3.19,1
13.94,2.88,3.54,1
13.28,2.6,2.68,1
13.86,2.98,3.15,1
13.82,3.88,3.74,1
12.93,2.41,2.41,1
14.1,2.95,3.32,1
14.21,2.85,2.65,1
13.39,2.85,2.94,1
14.38,3.3,3.64,1
13.2,2.65,2.76,1
14.06,3,3.17,1
13.48,2.7,2.98,1
14.22,3,3.04,1
14.23,2.8,3.06,1
13.07,2.4,2.64,1
13.05,2.63,2.68,1
13.76,2.95,2.74,1
13.41,2.45,2.68,1
14.2,3.27,3.39,1
13.77,3,2.79,1
14.83,2.8,2.98,1
13.75,2.6,2.76,1
13.56,3.15,3.29,1
13.3,2.4,2.19,1
13.5,2.53,2.61,1
13.73,3,3.25,1
13.29,3,3.23,1
13.16,2.8,3.24,1
13.68,2.42,2.69,1
13.63,2.85,2.91,1
13.9,3.1,3.39,1
14.39,2.5,2.52,1
12.85,2.48,2.37,1
13.88,3.25,3.56,1
12.22,2.36,2.04,2
11.45,2.9,2.79,2
12.29,2.45,2.25,2
12,2,1.64,2
12.08,2.2,1.59,2
11.82,2.5,1.64,2
12.08,1.6,1.5,2
11.03,2.46,2.17,2
13.11,2.98,3.18,2
12.64,2.02,1.41,2
11.76,1.75,2.03,2
12.42,2.2,2.13,2
12.08,2,1.58,2
11.84,1.72,1.32,2
11.41,2.48,2.01,2
13.34,2.53,1.3,2
13.03,1.95,2.03,2
12.33,2.05,1.09,2
12.29,2.55,2.5,2
12.08,2.56,2.29,2
11.62,3.02,2.26,2
12.37,3.52,3.75,2
12.07,2.6,2.65,2
11.79,2.13,2.24,2
12,2.42,2.26,2
12.37,1.98,0.57,2
12.25,1.65,2.03,2
11.81,1.6,0.99,2
12.08,2.23,2.17,2
11.66,1.61,1.57,2
12.04,2.1,1.75,2
12.29,2.85,2.99,2
11.65,1.92,1.61,2
11.56,3.18,5.08,2
12.52,2.55,2.27,2
12.37,2.22,2.45,2
13.86,2.95,2.86,2
12.43,2.74,3.15,2
11.87,2.86,3.03,2
12.37,3.5,3.1,2
12.34,2.56,2.11,2
11.46,3.18,2.58,2
12.29,1.1,1.02,2
13.49,1.88,1.84,2
12,1.45,1.25,2
12.69,1.38,1.46,2
13.05,2.62,2.65,2
11.82,1.98,1.6,2
12.72,2.2,2.53,2
13.05,1.65,1.59,2
12.47,2.5,2.27,2
11.64,1.95,1.69,2
12.42,1.68,1.84,2
12.7,2.83,2.55,2
12.37,2.42,2.65,2
12.17,1.89,1.75,2
12.77,1.63,1.25,2
11.84,2.2,2.21,2
12.72,1.38,1.76,2
12.67,2.2,1.94,2
12.42,2,2.09,2
11.96,3.38,2.14,2
12.16,1.78,1.69,2
12.37,2.11,2,2
13.5,1.4,1.57,3
14.16,1.68,0.7,3
12.93,1.54,0.5,3
13.23,1.8,0.83,3
12.79,1.48,1.36,3
13.45,1.7,0.92,3
13.69,1.83,0.56,3
13.17,1.65,0.68,3
13.49,1.62,0.48,3
12.82,1.48,0.66,3
13.58,1.55,0.84,3
13.84,1.8,0.83,3
12.25,1.38,0.78,3
13.62,2,0.8,3
12.45,1.9,0.58,3
12.2,1.25,0.49,3
12.81,1.15,1.09,3
13.17,1.74,0.63,3
12.58,1.48,0.58,3
12.6,1.62,0.66,3
13.36,1.4,0.5,3
13.08,1.41,1.39,3
13.4,1.98,0.96,3
13.16,1.5,0.55,3
14.13,2.05,0.76,3
13.32,1.93,0.76,3
12.88,1.3,1.22,3
12.25,1.38,0.47,3
12.36,2.3,0.92,3
13.73,1.28,0.47,3
13.27,1.59,0.69,3
13.88,0.98,0.34,3
13.52,1.55,0.52,3
12.51,2,0.58,3
12.53,1.79,0.6,3
12.84,2.32,0.6,3
12.86,1.51,1.25,3
13.4,1.8,0.75,3
12.7,1.7,1.2,3
12.77,1.39,0.51,3
13.11,2.2,1.28,3
13.71,1.68,0.61,3
12.87,1.7,0.65,3
13.78,1.35,0.68,3
