@relation wine

@attribute Proanthocyanins numeric
@attribute ColorIntensity numeric
@attribute Class {1,2,3}

@data
1.98,5.25,1
1.44,4.25,1
1.66,4.36,1
1.66,5.1,1
1.92,3.58,1
2.34,6.13,1
1.68,6.3,1
2.08,8.9,1
2.29,5.64,1
1.45,4.8,1
1.86,8.7,1
2.03,5.04,1
2.38,5.75,1
1.48,4.28,1
2.08,5.1,1
1.82,4.32,1
1.36,4.6,1
1.85,7.22,1
1.95,6.9,1
2.38,5.7,1
1.66,6,1
2.96,7.5,1
1.35,3.95,1
2.91,7.2,1
2.18,7.8,1
2.04,6.8,1
1.54,4.2,1
1.97,6.2,1
1.66,3.52,1
1.37,3.7,1
1.7,5.43,1
1.72,6.6,1
1.46,3.93,1
1.86,5.1,1
1.35,5.4,1
1.76,4.5,1
1.25,5.05,1
1.46,7.3,1
1.81,5.6,1
2.81,5.68,1
2.38,6.2,1
1.25,5.24,1
2.1,5.65,1
2.03,6.38,1
1.69,3.8,1
1.97,6.75,1
2.45,6.25,1
1.62,5.85,1
2.19,4.9,1
2.14,6.1,1
1.57,5,1
1.98,4.7,1
2.81,5.4,1
1.62,4.8,2
0.73,3.8,2
1.63,3.6,2
1.53,1.95,2
1.87,3.38,2
1.9,2.12,2
1.22,2,2
1.44,3.08,2
0.42,1.95,2
1.48,2.94,2
1.34,2.6,2
2.01,1.9,2
1.95,2.57,2
1.35,2.45,2
1.64,2.4,2
1.96,3.35,2
2.81,2.3,2
1.03,2.95,2
2.35,3.05,2
1.87,1.28,2
0.95,2.65,2
1.61,2.06,2
2.5,2.85,2
1.31,2.8,2
1.35,2.6,2
1.05,3.8,2
1.46,4.6,2
2.91,2.8,2
1.56,2.45,2
1.62,3.05,2
1.63,3.4,2
1.65,3.21,2
1.77,3.94,2
2.08,4.6,2
1.04,4.68,2
1.46,2.62,2
3.28,2.6,2
1.77,3.9,2
2.08,2.7,2
1.42,2.06,2
1.42,2.7,2
1.03,3.74,2
1.87,4.45,2
1.99,2.15,2
2.49,2.65,2
1.4,2.2,2
0.83,3.4,2
1.87,6,2
1.63,3.3,2
1.56,2.5,2
2.01,2.6,2
1.35,2.76,2
1.71,2.08,2
2.76,3.4,2
3.58,2.9,2
0.62,5.75,2
1.15,3.8,2
1.04,2.9,2
1.4,3.3,2
0.42,3.17,2
1.76,3,2
1.83,3.25,2
2.28,5.3,2
0.41,3.27,2
0.97,10.26,3
0.94,7.1,3
1.46,10.68,3
2.7,13,3
0.96,5.58,3
0.73,5.5,3
1.35,10.2,3
0.75,4.6,3
1.11,8.5,3
1.25,8.6,3
1.26,10.8,3
0.83,5.7,3
0.8,5.88,3
1.56,9.01,3
1.14,9.4,3
1.06,7.7,3
1.14,8.21,3
1.4,7.6,3
0.88,5.7,3
0.83,5.4,3
1.54,8.66,3
2.29,11.75,3
1.02,4.4,3
0.86,7.65,3
0.64,5.6,3
1.25,8.42,3
1.25,5.45,3
0.8,3.85,3
1.55,7.9,3
1.24,9.7,3
1.87,10.52,3
1.56,7.1,3
0.64,9.899999,3
0.94,5.28,3
1.04,7.65,3
1.3,4,3
0.84,5,3
0.94,4.1,3
0.68,4.9,3
1.35,9.2,3
1.41,7.3,3
1.1,5,3
0.81,4.92,3
