@relation wine

@attribute AlcalinityOfAsh numeric
@attribute TotalPhenols numeric
@attribute ColorIntensity numeric
@attribute Class {1,2,3}

@data
15,3.25,5.43,1
18,2.45,4.25,1
16,3.25,4.9,1
16,2.98,7.22,1
15.6,2.8,5.64,1
15.5,2.4,3.7,1
16.8,2.2,5,1
16.2,3.15,6.13,1
19,2.35,4.2,1
12,3.3,7.5,1
16.3,3.2,6.38,1
18.9,2.85,5.24,1
25,2.63,3.58,1
18.8,2.45,4.28,1
17.6,2.6,5.05,1
16.7,3.4,6.8,1
17.8,2.48,3.93,1
16,2.65,4.7,1
19.4,2.95,4.5,1
18.8,2.75,6.2,1
17.4,2.88,8.9,1
14,3.88,7.05,1
22.5,3,5.7,1
15.5,2.6,4.6,1
17,3,5.04,1
18.6,2.41,4.5,1
16,2.6,5.6,1
16.6,2.61,3.8,1
14.6,2.5,5.25,1
18,2.95,5.75,1
20.5,2.96,6.25,1
16.5,3.3,8.7,1
17.1,3,6.3,1
19.5,2.95,5.4,1
17.5,2.64,4.36,1
20.5,2.7,5.1,1
12.4,2.72,7.2,1
19.1,2.86,6.9,1
16.8,3,6,1
16.4,2.6,5.85,1
17.2,2.42,3.84,1
15.2,2.7,5.1,1
21,2.8,4.32,1
11.4,3.1,5.4,1
17.2,2.45,5.6,1
17,2.4,3.95,1
16,3,5.65,1
20,2.8,6.2,1
14,2.8,5.2,1
11.2,2.65,4.38,1
13.2,3,5.1,1
20,2.53,3.52,1
15.2,3.27,6.75,1
19,1.89,2.95,2
14.8,1.9,3.4,2
20.7,1.38,3.05,2
22.8,1.78,2.45,2
20,2.9,3.25,2
30,3.3,3.35,2
24,2,2.2,2
18.5,1.6,2.4,2
16,1.95,4.6,2
28.5,2.13,3,2
22.5,1.38,3.3,2
21.5,2.62,2.6,2
20.4,1.1,3.05,2
23.6,2.2,1.74,2
22.5,2.56,2.9,2
21.6,1.95,2.8,2
19.5,2.5,2.06,2
18,2.45,2.15,2
21.5,2.74,3.94,2
16,1.63,3.4,2
21,2.6,2.76,2
22,1.68,2.7,2
22.5,2,2.06,2
21,2.56,2.8,2
26,1.92,2.6,2
21,3.38,3.21,2
18,2.2,3.05,2
15,2.98,5.3,2
22.5,1.65,4.8,2
24.5,2.22,2.12,2
25,2.95,3.38,2
19.6,2.11,4.68,2
21,2.86,2.8,2
18.1,2.42,4.6,2
21,2.55,2,2
16.8,1.85,2.85,2
19,2.5,2.6,2
16,2.55,2.9,2
20,2.74,2.65,2
18,2.2,2.62,2
16.8,2.02,5.75,2
17.5,2.23,3.3,2
21,2.48,3.08,2
19,1.65,3.4,2
18.5,3.52,4.5,2
19,3.5,4.45,2
18,1.72,2.65,2
19.5,3.18,2.9,2
17,2.53,3.17,2
16,2.05,3.27,2
20,1.75,3.8,2
22,2.1,2.6,2
18.5,1.45,2.45,2
18,2.1,3.8,2
24,1.88,3.74,2
20.8,1.98,1.95,2
19,2.42,2.5,2
21.5,1.6,2.5,2
18,3.02,3.25,2
16,1.61,3.8,2
21.5,2.46,1.9,2
20.5,2.2,2.94,2
10.6,1.98,1.95,2
19,2.36,2.7,2
20,1.3,5.4,3
17.5,2,5.45,3
20,0.98,4.9,3
21.5,1.93,8.42,3
22,1.48,10.8,3
25,1.98,8.5,3
21,1.54,4.6,3
18,1.51,4.1,3
23.5,1.55,4.35,3
22,1.35,9.58,3
20,1.65,9.3,3
19.5,1.62,5.7,3
22,1.65,5.58,3
24.5,2.05,9.2,3
21,1.5,4,3
20,2,4.4,3
20,1.59,10.2,3
21.5,1.41,9.4,3
18.5,1.39,5.28,3
24,1.4,8.6,3
20,1.4,5.6,3
19,1.25,5.5,3
27,1.9,7.5,3
23,1.8,7.3,3
19.5,1.48,10.26,3
25,2.8,13,3
21,2.3,7.65,3
24,1.15,5.7,3
23,1.7,10.68,3
18.5,1.8,10.52,3
21.5,1.7,5,3
22.5,2.6,11.75,3
22.5,1.28,6.62,3
25,1.79,5,3
18.5,1.38,8.21,3
20,1.83,5.88,3
19.5,1.39,9.899999,3
24.5,1.55,8.66,3
21.5,1.7,7.65,3
24,2.32,4.92,3
20,1.48,7.6,3
18.5,1.62,7.1,3
19.5,1.8,9.01,3
