@relation page-blocks

@attribute Height numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute Mean_tr numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
9,405,5,2.11,61,1
9,324,4,3.36,59,1
7,427,8.714,1.9,72,1
9,1494,18.444,2.38,211,1
6,114,3.167,1.58,26,1
10,190,1.9,1.68,34,1
10,220,2.2,3.72,29,1
6,36,1,1.5,10,1
4,456,28.5,1.83,98,1
11,946,7.818,1.98,138,1
8,304,4.75,1.75,59,1
1,123,123,1.05,19,1
8,176,2.75,2.06,34,1
9,729,9,2.21,115,1
11,1034,8.545,2.03,143,1
8,128,2,1.88,25,1
9,1773,21.889,1.74,278,1
8,1464,22.875,2.08,202,1
9,306,3.778,1.91,66,1
10,1270,12.7,2.35,210,1
13,5317,31.462,2.65,556,1
10,980,9.8,2.41,159,1
9,756,9.333,2.08,120,1
13,4446,26.308,2.15,477,1
7,1092,22.286,2.37,218,1
10,970,9.7,2.48,165,1
24,6744,11.708,7.95,397,1
8,432,6.75,1.29,82,1
8,1040,16.25,2.21,169,1
6,288,8,1.57,58,1
8,128,2,1.94,16,1
8,56,0.875,6,3,1
8,608,9.5,2.11,112,1
9,612,7.556,2.33,88,1
7,308,6.286,1.58,33,1
7,49,1,1.27,11,1
5,65,2.6,2.57,14,1
8,200,3.125,2.75,28,1
9,297,3.667,1.67,46,1
5,195,7.8,2.06,31,1
5,255,10.2,1.63,49,1
5,35,1.4,2.33,6,1
9,738,9.111,2.63,99,1
10,310,3.1,1.66,59,1
9,738,9.111,2.39,126,1
9,504,6.222,1.26,84,1
8,128,2,2.44,25,1
9,999,12.333,1.6,115,1
7,287,5.857,1.43,51,1
10,450,4.5,2.25,59,1
8,104,1.625,1.95,22,1
5,50,2,2.08,12,1
7,231,4.714,1.53,53,1
12,3132,21.75,1.81,358,1
7,133,2.714,1.42,31,1
6,450,12.5,1.47,109,1
9,1332,16.444,1.17,167,1
5,55,2.2,1.33,15,1
10,2710,27.1,1.31,388,1
1,32,32,2,7,1
4,48,3,1,7,1
11,550,4.545,1.89,74,1
4,372,23.25,1.66,70,1
1,25,25,25,1,1
10,160,1.6,1.85,26,1
11,2981,24.636,1.99,417,1
11,286,2.364,2.19,37,1
10,1700,17,1.66,268,1
8,168,2.625,1.68,31,1
10,570,5.7,5.2,61,1
9,414,5.111,1.43,70,1
10,1240,12.4,3.43,171,1
14,4564,23.286,4.4,377,1
24,1536,2.667,3.38,103,1
8,136,2.125,1.96,25,1
9,315,3.889,2.14,56,1
5,35,1.4,1.83,6,1
7,133,2.714,1.37,27,1
9,414,5.111,1.92,63,1
12,312,2.167,1.63,43,1
7,77,1.571,1.53,19,1
24,4464,7.75,7.4,305,1
5,215,8.6,1.61,54,1
38,1976,1.368,3.49,256,1
4,88,5.5,1.46,26,1
7,14,0.286,10,1,1
8,96,1.5,2.1,20,1
7,147,3,1.67,27,1
10,460,4.6,1.85,79,1
6,78,2.167,2,7,1
7,1561,31.857,1.33,142,1
5,70,2.8,3.6,5,1
9,333,4.111,2.22,50,1
12,864,6,6.73,80,1
8,96,1.5,2.8,20,1
7,49,1,1.33,12,1
6,120,3.333,1.29,24,1
7,63,1.286,1.69,13,1
1,10,10,4,2,1
9,261,3.222,1.95,41,1
8,952,14.875,1.7,189,1
14,5096,26,4.71,396,1
9,3222,39.778,2.36,525,1
10,520,5.2,1.96,81,1
8,56,0.875,1.92,12,1
38,8626,5.974,7.09,370,1
5,265,10.6,1.28,46,1
10,530,5.3,1.44,79,1
9,144,1.778,2.08,26,1
6,102,2.833,1.3,27,1
11,2981,24.636,1.52,388,1
8,48,0.75,7,4,1
6,72,2,2.19,16,1
10,110,1.1,1.5,28,1
7,42,0.857,1.73,11,1
8,128,2,2.57,23,1
7,798,16.286,1.77,114,1
8,296,4.625,1.93,60,1
9,108,1.333,1.69,29,1
7,441,9,1.99,74,1
10,340,3.4,1.81,57,1
7,406,8.286,2.26,38,1
3,15,1.667,4,2,1
8,104,1.625,2.89,19,1
7,287,5.857,1.73,70,1
12,3840,26.667,2.06,431,1
8,168,2.625,1.3,30,1
8,4184,65.375,1.2,209,1
7,70,1.429,2.22,9,1
7,91,1.857,1.47,15,1
9,765,9.444,1.95,121,1
10,330,3.3,2.33,45,1
11,242,2,8.05,19,1
9,54,0.667,2.5,8,1
10,230,2.3,2,31,1
9,288,3.556,1.68,57,1
11,242,2,8.72,18,1
9,675,8.333,2.23,113,1
16,3392,13.25,5.75,222,1
1,31,31,1.17,6,1
9,189,2.333,1.31,35,1
6,78,2.167,2.7,10,1
8,64,1,2.5,6,1
7,98,2,2.21,14,1
5,145,5.8,1.6,25,1
7,182,3.714,2,36,1
7,56,1.143,1.69,13,1
9,369,4.556,2.71,58,1
9,189,2.333,1.9,30,1
9,1134,14,2.84,186,1
8,568,8.875,1.47,92,1
9,1080,13.333,1.29,147,1
10,170,1.7,2.38,16,1
10,570,5.7,2.94,79,1
17,408,1.412,4.79,34,1
5,35,1.4,3,8,1
8,144,2.25,2.5,10,1
6,576,16,2.43,83,1
14,5026,25.643,4.56,405,1
7,91,1.857,2.05,19,1
7,77,1.571,1.48,21,1
11,77,0.636,3.6,10,1
8,104,1.625,2,23,1
7,28,0.571,1.75,4,1
15,1815,8.067,5.35,145,1
10,980,9.8,2.22,167,1
10,2490,24.9,3.53,326,1
7,812,16.571,1.84,116,1
9,450,5.556,2.69,83,1
17,6766,23.412,5.3,408,1
9,135,1.667,2.29,24,1
6,774,21.5,1.35,112,1
7,98,2,1.84,19,1
5,115,4.6,1.63,16,1
9,4581,56.556,1.26,448,1
9,81,1,7.38,8,1
8,240,3.75,2.02,42,1
7,1498,30.571,2.77,243,1
7,847,17.286,1.79,144,1
5,145,5.8,1.39,33,1
7,455,9.286,2.07,89,1
13,3471,20.538,4.87,286,1
8,144,2.25,1.61,36,1
6,168,4.667,1.71,14,1
7,861,17.571,2.62,138,1
10,420,4.2,2.13,70,1
8,392,6.125,1.9,91,1
2,62,15.5,2,6,1
10,150,1.5,1.41,29,1
1,70,70,1.08,13,1
7,133,2.714,2.73,22,1
8,304,4.75,1.38,55,1
8,592,9.25,2.14,114,1
11,891,7.364,2.77,109,1
7,49,1,2.83,6,1
4,260,16.25,2.66,29,1
9,648,8,2.01,82,1
12,672,4.667,2.02,85,1
5,115,4.6,1.32,28,1
12,516,3.583,2.71,68,1
7,672,13.714,1.77,119,1
7,434,8.857,1.28,64,1
8,160,2.5,2,21,1
8,152,2.375,1.52,31,1
5,250,10,1.58,57,1
11,1386,11.455,2.11,180,1
8,1536,24,1.74,279,1
9,423,5.222,2.01,76,1
8,216,3.375,1.29,45,1
9,1431,17.667,1.93,184,1
17,391,1.353,10.43,14,1
7,168,3.429,1.38,34,1
8,144,2.25,2.03,30,1
16,384,1.5,5.28,32,1
12,444,3.083,3.87,47,1
10,300,3,2.14,42,1
1,49,49,7,2,1
9,4806,59.333,1.4,351,1
7,231,4.714,1.49,53,1
9,108,1.333,1.57,28,1
17,374,1.294,4.68,34,1
9,108,1.333,1.78,27,1
6,162,4.5,2,11,1
9,315,3.889,1.92,65,1
10,980,9.8,2.49,154,1
5,70,2.8,2.56,9,1
10,330,3.3,2.07,56,1
7,329,6.714,1.74,61,1
5,40,1.6,2.44,9,1
10,4300,43,2.7,559,1
7,84,1.714,2,19,1
9,1665,20.556,2.79,238,1
9,621,7.667,1.38,94,1
7,91,1.857,1.43,21,1
5,40,1.6,15,1,1
11,924,7.636,2.35,110,1
7,84,1.714,1.84,19,1
7,70,1.429,1.82,11,1
4,64,4,1.67,15,1
7,98,2,2.5,16,1
14,3976,20.286,5.1,285,1
9,909,11.222,2.68,150,1
7,63,1.286,2.2,10,1
13,1092,6.462,3.16,121,1
8,320,5,2.53,51,1
7,238,4.857,1.49,45,1
8,472,7.375,2.74,80,1
10,2710,27.1,1.28,409,1
8,80,1.25,2.92,13,1
8,176,2.75,1.94,36,1
6,576,16,1.53,98,1
10,2710,27.1,1.35,375,1
7,861,17.571,1.26,95,1
9,738,9.111,2.09,87,1
7,672,13.714,1.6,115,1
8,384,6,1.37,62,1
10,40,0.4,1.75,8,1
10,3230,32.3,1.38,465,1
9,405,5,1.4,75,1
4,24,1.5,1.63,8,1
10,790,7.9,1.89,128,1
9,387,4.778,1.82,73,1
1,60,60,1.09,11,1
9,531,6.556,1.96,91,1
7,441,9,1.61,79,1
7,91,1.857,1.76,21,1
5,150,6,1.71,14,1
9,387,4.778,3.31,55,1
9,81,1,42,1,1
10,380,3.8,2.78,58,1
24,4752,8.25,15.8,274,1
6,96,2.667,2.38,8,1
7,77,1.571,1.64,14,1
7,77,1.571,1.39,18,1
7,1792,36.571,1.36,178,1
7,378,7.714,1.42,71,1
6,786,21.833,1.38,60,1
7,896,18.286,1.33,137,1
8,592,9.25,3.11,108,1
9,324,4,6.42,33,1
6,582,16.167,1.55,87,1
9,369,4.556,2.26,61,1
6,66,1.833,1.57,14,1
8,312,4.875,1.83,72,1
7,378,7.714,1.39,69,1
8,112,1.75,1.73,22,1
10,250,2.5,1.89,44,1
11,2981,24.636,1.36,355,1
12,864,6,6.4,83,1
8,160,2.5,3.5,24,1
9,4815,59.444,1.37,310,1
7,378,7.714,1.26,91,1
7,490,10,1.9,96,1
7,196,4,1.58,38,1
7,63,1.286,2.78,9,1
9,270,3.333,1.46,46,1
8,240,3.75,2.29,38,1
6,24,0.667,2.2,5,1
7,315,6.429,1.29,62,1
9,243,3,1.69,48,1
7,119,2.429,2.22,23,1
5,480,19.2,2.13,77,1
8,112,1.75,2.32,19,1
9,963,11.889,1.38,146,1
8,96,1.5,1.65,23,1
10,350,3.5,2.34,65,1
9,72,0.889,12.25,4,1
7,133,2.714,1.69,26,1
13,4537,26.846,4.36,395,1
6,1104,30.667,1.54,195,1
8,328,5.125,2.08,53,1
10,1080,10.8,1.84,174,1
25,12350,19.76,7.35,776,1
9,162,2,7.83,12,1
7,77,1.571,1.57,7,1
9,972,12,2.22,170,1
7,133,2.714,1.65,23,1
7,77,1.571,1.4,20,1
13,429,2.538,3.89,27,1
8,1232,19.25,2.75,190,1
7,56,1.143,2.25,12,1
5,165,6.6,1.27,41,1
1,60,60,1.09,11,1
9,2412,29.778,1.36,351,1
7,196,4,2.13,31,1
21,273,0.619,2.3,20,1
7,217,4.429,2.1,41,1
8,120,1.875,2.24,25,1
6,1104,30.667,1.99,179,1
8,456,7.125,2.91,68,1
8,376,5.875,2.18,56,1
9,63,0.778,1.77,13,1
11,242,2,7.78,18,1
10,1190,11.9,1.59,151,1
10,440,4.4,1.75,80,1
11,1298,10.727,2.01,168,1
9,4815,59.444,1.4,561,1
8,32,0.5,5,3,1
8,552,8.625,2.16,106,1
12,744,5.167,1.58,110,1
12,1416,9.833,2.98,166,1
8,2768,43.25,1.31,304,1
11,121,1,4.08,13,1
8,224,3.5,1.92,48,1
8,248,3.875,2,46,1
8,416,6.5,2.88,65,1
8,1208,18.875,1.18,178,1
9,189,2.333,3.29,28,1
6,60,1.667,1.19,16,1
7,406,8.286,2.34,35,1
6,78,2.167,1.53,15,1
10,210,2.1,2.91,33,1
10,880,8.8,1.82,124,1
6,282,7.833,1.61,31,1
10,1160,11.6,1.7,186,1
13,494,2.923,3.81,42,1
6,84,2.333,1.28,18,1
11,77,0.636,5.75,8,1
10,670,6.7,2.14,94,1
5,70,2.8,2.21,14,1
9,117,1.444,4.67,6,1
10,180,1.8,8.82,11,1
