@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,11'

@attribute Height numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
5,35,1.4,1
6,42,1.167,1
9,333,4.111,1
2,36,9,2
9,306,3.778,1
11,1089,9,1
10,120,1.2,1
9,108,1.333,1
12,144,1,1
9,765,9.444,1
3,348,38.667,2
3,396,44,2
10,1310,13.1,1
10,380,3.8,1
8,160,2.5,1
9,324,4,1
8,328,5.125,1
7,854,17.429,1
10,960,9.6,1
25,1775,2.84,1
12,96,0.667,1
10,1260,12.6,1
9,405,5,1
10,1230,12.3,1
1,9,9,1
8,16,0.25,1
11,2277,18.818,1
9,828,10.222,1
1,152,152,2
6,132,3.667,1
1,52,52,2
10,790,7.9,1
10,110,1.1,1
9,423,5.222,1
8,216,3.375,1
311,143993,1.489,5
9,333,4.111,1
12,1212,8.417,1
10,870,8.7,1
10,840,8.4,1
9,45,0.556,1
10,470,4.7,1
9,333,4.111,1
12,1020,7.083,1
9,891,11,1
9,63,0.778,1
10,990,9.9,1
10,850,8.5,1
1,117,117,2
7,49,1,1
9,342,4.222,1
1,19,19,2
9,198,2.444,1
9,54,0.667,1
9,738,9.111,1
8,792,12.375,1
12,1404,9.75,1
10,80,0.8,1
9,369,4.556,1
12,576,4,1
1,37,37,2
1,46,46,2
1,17,17,2
9,576,7.111,1
8,432,6.75,1
9,855,10.556,1
9,576,7.111,1
9,243,3,1
10,190,1.9,1
9,405,5,1
1,35,35,2
7,245,5,1
10,1300,13,1
7,42,0.857,1
9,441,5.444,1
1,148,148,2
9,891,11,1
9,423,5.222,1
15,5130,22.8,1
9,1107,13.667,1
10,350,3.5,1
13,1105,6.538,1
8,608,9.5,1
15,810,3.6,1
15,915,4.067,1
28,3836,4.893,1
9,1053,13,1
9,963,11.889,1
6,540,15,1
6,168,4.667,1
7,1225,25,1
12,696,4.833,1
7,497,10.143,1
6,306,8.5,1
12,960,6.667,1
9,963,11.889,1
6,264,7.333,1
24,2808,4.875,1
11,3707,30.636,1
8,592,9.25,1
9,387,4.778,1
153,67626,2.889,5
12,1488,10.333,1
11,418,3.455,1
5,140,5.6,1
8,320,5,1
6,234,6.5,1
7,119,2.429,1
5,215,8.6,1
9,378,4.667,1
10,2490,24.9,1
12,804,5.583,1
12,1392,9.667,1
10,1740,17.4,1
9,639,7.889,1
11,253,2.091,1
9,639,7.889,1
6,606,16.833,1
16,704,2.75,1
9,315,3.889,1
9,378,4.667,1
4,260,16.25,1
9,315,3.889,1
9,189,2.333,1
9,207,2.556,1
7,91,1.857,5
8,440,6.875,1
7,1491,30.429,1
8,224,3.5,1
16,480,1.875,5
7,70,1.429,1
8,200,3.125,1
8,248,3.875,1
8,2176,34,1
10,2610,26.1,1
8,568,8.875,1
8,2088,32.625,1
8,704,11,1
9,306,3.778,1
7,77,1.571,1
7,147,3,1
8,200,3.125,1
6,102,2.833,1
7,210,4.286,1
5,40,1.6,1
8,168,2.625,1
6,774,21.5,1
7,28,0.571,1
5,20,0.8,1
5,215,8.6,1
4,72,4.5,1
6,114,3.167,1
1,33,33,2
1,106,106,2
9,144,1.778,1
6,246,6.833,1
9,189,2.333,1
10,120,1.2,1
8,128,2,1
7,1274,26,1
8,344,5.375,1
8,240,3.75,1
7,42,0.857,1
7,119,2.429,1
5,40,1.6,1
8,216,3.375,1
7,301,6.143,1
7,231,4.714,1
7,77,1.571,1
7,182,3.714,1
7,217,4.429,1
7,259,5.286,1
7,77,1.571,1
9,495,6.111,1
7,98,2,1
6,24,0.667,1
7,98,2,1
6,102,2.833,1
9,198,2.444,1
7,112,2.286,1
9,441,5.444,1
7,301,6.143,1
5,30,1.2,1
7,119,2.429,1
10,90,0.9,1
8,48,0.75,1
7,189,3.857,1
7,308,6.286,1
7,105,2.143,1
7,126,2.571,1
9,423,5.222,1
9,270,3.333,1
5,95,3.8,1
7,224,4.571,1
7,91,1.857,1
7,77,1.571,1
7,98,2,1
7,161,3.286,1
7,49,1,1
6,168,4.667,1
5,35,1.4,1
7,189,3.857,1
7,168,3.429,1
10,330,3.3,1
7,77,1.571,1
6,60,1.667,1
8,352,5.5,1
7,280,5.714,1
7,77,1.571,1
6,66,1.833,1
7,322,6.571,1
7,112,2.286,1
7,77,1.571,1
7,133,2.714,1
9,369,4.556,1
9,234,2.889,1
5,140,5.6,1
7,308,6.286,1
6,114,3.167,1
7,259,5.286,1
9,432,5.333,1
9,774,9.556,1
8,256,4,1
9,225,2.778,1
7,70,1.429,1
9,495,6.111,1
9,378,4.667,1
9,378,4.667,1
7,161,3.286,1
7,217,4.429,1
8,80,1.25,1
7,49,1,1
8,152,2.375,1
6,42,1.167,1
8,96,1.5,1
8,80,1.25,1
6,48,1.333,1
8,200,3.125,1
8,280,4.375,1
8,288,4.5,1
10,110,1.1,1
8,104,1.625,1
8,152,2.375,1
6,96,2.667,1
10,170,1.7,1
17,153,0.529,5
8,152,2.375,1
8,184,2.875,1
53,2544,0.906,5
8,8,0.125,4
6,36,1,1
11,121,1,1
10,90,0.9,1
8,224,3.5,1
6,108,3,1
10,2710,27.1,1
8,168,2.625,1
9,225,2.778,1
8,96,1.5,1
8,200,3.125,1
9,144,1.778,1
11,1650,13.636,1
8,32,0.5,1
8,216,3.375,1
10,250,2.5,1
11,2992,24.727,1
8,56,0.875,1
11,2695,22.273,1
8,56,0.875,1
10,320,3.2,1
5,35,1.4,1
10,640,6.4,1
11,165,1.364,1
9,234,2.889,1
9,108,1.333,1
10,540,5.4,1
8,312,4.875,1
8,120,1.875,1
10,250,2.5,1
8,224,3.5,1
10,120,1.2,1
8,104,1.625,1
12,3132,21.75,1
8,64,1,1
10,160,1.6,1
