@relation page-blocks

@attribute Area numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
2035,16.818,0.487,220,1
287,5.857,0.422,70,1
374,1.294,0.409,34,1
126,2.571,0.286,23,1
324,4,0.42,68,1
3276,16.714,0.383,299,1
200,3.125,0.33,40,1
584,9.125,0.433,92,1
112,2.286,0.446,25,1
112,1.75,0.402,29,1
472,7.375,0.322,63,1
1720,26.875,0.404,239,1
145,5.8,0.538,33,1
30,1.2,0.433,1,1
176,2.75,0.398,36,1
180,2.222,0.261,20,1
2620,26.2,0.288,421,1
2176,34,0.187,288,1
156,4.333,0.34,40,1
96,1.5,0.458,21,1
504,6.222,0.196,80,1
980,9.8,0.391,159,1
3280,12.813,0.401,245,1
32,0.5,0.406,6,1
190,1.9,0.3,34,1
494,2.923,0.33,42,1
126,2.571,0.238,26,1
144,1.778,0.208,20,1
243,3,0.333,48,1
330,3.3,0.394,40,1
810,22.5,0.21,124,1
242,2,0.293,30,1
690,6.9,0.277,103,1
1647,20.333,0.218,252,1
216,3.375,0.407,43,1
91,1.857,0.308,18,1
104,1.625,0.423,25,1
990,8.182,0.362,127,1
245,5,0.302,50,1
155,6.2,0.239,18,1
1570,15.7,0.233,222,1
91,1.857,0.407,21,1
340,3.4,0.303,56,1
189,2.333,0.206,32,1
350,3.5,0.337,63,1
558,6.889,0.403,69,1
5090,50.9,0.097,401,1
8640,11.852,0.321,613,1
336,6.857,0.298,60,1
1378,8.154,0.306,178,1
80,1.25,0.288,14,1
208,3.25,0.236,39,1
3084,21.417,0.283,291,1
4650,7.44,0.485,305,1
126,1.556,0.278,17,1
2168,33.875,0.217,364,1
360,3.6,0.264,51,1
171,2.111,0.251,32,1
256,4,0.402,57,1
132,3.667,0.326,33,1
88,0.727,0.58,10,1
45,0.556,0.378,6,1
6288,24.563,0.341,418,1
20,0.8,0.5,1,1
472,7.375,0.206,31,1
108,1.333,0.648,7,1
819,10.111,0.302,125,1
100,4,0.17,11,1
88,1.375,0.318,20,1
203,4.143,0.281,39,1
55,2.2,0.4,14,1
42,0.857,0.452,10,1
261,3.222,0.234,44,1
1508,8.923,0.292,177,1
200,3.125,0.385,28,1
814,6.727,0.247,102,1
1232,10.182,0.217,154,1
300,8.333,0.397,50,1
828,10.222,0.287,123,1
5390,27.5,0.369,412,1
1056,16.5,0.36,181,1
798,16.286,0.253,114,1
270,2.7,0.3,41,1
414,5.111,0.365,75,1
715,5.909,0.178,77,1
462,9.429,0.294,93,1
98,2,0.286,18,1
2100,10.714,0.225,114,1
810,8.1,0.279,107,1
1248,8.667,0.335,170,1
2123,17.545,0.243,325,1
95,95,0.379,35,1
1310,13.1,0.415,198,1
414,5.111,0.338,84,1
138,3.833,0.283,35,1
140,2.857,0.429,31,1
1298,10.727,0.408,80,1
108,3,0.306,25,1
180,1.8,0.583,14,1
856,13.375,0.384,155,1
133,2.714,0.398,29,1
250,2.5,0.384,39,1
78,2.167,0.538,16,1
12,1.333,0.75,1,1
10,0.4,0.7,1,1
812,16.571,0.309,114,1
171,2.111,0.292,33,1
162,2,0.66,15,1
1673,34.143,0.16,177,1
220,8.8,0.241,21,1
513,6.333,0.285,105,1
8533,16.13,0.941,477,1
102,2.833,0.324,25,1
81,1,0.519,1,1
3212,26.545,0.341,371,1
400,4,0.278,53,1
552,8.625,0.415,106,1
1310,13.1,0.439,206,1
96,1.5,0.458,12,1
2358,29.111,0.089,176,1
260,2.6,0.35,39,1
250,10,0.36,57,1
639,7.889,0.294,87,1
783,9.667,0.444,147,1
203,4.143,0.281,43,1
20867,3.519,0.478,885,1
6528,25.5,0.39,482,1
