@relation page-blocks

@attribute Area numeric
@attribute Eccen numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
352,5.5,71,1
49,1,4,1
238,4.857,44,1
369,4.556,58,1
234,6.5,52,1
190,1.9,12,1
369,4.556,57,1
760,7.6,123,1
2992,24.727,431,1
4043,23.923,537,1
96,1.5,12,1
450,12.5,109,1
168,2.625,36,1
182,3.714,29,1
1240,19.375,202,1
396,4.889,59,1
200,2,33,1
3177,39.222,411,1
80,3.2,12,1
800,8,87,1
612,7.556,88,1
272,4.25,63,1
333,4.111,55,1
108,3,22,1
200,3.125,41,1
287,5.857,46,1
5110,51.1,532,1
75,3,5,1
63,1.286,13,1
300,3,47,1
2176,34,288,1
34,8.5,4,1
684,8.444,114,1
1106,22.571,198,1
480,4.8,80,1
189,2.333,30,1
91,1.857,17,1
110,1.1,31,1
174,4.833,34,1
387,4.778,63,1
55,2.2,15,1
240,3.75,38,1
618,17.167,124,1
1899,23.444,282,1
405,5,56,1
696,4.833,62,1
80,1.25,13,1
414,5.111,55,1
275,2.273,36,1
190,1.9,14,1
133,2.714,31,1
155,6.2,36,1
133,2.714,32,1
4537,26.846,395,1
656,10.25,104,1
890,8.9,69,1
531,6.556,81,1
153,1.889,11,1
112,2.286,20,1
42,1.167,6,1
760,11.875,130,1
65,2.6,13,1
56,1.143,5,1
200,3.125,44,1
296,4.625,69,1
108,3,21,1
1225,25,221,1
180,1.8,27,1
1815,8.067,145,1
150,1.5,29,1
2981,24.636,388,1
1518,3.136,74,1
1470,14.7,191,1
248,3.875,44,1
765,9.444,130,1
8,0.125,1,1
64,1,6,1
240,3.75,45,1
5768,29.429,651,1
234,2.889,42,1
915,4.067,121,1
320,3.2,51,1
856,13.375,139,1
252,1.286,12,1
665,13.571,120,1
812,16.571,114,1
1729,10.231,127,1
1768,10.462,160,1
374,1.294,14,1
35,35,14,1
35,1.4,8,1
144,1.778,12,1
42,0.857,1,1
1099,22.429,174,1
3240,5.625,158,1
336,5.25,61,1
763,15.571,112,1
1496,23.375,168,1
1544,24.125,246,1
121,1,13,1
2412,29.778,341,1
144,1.778,27,1
7,7,1,1
324,4,58,1
2814,14.357,217,1
3976,20.286,285,1
144,1.778,24,1
720,8.889,108,1
342,4.222,56,1
189,3.857,39,1
190,1.9,14,1
940,9.4,151,1
77,1.571,11,1
350,3.5,58,1
3190,31.9,458,1
336,5.25,59,1
1080,16.875,116,1
1085,22.143,132,1
60,1.667,14,1
220,2.2,29,1
976,15.25,154,1
876,6.083,108,1
495,6.111,77,1
1204,24.571,171,1
104,1.625,19,1
630,7.778,98,1
360,4.444,60,1
147,3,37,1
231,4.714,40,1
196,4,38,1
360,4.444,61,1
4572,56.444,614,1
77,1.571,17,1
664,10.375,123,1
490,4.9,86,1
272,4.25,56,1
504,7.875,89,1
1592,24.875,155,1
290,11.6,22,1
640,6.4,109,1
639,7.889,102,1
208,52,12,1
2590,25.9,362,1
3090,30.9,441,1
512,8,81,1
684,8.444,126,1
243,3,43,1
1491,30.429,234,1
20,0.8,4,1
790,7.9,122,1
560,8.75,112,1
308,6.286,33,1
1068,7.417,131,1
2610,26.1,390,1
140,2.857,29,1
2871,23.727,368,1
462,3.818,68,1
