@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,7,11'

@attribute Height numeric
@attribute Lenght numeric
@attribute Eccen numeric
@attribute Mean_tr numeric
@attribute Class {1,2,3,4,5}

@data
5,6,1.2,10,1
2,20,10,27,2
9,12,1.333,1.71,1
8,95,11.875,1.77,1
12,14,1.167,2.31,1
3,113,37.667,30.25,2
98,3,0.031,141,4
11,65,5.909,2.61,1
10,44,4.4,3.15,1
1,27,27,4,1
2,19,9.5,1.8,1
5,9,1.8,1.71,1
8,23,2.875,1.47,1
8,46,5.75,1.85,1
19,2,0.105,31,4
8,44,5.5,3.26,1
8,40,5,2.53,1
8,45,5.625,2.91,1
8,41,5.125,2.08,1
2,112,56,55.5,2
8,43,5.375,2.26,1
10,8,0.8,5,1
8,20,2.5,3.5,1
10,83,8.3,2.02,1
12,73,6.083,2.14,1
9,82,9.111,2.09,1
1,36,36,8.67,2
12,116,9.667,1.99,1
9,93,10.333,2.06,1
7,9,1.286,21,1
10,38,3.8,2.89,1
9,36,4,3.51,1
11,67,6.091,2.28,1
9,82,9.111,2.33,1
11,86,7.818,1.91,1
9,6,0.667,13.5,1
10,98,9.8,2.72,1
11,100,9.091,3.04,1
9,43,4.778,3.58,1
9,47,5.222,2.34,1
1,55,55,10.33,2
2,64,32,17,2
8,32,4,2.46,1
12,23,1.917,8.21,1
9,47,5.222,2.75,1
10,18,1.8,2.97,1
1,17,17,1.75,2
28,330,11.786,31,2
212,464,2.189,11.84,5
9,6,0.667,18,1
9,42,4.667,2.75,1
1,18,18,17,2
9,46,5.111,2.01,1
9,64,7.111,2.57,1
9,100,11.111,2.92,1
14,300,21.429,2.39,1
8,45,5.625,1.9,1
7,31,4.429,1.78,1
7,58,8.286,2.26,1
10,19,1.9,3.71,1
11,8,0.727,3.2,1
9,23,2.556,1.63,1
9,81,9,2.09,1
12,117,9.75,1.68,1
5,23,4.6,1.63,1
4,32,8,2.11,1
5,16,3.2,2.08,1
11,67,6.091,2.96,1
1,45,45,21,2
2,50,25,15.33,2
9,99,11,1.95,1
9,75,8.333,2.09,1
12,27,2.25,2.64,1
9,83,9.222,2.05,1
11,116,10.545,1.8,1
8,3,0.375,2.2,1
8,59,7.375,3.13,1
9,21,2.333,2.88,1
8,83,10.375,2.15,1
8,6,0.75,13,1
9,36,4,2.82,1
8,8,1,1.5,1
21,2,0.095,31,2
8,71,8.875,1.85,1
9,109,12.111,1.58,1
8,64,8,1.93,1
9,133,14.778,1.89,1
6,100,16.667,1.71,1
13,217,16.692,3.05,1
14,1,0.071,14,4
6,89,14.833,1.82,1
11,71,6.455,2.41,1
25,410,16.4,2.29,1
10,34,3.4,3.02,1
13,151,11.615,2.59,1
12,66,5.5,3.03,1
7,1,0.143,7,4
8,46,5.75,1.85,1
9,93,10.333,1.66,1
9,119,13.222,2.34,1
3,90,30,2.34,1
9,172,19.111,2.43,1
8,130,16.25,2.21,1
13,409,31.462,3.03,1
12,142,11.833,3.04,1
6,90,15,2.2,1
9,77,8.556,2.63,1
13,30,2.308,3.23,1
6,101,16.833,1.93,1
33,160,4.848,6.34,1
13,58,4.462,3.2,1
9,13,1.444,3.88,1
12,37,3.083,3.87,1
5,116,23.2,2.18,1
7,46,6.571,2.18,1
8,108,13.5,1.69,1
5,50,10,1.58,1
47,286,6.085,4.67,5
8,107,13.375,2.12,1
11,337,30.636,2.09,1
