@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,5,11'

@attribute Height numeric
@attribute P_black numeric
@attribute Class {1,2,3,4,5}

@data
5,0.486,1
6,0.357,1
9,0.532,1
2,0.667,2
9,0.32,1
11,0.23,1
10,0.367,1
9,0.454,1
12,0.306,1
9,0.302,1
3,0.356,2
3,0.505,2
10,0.415,1
10,0.387,1
8,0.5,1
9,0.54,1
8,0.363,1
7,0.281,1
10,0.418,1
25,0.234,1
12,0.198,1
10,0.463,1
9,0.442,1
10,0.362,1
1,0.778,1
8,0.563,1
11,0.268,1
9,0.365,1
1,0.822,2
6,0.197,1
1,0.981,2
10,0.385,1
10,0.373,1
9,0.333,1
8,0.218,1
311,0.088,5
9,0.538,1
12,0.292,1
10,0.344,1
10,0.356,1
9,0.711,1
10,0.336,1
9,0.39,1
12,0.305,1
9,0.38,1
9,0.302,1
10,0.473,1
10,0.324,1
1,0.393,2
7,0.327,1
9,0.444,1
1,0.684,2
9,0.318,1
9,0.37,1
9,0.32,1
8,0.351,1
12,0.251,1
10,0.525,1
9,0.374,1
12,0.252,1
1,0.811,2
1,0.239,2
1,0.882,2
9,0.307,1
8,0.35,1
9,0.284,1
9,0.302,1
9,0.346,1
10,0.363,1
9,0.319,1
1,0.857,2
7,0.494,1
10,0.453,1
7,0.333,1
9,0.587,1
1,0.959,2
9,0.484,1
9,0.307,1
15,0.24,1
9,0.39,1
10,0.38,1
13,0.327,1
8,0.475,1
15,0.323,1
15,0.247,1
28,0.265,1
9,0.419,1
9,0.383,1
6,0.298,1
6,0.405,1
7,0.337,1
12,0.343,1
7,0.394,1
6,0.294,1
12,0.324,1
9,0.375,1
6,0.447,1
24,0.347,1
11,0.175,1
8,0.456,1
9,0.388,1
153,0.114,5
12,0.3,1
11,0.328,1
5,0.329,1
8,0.463,1
6,0.303,1
7,0.454,1
5,0.405,1
9,0.45,1
10,0.462,1
12,0.376,1
12,0.331,1
10,0.278,1
9,0.352,1
11,0.415,1
9,0.294,1
6,0.393,1
16,0.376,1
9,0.397,1
9,0.452,1
4,0.296,1
9,0.273,1
9,0.302,1
9,0.169,1
7,0.154,5
8,0.243,1
7,0.199,1
8,0.299,1
16,0.133,5
7,0.286,1
8,0.28,1
8,0.298,1
8,0.197,1
10,0.183,1
8,0.238,1
8,0.218,1
8,0.195,1
9,0.225,1
7,0.351,1
7,0.313,1
8,0.24,1
6,0.245,1
7,0.295,1
5,0.425,1
8,0.262,1
6,0.195,1
7,0.357,1
5,0.35,1
5,0.233,1
4,0.333,1
6,0.254,1
1,0.667,2
1,0.858,2
9,0.16,1
6,0.232,1
9,0.175,1
10,0.142,1
8,0.242,1
7,0.203,1
8,0.212,1
8,0.233,1
7,0.476,1
7,0.395,1
5,0.6,1
8,0.208,1
7,0.246,1
7,0.342,1
7,0.351,1
7,0.352,1
7,0.276,1
7,0.305,1
7,0.364,1
9,0.259,1
7,0.337,1
