@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,11'

@attribute Height numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
6,24,0.667,1
5,35,1.4,1
6,42,1.167,1
13,325,1.923,1
11,385,3.182,1
10,380,3.8,1
10,530,5.3,1
11,1122,9.273,1
12,672,4.667,1
2,40,10,2
11,946,7.818,1
11,1111,9.182,1
11,1309,10.818,1
11,1309,10.818,1
8,384,6,1
2,36,9,2
7,119,2.429,1
9,171,2.111,1
9,594,7.333,1
9,306,3.778,1
7,245,5,1
5,175,7,1
3,48,5.333,1
9,729,9,1
10,110,1.1,1
9,288,3.556,1
4,32,2,1
10,1000,10,1
9,738,9.111,1
2,892,223,2
48,19296,8.375,5
304,140752,1.523,5
9,684,8.444,1
6,102,2.833,1
5,230,9.2,1
19,8778,24.316,2
10,490,4.9,1
1,52,52,2
22,572,1.182,1
10,340,3.4,1
37,3737,2.73,1
10,210,2.1,1
1,48,48,2
8,472,7.375,1
9,207,2.556,1
10,660,6.6,1
10,790,7.9,1
10,800,8,1
7,126,2.571,1
7,847,17.286,1
11,88,0.727,1
11,77,0.636,1
9,441,5.444,1
9,702,8.667,1
9,108,1.333,1
9,567,7,1
11,825,6.818,1
8,96,1.5,1
12,1224,8.5,1
12,312,2.167,1
11,946,7.818,1
8,48,0.75,1
9,891,11,1
8,112,1.75,1
11,231,1.909,1
10,670,6.7,1
9,288,3.556,1
10,800,8,1
12,864,6,1
9,729,9,1
11,88,0.727,1
9,675,8.333,1
10,1010,10.1,1
9,765,9.444,1
9,387,4.778,1
9,378,4.667,1
9,1170,14.444,1
9,189,2.333,1
11,902,7.455,1
9,189,2.333,1
8,56,0.875,1
9,288,3.556,1
8,368,5.75,1
10,440,4.4,1
14,4214,21.5,1
9,1107,13.667,1
261,7830,0.115,4
8,24,0.375,1
8,24,0.375,1
10,80,0.8,1
10,90,0.9,1
8,168,2.625,1
12,864,6,1
9,873,10.778,1
11,286,2.364,1
8,608,9.5,1
10,1160,11.6,1
10,1310,13.1,1
36,6192,4.778,5
13,1508,8.923,1
11,11,0.091,4
9,306,3.778,1
7,322,6.571,1
3,162,18,2
6,1086,30.167,1
8,568,8.875,1
5,495,19.8,1
13,5291,31.308,1
11,693,5.727,1
6,684,19,1
7,196,4,1
22,1562,3.227,1
12,1548,10.75,1
11,363,3,1
22,1562,3.227,1
8,560,8.75,1
11,319,2.636,1
6,600,16.667,1
9,81,1,1
8,1464,22.875,1
11,407,3.364,1
12,5964,41.417,1
8,216,3.375,1
9,684,8.444,1
8,744,11.625,1
7,805,16.429,1
8,552,8.625,1
9,819,10.111,1
8,1016,15.875,1
11,1144,9.455,1
2,12,3,2
9,972,12,1
11,1144,9.455,1
6,534,14.833,1
18,1152,3.556,1
10,260,2.6,1
13,169,1,5
8,2168,33.875,1
8,168,2.625,1
7,42,0.857,1
7,49,1,1
100,4900,0.49,5
7,329,6.714,5
11,2981,24.636,1
10,470,4.7,1
8,520,8.125,1
11,2981,24.636,1
10,1970,19.7,1
8,768,12,1
10,2710,27.1,1
7,98,2,1
7,49,1,1
7,126,2.571,1
5,60,2.4,1
7,98,2,1
10,120,1.2,1
6,78,2.167,1
10,120,1.2,1
10,580,5.8,1
9,657,8.111,1
9,162,2,1
9,189,2.333,1
5,85,3.4,1
7,133,2.714,1
7,210,4.286,1
9,414,5.111,1
7,378,7.714,1
7,56,1.143,1
6,36,1,1
7,161,3.286,1
8,88,1.375,1
7,105,2.143,1
7,119,2.429,1
7,91,1.857,1
7,49,1,1
7,217,4.429,1
5,55,2.2,1
9,522,6.444,1
9,171,2.111,1
8,200,3.125,1
7,161,3.286,1
7,91,1.857,1
5,120,4.8,1
7,70,1.429,1
7,224,4.571,1
7,217,4.429,1
10,130,1.3,1
7,77,1.571,1
6,78,2.167,1
7,63,1.286,1
7,84,1.714,1
7,98,2,1
6,144,4,1
7,266,5.429,1
9,99,1.222,1
6,180,5,1
7,252,5.143,1
7,42,0.857,1
7,119,2.429,1
7,294,6,1
8,32,0.5,1
7,238,4.857,1
7,77,1.571,1
7,518,10.571,1
6,114,3.167,1
9,585,7.222,1
7,77,1.571,1
6,66,1.833,1
7,49,1,1
5,215,8.6,1
5,30,1.2,1
9,1413,17.444,1
6,96,2.667,1
5,20,0.8,1
9,432,5.333,1
7,210,4.286,1
7,217,4.429,1
7,175,3.571,1
9,153,1.889,1
7,266,5.429,1
9,2358,29.111,1
6,114,3.167,1
8,328,5.125,1
9,126,1.556,1
7,98,2,1
9,144,1.778,1
9,117,1.444,1
6,222,6.167,1
5,45,1.8,1
9,63,0.778,1
7,217,4.429,1
9,477,5.889,1
9,261,3.222,1
8,120,1.875,1
10,330,3.3,1
8,48,0.75,1
16,64,0.25,5
8,72,1.125,1
8,344,5.375,1
8,104,1.625,1
9,333,4.111,1
8,56,0.875,1
10,790,7.9,1
27,108,0.148,4
7,322,6.571,2
9,144,1.778,1
11,506,4.182,1
9,819,10.111,1
10,190,1.9,1
6,108,3,1
9,135,1.667,1
6,78,2.167,5
9,234,2.889,1
6,84,2.333,1
11,924,7.636,1
11,2992,24.727,1
8,272,4.25,1
10,280,2.8,1
8,408,6.375,1
8,288,4.5,1
