@relation page-blocks

@attribute Eccen numeric
@attribute Blackpix numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
1.125,38,69,1
10.1,446,864,1
1.6,27,39,1
4.9,255,471,1
2,33,121,1
4.5,22,109,1
3.889,83,210,1
4.667,25,63,1
5.889,120,323,1
12.286,169,577,1
5.778,173,466,1
3.125,56,165,1
9.111,247,539,1
7.364,302,619,1
1.6,14,27,1
1,24,73,1
2.167,21,52,1
7.4,224,524,1
5.429,82,210,1
4.2,133,357,1
1.25,25,54,1
40,7,40,1
1.556,16,118,1
7.333,192,478,1
23.5,16,48,1
6.1,186,581,1
2.444,63,180,1
0.7,23,69,1
3.875,106,246,1
6.25,162,397,1
8.571,120,372,1
24.714,251,1042,1
11,187,693,1
3.667,155,392,1
14.714,213,498,1
2.222,61,139,1
1.714,33,58,1
2.714,27,54,1
9.375,224,573,1
5.2,155,391,1
3,8,18,1
1.444,43,117,1
2.923,163,484,1
1.857,22,83,1
3.5,44,126,1
4.571,69,174,1
3.4,40,79,1
1,19,46,1
5.625,56,261,1
4.667,68,135,1
25.938,2582,4480,1
16.692,1019,1934,1
10.889,163,584,1
1.714,40,64,1
21.063,1992,3276,1
0.5,12,32,1
25.1,378,1423,1
18.071,1317,2924,1
1,13,28,1
8.727,350,1007,1
1.5,42,96,1
13.714,184,660,1
20.375,500,1280,1
2.714,88,123,1
2.571,15,57,1
1,18,18,1
4,184,302,1
30.444,390,1431,1
32,14,32,1
2.889,68,186,1
5.444,120,349,1
1.625,38,84,1
5.6,43,115,1
1.889,35,89,1
2.25,25,66,1
14.462,460,1736,1
6,538,743,1
4.429,83,176,1
4.25,101,208,1
1.2,13,22,1
34.556,456,1629,1
10.727,452,1035,1
1.118,117,123,1
1.714,39,84,1
5.143,92,242,1
7.75,177,480,1
2.429,43,93,1
1.889,96,141,1
7.375,2157,3939,1
12.1,502,1063,1
7,51,112,1
4.429,66,183,1
1.667,26,52,1
1.125,26,52,1
9.222,219,561,1
16,132,523,1
1.5,16,43,1
1,29,47,1
7.375,219,465,1
10,194,590,1
1.857,24,80,1
12.375,167,702,1
3.556,84,238,1
2,14,37,1
4.111,130,270,1
6.842,514,1606,1
10.267,976,1626,1
1.125,26,70,1
6,88,144,1
7.9,193,586,1
6,142,465,1
109,20,109,1
2.75,69,137,1
6,110,214,1
0.9,20,90,1
15.5,506,995,1
21.75,649,1768,1
17.385,759,2852,1
10.385,864,1462,1
2,37,98,1
5.727,286,557,1
0.625,15,38,1
1.556,42,113,1
6.154,451,557,1
5.208,2746,2877,1
11.333,105,274,1
33,420,1035,1
37.889,222,935,1
7.8,297,668,1
37.462,1564,3988,1
2.75,70,144,1
1.167,18,37,1
31,243,851,1
6.2,56,151,1
28.778,441,1624,1
0.727,53,88,1
15.833,129,532,1
3.7,121,353,1
23.727,722,1898,1
0.4,15,16,1
2,34,93,1
1,15,43,1
2,44,115,1
1.571,24,77,1
3,62,132,1
28.385,1906,3176,1
5.857,73,200,1
16,202,435,1
10,130,478,1
2.071,57,204,1
1.091,66,111,1
1.125,28,51,1
5.13,795,2129,1
12.667,161,438,1
5.857,60,187,1
9,451,781,1
19.75,129,437,1
3.625,105,231,1
3,33,85,1
4.778,150,343,1
1.667,51,130,1
0.75,24,31,1
2.2,73,157,1
10.818,309,978,1
5.222,153,383,1
1.571,30,59,1
1.875,34,78,1
18.8,110,397,1
4.778,182,367,1
15.5,486,978,1
5,111,292,1
25.75,389,1307,1
21.833,83,370,1
4,54,95,1
3.3,93,277,1
23.429,323,962,1
10.571,143,354,1
0.625,13,36,1
0.571,10,16,1
4.6,52,105,1
2,36,77,1
5.857,102,246,1
1.625,71,85,1
1,13,39,1
1.889,47,151,1
2,42,123,1
3.8,151,337,1
0.5,13,32,1
2.286,32,79,1
12.375,158,524,1
2.667,8,21,1
7.6,60,132,1
4.833,64,166,1
2.833,39,97,1
13.714,182,462,1
0.833,10,25,1
2.625,39,108,1
1.714,19,51,1
12,7,12,1
10.25,189,654,1
4.444,99,315,1
3.5,118,249,1
1.7,65,170,1
1.1,41,110,1
23.5,2232,3490,1
21,221,984,1
0.667,14,19,1
6.3,147,444,1
59.556,609,2377,1
1.286,15,39,1
11.6,285,881,1
7.8,85,128,1
7.111,177,485,1
4.4,173,375,1
1.9,59,190,1
4.833,62,119,1
1.5,38,81,1
2.625,69,167,1
5.429,110,225,1
5.286,79,259,1
0.727,36,42,1
7.286,116,311,1
8,172,433,1
56.667,684,2717,1
1,26,32,1
1.286,24,60,1
33,12,33,1
12.333,218,809,1
47,20,47,1
4.875,115,309,1
2,30,118,1
8.545,290,698,1
8,88,187,1
7.375,180,412,1
27.286,411,1000,1
2.111,94,147,1
17.625,418,1102,1
1.143,12,35,1
9.111,249,603,1
1.2,42,104,1
1.333,20,48,1
6.667,75,239,1
23.75,1404,2421,1
3.333,73,215,1
0.8,40,80,1
3.75,56,200,1
17,849,1577,1
26.2,761,2163,1
13.5,137,414,1
30,138,245,1
21.5,2053,3146,1
30.25,450,1183,1
2,40,96,1
24.438,2508,4219,1
4.556,138,325,1
8.2,246,682,1
6.625,143,377,1
2,47,124,1
2.538,105,229,1
70,14,70,1
0.25,9,9,1
2.5,98,202,1
7.571,111,344,1
1,42,43,1
3.778,98,271,1
5.375,120,280,1
59.222,797,3853,1
1.167,19,42,1
1.571,30,61,1
3.545,136,305,1
2.1,63,170,1
1,12,49,1
1.75,47,88,1
10,8,10,1
18.667,405,1000,1
9.111,287,679,1
1.5,42,96,1
2.333,69,155,1
3.714,55,166,1
2,44,95,1
26,323,817,1
9.111,284,690,1
6,119,310,1
1.4,16,35,1
4.1,190,397,1
5.125,115,316,1
2.5,82,207,1
1.625,49,104,1
1.5,37,67,1
24.846,1076,2340,1
14,528,1029,1
4.556,111,327,1
3.25,52,168,1
1.857,33,85,1
3.889,86,206,1
34.167,1636,3254,1
5.25,122,326,1
37.429,279,1254,1
2.222,53,104,1
1,15,34,1
34.667,189,213,1
4,190,307,1
20.417,599,2342,1
2.222,113,154,1
2.75,155,314,1
5.571,69,233,1
4.25,116,268,1
12,335,918,1
2.429,66,111,1
2.4,23,53,1
4.75,140,244,1
6.75,81,337,1
21.5,2121,3643,1
3.182,135,251,1
16.385,995,1821,1
4,111,246,1
8.3,296,675,1
8.333,252,616,1
5,148,310,1
7,423,570,1
1.25,31,73,1
8.545,393,700,1
10.5,154,463,1
2.6,30,44,1
3.727,152,286,1
4.143,57,159,1
28.4,575,2013,1
3.333,77,162,1
2.6,28,60,1
18.333,501,1059,1
24,919,1971,1
14.875,321,876,1
2.143,24,103,1
9.75,281,1002,1
4,136,288,1
2,24,85,1
2.556,63,207,1
0.444,17,31,1
2.125,49,113,1
1.625,61,87,1
3.556,102,232,1
0.875,21,56,1
3,109,213,1
17.111,563,1008,1
2,18,60,1
7.5,114,238,1
18.75,246,753,1
8,154,439,1
13,104,341,1
19.2,155,402,1
1.714,35,62,1
40,16,40,1
29.125,282,1239,1
3.4,103,272,1
23.818,697,1781,1
2.857,61,103,1
22.25,121,326,1
10.375,195,634,1
18.444,502,1080,1
4,172,304,1
1.167,1,737,1
0.75,22,40,1
14.3,508,1108,1
1.294,153,283,1
8.889,211,625,1
0.5,15,28,1
3.3,97,261,1
30.571,691,1296,1
14.833,159,405,1
2.75,69,161,1
3.333,44,116,1
4,99,229,1
29.778,441,1654,1
2.8,27,60,1
2.857,36,105,1
11.222,178,701,1
15.714,162,483,1
16.727,920,1539,1
2.143,21,60,1
11.875,230,712,1
7.167,53,178,1
0.75,20,44,1
7.167,87,250,1
2,40,92,1
7.636,232,629,1
1.571,28,72,1
4.429,100,215,1
12,7,12,1
27.1,647,1668,1
1,33,64,1
9.75,309,945,1
4.833,73,163,1
0.286,12,12,1
3.286,48,141,1
31.308,1406,3435,1
5.714,70,233,1
1.286,24,54,1
14.8,1378,2425,1
6,122,357,1
6.125,173,391,1
3,49,116,1
12.6,536,1086,1
53.5,889,3646,1
6.3,158,566,1
0.75,15,39,1
1.571,23,60,1
11.308,3464,7010,1
10.222,302,790,1
1,13,70,1
0.8,7,12,1
33.875,681,1775,1
4,96,205,1
0.286,10,10,1
1.857,72,89,1
59.444,566,2323,1
1.75,40,75,1
2.9,89,248,1
23.667,1109,2471,1
6.455,539,742,1
6.25,144,291,1
2.2,74,184,1
4,187,307,1
5.125,110,306,1
4.375,107,280,1
2,32,92,1
35,15,35,1
2.2,17,46,1
0.6,9,9,1
7.636,269,779,1
1.625,55,83,1
89,15,89,1
23.667,390,1503,1
19.111,265,1131,1
29.111,492,1657,1
11.667,3018,6072,1
4.1,113,284,1
24.286,1232,2819,1
13.556,415,1055,1
3,92,282,1
16.889,518,1047,1
2.75,16,42,1
8.167,288,734,1
3.857,70,159,1
8.889,240,658,1
4,159,272,1
2.75,71,176,1
8.875,176,489,1
1.75,32,99,1
15.833,146,438,1
36.167,326,890,1
9.111,249,606,1
22.25,2150,3279,1
19.6,1743,2872,1
4.556,74,241,1
3.25,61,124,1
2.8,41,66,1
6.5,53,165,1
24.214,1175,2596,1
10.167,381,1290,1
3.4,121,253,1
9.375,197,533,1
14.625,188,653,1
2.25,58,129,1
21.556,295,1043,1
95,36,95,1
12.333,188,768,1
25.583,1068,2842,1
3.5,114,204,1
28,998,2157,1
5.375,133,262,1
21.857,500,1039,1
15,240,718,1
26.5,2518,4879,1
5.222,157,349,1
19,328,757,1
1.667,126,205,1
24.286,1636,2682,1
0.667,36,41,1
5.143,66,169,1
5.167,2126,4382,1
9.111,276,639,1
11.8,327,879,1
2,27,69,1
12.286,177,422,1
2.125,57,130,1
39.111,651,2193,1
1.714,30,68,1
1,25,64,1
8.4,54,176,1
13.571,178,618,1
1.4,14,35,1
34.444,475,2211,1
3.125,77,123,1
4.167,47,150,1
5.375,137,325,1
5.222,141,320,1
8.6,71,176,1
36.833,356,711,1
12.1,324,804,1
3.1,105,221,1
9.111,260,589,1
7.792,2178,4122,1
5.2,68,128,1
9.111,228,574,1
10,212,702,1
1,55,99,1
29,430,1686,1
16,150,493,1
10.143,96,334,1
2,33,96,1
0.714,9,20,1
1.333,53,96,1
1.3,37,115,1
3.571,58,156,1
2.167,23,54,1
31.444,474,1852,1
2.375,58,110,1
11,257,714,1
31.286,299,946,1
7.636,258,627,1
1.889,60,143,1
26.769,1395,3262,1
11.9,467,1060,1
30.9,618,2257,1
4.667,130,352,1
34.889,440,1659,1
19.4,162,403,1
11.708,3155,6088,1
22.167,1079,2130,1
1.429,20,49,1
2.222,61,157,1
4,113,229,1
5,90,279,1
2.929,623,895,1
2.6,81,150,1
17.4,483,1276,1
14.667,225,698,1
20.111,611,1202,1
0.857,15,42,1
2.714,48,122,1
19.333,235,1156,1
1.4,19,35,1
24.75,199,373,1
