@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4,9-11'

@attribute Eccen numeric
@attribute Blackand numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
1.6,40,9,1
1.2,22,1,1
3.8,38,4,1
0.8,16,1,1
11,38,2,2
7.727,836,144,1
38.667,172,4,2
44,44,5,2
1,21,3,1
4.444,348,56,1
4.444,331,49,1
23,70,3,2
4.556,327,58,1
10,10,1,2
13.667,1091,153,1
5.5,21,1,1
0.727,75,5,1
4.9,471,86,1
2.1,177,27,1
10.375,603,123,1
9.182,909,165,1
2.167,312,43,1
3.333,352,66,1
7.111,518,104,1
11,839,164,1
10.727,1061,168,1
12.6,1049,196,1
5.111,280,63,1
2.444,191,28,1
27.364,2435,458,1
52,52,4,2
1.333,95,26,1
10.778,804,162,1
1.083,153,25,1
3.583,408,66,1
0.75,31,3,1
2.222,139,35,1
8.727,1007,81,1
2,178,30,1
9.833,1086,184,1
4.455,359,43,1
7.667,544,122,1
9.111,690,124,1
2.136,779,155,1
4.556,355,58,1
115,115,5,2
13.1,1107,206,1
2.429,111,18,1
2,116,25,1
0.667,96,5,1
7.818,764,143,1
3.7,262,41,1
8.364,861,159,1
5.222,388,65,1
10.889,859,156,1
95.333,366,4,2
9.111,691,133,1
8.5,935,171,1
1.13,574,92,1
9.222,679,90,1
1.083,153,26,1
4.2,357,60,1
35,35,3,2
1.143,29,5,1
4.5,255,63,1
2,110,4,5
1.111,47,2,5
10.727,1036,189,1
14,1029,186,1
5.875,337,56,1
2,168,25,1
5.889,384,91,1
7.636,779,155,1
1.273,151,28,1
4.5,270,55,1
12.2,840,171,1
9.833,1039,189,1
4.667,352,58,1
44,44,2,2
17,17,2,2
0.818,72,10,1
29,29,1,2
4,307,62,1
6.7,499,94,1
1.571,43,7,1
3.556,286,69,1
3.583,409,69,1
5.125,320,59,1
0.625,36,2,1
0.8,80,8,1
69,69,7,2
2.222,175,31,1
10.5,641,125,1
10.375,650,120,1
5.111,361,84,1
9.222,561,96,1
3.909,366,61,1
9.222,561,112,1
14,1081,194,1
0.038,26,1,4
5,572,99,1
1.286,15,1,5
3,12,2,2
10.8,806,161,1
28.667,936,175,1
0.067,15,1,4
3.143,472,98,1
31.385,3591,579,1
2.125,112,26,1
8.75,510,122,1
5.5,334,71,1
8.923,1060,177,1
12.8,961,202,1
2,92,19,1
8.333,214,50,1
5.8,129,33,1
31.462,3049,556,1
21.308,2292,407,1
3.667,22,4,2
2.29,651,34,5
3.3,245,46,1
12,844,171,1
2.286,99,16,1
10.111,744,135,1
7.75,459,85,1
7.667,207,41,1
1.333,102,14,1
10.167,1290,166,1
0.556,25,2,1
7.8,145,31,1
22.25,326,74,1
15.375,814,147,1
8.5,472,96,1
12.7,1014,210,1
14.286,443,123,1
8.333,233,49,1
3.3,261,53,1
9.182,815,137,1
3.5,187,22,1
16.5,973,181,1
31.846,3514,623,1
0.812,2588,674,5
27.2,2147,382,1
30.111,1651,358,1
0.6,9,2,5
30,1220,264,1
23.6,1349,330,1
27.2,1571,348,1
12.25,677,156,1
2.4,44,9,1
28.667,1350,313,1
22.091,914,223,1
3.25,129,38,1
10,348,84,1
6.8,103,29,1
0.333,12,1,1
1.143,56,7,1
3.222,185,47,1
8.333,173,49,1
1.778,69,24,1
114,114,5,2
5.286,184,47,1
5.857,187,44,1
3,48,7,1
6.667,239,59,1
5.286,179,43,1
5.857,183,35,1
41,41,7,2
2.714,133,32,1
1,28,8,1
4.143,136,34,1
3.25,168,38,1
0.857,42,10,1
4.75,222,55,1
5.444,328,73,1
3,138,32,1
2.714,133,32,1
15,761,193,1
5,245,49,1
23.778,1440,307,1
1.571,76,20,1
7,247,77,1
3.8,209,50,1
5.444,349,87,1
2.714,122,32,1
4.143,192,37,1
4.333,152,40,1
6,248,67,1
2.333,147,32,1
5.444,288,86,1
8,236,71,1
6.75,336,87,1
5.429,183,46,1
1.857,91,27,1
7.222,460,96,1
2.6,65,22,1
11.625,400,111,1
3.429,143,32,1
5.6,114,33,1
6.4,138,42,1
1,43,7,1
6.857,219,56,1
1.143,38,13,1
1.429,58,15,1
4.857,139,42,1
7.429,287,81,1
7.2,173,54,1
2.286,103,28,1
2.8,70,21,1
2.714,125,31,1
2.857,105,27,1
3.8,85,28,1
2,94,23,1
1.875,109,26,1
3,105,28,1
1.6,39,14,1
1.667,58,16,1
4,99,31,1
2,83,21,1
