@relation page-blocks

@attribute Height numeric
@attribute P_black numeric
@attribute Class {1,2,3,4,5}

@data
5,0.5,1
25,0.866,1
6,0.313,1
8,0.423,1
8,0.438,1
17,0.175,1
11,0.289,1
4,0.313,1
9,0.413,1
23,0.941,1
8,0.301,1
10,0.367,1
8,0.232,1
14,0.384,1
8,0.558,1
7,0.102,1
9,0.422,1
11,0.256,1
9,0.225,1
14,0.383,1
10,0.294,1
5,0.49,1
11,0.243,1
8,0.391,1
22,0.203,1
4,0.377,1
10,0.428,1
7,0.178,1
10,0.265,1
10,0.434,1
1,0.429,1
8,0.388,1
10,0.154,1
7,0.371,1
7,0.331,1
8,0.258,1
11,0.35,1
8,0.36,1
8,0.482,1
8,0.277,1
6,0.274,1
8,0.428,1
4,0.364,1
13,0.246,1
10,0.288,1
6,0.367,1
10,0.223,1
8,0.208,1
1,0.364,1
24,0.911,1
10,0.611,1
9,0.126,1
9,0.206,1
14,0.368,1
5,0.72,1
7,0.286,1
5,0.41,1
10,0.316,1
7,0.308,1
8,0.084,1
9,0.319,1
10,0.187,1
8,0.431,1
17,0.925,1
7,0.312,1
24,0.227,1
8,0.363,1
8,0.462,1
7,0.238,1
9,0.189,1
11,0.716,1
5,0.504,1
8,0.438,1
11,0.262,1
12,0.228,1
8,0.316,1
10,0.314,1
7,0.365,1
6,0.453,1
9,0.293,1
11,0.183,1
19,0.089,1
7,0.829,1
9,0.363,1
8,0.199,1
10,0.575,1
9,0.381,1
11,0.282,1
12,0.232,1
8,0.469,1
7,0.388,1
5,0.686,1
9,0.31,1
8,0.335,1
7,0.455,1
13,0.406,1
8,0.21,1
6,0.625,1
6,0.379,1
9,0.285,1
10,0.363,1
5,0.338,1
11,0.269,1
16,0.197,1
9,0.217,1
9,0.354,1
4,0.267,1
8,0.136,1
16,0.396,1
8,0.39,1
6,0.287,1
5,0.255,1
7,0.333,1
9,0.491,1
10,0.6,1
8,0.458,1
8,0.258,1
10,0.268,1
10,0.212,1
12,0.234,1
11,0.17,1
7,0.402,1
10,0.275,1
9,0.269,1
8,0.427,1
6,0.274,1
4,0.267,1
8,0.398,1
9,0.327,1
6,0.28,1
9,0.389,1
8,0.528,1
11,0.568,1
9,0.174,1
9,0.263,1
5,0.52,1
8,0.312,1
12,0.63,1
8,0.469,1
8,0.438,1
6,0.422,1
1,0.191,1
8,0.288,1
8,0.403,1
9,0.178,1
9,0.259,1
7,0.662,1
6,0.32,1
6,0.467,1
17,0.426,1
9,0.237,1
9,0.237,1
11,0.316,1
7,0.387,1
8,0.318,1
11,0.339,1
12,0.292,1
10,0.678,1
13,0.509,1
7,0.302,1
12,0.621,1
9,0.213,1
6,0.282,1
10,0.29,1
8,0.346,1
8,0.372,1
3,0.606,1
8,0.475,1
8,0.268,1
7,0.336,1
13,0.429,1
8,0.232,1
17,0.123,1
10,0.215,1
8,0.336,1
7,0.336,1
8,0.309,1
5,0.375,1
13,0.415,1
9,1,1
8,0.395,1
12,0.638,1
8,0.404,1
10,0.294,1
12,0.525,1
7,0.113,1
16,0.393,1
7,0.265,1
8,0.45,1
10,0.35,1
8,0.362,1
7,0.286,1
7,0.313,1
60,0.46,1
8,0.458,1
10,0.61,1
10,0.132,1
10,0.675,1
7,0.375,1
13,0.324,1
8,0.528,1
9,0.292,1
14,0.354,1
9,0.302,1
9,0.251,1
7,0.272,1
9,0.306,1
9,0.126,1
10,0.33,1
9,0.365,1
8,0.303,1
8,0.381,1
4,0.419,1
10,0.434,1
8,0.25,1
6,0.533,1
7,0.429,1
4,0.393,1
11,0.666,1
8,0.438,1
10,0.294,1
9,0.365,1
9,0.317,1
8,0.263,1
7,0.255,1
10,0.309,1
9,0.244,1
10,0.449,1
9,0.391,1
8,0.098,1
12,0.337,1
9,0.283,1
7,0.286,1
10,0.394,1
6,0.318,1
5,0.444,1
8,0.208,1
