@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,8,10-11'

@attribute Height numeric
@attribute Blackpix numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
5,8,1,1
11,51,10,1
11,36,1,1
10,180,93,1
9,172,95,1
9,168,93,1
9,142,96,1
10,221,105,1
12,138,58,1
12,18,5,1
9,78,35,1
13,39,6,1
9,17,6,1
14,657,289,1
1,7,2,1
7,82,35,1
2,12,6,1
1,7,2,1
11,36,10,1
1,39,4,2
9,243,124,1
8,194,113,1
11,85,42,1
8,13,3,1
9,402,150,1
5,8,1,4
10,11,1,2
9,47,20,1
1,34,6,2
6,22,11,1
4,56,24,1
10,68,20,1
9,63,39,1
9,84,55,1
10,189,84,1
9,253,125,1
11,250,146,1
19,207,1,1
10,289,112,1
8,56,30,1
10,121,62,1
1,55,7,2
10,575,202,1
10,283,124,1
1,40,1,2
1,36,3,2
7,89,40,1
8,152,63,1
8,136,68,1
7,288,157,1
12,300,151,1
12,184,68,1
8,117,56,1
8,58,30,1
11,338,173,1
10,47,31,1
12,179,66,1
9,260,118,1
11,520,158,1
1,7,1,2
24,1718,643,1
7,7,1,1
9,83,32,1
21,302,152,1
8,106,55,1
12,198,103,1
9,209,94,1
12,169,66,1
1,48,7,2
8,64,34,1
8,131,59,1
9,524,199,1
3,16,5,1
7,52,23,1
14,130,44,1
15,95,24,1
52,4607,400,5
9,397,174,1
9,256,86,1
9,60,23,1
9,290,140,1
9,48,27,1
9,46,29,1
9,13,8,1
10,305,109,1
9,139,57,1
69,133,64,4
5,37,18,1
17,411,140,1
12,42,1,1
10,410,165,1
12,252,144,1
12,227,108,1
9,235,106,1
10,64,18,1
9,186,59,1
8,135,61,1
10,412,152,1
9,144,54,1
8,68,27,1
10,327,162,1
8,142,60,1
38,157,8,5
1,127,11,2
1,16,1,2
9,9,1,4
7,390,218,1
7,213,116,1
10,235,138,1
11,297,135,1
5,67,32,1
9,308,112,1
6,58,38,1
5,240,118,1
13,403,115,1
10,587,171,1
10,464,169,1
7,449,237,1
3,319,24,2
10,108,29,1
