@relation page-blocks

@attribute Height numeric
@attribute Lenght numeric
@attribute Mean_tr numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
7,63,1.71,82,1
8,64,1.63,79,1
38,96,3.29,478,1
8,12,2.38,16,1
11,70,3.53,83,1
9,8,1.27,15,1
7,12,1.84,19,1
9,492,1.33,697,1
10,272,1.4,399,1
10,176,1.72,263,1
8,75,1.95,115,1
10,44,1.9,81,1
9,276,2.58,373,1
8,62,3.03,59,1
12,44,2.31,67,1
7,63,1.94,77,1
9,46,1.43,70,1
9,166,2.38,211,1
8,27,1.36,45,1
8,9,2.07,15,1
8,73,1.47,93,1
9,453,1.21,269,1
8,30,1.24,45,1
8,20,2.06,32,1
8,30,2.3,47,1
9,100,2.92,143,1
25,494,7.35,776,1
12,10,11.57,7,1
9,107,1.94,186,1
7,7,2.83,6,1
10,49,3.11,93,1
7,54,1.4,77,1
17,11,10.17,6,1
4,6,10,1,1
8,15,1.86,21,1
7,219,1.44,207,1
3,3,7,1,1
7,11,1.64,11,1
9,8,12.25,4,1
9,47,2.75,57,1
5,26,1.89,36,1
7,17,1.89,27,1
6,14,1.8,15,1
10,242,2.08,303,1
20,19,12.53,15,1
10,33,1.4,43,1
10,63,1.4,83,1
7,14,2.53,19,1
9,19,2.68,19,1
14,11,8.1,10,1
8,4,3.75,4,1
5,6,1.63,8,1
6,96,1.51,102,1
10,61,1.98,94,1
9,25,1.51,37,1
17,382,5.46,431,1
11,19,7.56,16,1
9,38,2.18,49,1
13,138,3.86,108,1
10,511,1.36,532,1
12,72,6.11,89,1
8,46,1.79,73,1
7,175,1.87,221,1
8,30,2.29,38,1
7,10,1.33,15,1
8,12,2.11,19,1
5,92,1.38,96,1
13,349,4.36,395,1
9,72,2.01,82,1
9,6,2.5,8,1
8,22,1.78,37,1
10,41,2.79,68,1
8,33,1.92,51,1
9,47,1.53,77,1
9,41,2.71,58,1
7,38,1.82,60,1
13,311,1.63,537,1
8,14,2.1,20,1
10,271,1.89,358,1
8,49,1.81,88,1
8,1,8,1,1
9,20,1.74,35,1
9,49,1.61,69,1
9,97,1.77,162,1
9,35,1.65,52,1
7,13,1.47,15,1
8,18,2.16,32,1
9,10,2.07,15,1
13,104,3.44,78,1
9,36,3.3,54,1
10,19,8.85,13,1
10,38,2.89,57,1
11,262,1.84,373,1
10,67,2.27,86,1
10,46,2.01,83,1
5,15,1.4,5,1
11,15,2.07,28,1
8,17,2.47,19,1
9,536,1.36,547,1
13,297,4.97,318,1
12,61,1.77,104,1
1,12,3.5,2,1
4,12,1.4,10,1
19,201,2.07,439,1
9,126,2.83,194,1
11,98,2.61,164,1
9,211,1.48,282,1
10,260,1.78,412,1
9,124,2.57,151,1
1,47,1.14,14,1
8,133,1.78,162,1
11,185,1.94,310,1
11,119,1.75,177,1
9,111,1.6,115,1
16,359,5.41,399,1
10,508,1.27,527,1
8,273,1.27,369,1
7,6,1.89,9,1
10,98,2.22,167,1
11,42,1.93,68,1
7,171,1.25,154,1
7,6,1.75,8,1
6,26,1.41,32,1
11,86,1.95,144,1
9,299,1.58,385,1
7,30,1.54,46,1
8,12,1.95,19,1
14,141,2.29,240,1
10,14,1.91,23,1
8,109,1.25,76,1
11,84,2.35,110,1
7,22,1.36,11,1
12,84,3.52,123,1
6,16,1.48,23,1
1,89,1.07,14,1
8,33,2.24,50,1
7,33,1.45,56,1
17,24,5.88,25,1
10,27,2.38,39,1
12,7,3.6,5,1
6,50,2.38,50,1
5,6,2.5,4,1
9,50,2.67,54,1
9,83,2.28,96,1
77,245,32.67,257,1
6,25,1.17,35,1
7,11,1.45,20,1
9,41,3.28,57,1
8,30,1.35,43,1
10,12,2.7,10,1
8,170,1.6,236,1
6,13,1.64,14,1
4,3,2.67,3,1
9,197,1.74,278,1
7,15,1.6,15,1
24,133,18.67,155,1
7,20,2.71,24,1
6,31,1.85,20,1
6,96,2.25,76,1
12,104,2.46,170,1
5,39,3.67,21,1
10,37,1.39,41,1
7,4,2.2,5,1
8,64,2.12,81,1
10,272,1.43,401,1
26,378,3.46,650,1
9,54,1.49,88,1
8,72,2.25,102,1
5,2,7,1,1
8,216,1.33,203,1
7,20,1.33,27,1
8,82,2.41,107,1
3,3,7,1,1
15,54,2.45,107,1
5,32,1.31,51,1
12,118,1.95,184,1
10,8,6,8,1
7,112,1.25,106,1
11,51,2.06,80,1
5,21,1.48,21,1
8,59,1.84,79,1
9,184,1.36,251,1
10,47,1.29,72,1
8,183,1.43,190,1
4,10,4,5,1
7,519,1.23,215,1
10,42,2.13,70,1
10,123,2.99,149,1
7,33,2.36,14,1
9,85,2.32,130,1
8,46,2.23,48,1
2,21,1.4,5,1
7,80,3.54,79,1
5,4,8,1,1
11,262,1.94,386,1
7,11,1.4,20,1
5,14,1.52,21,1
9,140,2.71,177,1
10,19,6.94,16,1
10,14,2.89,18,1
6,6,1.88,8,1
5,38,2.07,29,1
77,271,11.28,885,1
7,31,1.58,43,1
10,30,1.79,56,1
12,84,4.75,89,1
37,101,2.44,432,1
8,15,1.23,26,1
8,20,2.35,31,1
9,50,1.32,75,1
3,90,2.34,59,1
9,84,1.81,93,1
10,64,2.12,57,1
9,168,1.89,214,1
7,45,1.91,33,1
7,45,1.15,65,1
9,82,2,93,1
10,100,1.45,146,1
11,125,3.03,196,1
8,14,2.04,23,1
14,57,11.84,49,1
9,259,1.31,336,1
7,14,2.5,16,1
7,13,1.76,17,1
7,13,1.76,21,1
8,21,2.07,29,1
9,97,2.28,174,1
7,20,1.46,35,1
8,10,1.75,16,1
9,46,1.72,76,1
6,11,1.31,16,1
9,9,5.1,10,1
8,15,1.84,19,1
8,15,2.74,19,1
6,326,1.29,323,1
7,32,1.46,52,1
6,17,1.56,16,1
10,49,3.07,88,1
7,7,1.89,9,1
7,18,1.36,25,1
8,71,1.86,95,1
7,153,2.75,182,1
7,18,2.14,7,1
8,40,2.08,60,1
8,80,1.4,84,1
10,19,3,9,1
25,292,7.23,454,1
6,96,2.2,79,1
7,20,1.19,27,1
6,26,2.25,36,1
7,37,1.81,43,1
10,16,2.22,32,1
10,6,2.6,10,1
8,62,1.91,80,1
7,33,1.49,53,1
16,121,5.6,137,1
9,490,1.4,212,1
7,140,1.49,167,1
10,19,7.5,14,1
10,9,9.4,5,1
10,499,1.27,575,1
9,42,2.85,60,1
7,13,1.58,19,1
14,440,1.54,632,1
9,33,1.67,46,1
9,99,1.93,125,1
4,114,1.83,98,1
9,82,2.39,114,1
10,130,2.78,212,1
7,157,2.77,174,1
16,391,5.26,477,1
8,5,3,6,1
4,20,1.41,22,1
8,15,2.17,23,1
8,123,1.71,147,1
7,57,1.3,84,1
8,23,1.65,40,1
9,47,1.99,86,1
10,271,1.94,333,1
9,29,1.3,47,1
5,13,10,1,1
6,47,1.61,31,1
13,65,2.58,99,1
8,17,1.67,36,1
10,16,2.08,26,1
11,60,2.01,105,1
7,152,1.27,179,1
13,85,2.76,131,1
10,27,6.07,28,1
7,7,1.38,13,1
11,84,1.77,131,1
11,11,4.73,11,1
24,176,7.85,267,1
9,119,2.34,193,1
4,99,2.4,83,1
14,217,2.12,383,1
12,43,2.56,66,1
7,86,1.55,109,1
7,103,1.76,121,1
8,16,1.58,19,1
10,48,2.15,67,1
5,17,2.91,11,1
10,46,2.09,66,1
6,7,7.5,2,1
8,14,1.96,26,1
7,98,1.42,100,1
7,8,1.69,13,1
7,27,1.44,34,1
9,42,2.65,54,1
9,536,1.38,662,1
3,3,7,1,1
5,36,1.52,25,1
9,1,9,1,1
8,26,1.26,39,1
11,413,2.44,664,1
8,27,2.14,44,1
9,105,2.19,144,1
8,32,2.04,47,1
8,22,2.56,27,1
7,46,2.18,44,1
6,4,2.2,5,1
8,29,2,40,1
9,92,1.54,129,1
9,180,1.39,186,1
10,293,1.53,397,1
6,7,2.22,9,1
7,20,1.61,33,1
9,280,1.24,336,1
9,37,2.05,62,1
5,6,1.8,5,1
8,36,3.22,55,1
6,51,2.44,57,1
7,14,1.6,20,1
8,62,1.57,69,1
10,54,1.83,94,1
36,186,7.28,292,1
