@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R2,4,9,11'

@attribute Lenght numeric
@attribute Eccen numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
18,3,80,1
6,1.5,19,1
25,1.923,221,1
16,2.286,72,1
103,14.714,498,1
9,0.818,62,1
113,37.667,160,2
98,9.8,818,1
22,11,33,2
90,10,637,1
13,13,13,2
20,1.818,165,1
13,1.444,54,1
107,15.286,490,1
95,10.556,618,1
35,3.889,210,1
75,75,75,2
8,1.6,27,1
13,13,13,2
2,0.021,97,4
81,8.1,656,1
82,9.111,643,1
84,7.636,629,1
115,10.455,915,1
2,0.5,7,4
46,5.75,338,1
41,5.125,317,1
236,118,325,2
14,1.75,74,1
80,8.889,687,1
120,13.333,928,1
35,3.182,225,1
21,2.333,181,1
53,5.3,477,1
40,4,351,1
82,10.25,654,1
13,1.182,140,1
8,0.727,88,1
43,3.909,414,1
75,8.333,617,1
121,13.444,890,1
40,4,358,1
340,24.286,2819,1
8,0.667,93,1
2,0.118,24,4
118,10.727,1035,1
41,4.556,366,1
29,29,29,2
31,4.429,186,1
17,2.833,70,1
49,4.9,481,1
34,3.778,276,1
82,9.111,682,1
8,0.667,96,1
86,8.6,726,1
48,4.8,356,1
40,40,40,2
13,2.167,45,1
8,0.8,56,1
24,3,187,1
17,2.125,92,1
82,9.111,574,1
63,6.3,566,1
34,3.778,264,1
11,11,11,2
17,17,17,2
121,17.286,572,1
38,3.8,357,1
36,4,295,1
13,1.444,88,2
52,5.778,466,1
46,4.6,388,1
9,1,65,1
42,42,42,2
176,88,213,2
52,26,73,1
44,8.8,174,1
14,7,23,2
123,17.571,539,1
8,0.667,89,1
8,0.727,88,1
12,1.333,108,1
101,9.182,943,1
42,4.667,346,1
455,23.947,821,1
23,2.875,184,1
15,1.875,82,1
14,1.75,72,1
2,0.333,12,1
7,0.7,30,1
12,1.333,97,1
101,9.182,856,1
73,73,73,2
21,2.625,130,1
46,5.75,341,1
93,10.333,749,1
106,8.154,948,1
17,3.4,79,1
72,9,467,1
108,10.8,897,1
409,31.462,3095,1
100,16.667,477,1
84,7,798,1
35,3.182,251,1
42,4.667,318,1
147,11.308,1343,1
128,10.667,1132,1
410,34.167,3474,1
69,8.625,543,1
106,11.778,755,1
29,4.833,119,1
37,4.111,311,1
54,5.4,336,1
71,3.227,1368,1
43,8.6,169,1
96,2.667,717,5
105,10.5,852,1
84,6.462,644,1
185,23.125,905,1
89,14.833,405,1
118,9.833,1102,1
105,8.75,903,1
33,3.3,277,1
389,55.571,1591,1
48,2.667,453,1
41,5.857,285,1
271,27.1,2044,1
271,30.111,1774,1
69,8.625,379,1
272,34,1497,1
54,6.75,322,1
25,3.125,200,1
49,0.605,1580,5
6,1,15,5
272,27.2,1765,1
8,0.615,80,5
272,27.2,2101,1
272,27.2,2139,1
62,7.75,312,1
24,4,110,1
271,24.636,2001,1
7,1,49,1
271,27.1,2084,1
7,1,46,1
8,1.143,43,1
7,1.4,23,1
81,9,395,1
52,10.4,141,1
38,7.6,188,1
25,4.167,133,1
79,7.9,332,1
41,5.857,217,1
40,6.667,236,1
17,2.125,77,1
17,2.833,97,1
13,2.167,73,1
3,0.6,13,1
9,1.286,54,1
151,15.1,1162,1
37,4.111,235,1
23,2.875,162,1
11,1.571,71,1
36,5.143,242,1
29,4.143,190,1
9,1.286,61,1
9,1.286,60,1
4,0.571,24,1
18,2.571,122,1
32,4.571,180,1
29,3.222,232,1
13,1.857,85,1
11,1.375,88,1
24,3.429,111,1
18,2.571,104,1
13,1.857,76,1
19,2.714,89,1
11,1.571,61,1
39,5.571,200,1
11,1.833,63,1
26,4.333,136,1
41,5.857,222,1
32,4.571,174,1
24,3.429,102,1
11,1.833,66,1
11,1.833,55,1
4,0.571,25,1
25,3.571,141,1
8,1.143,56,1
13,2.167,66,1
22,5.5,86,1
29,3.222,160,1
6,0.857,41,1
41,5.857,207,1
19,2.375,110,1
19,2.375,129,1
86,12.286,422,1
47,6.714,236,1
19,2.714,97,1
11,1.833,47,1
43,6.143,241,1
40,8,187,1
52,5.778,336,1
17,2.429,104,1
33,4.714,174,1
4,0.8,20,1
13,1.857,82,1
8,1.333,42,1
16,1.778,132,1
20,3.333,113,1
11,1.571,68,1
47,6.714,274,1
7,1.4,35,1
11,1.571,52,1
201,22.333,825,1
5,0.833,25,1
39,4.333,245,1
18,2.571,111,1
6,0.667,28,5
25,2.273,173,1
12,1.2,104,1
13,1.625,97,1
39,4.333,256,1
271,22.583,1857,1
94,8.545,698,1
6,0.6,60,1
4,0.5,32,1
25,2.5,226,1
31,3.875,246,1
6,0.75,38,1
4,0.444,31,1
30,3,234,1
53,6.625,384,1
12,1.5,86,1
271,22.583,2241,1
11,1.1,102,1
16,2,119,1
25,3.125,151,1
4,0.667,24,1
32,2.909,270,1
12,1.5,76,1
86,7.818,708,1
17,2.429,89,1
37,4.111,218,1
53,6.625,375,1
5,0.714,28,1
185,16.818,1681,1
10,1.25,73,1
47,5.222,377,1
15,1.875,117,1
29,3.222,252,1
19,2.111,156,1
34,4.25,213,1
26,2.889,206,1
21,2.1,170,1
7,0.875,43,1
28,2.8,224,1
8,1,59,1
69,8.625,495,1
21,2.625,162,1
7,0.778,59,1
8,1,64,1
26,3.25,203,1
145,14.5,1050,1
7,0.875,56,1
44,4,363,1
16,2,95,1
10,1.25,68,1
40,4,313,1
35,3.5,204,1
57,7.125,382,1
13,1.3,119,1
13,1.625,84,1
51,6.375,260,1
25,25,25,1
19,2.375,101,1
25,3.125,156,1
5,0.625,24,1
34,0.5,1215,5
19,2.111,126,1
34,3.4,290,1
20,2.222,129,1
13,1.444,117,1
10,2.5,36,1
91,10.111,360,1
3,0.6,9,1
10,2,48,1
228,22.8,1390,1
7,0.875,53,1
4,0.667,24,1
262,26.2,1945,1
23,2.875,178,1
20,2.5,160,1
14,1.75,112,1
23,2.875,153,1
14,1.75,89,1
14,2.8,66,1
261,23.727,1505,1
18,2,148,1
38,3.8,240,1
99,9.9,766,1
31,3.1,221,1
