@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4-5,9,11'

@attribute Eccen numeric
@attribute P_black numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
1.4,0.429,31,1
19.667,0.475,84,2
2.333,0.429,146,1
10.222,0.286,733,1
9.222,0.284,634,1
8.444,0.307,603,1
0.375,0.417,10,1
24,0.625,65,2
4.111,0.526,299,1
2.333,0.291,144,1
4.889,0.46,371,1
5.222,0.274,316,1
8,1,8,2
8.5,0.324,34,1
0.636,0.597,77,1
0.818,0.475,63,1
9.8,0.391,818,1
7.636,0.262,758,1
11,0.27,729,1
6.625,0.358,416,1
5.167,0.234,491,1
4.714,0.143,195,1
2.625,0.339,113,1
9.333,0.288,598,1
3.875,0.327,196,1
13.556,0.339,1040,1
0.727,0.375,53,1
4,0.549,296,1
32,0.719,32,2
8.375,0.381,400,1
2.125,0.353,109,1
9.375,0.415,546,1
4.111,0.598,315,1
10.1,0.466,902,1
4.889,0.465,374,1
0.045,0.657,180,4
13.1,0.456,1115,1
61,1,61,2
15.25,0.227,634,1
4.778,0.377,357,1
1.52,0.055,17452,5
9.8,0.448,863,1
9.111,0.379,649,1
6.4,0.514,618,1
4,0.611,300,1
3.667,0.458,292,1
0.667,0.292,96,1
2.625,0.31,125,1
2.1,0.348,159,1
3.4,0.388,303,1
77,0.403,77,2
13,0.486,1113,1
4.429,0.267,155,1
14,0.571,14,2
3.25,0.37,197,1
2.167,0.276,259,1
98,0.939,98,2
5,0.447,363,1
5.375,0.372,329,1
2.25,0.215,117,1
3.75,0.267,48,1
7.111,0.318,471,1
3.909,0.336,356,1
0.857,0.5,23,1
0.013,1,76,4
4.125,0.314,186,1
9.9,0.443,903,1
12.5,0.456,1078,1
5.833,0.533,198,1
14,0.929,14,2
0.75,0.509,71,1
0.727,0.705,88,1
14,0.929,14,2
4.333,0.444,324,1
8.545,0.257,625,1
11,0.312,736,1
5.083,0.251,546,1
6.25,0.253,320,1
17.286,0.272,547,1
0.8,0.675,80,1
0.8,0.575,71,1
1.222,0.343,99,1
10.25,0.358,551,1
1.333,0.426,108,1
7,0.284,515,1
2.889,0.299,223,1
4.125,0.39,257,1
5.375,0.494,328,1
4.778,0.455,348,1
8.091,0.17,691,1
3.1,0.3,252,1
0.059,1,17,4
12.1,0.37,1056,1
0.077,1,13,4
0.043,1,23,4
23.125,0.235,975,1
3.667,0.377,250,1
7.5,0.428,682,1
16.286,0.253,591,1
9.067,0.24,1526,1
25.857,0.316,961,1
7.417,0.429,939,1
29.857,0.261,3625,1
7.8,0.41,169,1
28.5,0.393,446,1
2.125,0.529,116,1
7.6,0.474,607,1
11.625,0.324,621,1
11.889,0.357,843,1
11.692,0.312,1410,1
3.136,0.516,1287,1
16.5,0.311,922,1
14.667,0.302,1265,1
2.083,0.32,193,1
2.429,0.412,96,1
9.375,0.375,516,1
8.75,0.298,512,1
9,0.333,428,1
29.692,0.286,3301,1
2.727,0.379,244,1
7.5,0.451,645,1
0.1,1,10,4
2.368,0.243,498,1
0.833,0.442,95,1
29.333,0.261,1455,1
1.4,0.229,21,5
19.7,0.245,1479,1
1.357,0.128,144,5
3.429,0.101,50,5
0.571,0.286,10,1
34,0.186,1172,1
0.7,0.157,42,5
27.1,0.188,1803,1
3.238,0.052,156,5
16.875,0.077,317,1
27.1,0.173,1510,1
23.4,0.188,1437,1
14.7,0.168,809,1
4.143,0.281,171,1
9.364,0.156,653,1
1.875,0.3,77,1
11.5,0.28,308,1
2.6,0.308,54,1
10.6,0.223,162,1
1.5,0.208,74,1
2.333,0.274,78,1
1.9,0.142,62,1
2,0.327,98,1
1.286,0.349,57,1
2,0.296,88,1
5.429,0.301,226,1
24.444,0.23,1501,1
3,0.34,125,1
1.571,0.364,71,1
6.571,0.354,322,1
2.8,0.414,66,1
26.2,0.179,1587,1
2.857,0.364,122,1
9.429,0.294,427,1
6,0.27,414,1
3.167,0.36,81,1
6.571,0.304,240,1
0.889,0.222,53,1
5.5,0.247,161,1
5.714,0.336,272,1
1.4,0.457,35,1
1.571,0.325,72,1
1.857,0.363,91,1
0.571,0.286,28,1
1.857,0.341,77,1
1.571,0.364,71,1
1.143,0.339,49,1
2.6,0.477,61,1
2.429,0.336,108,1
4.286,0.329,210,1
1.889,0.235,99,1
2.111,0.292,117,1
2.857,0.229,121,1
1.833,0.303,64,1
3.375,0.282,188,1
3,0.306,109,1
1.2,0.433,29,1
5,0.388,74,1
4.857,0.286,180,1
2.222,0.233,90,1
2.125,0.199,82,1
4.714,0.264,195,1
3.143,0.247,136,1
3.714,0.192,114,1
1.286,0.349,47,1
1.222,0.222,73,1
7.286,0.283,325,1
2.857,0.357,98,1
2.143,0.343,105,1
4.889,0.24,307,1
1,0.306,47,1
1,0.563,15,1
2.714,0.398,133,1
0.6,0.533,15,1
5,0.269,230,1
2.857,0.25,83,1
9.111,0.245,415,1
0.8,0.5,14,1
4.714,0.351,221,1
2.125,0.228,120,1
3.286,0.28,133,1
3.286,0.323,135,1
6.714,0.258,251,1
9.667,0.276,259,1
6.429,0.238,211,1
1.429,0.343,55,1
2.111,0.275,110,1
6.4,0.419,157,1
6.75,0.183,317,1
7.714,0.304,331,1
3.5,0.393,170,1
0.75,0.139,163,5
1.625,0.442,102,1
2.25,0.424,128,1
3.75,0.45,189,1
1.571,0.117,38,5
2.375,0.388,152,1
1.333,0.37,108,1
2,0.277,177,1
2.909,0.335,350,1
0.619,0.168,84,1
0.385,0.323,36,5
3,0.339,176,1
1,0.358,74,1
0.5,0.438,19,5
3.3,0.318,250,1
1,0.346,71,1
1.25,0.425,74,1
4.778,0.344,380,1
3.75,0.383,236,1
2.444,0.268,118,1
27.111,0.237,1758,1
1.125,0.458,71,1
3.889,0.381,254,1
2.111,0.392,142,1
2.5,0.408,170,1
1.625,0.404,103,1
4.7,0.338,328,1
1.3,0.385,107,1
2,0.516,128,1
3.25,0.37,136,1
1.625,0.394,95,1
6.7,0.321,543,1
1.5,0.458,89,1
5.333,0.417,185,1
6.909,0.254,575,1
2.7,0.344,217,1
6.875,0.225,284,1
1.5,0.458,90,1
3.875,0.415,248,1
4.545,0.255,308,1
2,0.461,119,1
6.9,0.277,469,1
2,0.352,146,1
5.25,0.369,336,1
1.8,0.533,41,1
21.75,0.223,1810,1
3.875,0.371,194,1
2.222,0.361,157,1
3.818,0.284,302,1
1.75,0.375,94,1
4.625,0.375,273,1
2.333,0.56,78,1
2.375,0.355,145,1
1,0.406,61,1
2.6,0.273,212,1
2,0.398,89,2
1.75,0.482,85,1
1,0.286,28,1
15.5,0.275,1244,1
3,0.417,183,1
7,1,7,1
0.4,0.7,7,1
3,0.507,59,1
2.4,0.467,36,1
4,0.47,73,1
2.6,0.554,52,1
3.4,0.576,81,1
3,0.297,166,1
26.1,0.259,2001,1
1,0.358,59,1
1.5,0.375,89,1
2.8,0.343,273,1
0.5,0.556,10,1
3.3,0.352,246,1
0.875,0.5,44,1
5,0.45,150,1
5.2,0.492,102,1
4.4,0.536,100,1
2.2,0.6,45,1
1.75,0.482,76,1
4.5,0.299,153,1
4.6,0.504,90,1
1.5,0.438,96,1
1.4,0.371,124,1
1.727,0.306,165,1
0.75,0.333,47,1
3.625,0.401,205,1
0.857,0.5,42,1
1.8,0.311,127,1
8.857,0.392,378,1
1.75,0.393,79,1
23.818,0.259,2271,1
2.5,0.34,204,1
1,0.34,93,1
3.857,0.402,141,1
4.375,0.357,258,1
5.125,0.378,310,1
4.5,0.296,251,1
7.5,0.335,439,1
2,0.359,100,1
4.6,0.3,278,1
6.125,0.413,298,1
0.875,0.482,53,1
7.625,0.342,427,1
2.875,0.462,184,1
1.125,0.431,72,1
1.25,0.363,73,1
3.571,0.434,175,1
0.9,0.3,70,1
3.4,0.279,272,1
6.727,0.247,566,1
4.375,0.396,276,1
1.167,0.476,41,1
1.5,0.521,92,1
2.7,0.3,174,1
1.4,0.6,35,1
4,0.375,251,1
6.5,0.38,366,1
0.429,0.571,21,1
23.818,0.238,1643,1
4.429,0.461,200,1
4.3,0.256,304,1
0.375,0.5,24,1
3.143,0.396,154,1
6,0.354,332,1
7,0.318,210,1
6.625,0.38,388,1
17.6,0.257,1026,1
1.714,0.405,83,1
5.125,0.323,211,1
1.143,0.459,654,1
30.571,0.449,1346,1
44.125,0.07,825,1
13,0.769,13,1
16.2,0.311,392,1
1.571,0.234,72,1
8.625,0.098,190,1
36.778,0.126,1570,1
7.44,0.478,4433,1
56.444,0.16,2379,1
59.333,0.131,2482,1
53.4,0.132,2771,1
2.923,0.332,462,1
12,0.222,756,1
18.778,0.353,1129,1
7.667,0.209,502,1
27.571,0.206,1099,1
7.75,0.308,470,1
207.5,0.505,480,2
31.5,0.341,64,2
56.667,0.148,2465,1
33.222,0.133,1545,1
59.444,0.136,2399,1
237.5,0.504,517,2
537,1,537,2
13.625,0.2,745,1
1.143,0.462,647,3
18.778,0.333,1104,1
26.125,0.173,1384,1
278,0.946,278,2
25,0.12,1507,1
81,0.901,81,2
18.667,0.315,1054,1
1.875,0.267,92,1
47.4,0.187,2740,1
51,0.162,2741,1
11.889,0.209,749,1
1.75,0.295,96,1
21.667,0.126,673,1
7.125,0.434,437,1
9,0.338,440,1
4.857,0.265,178,1
56.778,0.164,2339,1
74.429,0.091,1409,1
268.5,0.538,638,2
18.5,0.196,850,1
56.667,0.161,2732,1
9,0.338,415,1
27,0.408,1290,1
10.25,0.434,492,1
52,0.063,110,1
41.778,0.225,2960,1
7.333,0.241,420,1
6.778,0.213,375,1
29.778,0.198,1536,1
11.333,0.214,650,1
7.143,0.214,336,1
7.417,0.491,4141,1
7.48,0.472,4408,1
12.333,0.184,770,1
65.375,0.06,1277,1
36.778,0.195,2323,1
8.625,0.205,456,1
99,0.192,99,1
23.75,0.118,943,1
25.889,0.165,1441,1
118,0.186,118,1
50,0.2,50,1
14.091,0.257,995,1
0.979,0.675,7968,3
4,0.654,298,1
0.733,0.503,113,1
3.462,0.429,331,1
5.7,0.556,410,1
0.889,0.583,70,1
5.154,0.441,723,1
14,1,14,2
33.923,0.374,3582,1
25.8,0.337,1672,1
22.846,0.409,2318,1
2,0.54,156,1
117,0.974,117,2
47,0.532,47,2
29.071,0.353,3273,1
26,0.366,2865,1
18.6,0.347,1434,1
9.143,0.498,408,1
4.458,0.908,2523,1
12.818,0.366,1225,1
10,1,10,2
44,0.727,44,2
1.8,0.522,125,1
20.5,0.381,1451,1
21,0.416,2062,1
14.538,0.229,5737,1
0.083,1,12,4
16.636,0.465,1693,1
1.6,0.544,140,1
10.462,0.415,1375,1
2,0.605,159,1
1.9,0.611,171,1
30.929,0.355,3467,1
1.9,0.553,153,1
1.9,0.6,146,1
24.125,0.4,1280,1
14.692,0.406,1532,1
6.143,0.545,293,1
1.333,0.75,9,1
22.857,0.354,2621,1
27.778,0.36,1649,1
1.8,0.583,161,1
8.708,0.926,4976,1
14,0.36,1238,1
1.917,0.576,218,1
1.818,0.568,197,1
3.783,0.282,16139,5
5.647,0.366,1101,1
24.313,0.364,3544,1
4.429,0.433,561,1
19.313,0.382,2713,1
2,0.579,195,1
1.333,0.833,11,1
1.727,0.598,198,1
0.182,0.636,14,4
1.333,0.917,11,1
1.625,0.663,85,1
25.778,0.274,1633,1
17.7,0.26,1226,1
1.5,0.583,78,1
18.111,0.264,748,1
20.25,0.327,1024,1
1.933,0.524,422,1
21.25,0.846,11341,2
17.667,0.249,866,1
34.714,0.219,898,1
13.625,0.219,519,1
5.4,0.296,67,1
11.875,0.187,490,1
30.25,0.171,792,1
7.667,0.322,242,1
13.8,0.249,218,1
1.412,0.4,342,1
1.333,0.454,324,1
5.286,0.521,247,1
1.5,0.393,359,1
1.412,0.407,330,1
1.5,0.411,335,1
20.333,0.218,989,1
16.167,0.299,408,1
24,0.417,289,1
20,0.253,868,1
1.788,0.201,10347,5
8.8,0.248,431,1
0.571,0.429,20,1
2.833,0.245,82,1
5.429,0.41,242,1
4.429,0.415,170,1
2.429,0.16,88,1
1.143,0.304,43,1
77,0.325,77,1
8.429,0.242,283,1
5.444,0.252,326,1
10.889,0.302,628,1
24.667,0.202,1421,1
3.2,0.25,75,1
0.4,0.7,7,4
5.111,0.297,345,1
2.429,0.319,111,1
5.8,0.276,113,1
6.471,0.175,1128,1
38.818,0.566,2676,2
1.167,0.714,36,1
0.87,0.507,309,1
11.9,0.202,1002,1
1.889,0.333,137,1
25.167,0.199,2880,1
235,0.923,235,2
107,0.869,107,2
25.923,0.185,3291,1
9.5,0.184,21,1
2.167,0.231,38,1
43.25,0.166,1828,1
1.5,0.433,358,1
0.9,0.489,210,1
1.6,0.43,355,1
4,0.402,127,1
6,0.405,287,1
1.111,0.344,48,1
19.375,0.366,1195,1
1.286,0.444,52,1
2.333,0.265,199,1
0.909,0.436,102,1
196,0.98,196,2
99.5,0.485,202,2
2.526,0.431,3051,1
9,1,9,2
8.929,0.289,1285,1
6.333,0.285,467,1
131,0.977,131,2
17.545,0.243,1451,1
131,0.542,1264,2
