@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,9,11'

@attribute Height numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
5,10,1
2,27,2
9,106,1
8,712,1
12,161,1
3,128,2
98,143,4
11,627,1
10,375,1
1,27,1
2,38,1
5,35,1
8,184,1
8,350,1
19,31,4
8,330,1
8,317,1
8,344,1
8,306,1
2,113,2
8,280,1
10,80,1
8,150,1
10,602,1
12,518,1
9,690,1
1,36,2
12,984,1
9,743,1
7,31,1
10,339,1
9,300,1
11,622,1
9,679,1
11,723,1
9,32,1
10,926,1
11,970,1
9,371,1
9,330,1
1,55,2
2,75,2
8,202,1
12,172,1
9,366,1
10,157,1
1,17,2
28,614,2
212,6884,5
9,41,1
9,369,1
1,18,2
9,351,1
9,567,1
9,817,1
14,2550,1
8,290,1
7,185,1
7,342,1
10,132,1
11,88,1
9,204,1
9,710,1
12,1000,1
5,115,1
4,128,1
5,65,1
11,508,1
1,45,2
2,51,2
9,714,1
9,632,1
12,291,1
9,630,1
11,1026,1
8,16,1
8,326,1
9,155,1
8,624,1
8,31,1
9,304,1
8,43,1
21,31,2
8,489,1
9,832,1
8,439,1
9,859,1
6,493,1
13,1934,1
14,14,4
6,422,1
11,567,1
25,6872,1
10,223,1
13,1425,1
12,618,1
7,7,4
8,326,1
9,709,1
9,1033,1
3,245,1
9,1237,1
8,911,1
13,3200,1
12,1293,1
6,434,1
9,672,1
13,253,1
6,531,1
33,2054,1
13,452,1
9,101,1
12,332,1
5,455,1
7,320,1
8,775,1
5,203,1
47,4258,5
8,736,1
11,2402,1
8,472,1
38,10849,1
7,111,1
8,553,1
11,800,1
6,250,1
11,3662,1
17,378,5
10,406,1
14,1698,1
3,7,1
7,64,1
7,143,1
8,18,5
9,1724,1
9,1213,1
7,386,1
6,89,1
11,1872,1
8,8,5
8,54,1
4,36,1
10,702,1
7,15,1
8,1088,1
10,364,1
7,87,1
8,291,1
8,1156,1
1,10,1
7,62,1
4,19,1
6,147,1
14,204,1
8,42,1
6,70,1
7,247,1
6,53,1
4,48,1
9,105,1
5,61,1
1,27,2
9,81,1
7,59,1
10,414,1
6,33,1
7,90,1
9,305,1
8,165,1
7,28,1
7,196,1
7,41,1
7,179,1
8,264,1
9,138,1
9,39,1
8,383,1
5,70,1
7,223,1
10,368,1
7,20,1
6,47,1
9,311,1
5,25,1
9,244,1
7,77,1
7,47,1
7,276,1
7,119,1
9,360,1
9,219,1
6,32,1
7,95,1
7,233,1
7,134,1
7,73,1
7,107,1
7,116,1
7,43,1
7,65,1
9,253,1
5,55,1
7,110,1
7,194,1
7,81,1
6,84,1
6,110,1
6,78,1
7,83,1
6,75,1
6,36,1
8,211,1
9,121,1
7,86,1
9,89,1
7,1117,1
9,153,1
6,190,1
9,244,1
7,223,1
7,272,1
9,615,1
6,76,1
9,115,1
7,54,1
5,120,1
7,349,1
9,111,1
7,77,1
5,159,1
7,76,1
7,124,1
9,159,1
7,107,1
7,189,1
5,49,1
7,262,1
7,208,1
9,239,1
7,43,1
9,260,1
10,70,5
8,71,1
12,1818,1
16,173,5
8,112,1
53,951,5
9,185,1
5,11,2
8,79,1
9,27,5
12,48,5
8,77,1
10,249,1
8,288,1
9,469,1
11,129,1
10,341,1
8,422,1
11,1145,1
1,19,2
8,50,1
7,123,1
8,69,1
9,1868,1
8,95,1
8,146,1
8,64,1
11,396,1
8,56,1
8,75,1
11,283,1
7,215,1
8,650,1
8,136,1
5,17,1
11,1674,1
8,160,1
9,114,1
6,84,1
8,132,1
11,437,1
8,96,1
9,283,1
7,87,1
10,294,1
8,161,1
11,1734,1
10,156,1
8,66,1
8,177,1
10,274,1
8,336,1
9,246,1
7,95,1
20,316,5
10,284,1
7,117,1
7,12,1
3,7,1
4,11,1
10,79,1
7,64,1
5,44,1
8,123,1
7,245,1
6,168,1
8,85,1
8,195,1
8,101,1
7,31,1
9,287,1
8,38,1
10,205,1
8,104,1
8,91,1
8,234,1
10,2163,1
8,246,1
10,213,1
10,213,1
10,487,1
10,1776,1
10,1860,1
11,1833,1
8,152,1
8,32,1
7,86,1
7,124,1
7,129,1
8,171,1
6,48,1
8,114,1
8,117,1
10,442,1
10,256,1
9,347,1
6,35,1
10,273,1
8,54,1
8,1222,1
8,38,1
10,450,1
7,138,1
7,230,1
7,40,1
7,99,1
7,161,1
12,690,1
24,3939,1
7,437,1
8,592,1
2,790,2
8,1562,1
7,346,1
1,88,1
7,80,1
1,40,1
7,89,1
9,2918,1
9,1478,1
7,417,1
8,758,1
5,151,1
9,1441,1
8,858,1
8,674,1
25,11502,1
7,422,1
28,665,3
9,1196,1
2,77,2
9,2841,1
7,984,1
29,653,3
2,567,2
7,777,1
7,875,1
9,3853,1
8,678,1
8,628,1
9,3924,1
2,122,2
2,667,2
8,758,1
10,1317,1
1,148,2
10,1559,1
7,777,1
1,60,1
8,426,1
1,187,2
25,4390,1
2,736,2
10,2114,1
8,135,1
9,751,1
10,3189,1
7,200,1
7,1042,1
9,2193,1
9,1027,1
7,822,1
9,1043,1
9,1093,1
8,320,1
8,883,1
9,1624,1
6,66,1
7,823,1
2,627,2
9,1736,1
9,743,1
7,694,1
9,212,1
12,570,1
14,109,1
12,645,1
12,626,1
11,1558,1
10,441,1
1,36,2
8,296,1
24,8088,1
14,3168,1
10,1213,1
10,146,1
8,1072,1
9,539,1
12,743,1
10,152,1
3,7,1
1,27,2
3,8,1
9,143,1
8,411,1
12,765,1
9,57,1
13,1997,1
10,1953,1
10,146,1
11,1789,1
9,9,4
12,745,1
25,6164,1
28,4339,1
10,170,1
9,2122,1
12,812,1
14,3594,1
10,127,1
11,1611,1
9,1725,1
27,4860,1
15,1381,1
11,1616,1
12,97,1
16,4219,1
39,8370,1
12,201,1
25,4713,1
15,2425,1
12,518,1
16,3670,1
24,7740,1
9,513,1
11,700,1
10,1807,1
8,85,1
10,1730,1
10,1916,1
9,603,1
8,1144,1
59,3517,1
6,770,1
8,310,1
8,686,1
6,127,1
4,71,1
7,266,1
17,283,1
10,973,1
8,1003,1
5,63,1
7,1036,1
9,573,1
4,108,1
5,487,1
74,8289,1
14,1584,1
14,2777,1
7,339,1
5,444,1
6,447,1
5,353,1
7,84,1
6,537,1
16,364,1
12,644,1
6,485,1
91,4287,5
65,1582,3
8,8,4
8,355,1
5,8,1
2,48,1
1,22,1
6,149,1
7,10,4
67,5649,1
6,100,1
16,1005,1
7,153,1
7,407,1
6,370,1
5,115,1
7,62,1
7,191,1
6,149,1
6,48,1
7,181,1
1,12,2
10,940,1
1,277,2
7,254,1
2,101,2
9,9,4
9,820,1
1,71,2
8,1607,1
6,596,1
7,692,1
7,520,1
5,288,1
4,26,1
1,10,2
8,139,1
6,12,1
10,804,1
2,42,2
11,873,1
11,943,1
14,733,1
10,397,1
36,147,1
11,111,1
1,70,2
10,466,1
