@relation page-blocks

@attribute Lenght numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
25,165,1
29,160,1
109,753,1
363,1738,1
9,48,1
82,639,1
32,134,1
44,237,1
69,355,1
170,4068,1
271,2241,1
27,208,1
181,743,1
12,72,1
59,440,1
55,345,1
280,1589,1
18,90,1
56,356,1
14,124,1
83,630,1
353,825,1
50,320,1
57,774,1
17,109,1
115,2087,1
309,1593,1
53,430,1
104,854,1
147,984,1
35,197,1
408,3591,1
130,1606,1
36,266,1
207,1647,1
13,96,1
272,1781,1
43,366,1
62,470,1
141,777,1
12,123,1
157,961,1
16,112,1
176,1265,1
35,245,1
13,95,1
124,806,1
43,336,1
63,446,1
39,213,1
86,586,1
16,127,1
12,96,1
272,2139,1
26,192,1
33,228,1
36,294,1
188,1736,1
13,76,1
32,146,1
168,1000,1
20,251,1
6,23,1
326,1882,1
145,1083,1
16,59,1
333,2011,1
156,1219,1
240,1220,1
261,1810,1
45,261,1
34,405,1
52,293,1
64,443,1
12,65,1
7,39,1
140,953,1
13,60,1
184,1152,1
128,858,1
10,68,1
31,188,1
123,1091,1
125,2877,1
21,178,1
118,869,1
32,174,1
23,172,1
185,1303,1
33,257,1
24,129,1
67,604,1
20,160,1
36,215,1
69,190,1
43,380,1
132,639,1
41,317,1
408,4204,1
96,660,1
5,38,1
51,462,1
15,142,1
41,286,1
17,44,1
8,42,1
23,182,1
36,295,1
30,186,1
21,154,1
17,94,1
348,3293,1
37,256,1
16,110,1
140,653,1
93,400,1
17,89,1
382,3680,1
144,793,1
23,184,1
272,2039,1
16,160,1
98,737,1
63,481,1
128,961,1
497,4478,1
87,784,1
109,759,1
51,280,1
22,132,1
12,35,1
16,106,1
13,83,1
143,527,1
31,252,1
337,8088,1
9,71,1
80,348,1
100,817,1
409,3095,1
58,349,1
116,992,1
67,435,1
62,317,1
453,1478,1
16,96,1
101,625,1
111,770,1
14,108,1
171,1226,1
33,168,1
84,644,1
21,147,1
36,304,1
116,925,1
121,918,1
12,69,1
82,682,1
7,60,1
24,132,1
26,128,1
84,478,1
100,691,1
122,659,1
96,331,1
272,1824,1
141,1051,1
100,970,1
14,76,1
47,316,1
96,851,1
39,228,1
19,125,1
47,808,1
14,74,1
14,98,1
103,498,1
29,138,1
41,232,1
54,411,1
92,531,1
47,337,1
93,614,1
22,151,1
206,1307,1
101,674,1
46,225,1
21,196,1
59,272,1
8,89,1
101,878,1
46,345,1
17,112,1
11,56,1
272,2038,1
21,144,1
271,1999,1
18,18,1
27,168,1
59,326,1
19,109,1
74,430,1
83,679,1
18,126,1
121,547,1
331,2056,1
41,327,1
169,1104,1
90,773,1
23,135,1
11,63,1
8,64,1
75,373,1
18,66,1
29,165,1
31,171,1
435,3478,1
22,177,1
19,133,1
375,1124,1
97,403,1
7,16,1
3,15,1
28,273,1
35,281,1
67,508,1
34,218,1
178,3885,1
83,714,1
464,2297,1
420,3356,1
101,688,1
11,97,1
301,2435,1
52,383,1
18,142,1
26,223,1
39,169,1
11,71,1
28,111,1
12,89,1
15,48,1
37,200,1
192,1146,1
15,105,1
407,3273,1
18,56,1
15,124,1
8,88,1
40,233,1
23,105,1
16,138,1
38,462,1
35,245,1
116,1026,1
56,469,1
14,76,1
376,3490,1
9,54,1
29,231,1
228,1558,1
71,735,1
61,472,1
53,252,1
101,902,1
19,122,1
240,1307,1
19,143,1
27,134,1
271,2001,1
27,75,1
12,48,1
20,130,1
24,342,1
26,208,1
13,77,1
12,89,1
6,32,1
14,92,1
77,77,1
51,260,1
67,450,1
44,405,1
50,322,1
82,690,1
63,501,1
10,74,1
17,93,1
51,250,1
58,277,1
126,578,1
7,49,1
508,2379,1
26,117,1
382,3670,1
69,495,1
139,769,1
4,32,1
54,336,1
11,45,1
39,354,1
223,823,1
269,2353,1
491,11502,1
242,1183,1
34,283,1
75,516,1
38,463,1
41,392,1
67,610,1
8,87,1
508,1742,1
16,103,1
22,179,1
433,3404,1
9,36,1
178,3988,1
19,117,1
18,156,1
14,66,1
97,408,1
33,230,1
86,663,1
100,594,1
26,169,1
331,2323,1
23,135,1
272,1172,1
10,54,1
99,839,1
36,252,1
29,129,1
172,1237,1
121,1056,1
20,104,1
266,4522,1
42,210,1
122,535,1
9,27,1
20,48,1
11,72,1
17,63,1
19,110,1
12,89,1
28,223,1
26,200,1
14,85,1
177,3939,1
378,2846,1
121,804,1
116,881,1
57,318,1
41,211,1
180,1230,1
33,186,1
14,112,1
17,81,1
121,1027,1
28,224,1
343,1854,1
44,421,1
19,146,1
87,601,1
31,185,1
92,278,1
26,171,1
33,250,1
162,1183,1
122,1040,1
281,2164,1
6,40,1
535,1530,1
112,842,1
28,223,1
25,226,1
37,294,1
30,236,1
13,75,1
