@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R3-4,10-11'

@attribute Area numeric
@attribute Eccen numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
108,3,7,1
24,1.5,2,1
325,1.923,19,1
112,2.286,14,1
721,14.714,121,1
99,0.818,10,1
339,37.667,10,2
980,9.8,167,1
44,11,1,2
810,10,97,1
13,13,1,2
220,1.818,11,1
117,1.444,6,1
749,15.286,126,1
855,10.556,116,1
315,3.889,29,1
75,75,11,2
40,1.6,3,1
13,13,2,2
188,0.021,1,4
810,8.1,107,1
738,9.111,115,1
924,7.636,131,1
1265,10.455,188,1
8,0.5,1,4
368,5.75,65,1
328,5.125,55,1
472,118,26,2
112,1.75,7,1
720,8.889,119,1
1080,13.333,181,1
385,3.182,27,1
189,2.333,30,1
530,5.3,99,1
400,4,71,1
656,10.25,95,1
143,1.182,27,1
88,0.727,9,1
473,3.909,64,1
675,8.333,121,1
1089,13.444,176,1
400,4,56,1
4760,24.286,503,1
96,0.667,10,1
34,0.118,1,4
1298,10.727,167,1
369,4.556,57,1
29,29,8,2
217,4.429,39,1
102,2.833,14,1
490,4.9,93,1
306,3.778,66,1
738,9.111,114,1
96,0.667,10,1
860,8.6,151,1
480,4.8,67,1
40,40,3,2
78,2.167,6,1
80,0.8,8,1
192,3,40,1
136,2.125,18,1
738,9.111,118,1
630,6.3,86,1
306,3.778,63,1
11,11,2,2
17,17,3,2
847,17.286,144,1
380,3.8,58,1
324,4,56,1
117,1.444,3,2
468,5.778,101,1
460,4.6,83,1
81,1,13,1
42,42,5,2
352,88,6,2
104,26,6,1
220,8.8,21,1
28,7,1,2
861,17.571,137,1
96,0.667,7,1
88,0.727,8,1
108,1.333,28,1
1111,9.182,173,1
378,4.667,56,1
8645,23.947,21,1
184,2.875,22,1
120,1.875,8,1
112,1.75,11,1
12,0.333,1,1
70,0.7,1,1
108,1.333,27,1
1111,9.182,164,1
73,73,12,2
168,2.625,36,1
368,5.75,62,1
837,10.333,125,1
1378,8.154,178,1
85,3.4,17,1
576,9,102,1
1080,10.8,174,1
5317,31.462,637,1
600,16.667,123,1
1008,7,142,1
385,3.182,60,1
378,4.667,54,1
1911,11.308,190,1
