@relation page-blocks

@attribute Lenght numeric
@attribute Eccen numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
94,18.8,397,1
55,5.5,416,1
137,4.893,2163,1
29,4.143,136,1
36,4,307,1
40,40,40,1
45,5,326,1
83,9.222,679,1
140,20,868,1
7,1.4,23,1
17,2.125,89,1
95,10.556,726,1
65,7.222,527,1
17,3.4,63,1
12,1.5,88,1
14,1.75,86,1
9,1.125,72,1
402,28.714,3554,1
126,14,1081,1
11,1.571,65,1
13,1.3,89,1
534,53.4,2771,1
33,4.125,257,1
14,2.333,84,1
22,2,168,1
11,2.2,51,1
225,25,1501,1
49,5.444,349,1
7,1.4,34,1
186,20.667,1363,1
17,2.429,108,1
75,9.375,397,1
41,4.1,392,1
44,3.667,392,1
497,41.417,4374,1
215,26.875,1389,1
13,1.857,59,1
99,9.9,903,1
18,2,115,1
49,4.9,471,1
18,3,95,1
409,31.462,3049,1
6,0.857,27,1
227,14.188,2654,1
13,2.167,70,1
6,0.75,43,1
7,1.4,35,1
261,23.727,1833,1
13,2.6,52,1
16,2,106,1
271,24.636,2171,1
17,2.429,96,1
155,17.222,1008,1
33,3.3,324,1
39,4.333,324,1
138,10.615,1251,1
222,14.8,2425,1
31,4.429,148,1
117,16.714,694,1
7,3.5,13,1
11,1.1,93,1
71,5.917,770,1
107,13.375,659,1
13,1.857,90,1
23,2.556,207,1
100,9.091,970,1
129,16.125,849,1
99,11,829,1
40,5.714,272,1
114,14.25,372,1
81,9,669,1
38,5.429,183,1
94,18.8,444,1
33,5.5,161,1
99,11,807,1
43,3.909,366,1
436,39.636,3623,1
121,17.286,547,1
172,28.667,936,1
67,8.375,388,1
43,8.6,215,1
21,3,134,1
82,16.4,329,1
34,3.778,250,1
15,1.875,109,1
12,12,12,1
7,1.167,35,1
20,1.818,200,1
8,1,49,1
104,34.667,213,1
9,1.125,46,1
11,1.833,54,1
119,11.9,1002,1
221,36.833,711,1
301,21.5,2378,1
24,3,132,1
98,10.889,859,1
4,0.571,26,1
37,2.846,477,1
31,3.875,196,1
24,1.5,359,1
300,21.429,2550,1
271,22.583,1782,1
35,3.182,253,1
99,11,714,1
262,37.429,1254,1
46,9.2,192,1
44,5.5,334,1
41,5.125,173,1
48,6,310,1
86,9.556,546,1
22,1.833,208,1
98,8.909,839,1
14,2,93,1
82,9.111,674,1
49,7,247,1
19,2.714,88,1
47,47,47,1
12,1.5,77,1
301,33.444,1881,1
85,7.727,836,1
97,10.778,820,1
39,3.9,354,1
38,7.6,132,1
296,4.418,5649,1
367,22.938,3377,1
7,0.778,38,1
4,0.444,36,1
364,26,2865,1
16,2,118,1
41,41,41,1
40,5.714,211,1
99,9.9,908,1
48,5.333,284,1
424,26.5,3820,1
101,10.1,878,1
21,2.333,178,1
169,6.76,4101,1
64,7.111,567,1
12,1.5,85,1
195,21.667,673,1
31,3.875,184,1
262,26.2,1575,1
236,23.6,1349,1
418,29.857,3625,1
13,1.625,85,1
250,27.778,1649,1
100,14.286,691,1
10,1,93,1
38,5.429,254,1
26,3.25,171,1
49,4.9,460,1
108,13.5,534,1
201,10.579,2164,1
408,31.385,3591,1
14,2,88,1
36,4,298,1
9,0.818,68,1
102,11.333,738,1
34,6.8,101,1
348,26.769,3363,1
36,4.5,225,1
28,3.5,111,1
100,14.286,443,1
20,2,121,1
41,4.1,221,1
82,9.111,690,1
42,42,42,1
7,1.167,41,1
14,1.4,124,1
7,0.875,56,1
32,4,251,1
8,1,52,1
40,5.714,263,1
107,11.889,843,1
77,5.923,701,1
4,0.667,19,1
26,2.167,259,1
41,4.556,355,1
45,5.625,261,1
303,27.545,892,1
46,5.75,352,1
39,3.9,281,1
5,0.714,35,1
95,19,374,1
47,5.875,264,1
145,18.125,897,1
76,9.5,310,1
26,3.25,194,1
19,1.9,171,1
155,15.5,1065,1
441,33.923,3582,1
23,3.286,151,1
534,59.333,2482,1
12,1.5,89,1
74,9.25,500,1
34,4.857,238,1
11,1.571,75,1
231,28.875,1003,1
38,4.222,192,1
16,2.286,86,1
19,1.727,165,1
205,20.5,1451,1
96,16,405,1
511,46.455,3023,1
137,34.25,341,1
183,18.3,1248,1
19,2.714,123,1
6,1,28,1
16,2,124,1
4,1.333,11,1
150,18.75,713,1
16,2,95,1
271,24.636,1752,1
9,1.8,43,1
212,13.25,2349,1
160,4.848,2054,1
30,3.75,200,1
19,1.727,200,1
256,25.6,1959,1
89,8.9,441,1
37,3.083,332,1
9,1.125,71,1
267,20.538,2299,1
15,3,71,1
11,1.571,64,1
13,1.625,98,1
10,1.429,58,1
81,9,629,1
50,8.333,173,1
17,1.889,136,1
19,3.167,90,1
18,1.8,118,1
38,2.923,463,1
156,22.286,1082,1
14,2,94,1
198,7.92,4611,1
3,1,7,1
84,9.333,708,1
11,1.1,60,1
152,21.714,777,1
7,1.167,42,1
33,4.125,259,1
13,2.167,63,1
26,3.714,154,1
27,5.4,120,1
5,0.556,42,1
82,9.111,603,1
29,4.833,168,1
14,2,98,1
14,7,15,1
389,22.882,4481,1
69,8.625,377,1
22,3.143,110,1
41,5.125,217,1
75,8.333,616,1
31,31,31,1
8,0.667,63,1
128,14.222,858,1
103,11.444,813,1
189,31.5,941,1
85,7.083,626,1
32,2.909,315,1
29,4.833,163,1
57,6.333,467,1
46,5.111,351,1
377,29,3655,1
14,2,94,1
64,8,439,1
19,3.8,85,1
20,2.5,160,1
13,2.6,61,1
20,4,99,1
76,8.444,556,1
30,4.286,166,1
18,3.6,86,1
64,7.111,530,1
18,2,129,1
45,6.429,310,1
130,14.444,1026,1
76,7.6,524,1
22,3.143,62,1
41,5.857,254,1
320,22.857,2621,1
19,2.714,133,1
44,7.333,214,1
38,4.75,293,1
6,0.75,44,1
243,22.091,914,1
39,5.571,233,1
126,12.6,1049,1
263,32.875,1156,1
100,11.111,762,1
7,0.7,61,1
7,1.167,39,1
16,2.286,79,1
20,2.857,92,1
57,0.95,2843,1
155,15.5,995,1
19,3.167,106,1
44,4,396,1
39,4.333,329,1
16,2,87,1
13,2.6,54,1
7,1,48,1
61,7.625,392,1
3,0.375,24,1
33,4.714,207,1
271,27.1,1878,1
49,6.125,291,1
262,23.818,2271,1
27,3.857,189,1
98,9.8,926,1
11,0.917,97,1
22,2.75,176,1
147,21,984,1
33,4.125,229,1
23,3.286,126,1
133,10.231,1247,1
40,3.636,272,1
151,15.1,1186,1
58,4.833,559,1
23,3.833,123,1
101,11.222,701,1
14,2,88,1
17,2.833,88,1
33,4.125,234,1
23,2.875,184,1
27,3,208,1
6,1.2,30,1
316,31.6,2126,1
73,6.083,651,1
42,42,42,1
272,22.667,1965,1
354,27.231,2750,1
33,4.125,219,1
30,3,235,1
39,7.8,176,1
11,1.833,53,1
28,3.5,174,1
17,2.125,116,1
130,13,1069,1
148,18.5,850,1
33,3.3,246,1
25,3.571,175,1
45,6.429,211,1
59,8.429,272,1
12,1.091,129,1
31,3.875,194,1
21,2.333,143,1
376,23.5,3490,1
277,21.308,2292,1
9,0.9,84,1
90,9,781,1
223,31.857,823,1
4,1.333,9,1
28,3.5,178,1
22,1.833,221,1
37,4.111,231,1
20,2.5,151,1
54,7.714,234,1
82,9.111,639,1
10,1.429,49,1
42,4.667,369,1
3,0.6,15,1
38,5.429,226,1
73,8.111,556,1
151,16.778,746,1
17,3.4,82,1
13,1.857,85,1
24,3,132,1
251,25.1,1423,1
67,6.091,508,1
123,17.571,580,1
65,6.5,592,1
75,15,325,1
12,3,38,1
359,25.643,3093,1
4,0.4,36,1
23,2.3,191,1
33,33,33,1
12,1.5,93,1
13,1.857,69,1
268,17.867,2940,1
261,29,1686,1
15,1.5,117,1
16,1.6,127,1
40,5.714,262,1
8,1,62,1
56,5.091,431,1
4,0.571,28,1
27,2.7,174,1
202,25.25,1114,1
11,1.571,73,1
27,2.7,201,1
99,12.375,524,1
2,0.4,7,1
81,13.5,414,1
21,2.333,153,1
14,1.75,85,1
20,2.222,132,1
96,5.647,1101,1
3,1,8,1
179,17.9,1356,1
14,2.333,82,1
40,40,40,1
8,0.8,80,1
272,27.2,2147,1
8,1.6,39,1
256,36.571,1081,1
16,2,123,1
35,5,208,1
89,8.091,691,1
4,0.8,17,1
9,0.9,80,1
10,1.25,66,1
10,1.25,79,1
207,17.25,1736,1
26,2.6,150,1
25,2.5,207,1
6,0.75,39,1
10,1.667,39,1
7,1.167,37,1
43,5.375,296,1
536,59.556,2904,1
101,10.1,864,1
471,19.625,10409,1
14,1.75,76,1
89,14.833,438,1
20,2.5,160,1
37,4.111,283,1
104,11.556,846,1
29,4.143,170,1
84,7,570,1
19,2.714,133,1
7,1.4,32,1
26,3.25,177,1
348,26.769,3262,1
8,1.143,50,1
19,2.111,147,1
36,4.5,255,1
31,4.429,171,1
33,2.75,314,1
85,9.444,569,1
19,2.714,129,1
301,27.364,2435,1
6,0.75,48,1
67,6.7,499,1
14,2.333,78,1
331,36.778,1570,1
4,0.5,25,1
14,2.8,70,1
13,2.167,38,1
24,2.182,210,1
154,14,1238,1
157,17.444,763,1
19,9.5,38,1
205,12.813,2622,1
10,0.833,94,1
4,0.667,17,1
47,5.222,316,1
96,16,485,1
15,1.875,97,1
89,7.417,939,1
343,38.111,2091,1
37,3.364,366,1
52,5.778,293,1
91,8.273,598,1
23,2.875,102,1
20,2,159,1
16,2.286,59,1
16,3.2,65,1
20,2.857,106,1
168,18.667,1054,1
220,24.444,1501,1
20,2,171,1
83,6.385,678,1
38,3.8,337,1
24,1.333,324,1
25,6.25,71,1
39,7.8,145,1
347,38.556,1351,1
55,5.5,455,1
218,16.769,2090,1
49,7,252,1
13,1.857,75,1
41,4.556,360,1
116,9.667,1053,1
12,2.4,45,1
98,9.8,844,1
45,5,387,1
417,26.063,4349,1
14,1.75,85,1
38,5.429,167,1
22,2.75,176,1
31,4.429,146,1
31,3.875,208,1
108,12,672,1
5,1,25,1
32,4.571,186,1
189,17.182,1275,1
16,1.778,72,1
102,11.333,820,1
7,0.778,38,1
47,5.222,330,1
15,1.875,111,1
50,6.25,382,1
11,1.375,76,1
36,4,292,1
7,1.4,26,1
420,30,3356,1
81,10.125,383,1
8,1,64,1
41,4.556,244,1
126,14,1029,1
4,0.571,28,1
245,14.412,4152,1
87,8.7,784,1
101,11.222,625,1
192,24,889,1
14,2,98,1
82,8.2,566,1
152,19,757,1
15,3,59,1
440,33.846,3983,1
18,2,124,1
172,24.571,1164,1
27,2.455,177,1
3,1,7,1
117,13,997,1
128,18.286,645,1
101,9.182,947,1
80,11.429,475,1
7,0.875,54,1
154,15.4,1022,1
183,22.875,972,1
40,5,319,1
123,13.667,1103,1
101,12.625,674,1
96,19.2,354,1
32,5.333,184,1
34,3.778,274,1
22,3.143,154,1
22,2,209,1
71,3.227,1317,1
424,26.5,4879,1
32,1.6,355,1
47,23.5,48,1
182,20.222,1292,1
94,11.75,693,1
189,27,932,1
137,15.222,854,1
31,3.1,259,1
72,10.286,426,1
171,24.429,724,1
7,1.167,42,1
50,8.333,233,1
249,27.667,1655,1
4,0.667,24,1
108,13.5,775,1
19,2.714,88,1
92,8.364,861,1
292,26.545,2445,1
13,1.625,85,1
17,2.125,113,1
30,3,279,1
20,2.857,140,1
20,1.667,201,1
20,2.857,140,1
337,30.636,2361,1
21,2.625,132,1
39,4.875,300,1
103,8.583,895,1
251,25.1,1776,1
30,4.286,186,1
511,51.1,3194,1
10,1.667,33,1
192,13.714,1584,1
494,19.76,11482,1
174,17.4,1276,1
116,8.923,1060,1
23,2.556,204,1
13,1.625,95,1
94,9.4,678,1
52,4.727,491,1
19,2.375,107,1
96,16,533,1
216,27,883,1
534,59.333,2005,1
33,4.714,195,1
39,4.875,222,1
58,5.8,487,1
82,9.111,699,1
33,5.5,168,1
111,12.333,770,1
9,1.125,53,1
151,21.571,459,1
13,1.3,104,1
32,5.333,185,1
96,16,541,1
84,1.424,3517,1
17,2.125,117,1
261,32.625,1615,1
29,4.833,166,1
99,12.375,702,1
214,30.571,1296,1
5,1,25,1
21,1.909,157,1
96,13.714,462,1
36,5.143,169,1
25,2.5,204,1
11,1.571,75,1
400,30.769,3168,1
44,6.286,140,1
74,74,74,1
82,13.667,149,1
12,2,56,1
492,54.667,2397,1
262,26.2,1984,1
70,10,476,1
340,13.6,7872,1
20,2.5,98,1
32,3.2,261,1
11,1.571,42,1
13,2.167,72,1
203,14.5,1904,1
84,8.4,713,1
3,0.6,15,1
14,1.75,95,1
39,7.8,142,1
39,5.571,131,1
18,4.5,38,1
59,5.9,467,1
83,10.375,465,1
8,1,61,1
45,5.625,284,1
28,3.5,217,1
95,95,95,1
91,10.111,599,1
7,0.875,56,1
21,2.625,168,1
64,6.4,256,1
11,0.647,81,1
14,1.75,112,1
83,9.222,594,1
18,2,123,1
19,1.9,160,1
42,6,168,1
263,263,263,1
46,5.111,347,1
107,4.458,2523,1
95,15.833,380,1
130,10,1178,1
45,5.625,344,1
21,2.625,153,1
12,1.5,96,1
38,4.75,230,1
36,4.5,270,1
99,11,839,1
179,16.273,1444,1
39,1.95,456,1
6,1.2,26,1
16,2.667,52,1
325,32.5,2248,1
245,30.625,1088,1
180,20,1196,1
36,36,36,1
37,6.167,180,1
175,19.444,983,1
55,6.111,495,1
16,2.286,79,1
303,27.545,666,1
8,0.727,53,1
13,1.857,76,1
144,16,793,1
11,1.571,77,1
104,104,104,1
98,5.765,1666,1
9,1,72,1
518,57.556,2001,1
261,26.1,1771,1
58,8.286,342,1
213,23.667,1503,1
54,6.75,383,1
7,1,28,1
76,7.6,607,1
280,11.667,6042,1
41,4.556,286,1
535,59.444,2399,1
17,2.833,84,1
144,14.4,900,1
29,4.833,139,1
213,30.429,1093,1
7,1.167,40,1
128,12.8,961,1
102,11.333,796,1
17,2.429,111,1
52,7.429,349,1
19,2.375,145,1
32,6.4,138,1
63,9,440,1
42,4.667,228,1
28,4.667,63,1
59,9.833,312,1
3,1,7,1
155,22.143,666,1
25,2.5,202,1
216,27,1290,1
263,26.3,1550,1
38,4.75,135,1
