@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1-2,7,10-11'

@attribute Height numeric
@attribute Lenght numeric
@attribute Mean_tr numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
5,7,4.33,3,1
5,8,15,1,1
5,5,5,2,1
11,8,5.89,9,1
2,101,10.9,10,2
2,18,29,1,2
9,92,2.05,118,1
9,41,1.9,58,1
10,63,1.69,87,1
1,10,10,1,2
1,8,8,1,2
11,8,7.75,8,1
11,8,39,1,1
11,42,2.25,69,1
8,48,1.92,62,1
10,130,2.79,198,1
9,49,3.05,86,1
9,20,2.35,26,1
1,19,3.75,4,2
14,339,2.44,481,1
93,4,2.89,54,4
9,174,1.71,163,1
7,27,3.8,5,1
9,97,2.42,168,1
9,21,2.68,25,1
1,51,2.4,10,2
7,27,2.81,16,1
1,49,7,2,1
9,36,2,68,1
9,21,2.74,27,1
10,80,2.06,122,1
1,33,33,1,2
9,44,3.14,59,1
1,8,7,1,2
9,39,2.06,50,1
1,11,11,1,2
4,115,17.82,11,2
7,16,2.14,22,1
10,51,2.29,68,1
9,24,2.9,40,1
10,98,2.1,175,1
9,47,2.42,86,1
10,78,2.52,118,1
12,146,26.67,6,5
9,121,2.4,181,1
9,41,2.88,57,1
11,61,5.04,48,1
9,36,3.21,56,1
9,21,3.29,28,1
12,98,2.33,135,1
10,53,2,91,1
9,82,2.39,126,1
9,82,2.3,120,1
23,47,2.2,155,1
10,65,2.76,112,1
10,43,3.58,55,1
7,16,2.45,11,1
11,21,7.2,15,1
11,8,10.17,6,1
9,36,2.83,58,1
8,14,2.67,6,1
9,34,1.61,59,1
11,85,1.73,145,1
10,12,1.57,28,1
1,13,3,3,2
8,8,1.6,10,1
9,121,2.08,169,1
8,48,2,63,1
13,33,3.89,27,1
11,9,4.44,9,1
9,91,1.98,125,1
11,101,1.65,178,1
8,44,2.95,58,1
1,39,8.75,4,2
4,17,3.5,6,1
3,56,1.38,8,1
3,183,29.78,9,2
25,300,40.33,12,2
10,49,3.01,86,1
9,79,2.19,105,1
9,81,2.22,117,1
12,2,15,1,4
8,12,1.5,28,1
10,98,1.72,171,1
2,204,10.5,16,2
9,65,2.66,102,1
9,86,2.19,119,1
6,142,6.53,15,2
1,14,12,1,2
9,36,3.31,48,1
9,63,1.98,83,1
8,17,2.22,18,1
8,83,2.17,90,1
9,32,2.17,40,1
10,100,2.81,146,1
9,86,2.13,109,1
12,230,3.48,130,1
6,29,1.51,39,1
9,37,2.7,56,1
13,440,2.18,669,1
12,118,2.42,181,1
37,72,7.64,42,5
38,410,2.4,1651,1
13,115,2.62,179,1
10,107,1.81,161,1
8,62,1.79,99,1
8,190,2.22,223,1
10,77,2.64,137,1
14,234,4.2,299,1
12,410,2.69,608,1
3,304,42.17,12,2
8,70,2.21,98,1
6,50,2,49,1
10,35,2.23,66,1
12,50,2.72,76,1
12,497,2.25,789,1
9,108,2.35,155,1
6,184,1.99,179,1
6,189,1.62,227,1
8,70,1.66,112,1
12,67,2.84,99,1
5,333,36.65,17,2
9,40,2.92,61,1
12,232,2.34,375,1
10,119,2.46,190,1
10,121,2.61,192,1
27,115,2.35,388,1
10,83,2.92,121,1
10,181,3.25,273,1
10,413,2.47,527,1
10,51,3.12,67,1
12,69,3.48,95,1
6,39,2.1,52,1
24,64,3.38,103,1
9,17,3.14,7,5
10,272,1.98,319,1
15,14,1.92,12,5
10,271,1.96,369,1
6,12,1.43,7,5
8,272,1.41,288,1
10,271,1.35,375,1
10,271,1.39,342,1
8,78,1.35,113,1
7,14,1.75,20,1
10,271,1.29,351,1
7,128,1.33,137,1
5,15,1.67,18,1
5,30,1.26,43,1
4,11,1.33,12,1
5,75,1.18,82,1
9,16,2.14,14,1
6,13,1.44,16,1
5,32,1.47,47,1
6,17,1.18,22,1
5,13,1.33,12,1
1,22,1.83,6,2
3,9,1.33,6,1
9,107,1.42,138,1
9,19,1.35,34,1
5,16,1.36,25,1
9,55,1.43,87,1
6,22,1.3,33,1
7,14,1.65,23,1
7,13,1.69,16,1
