@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,8,11'

@attribute Height numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
5,22,1
5,13,1
5,22,1
5,10,1
2,31,2
11,240,1
3,134,2
1,11,2
8,15,1
9,128,1
9,115,1
2,54,2
9,111,1
1,9,2
9,401,1
2,9,1
11,45,1
10,255,1
10,69,1
8,216,1
11,265,1
12,69,1
12,130,1
9,268,1
9,413,1
11,338,1
10,516,1
9,121,1
9,59,1
11,1019,1
1,41,2
9,44,1
9,286,1
12,58,1
12,151,1
8,24,1
9,61,1
11,350,1
10,87,1
12,358,1
11,185,1
9,213,1
9,284,1
22,330,1
9,157,1
1,23,2
10,575,1
7,49,1
8,61,1
12,76,1
11,314,1
10,131,1
11,365,1
9,163,1
9,433,1
3,348,2
9,316,1
12,357,1
23,166,1
9,218,1
12,61,1
10,133,1
1,29,2
7,9,1
8,134,1
8,20,5
9,13,5
11,376,1
9,528,1
8,122,1
11,101,1
9,151,1
11,269,1
11,68,1
8,177,1
10,359,1
12,377,1
9,144,1
1,40,2
1,13,2
11,38,1
1,29,2
9,187,1
10,201,1
7,11,1
9,119,1
12,160,1
8,129,1
8,13,1
10,48,1
1,58,2
9,54,1
8,242,1
8,237,1
9,140,1
9,219,1
11,133,1
9,216,1
9,549,1
26,26,4
13,255,1
7,9,5
2,8,2
10,345,1
6,303,1
15,15,4
14,245,1
13,1492,1
8,62,1
8,208,1
8,146,1
13,441,1
10,455,1
7,48,1
6,119,1
5,78,1
13,1475,1
13,1054,1
3,12,2
31,350,5
10,108,1
9,436,1
7,52,1
9,263,1
8,180,1
6,87,1
9,67,1
12,381,1
9,21,1
5,64,1
4,121,1
8,251,1
8,183,1
10,493,1
7,206,1
6,98,1
10,97,1
11,367,1
8,69,1
8,380,1
13,1919,1
85,969,5
10,758,1
9,692,1
5,7,5
8,370,1
10,432,1
10,520,1
8,221,1
5,16,1
9,401,1
11,314,1
8,55,1
8,118,1
5,38,1
6,7,1
7,20,1
9,61,1
6,64,1
9,32,1
1,107,2
7,63,1
7,60,1
4,7,1
6,75,1
7,78,1
7,53,1
1,32,2
7,54,1
6,13,1
7,58,1
8,52,1
7,19,1
8,76,1
9,117,1
7,52,1
7,46,1
9,302,1
7,76,1
9,443,1
7,24,1
7,103,1
10,74,1
9,120,1
7,48,1
7,74,1
6,53,1
7,98,1
9,39,1
9,117,1
7,89,1
8,119,1
7,69,1
7,36,1
9,130,1
5,26,1
8,138,1
7,39,1
5,43,1
5,56,1
7,12,1
7,90,1
7,15,1
7,20,1
7,65,1
7,99,1
5,73,1
7,33,1
5,32,1
7,54,1
7,36,1
5,37,1
7,30,1
8,32,1
7,47,1
5,14,1
6,24,1
5,49,1
7,31,1
6,15,1
7,35,1
7,62,1
6,67,1
6,47,1
10,57,1
7,44,1
6,71,1
7,53,1
7,15,1
7,28,1
9,120,1
9,30,1
7,28,1
7,19,1
7,27,1
7,20,1
8,47,1
6,16,1
6,44,1
5,9,1
5,13,1
8,28,1
9,113,1
8,27,1
10,89,1
8,49,1
8,81,1
8,15,1
10,219,1
8,28,1
10,111,1
8,418,1
1,11,2
10,14,1
6,43,1
10,55,1
9,66,1
11,98,1
54,370,5
52,345,5
10,159,1
27,41,4
9,127,1
11,132,1
4,21,2
8,111,1
8,73,1
8,62,1
11,835,1
9,9,1
10,157,1
8,58,1
8,78,1
5,62,1
8,38,1
5,23,1
11,829,1
9,69,1
9,63,1
8,82,1
8,123,1
8,58,1
10,121,1
11,112,1
11,217,1
8,88,1
11,286,1
8,121,1
10,110,1
8,81,1
10,162,1
9,135,1
8,132,1
10,67,1
8,112,1
8,42,1
7,89,1
8,162,1
8,124,1
11,75,1
9,31,1
11,82,1
10,90,1
8,30,1
8,80,1
6,356,1
6,94,1
9,124,1
2,13,2
37,97,5
6,43,1
36,181,5
8,46,1
7,96,1
7,69,1
11,607,1
7,109,1
7,60,1
6,42,1
5,48,1
10,146,1
10,32,1
10,45,1
7,65,1
9,52,1
8,27,1
8,73,1
5,13,1
8,98,1
8,264,1
8,55,1
8,37,1
8,61,1
8,28,1
10,146,1
10,732,1
8,64,1
10,716,1
8,103,1
10,99,1
8,66,1
8,70,1
8,156,1
9,82,1
8,110,1
8,84,1
8,94,1
10,630,1
8,38,1
8,44,1
9,24,1
7,57,1
8,20,1
10,31,1
8,13,1
