@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,7,11'

@attribute Height numeric
@attribute Mean_tr numeric
@attribute Class {1,2,3,4,5}

@data
5,2.33,1
6,3.6,1
5,10,1
6,4.25,1
4,10,1
9,2.69,1
4,34,2
9,2.48,1
9,2.34,1
9,2.02,1
10,15,1
12,1.63,1
12,2.31,1
2,29,2
9,2.07,1
10,2.68,1
1,3.25,2
2,17.88,2
7,4.17,1
8,1.72,1
10,2.33,1
8,1.66,1
9,2,1
9,1.71,1
8,1.86,1
8,2.16,1
12,1.68,1
5,7,1
3,2.1,1
11,9.2,1
2,26.5,2
9,2.05,1
8,2.12,1
8,1.76,1
2,123,2
9,2.23,1
9,2.22,1
8,2.18,1
42,2.18,4
11,1.73,1
9,1.67,1
45,4.81,5
3,13,1
6,1.5,1
5,1.71,1
4,1.67,1
7,1.91,1
10,2.03,1
9,2.17,1
11,2.4,1
11,1.87,1
9,2.21,1
25,2.02,1
9,2.84,1
12,4.3,1
10,2.74,1
10,2.01,1
34,2.59,1
7,2.71,1
8,1.8,1
11,3.83,1
11,4.08,1
9,2.2,1
10,2.28,1
9,2.32,1
23,2.06,1
1,27,2
7,1.36,1
11,8.5,1
9,1.63,1
9,1.93,1
8,3.2,1
8,2.43,1
7,2.81,1
9,2.54,1
6,1.71,1
13,3.04,1
9,3.27,1
1,6.5,2
12,2.23,1
8,2.52,1
15,2.36,1
14,3.09,1
11,2.37,1
11,9,1
9,3.62,1
9,2.2,1
9,2.08,1
9,1.85,1
8,1.71,1
10,2.7,1
10,1.65,1
10,2.58,1
9,2.19,1
13,2.1,1
12,2.1,1
7,2.7,1
22,10.04,1
8,2.12,1
8,1.84,1
9,3.22,1
14,2.4,1
12,2.41,1
49,7.36,5
8,3.22,1
9,2.27,1
23,2.36,1
8,1.78,1
6,1.67,1
8,2.61,1
13,2.4,1
12,2.46,1
39,7,5
7,1.97,1
9,2.44,1
26,3,1
13,3.72,1
10,3.92,1
13,2.68,1
12,3.68,1
12,3.52,1
12,2.44,1
9,3.88,1
7,2.07,1
9,2.38,1
10,1.93,1
9,1.81,1
5,1.67,1
22,11.54,1
7,1.66,1
5,1.87,1
10,2.34,1
43,6.63,5
7,2.2,1
8,2.23,1
22,10.99,1
8,1.74,1
6,1.64,1
33,5.69,5
9,2.22,1
24,3.18,1
9,1.87,1
4,5.5,5
8,1.76,1
9,1.93,1
10,1.89,1
4,2.33,5
23,1.87,1
8,1.55,1
8,1.33,1
8,1.34,1
11,1.43,1
5,1.6,5
7,1.55,1
6,1.58,1
8,1.29,1
7,1.8,1
7,1.55,1
10,1.39,1
8,1.35,1
10,1.48,1
7,1.38,1
9,1.26,1
10,1.2,1
2,3.5,1
5,3.67,1
6,1.47,1
6,1.42,1
4,1.27,1
7,2.58,1
7,1.42,1
5,1.42,1
7,1.4,1
5,4.5,1
7,1.36,1
7,2.17,1
7,8,1
9,1.33,1
7,1.41,1
7,2.22,1
8,1.55,1
8,1.52,1
9,1.26,1
7,1.58,1
7,1.46,1
6,1.23,1
8,1.58,1
9,1.34,1
7,1.32,1
10,1.29,1
7,1.33,1
7,1.48,1
7,1.13,1
6,1.44,1
7,1.49,1
7,1.5,1
8,1.23,1
5,1.91,1
7,1.54,1
7,1.88,1
7,1.5,1
7,1.56,1
7,1.44,1
9,1.38,1
7,1.35,1
9,1.28,1
7,1.48,1
9,1.38,1
7,1.77,1
10,1.3,1
7,1.27,1
5,1.38,1
5,1.46,1
8,1.56,1
8,1.67,1
7,1.47,1
7,1.37,1
7,1.33,1
9,1.4,1
8,1.56,1
5,1.44,1
10,2.2,1
7,2,1
7,1.36,1
6,1.44,1
7,1.52,1
7,1.15,1
9,1.72,1
8,1.37,1
9,1.51,1
7,1.75,1
9,1.54,1
7,1.21,1
10,1.31,1
7,1.33,1
7,1.39,1
7,1.4,1
9,1.32,1
7,1.29,1
7,1.57,1
6,1.26,1
9,1.37,1
6,2.75,1
5,1.27,1
7,1.76,1
6,1.29,1
6,1.23,1
5,1.16,1
8,1.7,1
8,1.88,1
8,1.79,1
8,1.96,1
8,2.54,1
10,2,1
36,3.58,5
8,1.94,1
9,2.43,1
10,2.05,1
9,2.31,1
8,2.07,1
8,1.65,1
6,2.33,1
6,2.2,5
10,1.89,1
4,1.75,5
9,2.13,1
9,9,4
6,57,2
10,2.44,1
6,1.94,1
8,2.58,1
8,2.17,1
8,1.83,1
12,2.01,1
8,2.47,1
9,2.41,1
8,2.14,1
6,2.24,1
8,2.14,1
8,2.56,1
8,1.84,1
6,2.14,1
8,2.36,1
10,2,1
9,1.78,1
8,2.27,1
8,2,1
9,2.17,1
9,1.96,1
8,2.36,1
8,1.73,1
11,2,1
12,1.8,1
10,2.08,1
7,2,1
7,1.85,1
9,1.91,1
10,2.33,1
8,2.15,1
11,1.93,1
7,2.11,1
7,2.3,1
8,1.91,1
10,2.24,1
8,3.67,1
5,2.44,1
10,1.85,1
10,1.99,1
8,1.84,1
8,2.73,1
10,1.87,1
5,2.34,1
6,1.71,1
9,1.79,1
8,2.48,1
9,1.57,1
10,2.09,1
8,2.11,1
6,1.86,1
7,2.09,1
8,1.55,1
8,1.68,1
6,2.36,1
8,2.67,1
10,2.13,1
8,1.67,1
10,1.87,1
9,2.32,1
9,1.95,1
8,2.47,1
7,1.73,1
10,1.78,1
5,2.65,1
8,2.11,1
8,1.62,1
10,1.88,1
7,2.78,1
