@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4-5,11'

@attribute Eccen numeric
@attribute P_black numeric
@attribute Class {1,2,3,4,5}

@data
1.4,0.4,1
1.167,0.429,1
1,0.4,1
1.167,0.405,1
1.5,0.417,1
5.556,0.496,1
48.5,0.263,2
2.444,0.288,1
5.667,0.296,1
8.889,0.333,1
0.4,0.375,1
0.917,0.371,1
3.667,0.294,1
10,0.725,2
3.556,0.302,1
12.6,0.425,1
17,0.765,2
58,0.616,2
6.571,0.155,1
10,0.298,1
1.3,0.108,1
8.75,0.341,1
9.111,0.252,1
3.778,0.379,1
9.375,0.328,1
2.25,0.479,1
9.75,0.22,1
0.6,0.467,1
10.333,0.226,1
0.818,0.465,1
78.5,0.506,2
4.111,0.381,1
9.875,0.375,1
6.625,0.37,1
61.5,0.5,2
3.556,0.365,1
9.556,0.301,1
5.25,0.363,1
0.167,0.282,4
7.727,0.25,1
3.667,0.259,1
1.756,0.087,5
2.333,0.619,1
4.833,0.293,1
6,0.16,1
4,0.391,1
6.429,0.2,1
12.2,0.273,1
8.667,0.349,1
8.818,0.297,1
9.273,0.289,1
9,0.348,1
4.72,0.268,1
13.667,0.395,1
0.667,0.448,1
2.2,0.336,1
3.4,0.421,1
3.353,0.105,1
2.429,0.387,1
5.625,0.206,1
0.818,0.465,1
0.727,0.602,1
8.778,0.343,1
8.3,0.357,1
9.444,0.395,1
5.13,0.293,1
28,0.964,2
3.286,0.093,1
0.818,0.515,1
1.333,0.407,1
11.556,0.282,1
5.5,0.455,1
5.25,0.39,1
5,0.482,1
13.556,0.333,1
4.667,0.143,1
5.923,0.258,1
2.333,0.519,1
15,0.867,2
8.167,0.245,1
2.25,0.472,1
20,0.252,1
2.429,0.279,1
2,0.293,1
0.818,0.545,1
2.333,0.497,1
2.667,0.356,1
4.111,0.444,1
1.333,0.444,1
1.75,0.321,1
3.8,0.397,1
8.4,0.279,1
6.4,0.439,1
8.444,0.358,1
37.462,0.247,1
14,0.255,1
4.143,0.266,1
3.273,0.52,1
8,0.336,1
16.5,0.31,1
6.556,0.492,1
29.286,0.241,1
25.583,0.29,1
1.612,0.084,5
1.75,0.518,1
8.444,0.352,1
3.783,0.286,1
16.625,0.272,1
7.167,0.337,1
5,0.481,1
5.923,0.298,1
8.667,0.335,1
1.795,0.09,5
3.857,0.344,1
7.889,0.39,1
15.846,0.32,1
9.308,0.376,1
9,0.501,1
22.385,0.285,1
5.583,0.403,1
7,0.43,1
41.5,0.307,1
3.889,0.59,1
24.571,0.294,1
4.667,0.384,1
3.5,0.331,1
3.667,0.33,1
17.6,0.364,1
3.182,0.525,1
27.286,0.307,1
5.8,0.4,1
3.5,0.434,1
1.442,0.08,5
16.571,0.309,1
5.75,0.291,1
3.227,0.499,1
24,0.316,1
7.5,0.456,1
0.848,0.098,5
12,0.389,1
4,0.208,1
8.556,0.251,1
2,0.344,5
4.375,0.321,1
30.222,0.269,1
27.1,0.249,1
1.25,0.35,5
11.783,0.126,1
0.875,0.304,1
1.375,0.318,1
30,0.194,1
24.727,0.168,1
1.8,0.178,5
1.714,0.369,1
1.5,0.352,1
4.625,0.334,1
1.571,0.351,1
5.429,0.308,1
12.5,0.19,1
4.625,0.182,1
9.3,0.206,1
5.429,0.327,1
26.444,0.168,1
21.5,0.133,1
3.5,0.5,1
1.2,0.367,1
4.667,0.149,1
8.167,0.241,1
7,0.455,1
3.857,0.164,1
7.714,0.267,1
2.6,0.262,1
17.857,0.27,1
0.6,0.6,1
2.286,0.304,1
2.571,0.206,1
0.571,0.286,1
27.889,0.187,1
1.857,0.264,1
1,0.408,1
5.125,0.232,1
7.875,0.256,1
6.222,0.21,1
2.857,0.35,1
1.286,0.302,1
1.5,0.296,1
2,0.234,1
2.111,0.251,1
5.429,0.248,1
4.7,0.198,1
5.571,0.253,1
1.571,0.403,1
2.857,0.257,1
1,0.361,1
7.286,0.322,1
2.429,0.227,1
3.75,0.225,1
3.6,0.467,1
1.143,0.357,1
2.286,0.286,1
1.571,0.351,1
2,0.286,1
1,0.265,1
2.667,0.218,1
2.571,0.278,1
2.667,0.213,1
2.857,0.329,1
1,0.272,1
1.571,0.299,1
3.1,0.197,1
1,0.286,1
2.4,0.483,1
4.2,0.333,1
1,0.219,1
0.875,0.268,1
1.571,0.364,1
2.714,0.278,1
1.571,0.312,1
5,0.259,1
5.875,0.266,1
6.6,0.376,1
1.1,0.2,1
1.571,0.416,1
4.714,0.346,1
2,0.361,1
5.857,0.307,1
2.571,0.238,1
2.667,0.287,1
6,0.221,1
3.333,0.285,1
1.571,0.364,1
10.222,0.24,1
1.571,0.299,1
26.2,0.185,1
1.857,0.308,1
2.571,0.254,1
7.714,0.286,1
1.778,0.174,1
7.571,0.299,1
2,0.367,1
4.833,0.305,1
3.889,0.26,1
0.833,0.367,1
6.6,0.315,1
1.857,0.407,1
3.333,0.258,1
7.333,0.265,1
8.6,0.33,1
49.75,0.279,1
2.5,0.375,1
5.75,0.34,1
6,0.341,1
1,0.516,1
2.5,0.32,1
1.333,0.143,5
2.75,0.398,1
1.667,0.378,1
3.3,0.391,1
2,0.414,1
1.125,0.431,1
2.875,0.359,1
4.5,0.475,1
0.833,0.367,5
1.8,0.389,1
2.75,0.159,5
2.778,0.378,1
0.111,1,4
7.833,0.202,2
2.2,0.377,1
5.167,0.5,1
1.5,0.51,1
0.5,0.406,1
25.25,0.313,1
22.667,0.249,1
2.125,0.346,1
3.778,0.386,1
1.5,0.469,1
5.5,0.52,1
1.875,0.5,1
2.625,0.411,1
2.25,0.396,1
1.5,0.556,1
1,0.516,1
1.9,0.337,1
4.778,0.3,1
2.75,0.477,1
5.875,0.34,1
2.667,0.352,1
6.556,0.335,1
0.875,0.464,1
1.125,0.361,1
2.909,0.256,1
22.667,0.219,1
1.5,0.36,1
3.714,0.396,1
1.143,0.429,1
11.667,0.236,1
1.2,0.35,1
3.625,0.444,1
4.818,0.249,1
1.714,0.476,1
2.143,0.438,1
2,0.328,1
1.5,0.313,1
1.5,0.458,1
6,0.587,1
1.6,0.3,1
7.6,0.322,1
7.375,0.307,1
1,0.469,1
6.6,0.27,1
5.4,0.607,1
3,0.444,1
3.556,0.33,1
2.125,0.382,1
1.667,0.244,1
5.2,0.298,1
2.125,0.419,1
0.667,0.542,1
3,0.313,1
0.625,0.425,1
3.125,0.335,1
3.833,0.377,1
0.875,0.429,1
5.2,0.294,1
2.125,0.441,1
4.1,0.324,1
7.111,0.177,1
3.222,0.307,1
1.5,0.385,1
5.857,0.422,1
17.1,0.126,1
3.2,0.563,1
1.5,0.396,1
4,0.387,1
2.3,0.343,1
1.286,0.397,1
4.333,0.308,1
2.2,0.332,1
0.857,0.548,1
26.1,0.264,1
10,0.267,1
1.286,0.46,1
0.571,0.393,1
4.8,0.3,1
2,0.383,1
4.467,0.293,1
12.333,0.188,1
20.571,0.092,1
267.5,0.564,2
38.556,0.111,1
13,0.334,1
1.107,0.492,3
1,0.5,1
23.286,0.212,1
59.333,0.134,1
59.333,0.184,1
178.67,0.341,2
13.375,0.381,1
27.556,0.33,1
4.833,0.368,1
18.75,0.205,1
17.167,0.248,1
21.429,0.178,1
10.333,0.234,1
24.9,0.294,1
12.667,0.353,1
59.444,0.118,1
59.556,0.154,1
179,0.345,2
17.538,0.264,1
5.8,0.4,1
65.625,0.095,1
12.286,0.244,1
37.25,0.138,1
11.308,0.453,1
13.714,0.274,1
37.429,0.152,1
54.667,0.132,1
19.333,0.15,1
123,0.163,1
36,0.222,1
13,1,2
7.792,0.485,1
1.875,0.25,1
1.75,0.25,1
9.125,0.235,1
4.071,0.742,1
11.778,0.373,1
11.333,0.404,1
50.6,0.15,1
65,0.2,1
10.714,0.225,1
11.68,0.472,1
30.889,0.176,1
19.667,0.196,1
2.167,0.179,1
8,0.252,1
12.5,0.485,1
10.25,0.393,1
20.667,0.372,1
18.444,0.336,1
1.857,0.275,1
11.222,0.196,1
29.667,0.164,1
70,0.2,1
30.125,0.119,1
11.333,0.172,1
56.444,0.128,1
11.833,0.131,1
7,0.393,1
6.5,0.192,2
23.167,0.11,2
54,0.944,2
4,0.278,1
2.7,0.63,1
7,1,2
2.2,0.591,1
0.019,1,4
11.182,0.48,1
0.857,0.429,1
1.545,0.321,1
0.029,1,4
0.045,1,4
19,0.579,2
78,0.949,2
17.375,0.16,1
2,0.519,1
1,0.46,1
43,0.351,1
5.391,0.941,1
28.357,0.342,1
2.222,0.55,1
19.5,0.373,1
52,0.962,2
0.9,0.689,1
18.071,0.372,1
14,1,2
2,0.58,1
0.125,1,4
15.9,0.355,1
2.711,0.399,3
1.9,0.6,1
16.13,0.941,1
1.6,0.619,1
28.385,0.397,1
22.429,0.439,1
13.6,0.866,1
1.7,0.571,1
20.462,0.398,1
21.5,0.373,1
7.92,0.869,1
22.938,0.385,1
5,0.927,1
0.988,0.523,3
17.222,0.366,1
23.733,0.406,1
1.833,0.58,1
2.091,0.585,1
24.563,0.341,1
23.733,0.398,1
7.714,0.497,1
9,1,1
23,0.348,2
33.667,0.334,1
17.867,0.413,1
5.7,0.407,1
22.25,0.377,1
2,0.603,1
29.778,0.465,1
30.667,0.388,1
16.2,0.294,1
15.714,0.21,1
18.286,0.265,1
34.714,0.198,1
24,0.207,1
16.667,0.237,1
1.353,0.373,1
2,0.123,1
17,0.304,1
4.889,0.341,1
3.667,0.34,1
15.833,0.209,1
29.3,0.207,1
18.385,0.239,1
12.6,0.368,1
16,0.309,1
19.2,0.323,1
15.667,0.326,1
2.909,0.264,1
2,0.395,1
22.909,0.092,2
0.1,0.9,4
6.556,0.237,1
1.167,0.333,1
1.667,0.183,1
29,0.31,1
14.625,0.201,1
6.571,0.416,1
15.75,0.209,1
6.111,0.275,1
3.333,0.317,1
10,0.265,1
4.429,0.3,1
22.5,0.199,1
10.889,0.185,1
1.167,0.452,1
63.25,0.129,1
4,0.306,1
4,0.23,1
5.778,0.203,1
5.571,0.147,1
12.429,0.365,1
1.429,0.286,1
7,0.305,1
1.286,0.298,1
5.455,0.271,1
26.429,0.175,1
58,0.845,2
183.33,0.339,2
32.538,0.188,1
181.33,0.326,2
14.462,0.188,1
2.75,0.324,1
206,0.99,2
55.3,0.797,2
86.333,0.96,2
32.778,0.2,1
26.3,0.204,1
13.5,0.196,1
5,0.188,1
20,0.55,2
288,0.424,2
3.167,0.184,1
6,0.143,1
1.474,0.588,1
