@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4,10-11'

@attribute Eccen numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
1.4,2,1
1.167,2,1
4.111,55,1
9,1,2
3.778,63,1
9,117,1
1.2,26,1
1.333,29,1
1,26,1
9.444,127,1
38.667,2,2
44,10,2
13.1,198,1
3.8,59,1
2.5,29,1
4,61,1
5.125,73,1
17.429,139,1
9.6,161,1
2.84,187,1
0.667,9,1
12.6,185,1
5,54,1
12.3,149,1
9,1,1
0.25,1,1
18.818,332,1
10.222,137,1
152,11,2
3.667,9,1
52,1,2
7.9,143,1
1.1,26,1
5.222,59,1
3.375,22,1
1.489,3212,5
4.111,64,1
8.417,178,1
8.7,132,1
8.4,121,1
0.556,3,1
4.7,70,1
4.111,64,1
7.083,160,1
11,177,1
0.778,10,1
9.9,160,1
8.5,122,1
117,8,2
1,7,1
4.222,56,1
19,3,2
2.444,26,1
0.667,8,1
9.111,111,1
12.375,167,1
9.75,190,1
0.8,6,1
4.556,67,1
4,85,1
37,5,2
46,8,2
17,2,2
7.111,89,1
6.75,87,1
10.556,127,1
7.111,88,1
3,43,1
1.9,28,1
5,61,1
35,3,2
5,47,1
13,212,1
0.857,3,1
5.444,83,1
148,3,2
11,171,1
5.222,64,1
22.8,495,1
13.667,153,1
3.5,66,1
6.538,131,1
9.5,106,1
3.6,107,1
4.067,121,1
4.893,201,1
13,178,1
11.889,166,1
15,104,1
4.667,37,1
25,221,1
4.833,62,1
10.143,105,1
8.5,61,1
6.667,127,1
11.889,186,1
7.333,56,1
4.875,338,1
30.636,296,1
9.25,109,1
4.778,55,1
2.889,1227,5
10.333,228,1
3.455,70,1
5.6,26,1
5,60,1
6.5,45,1
2.429,17,1
8.6,54,1
4.667,61,1
24.9,326,1
5.583,101,1
9.667,176,1
17.4,239,1
7.889,114,1
2.091,30,1
7.889,87,1
16.833,120,1
2.75,111,1
3.889,65,1
4.667,60,1
16.25,29,1
3.889,52,1
2.333,30,1
2.556,12,1
1.857,7,5
6.875,77,1
30.429,237,1
3.5,42,1
1.875,28,5
1.429,11,1
3.125,35,1
3.875,51,1
34,310,1
26.1,321,1
8.875,92,1
32.625,340,1
11,92,1
3.778,44,1
1.571,18,1
3,31,1
3.125,33,1
2.833,16,1
4.286,35,1
1.6,9,1
2.625,29,1
21.5,112,1
0.571,2,1
0.8,4,1
8.6,37,1
4.5,14,1
3.167,25,1
33,6,2
106,6,2
1.778,12,1
6.833,44,1
2.333,20,1
1.2,6,1
2,16,1
26,204,1
5.375,52,1
3.75,45,1
0.857,11,1
2.429,26,1
1.6,11,1
3.375,31,1
6.143,56,1
4.714,40,1
1.571,20,1
3.714,47,1
4.429,48,1
5.286,54,1
1.571,21,1
6.111,87,1
2,18,1
0.667,5,1
2,19,1
2.833,25,1
2.444,28,1
2.286,30,1
5.444,77,1
6.143,58,1
1.2,5,1
2.429,27,1
0.9,16,1
0.75,8,1
3.857,6,1
6.286,53,1
2.143,15,1
2.571,30,1
5.222,77,1
3.333,52,1
3.8,28,1
4.571,47,1
1.857,15,1
1.571,17,1
2,19,1
3.286,38,1
1,12,1
4.667,35,1
1.4,9,1
3.857,41,1
3.429,28,1
3.3,43,1
1.571,20,1
1.667,16,1
5.5,70,1
5.714,61,1
1.571,18,1
1.833,15,1
6.571,78,1
2.286,14,1
1.571,13,1
2.714,27,1
4.556,69,1
2.889,39,1
5.6,31,1
6.286,33,1
3.167,24,1
5.286,54,1
5.333,79,1
9.556,126,1
4,43,1
2.778,37,1
1.429,17,1
6.111,91,1
4.667,65,1
4.667,65,1
3.286,37,1
4.429,50,1
1.25,14,1
1,7,1
2.375,30,1
1.167,11,1
1.5,18,1
1.25,21,1
1.333,13,1
3.125,28,1
4.375,58,1
4.5,64,1
1.1,21,1
1.625,19,1
2.375,31,1
2.667,22,1
1.7,27,1
0.529,17,5
2.375,24,1
2.875,32,1
0.906,51,5
