@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3,7,11'

@attribute Height numeric
@attribute Area numeric
@attribute Mean_tr numeric
@attribute Class {1,2,3,4,5}

@data
6,24,2.5,1
5,35,5,1
6,42,4.25,1
13,325,10.86,1
11,385,6.13,1
10,380,3.12,1
10,530,1.79,1
11,1122,1.53,1
12,672,2.02,1
2,40,31,2
11,946,3.1,1
11,1111,2.76,1
11,1309,1.88,1
11,1309,1.75,1
8,384,1.76,1
2,36,26,2
7,119,2.7,1
9,171,2.63,1
9,594,2,1
9,306,1.81,1
7,245,2.47,1
5,175,4.38,1
3,48,2.25,1
9,729,2.38,1
10,110,1.5,1
9,288,1.68,1
4,32,1.83,1
10,1000,2.82,1
9,738,2.01,1
2,892,17.82,2
48,19296,4.13,5
304,140752,3.91,5
9,684,2.18,1
6,102,2,1
5,230,2.21,1
19,8778,16.88,2
10,490,3.07,1
1,52,14,2
22,572,1.93,1
10,340,1.83,1
37,3737,2.44,1
10,210,2.11,1
1,48,10.5,2
8,472,1.82,1
9,207,1.51,1
10,660,2.25,1
10,790,2.25,1
10,800,2.02,1
7,126,2.14,1
7,847,1.79,1
11,88,10.67,1
11,77,36,1
9,441,2.97,1
9,702,2.1,1
9,108,1.57,1
9,567,2.01,1
11,825,2.08,1
8,96,1.61,1
12,1224,1.77,1
12,312,1.63,1
11,946,1.98,1
8,48,7,1
9,891,2.65,1
8,112,3,1
11,231,4.29,1
10,670,2.17,1
9,288,1.7,1
10,800,1.92,1
12,864,2.15,1
9,729,2.04,1
11,88,2.09,1
9,675,2.23,1
10,1010,2.95,1
9,765,1.95,1
9,387,3.31,1
9,378,2.13,1
9,1170,2.86,1
9,189,2.3,1
11,902,1.97,1
9,189,1.79,1
8,56,6,1
9,288,2.1,1
8,368,1.78,1
10,440,2.94,1
14,4214,2.37,1
9,1107,2.78,1
261,7830,2.4,4
8,24,3,1
8,24,2.75,1
10,80,9.17,1
10,90,9.4,1
8,168,3.54,1
12,864,1.79,1
9,873,1.76,1
11,286,2.19,1
8,608,2.11,1
10,1160,1.7,1
10,1310,2.94,1
36,6192,4.84,5
13,1508,2.3,1
11,11,11,4
9,306,2.38,1
7,322,2.58,1
3,162,8.43,2
6,1086,1.69,1
8,568,2.06,1
5,495,1.5,1
13,5291,2.31,1
11,693,2.77,1
6,684,1.76,1
7,196,2.13,1
22,1562,10.13,1
12,1548,2.51,1
11,363,1.98,1
22,1562,11.25,1
8,560,2.31,1
11,319,3.1,1
6,600,1.72,1
9,81,5.1,1
8,1464,2.08,1
11,407,2.01,1
12,5964,2.27,1
8,216,2.24,1
9,684,2.37,1
8,744,1.55,1
7,805,1.72,1
8,552,1.91,1
9,819,1.71,1
8,1016,1.98,1
11,1144,2.57,1
2,12,4,2
9,972,2.15,1
11,1144,2.56,1
6,534,2.03,1
18,1152,3.24,1
10,260,2.03,1
13,169,3.5,5
8,2168,1.82,1
8,168,1.38,1
7,42,9,1
7,49,1.38,1
100,4900,1.77,5
7,329,5.78,5
11,2981,1.36,1
10,470,1.62,1
8,520,1.4,1
11,2981,1.35,1
10,1970,1.25,1
8,768,1.35,1
10,2710,1.37,1
7,98,1.84,1
7,49,1.56,1
7,126,1.39,1
5,60,1.92,1
7,98,1.65,1
10,120,2.2,1
6,78,1.6,1
10,120,2.7,1
10,580,1.62,1
9,657,1.44,1
9,162,1.67,1
9,189,1.31,1
5,85,1.75,1
7,133,1.42,1
7,210,1.54,1
9,414,1.43,1
7,378,1.39,1
7,56,1.62,1
6,36,1.5,1
7,161,1.39,1
8,88,1.29,1
7,105,1.41,1
7,119,1.31,1
7,91,1.17,1
7,49,1.71,1
7,217,1.58,1
5,55,1.67,1
9,522,1.34,1
9,171,1.31,1
8,200,1.36,1
7,161,1.66,1
7,91,1.65,1
5,120,1.45,1
7,70,1.77,1
7,224,1.41,1
7,217,1.35,1
10,130,1.76,1
7,77,1.64,1
6,78,1.5,1
7,63,1.5,1
7,84,1.67,1
7,98,1.74,1
6,144,1.35,1
7,266,1.69,1
9,99,1.92,1
6,180,1.22,1
7,252,1.25,1
7,42,1.75,1
7,119,1.54,1
7,294,1.33,1
8,32,8,1
7,238,1.31,1
7,77,1.76,1
7,518,1.57,1
6,114,1.27,1
9,585,1.67,1
7,77,1.45,1
6,66,1.67,1
7,49,1.42,1
5,215,1.42,1
5,30,1.63,1
9,1413,1.58,1
6,96,1.48,1
5,20,3,1
9,432,1.42,1
7,210,1.55,1
7,217,1.56,1
7,175,1.63,1
9,153,1.38,1
7,266,1.4,1
9,2358,1.38,1
