@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3,7,11'

@attribute Height numeric
@attribute Area numeric
@attribute Mean_tr numeric
@attribute Class {1,2,3,4,5}

@data
5,35,2.33,1
6,42,3.6,1
5,25,10,1
6,42,4.25,1
4,24,10,1
9,450,2.69,1
4,776,34,2
9,198,2.48,1
9,459,2.34,1
9,720,2.02,1
10,40,15,1
12,132,1.63,1
12,528,2.31,1
2,40,29,2
9,288,2.07,1
10,1260,2.68,1
1,17,3.25,2
2,232,17.88,2
7,322,4.17,1
8,640,1.72,1
10,130,2.33,1
8,560,1.66,1
9,738,2,1
9,306,1.71,1
8,600,1.86,1
8,144,2.16,1
12,1404,1.68,1
5,15,7,1
3,93,2.1,1
11,99,9.2,1
2,314,26.5,2
9,333,2.05,1
8,632,2.12,1
8,424,1.76,1
2,246,123,2
9,288,2.23,1
9,774,2.22,1
8,336,2.18,1
42,294,2.18,4
11,935,1.73,1
9,297,1.67,1
45,3555,4.81,5
3,21,13,1
6,174,1.5,1
5,150,1.71,1
4,64,1.67,1
7,315,1.91,1
10,1220,2.03,1
9,702,2.17,1
11,1067,2.4,1
11,1122,1.87,1
9,729,2.21,1
25,2950,2.02,1
9,1107,2.84,1
12,96,4.3,1
10,220,2.74,1
10,340,2.01,1
34,3876,2.59,1
7,119,2.71,1
8,360,1.8,1
11,99,3.83,1
11,88,4.08,1
9,711,2.2,1
10,830,2.28,1
9,765,2.32,1
23,2714,2.06,1
1,28,27,2
7,161,1.36,1
11,99,8.5,1
9,108,1.63,1
9,936,1.93,1
8,352,3.2,1
8,336,2.43,1
7,245,2.81,1
9,1098,2.54,1
6,168,1.71,1
13,1001,3.04,1
9,189,3.27,1
1,15,6.5,2
12,1176,2.23,1
8,144,2.52,1
15,4500,2.36,1
14,476,3.09,1
11,242,2.37,1
11,99,9,1
9,189,3.62,1
9,216,2.2,1
9,333,2.08,1
9,108,1.85,1
8,112,1.71,1
10,380,2.7,1
10,840,1.65,1
10,640,2.58,1
9,684,2.19,1
13,6331,2.1,1
12,2016,2.1,1
7,203,2.7,1
22,1584,10.04,1
8,512,2.12,1
8,1056,1.84,1
9,531,3.22,1
14,5740,2.4,1
12,3684,2.41,1
49,3871,7.36,5
8,112,3.22,1
9,684,2.27,1
23,2001,2.36,1
8,1064,1.78,1
6,258,1.67,1
8,320,2.61,1
13,1001,2.4,1
12,1248,2.46,1
39,2730,7,5
7,189,1.97,1
9,639,2.44,1
26,10712,3,1
13,1573,3.72,1
10,900,3.92,1
13,3783,2.68,1
12,804,3.68,1
12,1008,3.52,1
12,5976,2.44,1
9,315,3.88,1
7,1204,2.07,1
9,378,2.38,1
10,350,1.93,1
9,297,1.81,1
5,440,1.67,1
22,1540,11.54,1
7,1337,1.66,1
5,145,1.87,1
10,350,2.34,1
43,2666,6.63,5
7,812,2.2,1
8,368,2.23,1
22,1562,10.99,1
8,1536,1.74,1
6,270,1.64,1
33,924,5.69,5
9,972,2.22,1
24,2304,3.18,1
9,693,1.87,1
4,32,5.5,5
8,280,1.76,1
9,2448,1.93,1
10,2710,1.89,1
4,20,2.33,5
23,6233,1.87,1
8,56,1.55,1
8,88,1.33,1
8,1920,1.34,1
11,2992,1.43,1
5,45,1.6,5
7,84,1.55,1
6,54,1.58,1
8,296,1.29,1
7,77,1.8,1
7,266,1.55,1
10,1250,1.39,1
8,296,1.35,1
10,930,1.48,1
7,266,1.38,1
9,2142,1.26,1
10,2150,1.2,1
2,14,3.5,1
5,30,3.67,1
6,168,1.47,1
6,294,1.42,1
4,112,1.27,1
7,189,2.58,1
7,378,1.42,1
5,65,1.42,1
7,875,1.4,1
5,15,4.5,1
7,112,1.36,1
7,126,2.17,1
7,28,8,1
9,2259,1.33,1
7,91,1.41,1
7,49,2.22,1
8,328,1.55,1
8,504,1.52,1
9,504,1.26,1
7,140,1.58,1
7,63,1.46,1
6,54,1.23,1
8,128,1.58,1
9,171,1.34,1
7,266,1.32,1
10,470,1.29,1
7,273,1.33,1
7,77,1.48,1
7,140,1.13,1
6,36,1.44,1
7,357,1.49,1
7,119,1.5,1
8,240,1.23,1
5,90,1.91,1
7,56,1.54,1
7,112,1.88,1
7,77,1.5,1
7,98,1.56,1
7,49,1.44,1
9,216,1.38,1
7,126,1.35,1
9,216,1.28,1
7,140,1.48,1
9,81,1.38,1
7,77,1.77,1
10,310,1.3,1
7,49,1.27,1
5,60,1.38,1
5,105,1.46,1
8,64,1.56,1
8,56,1.67,1
7,77,1.47,1
7,133,1.37,1
7,77,1.33,1
9,405,1.4,1
8,376,1.56,1
5,165,1.44,1
10,110,2.2,1
7,77,2,1
7,231,1.36,1
6,72,1.44,1
7,287,1.52,1
7,126,1.15,1
9,216,1.72,1
8,384,1.37,1
9,270,1.51,1
7,77,1.75,1
9,828,1.54,1
7,77,1.21,1
10,2620,1.31,1
7,91,1.33,1
7,126,1.39,1
7,378,1.4,1
9,144,1.32,1
7,371,1.29,1
7,98,1.57,1
6,174,1.26,1
9,315,1.37,1
6,30,2.75,1
5,165,1.27,1
7,91,1.76,1
6,120,1.29,1
6,264,1.23,1
5,215,1.16,1
8,3184,1.7,1
8,160,1.88,1
8,368,1.79,1
8,384,1.96,1
8,64,2.54,1
10,250,2,1
36,1728,3.58,5
8,176,1.94,1
9,135,2.43,1
10,330,2.05,1
9,162,2.31,1
8,72,2.07,1
8,184,1.65,1
6,162,2.33,1
6,30,2.2,5
10,180,1.89,1
4,44,1.75,5
9,225,2.13,1
9,9,9,4
6,282,57,2
10,220,2.44,1
6,186,1.94,1
8,96,2.58,1
8,32,2.17,1
8,1616,1.83,1
12,3264,2.01,1
8,136,2.47,1
9,306,2.41,1
8,96,2.14,1
6,198,2.24,1
8,120,2.14,1
8,168,2.56,1
8,144,1.84,1
6,54,2.14,1
8,64,2.36,1
10,190,2,1
9,387,1.78,1
8,176,2.27,1
8,376,2,1
9,216,2.17,1
9,531,1.96,1
8,56,2.36,1
8,72,1.73,1
11,352,2,1
12,3264,1.8,1
10,150,2.08,1
7,182,2,1
7,56,1.85,1
9,945,1.91,1
10,120,2.33,1
8,232,2.15,1
11,583,1.93,1
7,84,2.11,1
7,105,2.3,1
8,128,1.91,1
10,150,2.24,1
8,96,3.67,1
5,150,2.44,1
10,160,1.85,1
10,760,1.99,1
8,472,1.84,1
8,64,2.73,1
10,660,1.87,1
5,135,2.34,1
6,108,1.71,1
9,288,1.79,1
8,136,2.48,1
9,135,1.57,1
10,520,2.09,1
8,136,2.11,1
6,24,1.86,1
7,147,2.09,1
8,40,1.55,1
8,200,1.68,1
6,138,2.36,1
8,56,2.67,1
10,520,2.13,1
8,136,1.67,1
10,410,1.87,1
9,576,2.32,1
9,261,1.95,1
8,96,2.47,1
7,287,1.73,1
10,1710,1.78,1
5,80,2.65,1
8,96,2.11,1
8,256,1.62,1
10,230,1.88,1
7,63,2.78,1
9,351,1.69,1
10,220,2.15,1
7,42,2.56,1
10,2610,1.77,1
10,1000,1.82,1
7,63,2.42,1
7,28,2.2,1
10,480,2.15,1
8,128,1.69,1
15,1005,3.59,1
9,999,1.49,1
7,1008,1.24,1
2,1070,40.2,2
9,3123,1.26,1
7,637,1.76,1
28,868,7.49,3
4,16,8,1
7,1141,1.31,1
9,4806,1.34,1
9,4806,1.34,1
3,1608,61,2
8,856,2.4,1
9,2232,2.39,1
6,174,1.73,1
8,1200,1.32,1
6,618,1.23,1
7,1050,1.36,1
6,372,1.36,1
10,2490,2.32,1
6,456,1.49,1
9,4815,1.31,1
9,4824,1.36,1
3,1611,22.24,2
13,2964,3.29,1
5,145,1.61,1
8,4200,1.34,1
7,602,1.27,1
8,2384,1.18,1
26,7644,7.6,1
7,672,1.6,1
7,1834,1.28,1
9,4428,1.22,1
9,1566,1.22,1
1,123,1.05,1
1,36,1.14,1
1,13,13,2
24,4488,8.16,1
8,120,2.14,1
8,112,3.11,1
8,584,1.47,1
14,798,12.08,1
9,954,2.8,1
9,918,2.81,1
10,5060,1.34,1
1,65,1.08,1
14,2100,4.14,1
25,7300,7.51,1
9,2502,1.28,1
9,1593,1.38,1
6,78,2,1
8,512,1.63,1
8,800,3.43,1
8,656,2.41,1
9,1674,2.44,1
9,1494,2.38,1
7,91,2.27,1
9,909,1.22,1
9,2403,1.28,1
1,70,1.08,1
8,1928,1.26,1
6,408,1.25,1
9,4572,1.27,1
6,426,1.3,1
2,28,3.67,1
6,234,45,2
12,3336,15.91,2
1,54,17,2
10,400,2.09,1
10,270,6.07,1
1,7,7,2
10,220,6.5,1
54,54,54,4
11,1353,5.74,1
14,168,6.55,1
11,187,4.29,1
34,34,34,4
22,22,22,4
1,19,3.67,2
1,78,24.67,2
8,1112,2.17,1
9,162,7.64,1
10,100,46,1
10,4300,2.7,1
23,2852,17.21,1
14,5558,4.53,1
9,180,9.9,1
14,3822,4.59,1
1,52,25,2
10,90,10.33,1
14,3542,4.36,1
1,14,14,2
9,162,7.83,1
8,8,8,4
10,1590,3.07,1
128,44416,13.07,3
10,190,7.6,1
23,8533,16.83,1
10,160,6.19,1
13,4797,4.79,1
7,1099,2.77,1
25,8500,16.57,1
10,170,6.47,1
13,3458,4.81,1
16,5504,5.73,1
25,4950,15.94,1
16,5872,5.29,1
24,2880,21.36,1
163,26243,8.4,3
9,1395,2.54,1
15,5340,5.29,1
12,264,7.65,1
11,253,8.22,1
16,6288,5.13,1
15,5340,5.32,1
7,378,3.42,1
1,9,9,1
1,23,1.6,2
12,4848,2.82,1
15,4020,5.1,1
10,570,2.94,1
16,5696,5.8,1
11,242,8.59,1
9,2412,6.3,1
9,2484,2.58,1
10,1620,2.71,1
7,770,1.38,1
7,896,1.69,1
7,1701,1.48,1
8,1536,1.57,1
9,1350,1.75,1
17,391,10.43,1
17,578,17.75,1
9,1377,2.06,1
9,396,2.55,1
9,297,2.53,1
6,570,1.63,1
10,2930,1.53,1
13,3107,2.16,1
5,315,2,1
6,576,2.44,1
5,480,1.78,1
6,564,2.02,1
11,352,3.1,1
9,162,2.78,1
11,2772,63.75,2
10,10,9,4
9,531,1.56,1
6,42,1.4,1
6,60,1.83,1
1,29,1.13,1
8,936,1.45,1
7,322,2.63,1
8,1008,1.45,1
9,495,1.92,1
6,120,1.52,1
7,490,1.4,1
7,217,1.97,1
8,1440,1.31,1
9,882,1.58,1
6,42,2.38,1
4,1012,1.41,1
7,196,1.58,1
8,256,1.4,1
9,468,1.38,1
7,273,1.67,1
7,609,1.91,1
7,70,2.22,1
16,1792,2.72,1
14,252,5,1
11,660,1.97,1
14,5180,1.64,1
1,58,9.8,2
3,1650,15.11,2
13,5499,1.64,1
3,1632,16.12,2
13,2444,1.67,1
8,176,1.78,1
1,206,204,2
10,5530,21.3,2
3,777,67.82,2
9,2655,1.5,1
10,2630,1.54,1
8,864,1.34,1
7,245,1.21,1
1,20,1.38,2
1,288,1.02,2
6,114,1.24,1
7,294,1.27,1
19,532,13.04,1
8,360,9.32,1
17,5814,30.27,2
10,670,2.27,1
10,360,2.33,1
7,7,7,4
11,132,4.38,1
7,7,7,4
8,1848,179,2
10,1830,1.67,1
11,1617,1.58,1
6,570,1.64,1
