@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R2,9,11'

@attribute Lenght numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
3,17,1
2,10,1
18,38,1
34,301,1
100,910,1
75,409,1
69,125,2
77,740,1
57,57,2
152,1182,1
17,33,2
27,78,1
15,80,1
9,72,1
55,495,1
14,118,1
35,248,1
80,625,1
84,649,1
14,60,1
26,197,1
36,302,1
46,222,1
21,157,1
38,341,1
100,842,1
82,624,1
40,317,1
45,323,1
9,9,2
3,111,4
213,242,2
24,197,1
84,784,1
63,564,1
75,75,2
34,196,1
8,48,1
7,84,1
18,153,1
98,693,1
7,43,1
45,380,1
38,357,1
36,307,1
22,167,1
32,228,1
125,1105,1
40,357,1
44,348,1
47,349,1
42,252,1
11,56,1
98,839,1
23,23,2
53,377,1
41,364,1
75,573,1
36,272,1
71,441,1
37,283,1
100,762,1
81,669,1
84,722,1
27,237,1
33,288,1
7,29,2
47,312,1
46,347,1
122,1055,1
36,36,2
32,230,1
47,399,1
36,306,1
100,924,1
101,864,1
118,991,1
126,1103,1
21,128,1
2,13,1
14,97,1
9,68,1
36,261,1
80,658,1
33,232,1
11,88,1
74,511,1
53,379,1
62,481,1
84,84,2
40,319,1
41,316,1
43,243,1
72,1343,1
71,492,1
49,220,1
43,178,1
48,365,1
1,13,4
39,172,1
1,13,4
33,213,1
86,786,1
103,895,1
168,2207,1
217,1919,1
35,250,1
45,318,1
62,485,1
40,347,1
39,170,1
116,1054,1
13,103,1
13,87,1
61,509,1
500,3568,1
34,240,1
99,477,1
27,75,1
414,3646,1
20,121,1
19,134,5
12,16,5
272,1640,1
5,16,5
29,205,1
271,1752,1
7,53,1
15,108,1
60,357,1
179,1356,1
271,2027,1
9,23,5
51,429,1
271,1704,1
189,1275,1
173,649,1
175,894,1
71,218,1
29,151,1
20,95,1
18,86,1
126,690,1
99,524,1
11,2058,4
12,45,1
14,72,1
158,761,1
41,41,2
6,20,1
7,35,1
7,33,1
12,12,1
23,118,1
14,75,1
14,41,1
41,225,1
8,54,1
59,245,1
8,72,1
23,153,1
49,252,1
29,170,1
11,65,1
16,79,1
5,25,1
87,359,1
9,51,1
49,302,1
5,38,1
23,102,1
30,183,1
18,85,1
15,88,1
25,118,1
49,318,1
57,364,1
8,45,1
19,130,1
262,1575,1
16,112,1
40,219,1
9,60,1
57,263,1
13,77,1
9,54,1
35,230,1
20,140,1
23,109,1
39,257,1
19,112,1
20,130,1
29,195,1
33,207,1
22,110,1
72,355,1
36,220,1
30,160,1
32,193,1
4,19,1
51,311,1
22,124,1
14,84,1
16,86,1
6,42,1
24,128,1
27,160,1
21,123,1
26,106,1
30,160,1
23,126,1
91,599,1
32,160,1
13,69,1
7,33,1
65,385,1
43,191,1
36,169,1
18,126,1
6,48,1
5,18,1
10,57,1
107,811,1
50,311,1
41,286,1
7,39,1
184,1091,1
11,51,1
8,44,1
21,126,1
10,51,1
9,46,1
7,35,1
43,325,1
5,35,5
42,351,1
23,178,1
30,240,1
57,451,1
32,315,1
34,326,1
9,10,2
19,188,1
13,136,1
6,41,1
14,112,1
9,98,5
12,92,1
35,280,1
42,321,1
39,305,1
19,132,1
27,201,1
32,255,1
12,92,1
34,208,1
52,346,1
87,634,1
49,291,1
15,120,1
47,249,1
47,47,2
21,153,1
240,1542,1
35,263,1
14,86,1
32,176,1
38,227,1
35,260,1
20,174,1
52,387,1
13,112,1
12,108,1
14,109,1
25,256,1
271,1782,1
14,85,1
19,190,1
54,397,1
12,72,1
7,56,1
12,86,1
16,128,1
122,881,1
22,137,1
10,80,1
12,84,1
33,265,1
7,41,1
27,177,1
146,605,1
7,30,1
6,39,1
13,115,1
51,415,1
37,353,1
11,105,1
13,59,1
17,76,1
27,509,5
32,198,1
29,230,5
103,628,1
8,72,1
2,13,4
12,78,1
16,109,1
4,28,1
13,52,1
39,230,1
7,53,1
127,959,1
14,86,1
19,152,1
18,159,1
24,187,1
7,35,1
30,261,1
20,151,1
25,173,1
30,279,1
40,294,1
14,113,1
41,259,1
9,65,1
262,1984,1
29,233,1
18,134,1
10,73,1
34,277,1
25,200,1
40,258,1
40,272,1
54,372,1
16,115,1
12,58,1
19,123,1
24,132,1
39,281,1
73,577,1
38,240,1
9,51,1
4,28,1
46,355,1
15,71,1
24,185,1
63,370,1
14,126,1
33,219,1
7,54,1
11,75,1
23,165,1
25,176,1
22,131,1
67,1354,1
38,473,1
179,1200,1
536,549,2
536,667,2
13,43,1
145,897,1
5,14,1
84,463,1
148,912,1
535,2136,1
106,1341,5
75,522,1
185,1272,1
245,1338,1
107,712,1
256,1153,1
305,1069,1
257,257,2
216,1294,1
187,1323,1
535,3214,1
