@relation page-blocks

@attribute Height numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
5,15,0.6,1
12,3024,21,1
7,413,8.429,1
8,40,0.625,1
3,9,1,1
9,162,2,1
8,136,2.125,1
8,304,4.75,1
9,1026,12.667,1
7,637,13,1
11,275,2.273,1
8,336,5.25,1
5,495,19.8,1
7,77,1.571,1
8,1848,28.875,1
10,190,1.9,1
7,77,1.571,1
5,35,1.4,1
10,1260,12.6,1
8,128,2,1
6,108,3,1
12,3264,22.667,1
8,136,2.125,1
10,520,5.2,1
9,171,2.111,1
8,1056,16.5,1
7,105,2.143,1
5,95,3.8,1
11,1672,13.818,1
9,288,3.556,1
9,2160,26.667,1
10,460,4.6,1
9,4572,56.444,1
5,65,2.6,1
7,1561,31.857,1
8,120,1.875,1
6,66,1.833,1
8,56,0.875,1
9,819,10.111,1
8,112,1.75,1
9,999,12.333,1
8,56,0.875,1
8,160,2.5,1
9,315,3.889,1
9,1674,20.667,1
13,871,5.154,1
17,374,1.294,1
6,594,16.5,1
9,1575,19.444,1
17,408,1.412,1
8,744,11.625,1
5,40,1.6,1
8,96,1.5,1
16,192,0.75,1
9,171,2.111,1
9,4410,54.444,1
10,640,6.4,1
5,70,2.8,1
7,91,1.857,1
8,192,3,1
7,231,4.714,1
10,400,4,1
7,140,2.857,1
10,220,2.2,1
12,876,6.083,1
8,96,1.5,1
3,12,1.333,1
6,54,1.5,1
11,132,1.091,1
10,220,2.2,1
13,585,3.462,1
8,864,13.5,1
9,360,4.444,1
9,4806,59.333,1
6,42,1.167,1
5,490,19.6,1
8,112,1.75,1
9,315,3.889,1
6,114,3.167,1
11,1056,8.727,1
4,40,2.5,1
10,300,3,1
8,360,5.625,1
13,3458,20.462,1
7,49,1,1
5,45,1.8,1
8,1160,18.125,1
10,330,3.3,1
11,1837,15.182,1
11,627,5.182,1
11,88,0.727,1
9,144,1.778,1
10,1070,10.7,1
6,138,3.833,1
