@relation page-blocks

@attribute Eccen numeric
@attribute P_black numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
11.9,0.275,791,1
13.714,0.234,1584,1
1.571,0.377,75,1
2,0.306,94,1
5.571,0.293,200,1
13,0.179,520,1
56.444,0.128,2425,1
6.2,0.355,151,1
1.125,0.528,69,1
3.5,0.238,93,1
5.167,0.301,157,1
16,0.335,405,1
1,0.5,53,1
1.6,0.55,40,1
3.1,0.329,295,1
2.5,0.394,151,1
17.1,0.126,773,1
4.111,0.453,321,1
109,0.183,109,1
33.778,0.202,2049,1
5,0.188,208,1
30,0.511,245,1
5.75,0.348,338,1
9.375,0.228,397,1
0.875,0.518,56,1
11.111,0.276,762,1
8.444,0.38,650,1
2.286,0.25,59,1
7,0.289,441,1
2.625,0.357,162,1
8.727,0.331,1007,1
4.143,0.365,192,1
17.222,0.346,1020,1
2.714,0.346,112,1
31,0.226,31,1
0.9,0.689,71,1
6.667,0.221,236,1
17.25,0.2,1736,1
6.538,0.327,700,1
5.917,0.608,738,1
26.667,0.231,1975,1
11.2,0.121,132,1
8.6,0.33,176,1
5.857,0.209,187,1
6.917,0.253,753,1
5.2,0.523,128,1
22.8,0.26,1390,1
24.438,0.401,4219,1
16.214,0.237,2667,1
24.636,0.278,2171,1
6.12,0.255,2338,1
3.222,0.414,252,1
10.571,0.276,354,1
13.667,0.104,149,1
12.1,0.415,1063,1
7.143,0.266,259,1
2,0.649,205,1
2.333,0.274,84,1
7.889,0.294,487,1
1.667,0.183,39,1
49,0.213,1854,1
1.1,0.2,60,1
1.857,0.286,90,1
1.429,0.329,70,1
2.8,0.329,35,1
2.571,0.365,122,1
2.143,0.438,94,1
27.222,0.16,1338,1
1,0.234,43,1
2.375,0.395,107,1
4,0.428,358,1
17.778,0.36,1098,1
2.333,0.536,84,1
25.1,0.151,1423,1
18.444,0.386,1121,1
8.111,0.174,285,1
5.25,0.414,321,1
0.95,0.46,2843,1
31.9,0.239,2149,1
12,0.583,12,1
16.4,0.361,329,1
0.5,0.375,32,1
5.625,0.297,203,1
21.222,0.328,1284,1
3.5,0.438,111,1
2.444,0.288,162,1
3.2,0.334,255,1
1,0.484,64,1
4.111,0.396,283,1
15.5,0.268,1919,1
32,0.124,1153,1
16,0.319,405,1
2.429,0.336,104,1
1.143,0.393,56,1
0.667,0.417,12,1
9.75,0.231,1000,1
2.667,0.537,216,1
4.556,0.425,355,1
1.816,0.476,2201,1
0.667,0.417,17,1
49.9,0.147,3150,1
2.375,0.309,149,1
7.8,0.344,142,1
14.111,0.213,776,1
31.7,0.124,1535,1
1.8,0.267,35,1
9.222,0.292,679,1
4.1,0.324,332,1
5.5,0.455,334,1
18.875,0.174,758,1
18.6,0.351,465,1
5.714,0.25,233,1
6.889,0.348,485,1
22.444,0.087,462,1
4.4,0.318,383,1
43.571,0.109,1069,1
0.875,0.429,56,1
7.778,0.433,536,1
2.286,0.304,107,1
22.929,0.361,2675,1
29,0.31,29,1
10.111,0.32,633,1
0.625,0.4,40,1
4.111,0.532,304,1
4.25,0.426,268,1
10,0.303,590,1
23.75,0.411,2421,1
1.875,0.433,117,1
2.75,0.403,176,1
4.385,0.745,741,1
8.571,0.286,372,1
