@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4-5,9,11'

@attribute Eccen numeric
@attribute P_black numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
1.4,0.371,26,1
1.6,0.375,19,1
1,0.4,14,1
0.727,0.602,88,1
50.5,0.54,150,2
9,0.806,30,2
10.222,0.292,698,1
4.556,0.298,286,1
6.3,0.233,444,1
10,1,10,2
8,1,8,2
0.727,0.705,88,1
0.727,0.443,41,1
3.818,0.335,383,1
6,0.31,310,1
13,0.425,1005,1
5.444,0.594,440,1
2.222,0.339,157,1
19,0.789,19,2
24.214,0.248,2596,1
0.043,0.419,210,4
19.333,0.178,1154,1
3.857,0.101,117,1
10.778,0.466,849,1
2.333,0.354,166,1
51,0.471,51,2
3.857,0.238,140,1
49,0.286,49,1
4,0.42,288,1
2.333,0.392,170,1
8,0.314,639,1
33,1,33,2
4.889,0.467,374,1
8,0.875,8,2
4.333,0.293,329,1
11,1,11,2
28.75,0.426,224,2
2.286,0.42,86,1
5.1,0.306,436,1
2.667,0.537,216,1
9.8,0.376,844,1
5.222,0.492,401,1
7.8,0.381,668,1
12.167,0.091,225,5
13.444,0.399,918,1
4.556,0.444,360,1
5.545,0.361,412,1
4,0.556,299,1
2.333,0.487,162,1
8.167,0.267,737,1
5.3,0.343,430,1
9.111,0.408,682,1
9.111,0.374,639,1
2.043,0.315,808,1
6.5,0.475,631,1
4.3,0.458,404,1
2.286,0.241,71,1
1.909,0.468,166,1
0.727,0.693,87,1
4,0.506,292,1
1.75,0.143,112,1
3.778,0.31,274,1
7.727,0.268,843,1
1.2,0.367,120,1
13,0.692,13,2
1,0.25,43,1
13.444,0.322,845,1
6,0.328,340,1
2.538,0.245,229,1
0.818,0.404,71,1
10.111,0.302,783,1
9.182,0.264,947,1
5.5,0.486,335,1
39,0.897,39,2
4.25,0.309,38,1
18.667,0.065,84,1
61,0.488,317,2
12,0.065,531,2
4.9,0.529,460,1
8.778,0.323,621,1
9,0.357,629,1
0.167,0.625,16,4
1.5,0.438,96,1
9.8,0.3,765,1
102,0.412,278,2
7.222,0.463,527,1
9.556,0.337,586,1
23.667,0.115,147,2
14,0.857,14,2
4,0.491,272,1
7,0.289,441,1
2.125,0.294,89,1
10.375,0.294,634,1
3.556,0.302,194,1
10,0.41,846,1
9.556,0.3,524,1
19.167,0.164,1572,1
4.833,0.339,152,1
4.111,0.453,321,1
33.846,0.255,3983,1
9.833,0.309,1028,1
1.946,0.12,685,5
10.789,0.254,9403,1
8.846,0.314,1039,1
10.7,0.273,790,1
7.75,0.357,480,1
23.75,0.326,957,1
7.7,0.469,697,1
16.714,0.383,2077,1
34.167,0.333,3254,1
101.33,0.555,626,2
8.75,0.388,471,1
8.333,0.327,206,1
3.5,0.42,289,1
4.167,0.345,376,1
41.417,0.297,4374,1
12,0.376,792,1
30.667,0.323,830,1
31.5,0.324,941,1
8.75,0.332,502,1
5.583,0.35,557,1
66.6,0.374,688,2
4.444,0.494,333,1
19.333,0.316,1957,1
11.9,0.392,1060,1
12.1,0.415,1063,1
4.259,0.293,2087,1
8.3,0.425,714,1
18.1,0.491,1567,1
41.3,0.315,3018,1
