@relation page-blocks

@attribute Eccen numeric
@attribute Blackand numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
5.429,254,50,1
2.143,60,14,1
16,519,100,1
14,337,100,1
15,325,82,1
8.667,625,98,1
5.647,1101,116,1
1.4,32,2,1
19.6,313,78,1
23.412,4117,408,1
2.833,84,14,1
2.4,60,21,1
10.222,531,129,1
3.3,281,43,1
9,781,115,1
35,1589,333,1
8.444,653,126,1
10.889,569,122,1
5,434,81,1
0.444,36,2,1
5.375,262,69,1
29.3,1746,397,1
0.556,28,6,1
2.5,145,35,1
4,153,36,1
20.571,387,75,1
1.923,221,19,1
51.1,2114,385,1
3.909,356,58,1
1.6,40,9,1
9.889,4860,599,1
8.3,554,120,1
13.714,660,115,1
4.714,203,59,1
1.8,156,16,1
7.5,439,87,1
29.667,1754,307,1
34.889,1659,352,1
5.154,723,74,1
31.667,1961,358,1
1.125,59,15,1
1.833,63,18,1
2.333,116,30,1
3.182,1290,70,1
1.429,62,11,1
8.625,426,68,1
6,283,67,1
2.857,99,21,1
10.125,383,111,1
10.375,465,108,1
2.667,875,103,1
0.375,16,5,1
54.444,1425,212,1
2.111,117,33,1
29.778,1536,351,1
8.333,189,41,1
6,360,75,1
4,166,38,1
3.167,81,26,1
9.889,448,110,1
2.2,55,15,1
5.714,233,44,1
2.2,128,29,1
23.667,1503,276,1
1.571,75,20,1
1,39,9,1
65,65,12,1
2.067,216,24,1
5.5,335,58,1
11.667,6042,399,1
27.1,2084,409,1
1.091,108,16,1
3.625,231,50,1
1.1,60,10,1
1.818,202,14,1
12.1,1027,180,1
3,85,25,1
21.833,370,60,1
4,295,56,1
9.182,947,178,1
4.727,491,84,1
3,80,7,1
4.8,356,67,1
1,8,1,1
3.3,257,60,1
3.667,288,68,1
0.818,63,3,1
2.333,78,18,1
5.25,321,74,1
1.424,3517,22,1
8.875,326,100,1
2,112,25,1
4.286,199,44,1
9.556,524,109,1
7.182,731,135,1
8,355,97,1
12.375,762,167,1
3.2,65,12,1
3.875,196,44,1
1.25,79,21,1
1.167,32,7,1
13.5,534,144,1
5.917,738,87,1
4.375,248,64,1
2.25,136,24,1
16.667,493,120,1
4.444,246,60,1
4.077,430,61,1
1.714,58,14,1
4.667,309,61,1
1.75,109,22,1
5.727,557,93,1
1.571,70,17,1
5.083,546,104,1
9.7,800,152,1
3,253,52,1
29,1686,302,1
29.286,822,124,1
1.286,61,15,1
6,465,96,1
2.5,170,42,1
5.375,328,50,1
2.2,184,27,1
6.429,310,62,1
10.857,457,116,1
18.778,1058,200,1
3,134,28,1
1.714,64,14,1
59.444,3167,654,1
2.2,205,29,1
3,120,36,1
31.7,1535,298,1
4.2,83,24,1
4,112,31,1
5.222,330,56,1
1.375,88,24,1
6.455,732,84,1
6,743,80,1
5.125,217,48,1
6.429,256,57,1
38.111,2091,401,1
0.375,10,1,1
47,47,19,1
3,108,21,1
16.13,8533,477,1
5.75,690,107,1
59.222,2841,596,1
3.429,111,31,1
7.636,758,143,1
4.571,186,44,1
10.75,650,129,1
2.9,233,46,1
4.667,135,37,1
5.857,225,44,1
17.308,2612,226,1
2,88,17,1
33.778,2049,419,1
31.462,3200,547,1
2,85,20,1
7.125,364,84,1
1,8,1,1
8.929,1285,228,1
6.083,518,105,1
10.625,467,111,1
18.667,1054,221,1
2.222,141,12,1
4.111,231,50,1
4.7,328,69,1
13.714,462,118,1
2.667,52,11,1
1.286,56,10,1
6.222,356,88,1
15.667,402,66,1
20.286,2777,419,1
1.889,143,27,1
4.833,168,42,1
33,2545,518,1
2.333,74,15,1
28.444,1027,167,1
1,49,8,1
12,368,63,1
4,313,73,1
9,428,74,1
1.286,42,9,1
30.25,1183,262,1
5.455,561,91,1
1.857,89,18,1
3,71,18,1
17.273,955,237,1
2,124,22,1
2.167,38,6,1
1.167,42,8,1
4.5,276,64,1
2.25,144,27,1
4.25,38,6,1
63.5,1599,290,1
1.5,43,8,1
11.6,881,178,1
63.75,2166,444,1
1,74,16,1
1.5,85,18,1
1.857,85,17,1
8.167,734,129,1
0.9,59,5,1
4.833,139,38,1
5.857,254,57,1
59.444,3214,613,1
4.667,318,54,1
30.889,1997,398,1
17.9,1356,254,1
2.333,13,1,1
1.5,142,29,1
2.6,45,12,1
21.143,845,159,1
4.429,148,39,1
5,382,69,1
7.667,502,94,1
0.571,16,2,1
12.75,758,122,1
24.111,1339,235,1
5.857,207,62,1
2.571,121,28,1
6.833,228,44,1
26.2,1811,390,1
5.778,466,101,1
1.2,10,1,1
5.75,301,56,1
2.143,80,11,1
31.6,2126,422,1
16.889,1047,187,1
5.167,186,48,1
1.118,123,2,1
5.4,336,65,1
11.625,621,121,1
15.75,969,165,1
13.286,1698,319,1
2.167,77,17,1
20.667,1315,220,1
5.857,287,70,1
22.583,1999,410,1
24.727,1824,348,1
5.222,320,59,1
1.857,69,11,1
2,96,18,1
4.625,246,53,1
18,769,138,1
2.556,207,39,1
1.571,77,19,1
2.4,53,12,1
0.9,90,16,1
17.6,972,235,1
11.091,881,177,1
0.667,96,9,1
7.167,178,30,1
31.917,2771,485,1
34,1369,310,1
11.333,274,91,1
30.929,3467,485,1
16.444,912,189,1
4.125,257,60,1
2.625,161,36,1
24.714,1042,187,1
1.5,93,19,1
46.455,3023,671,1
1.5,87,19,1
8.75,502,112,1
8.333,206,49,1
