@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R3-4,11'

@attribute Area numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
108,3,1
24,1.5,1
325,1.923,1
112,2.286,1
721,14.714,1
99,0.818,1
339,37.667,2
980,9.8,1
44,11,2
810,10,1
13,13,2
220,1.818,1
117,1.444,1
749,15.286,1
855,10.556,1
315,3.889,1
75,75,2
40,1.6,1
13,13,2
188,0.021,4
810,8.1,1
738,9.111,1
924,7.636,1
1265,10.455,1
8,0.5,4
368,5.75,1
328,5.125,1
472,118,2
112,1.75,1
720,8.889,1
1080,13.333,1
385,3.182,1
189,2.333,1
530,5.3,1
400,4,1
656,10.25,1
143,1.182,1
88,0.727,1
473,3.909,1
675,8.333,1
1089,13.444,1
400,4,1
4760,24.286,1
96,0.667,1
34,0.118,4
1298,10.727,1
369,4.556,1
29,29,2
217,4.429,1
102,2.833,1
490,4.9,1
306,3.778,1
738,9.111,1
96,0.667,1
860,8.6,1
480,4.8,1
40,40,2
78,2.167,1
80,0.8,1
192,3,1
136,2.125,1
738,9.111,1
630,6.3,1
306,3.778,1
11,11,2
17,17,2
847,17.286,1
380,3.8,1
324,4,1
117,1.444,2
468,5.778,1
460,4.6,1
81,1,1
42,42,2
352,88,2
104,26,1
220,8.8,1
28,7,2
861,17.571,1
96,0.667,1
88,0.727,1
108,1.333,1
1111,9.182,1
378,4.667,1
8645,23.947,1
184,2.875,1
120,1.875,1
112,1.75,1
12,0.333,1
70,0.7,1
108,1.333,1
1111,9.182,1
73,73,2
168,2.625,1
368,5.75,1
837,10.333,1
1378,8.154,1
85,3.4,1
576,9,1
1080,10.8,1
5317,31.462,1
600,16.667,1
1008,7,1
385,3.182,1
378,4.667,1
1911,11.308,1
1536,10.667,1
4920,34.167,1
552,8.625,1
954,11.778,1
174,4.833,1
333,4.111,1
540,5.4,1
1562,3.227,1
215,8.6,1
3456,2.667,5
1050,10.5,1
1092,6.462,1
1480,23.125,1
534,14.833,1
1416,9.833,1
1260,8.75,1
330,3.3,1
2723,55.571,1
864,2.667,1
287,5.857,1
2710,27.1,1
2439,30.111,1
552,8.625,1
2176,34,1
432,6.75,1
200,3.125,1
3969,0.605,5
36,1,5
2720,27.2,1
104,0.615,5
2720,27.2,1
2720,27.2,1
496,7.75,1
144,4,1
2981,24.636,1
49,1,1
2710,27.1,1
49,1,1
56,1.143,1
35,1.4,1
729,9,1
260,10.4,1
190,7.6,1
150,4.167,1
790,7.9,1
287,5.857,1
240,6.667,1
136,2.125,1
102,2.833,1
78,2.167,1
15,0.6,1
63,1.286,1
1510,15.1,1
333,4.111,1
184,2.875,1
77,1.571,1
252,5.143,1
203,4.143,1
63,1.286,1
63,1.286,1
28,0.571,1
126,2.571,1
224,4.571,1
261,3.222,1
91,1.857,1
88,1.375,1
168,3.429,1
126,2.571,1
91,1.857,1
133,2.714,1
77,1.571,1
273,5.571,1
66,1.833,1
156,4.333,1
287,5.857,1
224,4.571,1
168,3.429,1
66,1.833,1
66,1.833,1
28,0.571,1
175,3.571,1
56,1.143,1
78,2.167,1
88,5.5,1
261,3.222,1
42,0.857,1
287,5.857,1
152,2.375,1
152,2.375,1
602,12.286,1
329,6.714,1
133,2.714,1
66,1.833,1
301,6.143,1
200,8,1
468,5.778,1
119,2.429,1
231,4.714,1
20,0.8,1
91,1.857,1
48,1.333,1
144,1.778,1
120,3.333,1
77,1.571,1
329,6.714,1
35,1.4,1
77,1.571,1
1809,22.333,1
30,0.833,1
351,4.333,1
126,2.571,1
54,0.667,5
275,2.273,1
120,1.2,1
104,1.625,1
351,4.333,1
3252,22.583,1
1034,8.545,1
60,0.6,1
32,0.5,1
250,2.5,1
248,3.875,1
48,0.75,1
36,0.444,1
300,3,1
424,6.625,1
96,1.5,1
3252,22.583,1
110,1.1,1
128,2,1
200,3.125,1
24,0.667,1
352,2.909,1
96,1.5,1
946,7.818,1
119,2.429,1
333,4.111,1
424,6.625,1
35,0.714,1
2035,16.818,1
80,1.25,1
423,5.222,1
120,1.875,1
261,3.222,1
171,2.111,1
272,4.25,1
234,2.889,1
210,2.1,1
56,0.875,1
280,2.8,1
64,1,1
552,8.625,1
168,2.625,1
63,0.778,1
64,1,1
208,3.25,1
1450,14.5,1
56,0.875,1
484,4,1
128,2,1
80,1.25,1
400,4,1
350,3.5,1
456,7.125,1
130,1.3,1
104,1.625,1
408,6.375,1
25,25,1
152,2.375,1
200,3.125,1
40,0.625,1
2312,0.5,5
171,2.111,1
340,3.4,1
180,2.222,1
117,1.444,1
40,2.5,1
819,10.111,1
15,0.6,1
50,2,1
2280,22.8,1
56,0.875,1
24,0.667,1
2620,26.2,1
184,2.875,1
160,2.5,1
112,1.75,1
184,2.875,1
112,1.75,1
70,2.8,1
2871,23.727,1
162,2,1
380,3.8,1
990,9.9,1
310,3.1,1
310,3.1,1
126,2.571,1
630,6.3,1
98,2,1
176,2.75,1
371,7.571,1
70,2.8,1
135,5.4,1
176,2.75,1
1190,11.9,1
340,3.4,1
1570,15.7,1
72,1.125,1
450,4.5,1
2882,23.818,1
1452,12,1
72,1.125,1
224,3.5,1
144,2.25,1
952,14.875,1
264,4.125,1
220,2.2,1
2925,17.308,1
4625,7.4,1
7275,11.64,1
656,10.25,1
4590,56.667,1
84,1.714,1
35,35,1
2240,35,1
560,11.429,1
60,60,1
656,10.25,1
20,0.8,1
1620,20,1
984,15.375,1
1072,268,2
2160,26.667,1
3633,74.143,1
1379,28.143,1
1712,26.75,1
927,11.444,1
4064,63.5,1
12375,19.8,1
1530,18.889,1
1216,19,1
4280,66.875,1
4806,59.333,1
1242,15.333,1
1074,268.5,2
2556,31.556,1
3255,3.387,5
532,2.714,1
918,11.333,1
2250,27.778,1
4815,59.444,1
4464,7.75,1
1629,20.111,1
927,11.444,1
1488,23.25,1
63,63,2
145,5.8,1
109,109,1
860,8.6,1
2826,34.889,1
1400,21.875,1
1386,28.286,1
798,4.071,1
112,1.75,1
320,5,1
91,1.857,1
138,34.5,1
98,2,1
392,24.5,1
1539,19,1
60,60,1
1744,27.25,1
3170,31.7,1
576,9,1
644,13.143,1
3267,40.333,1
798,4.071,1
1830,2.033,5
396,24.75,1
963,11.889,1
2205,45,1
1080,13.333,1
4080,63.75,1
5110,51.1,1
1467,18.111,1
65,2.6,1
490,19.6,1
928,1.103,3
4280,66.875,1
2988,36.889,1
497,10.143,1
483,9.857,1
38,0.026,4
220,1.818,1
413,413,2
603,7.444,1
9,1,1
126,1.556,1
105,2.143,1
871,5.154,1
480,3.333,1
