@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4-5,11'

@attribute Eccen numeric
@attribute P_black numeric
@attribute Class {1,2,3,4,5}

@data
1.4,0.371,1
1.6,0.375,1
1,0.4,1
0.727,0.602,1
50.5,0.54,2
9,0.806,2
10.222,0.292,1
4.556,0.298,1
6.3,0.233,1
10,1,2
8,1,2
0.727,0.705,1
0.727,0.443,1
3.818,0.335,1
6,0.31,1
13,0.425,1
5.444,0.594,1
2.222,0.339,1
19,0.789,2
24.214,0.248,1
0.043,0.419,4
19.333,0.178,1
3.857,0.101,1
10.778,0.466,1
2.333,0.354,1
51,0.471,2
3.857,0.238,1
49,0.286,1
4,0.42,1
2.333,0.392,1
8,0.314,1
33,1,2
4.889,0.467,1
8,0.875,2
4.333,0.293,1
11,1,2
28.75,0.426,2
2.286,0.42,1
5.1,0.306,1
2.667,0.537,1
9.8,0.376,1
5.222,0.492,1
7.8,0.381,1
12.167,0.091,5
13.444,0.399,1
4.556,0.444,1
5.545,0.361,1
4,0.556,1
2.333,0.487,1
8.167,0.267,1
5.3,0.343,1
9.111,0.408,1
9.111,0.374,1
2.043,0.315,1
6.5,0.475,1
4.3,0.458,1
2.286,0.241,1
1.909,0.468,1
0.727,0.693,1
4,0.506,1
1.75,0.143,1
3.778,0.31,1
7.727,0.268,1
1.2,0.367,1
13,0.692,2
1,0.25,1
13.444,0.322,1
6,0.328,1
2.538,0.245,1
0.818,0.404,1
10.111,0.302,1
9.182,0.264,1
5.5,0.486,1
39,0.897,2
4.25,0.309,1
18.667,0.065,1
61,0.488,2
12,0.065,2
4.9,0.529,1
8.778,0.323,1
9,0.357,1
0.167,0.625,4
1.5,0.438,1
9.8,0.3,1
102,0.412,2
7.222,0.463,1
9.556,0.337,1
23.667,0.115,2
14,0.857,2
4,0.491,1
7,0.289,1
2.125,0.294,1
10.375,0.294,1
3.556,0.302,1
10,0.41,1
9.556,0.3,1
19.167,0.164,1
4.833,0.339,1
4.111,0.453,1
33.846,0.255,1
9.833,0.309,1
1.946,0.12,5
10.789,0.254,1
8.846,0.314,1
10.7,0.273,1
7.75,0.357,1
23.75,0.326,1
7.7,0.469,1
16.714,0.383,1
34.167,0.333,1
101.33,0.555,2
8.75,0.388,1
8.333,0.327,1
3.5,0.42,1
4.167,0.345,1
41.417,0.297,1
12,0.376,1
30.667,0.323,1
31.5,0.324,1
8.75,0.332,1
5.583,0.35,1
66.6,0.374,2
4.444,0.494,1
19.333,0.316,1
11.9,0.392,1
12.1,0.415,1
4.259,0.293,1
8.3,0.425,1
18.1,0.491,1
41.3,0.315,1
5.1,0.41,1
5.75,0.4,1
6.5,0.466,1
2.667,0.227,1
1.889,0.144,5
27.2,0.232,1
0.933,0.11,5
27.1,0.267,1
2,0.139,5
34,0.187,1
27.1,0.187,1
27.1,0.176,1
9.75,0.244,1
2,0.357,1
27.1,0.168,1
18.286,0.203,1
3,0.4,1
6,0.36,1
2.75,0.364,1
15,0.259,1
1.778,0.208,1
2.167,0.295,1
6.4,0.431,1
2.833,0.255,1
2.6,0.246,1
22,0.5,2
3,0.296,1
11.889,0.204,1
2.111,0.269,1
3.2,0.425,1
6.111,0.251,1
3.667,0.326,1
2,0.388,1
1.857,0.297,1
3,0.327,1
3.286,0.248,1
2.143,0.314,1
3.375,0.236,1
0.5,0.375,1
5.429,0.226,1
5.5,0.268,1
1.857,0.374,1
3.714,0.269,1
1,0.36,1
5.333,0.273,1
3.556,0.24,1
1.167,0.262,1
2.625,0.232,1
2.714,0.248,1
1,0.347,1
3.5,0.349,1
2.667,0.198,1
2.429,0.261,1
3.6,0.4,1
4.286,0.3,1
1.571,0.247,1
2.286,0.241,1
2.222,0.294,1
0.571,0.25,1
6.143,0.292,1
1,0.306,1
3.111,0.25,1
3.167,0.307,1
1.571,0.416,1
4.778,0.274,1
2.167,0.333,1
4.9,0.165,1
1.833,0.394,1
2,0.347,1
25.1,0.179,1
3.429,0.268,1
1.571,0.325,1
2.8,0.386,1
8,0.319,1
1.833,0.333,1
0.556,0.244,1
2.444,0.212,1
1.571,0.416,1
1,0.327,1
1.6,0.55,1
1.8,0.333,1
3.714,0.374,1
2.333,0.298,1
5.5,0.303,1
11.333,0.257,1
1.286,0.302,1
3.571,0.331,1
1,0.234,1
1.857,0.286,1
4.556,0.201,1
22.444,0.087,1
2.833,0.294,1
1.571,0.221,1
3.286,0.298,1
0.6,0.6,1
1.857,0.275,1
2.714,0.263,1
65,0.646,2
1.125,0.361,1
1,0.107,5
0.125,0.875,4
1.655,0.116,5
3,0.333,1
1.5,0.417,1
2.286,0.446,1
0.19,0.31,5
2.474,0.078,5
1.364,0.358,1
1.125,0.403,1
1.125,0.319,1
12.889,0.339,1
1.5,0.448,1
3.6,0.367,1
1.333,0.646,1
17,1,2
0.875,0.411,1
3.625,0.453,1
4,0.395,1
0.667,0.625,1
1.25,0.425,1
6.125,0.441,1
1.714,0.464,1
3,0.358,1
6.25,0.428,1
0.75,0.396,1
5.429,0.414,1
0.8,0.7,1
1.5,0.479,1
24.727,0.281,1
1.75,0.446,1
2.182,0.307,1
2,0.438,1
3,0.307,1
2,0.43,1
5,0.268,1
6,0.495,1
2.75,0.403,1
4.1,0.312,1
0.7,0.329,1
1.5,0.417,1
11.455,0.273,1
4.556,0.374,1
5,0.408,1
0.5,0.438,1
2.6,0.3,1
1.125,0.361,1
4.625,0.392,1
3.25,0.409,1
5.2,0.306,1
6.5,0.393,1
13.273,0.238,1
5.25,0.375,1
2.143,0.4,1
12.667,0.272,1
6.1,0.29,1
15.571,0.283,1
0.448,0.169,5
2.4,0.6,1
5.5,0.295,1
14.4,0.256,1
4.909,0.273,1
5.375,0.387,1
6.2,0.265,1
0.735,0.256,5
4.125,0.375,1
1.333,0.604,1
3.667,0.357,1
2.778,0.329,1
4.375,0.425,1
3.6,0.367,1
7.9,0.244,1
2.375,0.395,1
4.875,0.423,1
2.3,0.287,1
1.9,0.326,1
3,0.26,1
1.5,0.396,1
1.5,0.479,1
3.875,0.375,1
2.6,0.354,1
2.875,0.375,1
4.875,0.369,1
1.5,0.427,1
1.6,0.675,1
0.667,0.583,1
1.125,0.375,1
6.222,0.343,1
1.625,0.452,1
1.625,0.423,1
1.4,0.686,1
0.625,0.475,1
8.818,0.266,1
4.444,0.275,1
2.625,0.417,1
3.667,0.36,1
1.75,0.42,1
2.3,0.37,1
1.286,0.429,1
3.125,0.3,1
3.571,0.349,1
0.857,0.357,1
4.6,0.452,1
