@relation page-blocks

@attribute Height numeric
@attribute Area numeric
@attribute Class {1,2,3,4,5}

@data
8,168,1
11,121,1
8,296,1
11,132,1
9,3141,1
8,400,1
7,91,1
20,320,1
7,77,1
9,738,1
8,248,1
7,245,1
10,100,1
8,384,1
9,387,1
8,128,1
12,876,1
10,510,1
10,110,1
10,530,1
3,24,1
8,2416,1
8,160,1
7,287,1
8,360,1
10,170,1
4,8,1
6,78,1
25,4225,1
7,119,1
10,180,1
7,126,1
8,120,1
9,729,1
5,35,1
8,2176,1
6,570,1
8,288,1
8,1080,1
1,29,1
5,85,1
9,198,1
7,70,1
8,64,1
10,550,1
8,48,1
9,2088,1
10,1550,1
13,4602,1
7,952,1
9,333,1
7,413,1
7,315,1
9,171,1
6,90,1
16,6784,1
8,1648,1
8,248,1
9,1863,1
6,432,1
10,1310,1
9,153,1
16,5392,1
10,5110,1
3,21,1
6,186,1
4,1012,1
11,473,1
10,2120,1
8,72,1
10,110,1
9,972,1
7,168,1
6,294,1
24,4080,1
11,220,1
6,54,1
8,760,1
11,1100,1
10,360,1
8,88,1
7,63,1
26,4784,1
8,96,1
10,290,1
2,14,1
1,89,1
8,640,1
16,6784,1
9,45,1
9,423,1
6,192,1
14,4746,1
5,35,1
8,232,1
5,40,1
7,371,1
9,963,1
25,2950,1
8,1520,1
9,522,1
7,98,1
5,375,1
10,280,1
13,1001,1
10,1540,1
9,1107,1
9,594,1
7,77,1
6,234,1
12,2004,1
10,790,1
11,264,1
11,77,1
9,2799,1
7,119,1
9,387,1
5,65,1
7,98,1
8,432,1
1,47,1
8,112,1
6,108,1
8,288,1
12,108,1
6,576,1
8,104,1
3,1272,1
9,441,1
9,4815,1
13,1092,1
8,312,1
7,49,1
7,98,1
5,465,1
10,2050,1
8,1056,1
12,864,1
8,128,1
12,4596,1
7,77,1
9,774,1
6,138,1
8,504,1
10,290,1
8,128,1
6,42,1
7,77,1
10,2680,1
7,28,1
10,260,1
7,294,1
8,664,1
9,4806,1
10,350,1
8,1848,1
9,891,1
11,429,1
8,496,1
8,1616,1
7,1477,1
10,270,1
8,280,1
6,222,1
7,427,1
8,128,1
5,90,1
10,730,1
8,832,1
12,300,1
10,470,1
14,5460,1
24,3984,1
8,160,1
11,2178,1
7,644,1
8,136,1
6,72,1
6,174,1
11,264,1
5,480,1
13,78,1
8,744,1
8,1128,1
9,81,1
10,1470,1
7,49,1
3,93,1
9,990,1
9,1575,1
7,161,1
6,276,1
9,918,1
23,1081,1
8,240,1
10,580,1
10,410,1
7,182,1
13,5018,1
1,60,1
7,287,1
5,40,1
8,544,1
8,304,1
10,1740,1
13,3692,1
10,1550,1
6,408,1
10,250,1
6,264,1
7,210,1
3,12,1
7,133,1
9,756,1
5,165,1
8,200,1
9,4815,1
9,4815,1
6,450,1
10,330,1
12,3252,1
10,340,1
12,2016,1
5,65,1
9,297,1
9,261,1
8,80,1
10,400,1
9,918,1
11,286,1
28,9324,1
9,1368,1
8,552,1
4,44,1
9,306,1
11,330,1
6,36,1
10,1000,1
22,440,1
5,20,1
6,216,1
9,135,1
9,720,1
11,825,1
5,40,1
3,42,1
7,273,1
11,792,1
17,408,1
13,1495,1
9,4590,1
9,495,1
9,612,1
5,140,1
12,1404,1
8,392,1
7,280,1
8,120,1
7,266,1
5,20,1
7,378,1
8,320,1
8,304,1
11,946,1
1,50,1
7,77,1
7,294,1
14,5390,1
10,2150,1
6,1032,1
10,760,1
7,245,1
7,161,1
10,2510,1
6,306,1
11,2871,1
8,2384,1
5,15,1
9,171,1
8,176,1
9,126,1
24,4272,1
7,70,1
10,1650,1
7,245,1
10,340,1
6,144,1
9,531,1
7,98,1
10,180,1
11,77,1
17,6613,1
17,187,1
9,333,1
9,306,1
7,854,1
8,1392,1
25,3825,1
11,242,1
9,1188,1
11,2695,1
9,1467,1
6,78,1
7,161,1
6,576,1
16,384,1
8,192,1
7,798,1
6,66,1
12,4908,1
10,2400,1
24,2016,1
5,125,1
7,49,1
10,3170,1
8,152,1
11,110,1
7,35,1
8,336,1
