@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R3-5,10-11'

@attribute Area numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
24,0.667,0.417,4,1
35,1.4,0.429,3,1
42,1.167,0.405,4,1
325,1.923,0.234,7,1
385,3.182,0.382,24,1
380,3.8,0.426,52,1
530,5.3,0.294,87,1
1122,9.273,0.223,163,1
672,4.667,0.256,85,1
40,10,0.775,1,2
946,7.818,0.413,126,1
1111,9.182,0.398,160,1
1309,10.818,0.261,181,1
1309,10.818,0.236,177,1
384,6,0.302,66,1
36,9,0.722,1,2
119,2.429,0.227,10,1
171,2.111,0.292,19,1
594,7.333,0.323,96,1
306,3.778,0.337,57,1
245,5,0.453,45,1
175,7,0.2,8,1
48,5.333,0.375,8,1
729,9,0.388,119,1
110,1.1,0.382,28,1
288,3.556,0.333,57,1
32,2,0.344,6,1
1000,10,0.449,159,1
738,9.111,0.337,124,1
892,223,0.439,22,2
19296,8.375,0.055,256,5
140752,1.523,0.063,2273,5
684,8.444,0.363,114,1
102,2.833,0.275,14,1
230,9.2,0.278,29,1
8778,24.316,0.523,272,2
490,4.9,0.551,88,1
52,52,0.538,2,2
572,1.182,0.283,84,1
340,3.4,0.356,66,1
3737,2.73,0.282,432,1
210,2.1,0.362,36,1
48,48,0.875,4,2
472,7.375,0.292,76,1
207,2.556,0.3,41,1
660,6.6,0.324,95,1
790,7.9,0.347,122,1
800,8,0.308,122,1
126,2.571,0.119,7,1
847,17.286,0.276,131,1
88,0.727,0.727,6,1
77,0.636,0.468,1,1
441,5.444,0.592,88,1
702,8.667,0.329,110,1
108,1.333,0.407,28,1
567,7,0.298,84,1
825,6.818,0.27,107,1
96,1.5,0.469,28,1
1224,8.5,0.257,178,1
312,2.167,0.224,43,1
946,7.818,0.289,138,1
48,0.75,0.583,4,1
891,11,0.461,155,1
112,1.75,0.268,10,1
231,1.909,0.316,17,1
670,6.7,0.291,90,1
288,3.556,0.354,60,1
800,8,0.279,116,1
864,6,0.281,113,1
729,9,0.328,117,1
88,0.727,0.261,11,1
675,8.333,0.373,113,1
1010,10.1,0.45,154,1
765,9.444,0.308,121,1
387,4.778,0.47,55,1
378,4.667,0.344,61,1
1170,14.444,0.513,210,1
189,2.333,0.365,30,1
902,7.455,0.236,108,1
189,2.333,0.323,34,1
56,0.875,0.321,3,1
288,3.556,0.299,41,1
368,5.75,0.315,65,1
440,4.4,0.441,66,1
4214,21.5,0.257,458,1
1107,13.667,0.359,143,1
7830,0.115,0.063,205,4
24,0.375,0.5,4,1
24,0.375,0.458,4,1
80,0.8,0.688,6,1
90,0.9,0.522,5,1
168,2.625,0.548,26,1
864,6,0.228,110,1
873,10.778,0.317,157,1
286,2.364,0.283,37,1
608,9.5,0.388,112,1
1160,11.6,0.273,186,1
1310,13.1,0.487,217,1
6192,4.778,0.128,164,5
1508,8.923,0.279,183,1
11,0.091,1,1,4
306,3.778,0.366,47,1
322,6.571,0.304,38,1
162,18,0.364,7,2
1086,30.167,0.298,192,1
568,8.875,0.407,112,1
495,19.8,0.356,117,1
5291,31.308,0.266,609,1
693,5.727,0.332,83,1
684,19,0.278,108,1
196,4,0.337,31,1
1562,3.227,0.487,75,1
1548,10.75,0.303,187,1
363,3,0.295,54,1
1562,3.227,0.519,72,1
560,8.75,0.463,112,1
319,2.636,0.408,42,1
600,16.667,0.385,134,1
81,1,0.63,10,1
1464,22.875,0.288,202,1
407,3.364,0.371,75,1
5964,41.417,0.278,731,1
216,3.375,0.218,21,1
684,8.444,0.436,126,1
744,11.625,0.261,125,1
805,16.429,0.273,128,1
552,8.625,0.312,90,1
819,10.111,0.233,112,1
1016,15.875,0.314,161,1
1144,9.455,0.377,168,1
12,3,0.667,2,2
972,12,0.364,165,1
1144,9.455,0.367,164,1
534,14.833,0.403,106,1
1152,3.556,0.261,93,1
260,2.6,0.312,40,1
169,1,0.124,6,5
2168,33.875,0.314,375,1
168,2.625,0.28,34,1
42,0.857,0.214,1,1
49,1,0.367,13,1
4900,0.49,0.093,259,5
329,6.714,0.158,9,5
2981,24.636,0.162,355,1
470,4.7,0.223,65,1
520,8.125,0.269,100,1
2981,24.636,0.168,371,1
1970,19.7,0.144,228,1
768,12,0.111,63,1
2710,27.1,0.193,380,1
98,2,0.357,19,1
49,1,0.286,9,1
126,2.571,0.31,28,1
60,2.4,0.383,12,1
98,2,0.337,20,1
120,1.2,0.183,10,1
