@relation page-blocks

@attribute Height numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
12,753,1
8,40,1
8,184,1
8,309,1
1,7,1
10,2027,1
11,1572,1
8,51,1
6,76,1
10,548,1
6,186,1
7,99,1
3,84,1
6,737,1
6,33,1
17,300,1
6,310,1
11,1830,1
7,140,1
8,24,1
9,298,1
9,2782,1
11,887,1
9,531,1
9,218,1
7,84,1
9,3208,1
10,738,1
9,431,1
4,373,1
8,1846,1
7,108,1
10,174,1
7,75,1
7,171,1
14,1904,1
8,273,1
8,2166,1
5,116,1
10,421,1
8,757,1
9,561,1
9,1054,1
13,1410,1
5,441,1
10,156,1
7,183,1
9,144,1
7,572,1
13,2852,1
14,2022,1
7,483,1
5,142,1
8,151,1
25,7872,1
10,282,1
10,818,1
8,530,1
9,485,1
13,1462,1
7,202,1
5,142,1
10,1567,1
5,115,1
6,39,1
7,110,1
8,109,1
3,11,1
11,743,1
17,3448,1
8,325,1
11,943,1
7,845,1
6,208,1
10,111,1
7,57,1
13,2371,1
10,1049,1
1,47,1
8,697,1
9,1425,1
10,117,1
11,62,1
7,85,1
8,531,1
9,448,1
7,207,1
13,3363,1
11,1781,1
4,44,1
13,572,1
7,54,1
8,167,1
9,2069,1
8,337,1
8,750,1
12,1965,1
7,204,1
8,672,1
10,1092,1
8,876,1
8,248,1
9,1316,1
7,965,1
9,1483,1
8,516,1
5,128,1
11,217,1
8,132,1
7,285,1
24,4410,1
5,35,1
12,4478,1
7,71,1
8,490,1
8,546,1
9,126,1
10,59,1
8,302,1
10,225,1
9,207,1
8,72,1
10,649,1
11,194,1
14,3357,1
9,206,1
10,182,1
9,753,1
6,163,1
7,790,1
25,1328,1
8,73,1
11,211,1
17,152,1
9,2731,1
21,881,1
6,36,1
16,3949,1
14,1013,1
11,76,1
7,175,1
7,120,1
11,1105,1
10,1945,1
6,417,1
6,214,1
17,4152,1
8,2566,1
14,1687,1
9,191,1
7,152,1
5,31,1
10,71,1
6,76,1
7,476,1
11,959,1
6,73,1
7,206,1
7,28,1
12,4374,1
9,292,1
14,2667,1
5,28,1
9,363,1
12,2342,1
10,332,1
10,1878,1
8,160,1
10,53,1
9,228,1
9,3524,1
4,48,1
10,1113,1
13,3435,1
7,76,1
8,459,1
10,1550,1
10,104,1
8,57,1
7,302,1
3,213,1
8,200,1
6,222,1
8,109,1
12,3474,1
8,182,1
10,362,1
9,400,1
7,52,1
6,64,1
9,139,1
7,54,1
10,863,1
8,334,1
9,93,1
4,86,1
7,126,1
9,103,1
11,842,1
11,464,1
10,261,1
8,823,1
1,109,1
4,137,1
9,1724,1
7,133,1
5,86,1
5,10,1
9,162,1
18,2207,1
6,173,1
10,240,1
9,336,1
5,102,1
9,43,1
6,95,1
7,535,1
8,97,1
7,130,1
9,884,1
8,110,1
9,547,1
12,793,1
10,105,1
12,364,1
10,149,1
6,102,1
11,254,1
4,668,1
9,216,1
8,456,1
11,698,1
8,214,1
7,28,1
7,108,1
11,72,1
6,90,1
10,123,1
7,103,1
7,243,1
11,561,1
7,44,1
8,838,1
7,385,1
8,112,1
11,451,1
24,4068,1
24,4094,1
6,278,1
10,204,1
10,618,1
9,312,1
10,80,1
8,326,1
6,45,1
9,793,1
6,250,1
15,1552,1
5,293,1
8,603,1
8,86,1
7,47,1
6,168,1
8,94,1
8,119,1
3,13,1
7,43,1
10,233,1
9,2339,1
19,485,1
8,284,1
8,416,1
11,1616,1
22,1356,1
9,151,1
11,193,1
6,52,1
11,663,1
9,315,1
11,560,1
6,95,1
8,104,1
5,132,1
6,743,1
8,93,1
6,150,1
7,990,1
9,199,1
7,421,1
12,96,1
8,160,1
1,123,1
8,262,1
9,129,1
9,112,1
5,172,1
9,2491,1
9,598,1
5,122,1
7,189,1
10,1147,1
9,820,1
7,154,1
5,134,1
8,960,1
9,701,1
10,142,1
7,76,1
8,72,1
6,437,1
7,69,1
7,948,1
8,1702,1
6,96,1
10,252,1
7,97,1
8,197,1
4,384,1
9,1745,1
9,283,1
7,203,1
7,102,1
9,1852,1
10,1581,1
13,2003,1
8,500,1
8,158,1
10,872,1
9,299,1
7,98,1
10,341,1
9,543,1
8,467,1
9,515,1
9,1141,1
9,2590,1
5,872,1
7,57,1
9,569,1
8,377,1
9,890,1
9,1178,1
12,1086,1
7,196,1
4,32,1
8,957,1
7,120,1
14,1378,1
5,30,1
8,465,1
5,73,1
9,994,1
13,3727,1
10,1672,1
23,4548,1
10,2147,1
11,2670,1
14,2819,1
7,289,1
7,220,1
10,592,1
11,1230,1
8,721,1
9,181,1
8,973,1
12,811,1
14,472,1
5,465,1
10,212,1
1,31,1
9,366,1
6,54,1
8,151,1
11,932,1
8,693,1
7,88,1
8,157,1
5,89,1
8,136,1
8,111,1
7,738,1
6,47,1
17,3568,1
9,114,1
13,229,1
8,1280,1
9,1363,1
8,176,1
7,44,1
16,3820,1
7,187,1
10,509,1
8,40,1
19,1606,1
5,99,1
10,806,1
8,303,1
8,276,1
9,894,1
10,1069,1
7,52,1
9,108,1
8,472,1
6,168,1
4,289,1
10,196,1
5,138,1
7,341,1
9,103,1
7,240,1
9,1081,1
8,176,1
9,131,1
10,659,1
5,34,1
8,137,1
10,358,1
11,215,1
8,340,1
17,3680,1
10,62,1
9,28,1
14,3066,1
9,478,1
11,815,1
24,4082,1
23,2760,1
1,40,1
10,120,1
19,498,1
11,42,1
5,144,1
7,42,1
9,172,1
10,234,1
7,1126,1
3,8,1
10,301,1
10,566,1
11,619,1
9,643,1
9,53,1
5,16,1
7,74,1
9,355,1
7,56,1
10,353,1
11,731,1
9,649,1
7,61,1
8,74,1
10,80,1
25,6663,1
25,6676,1
6,133,1
9,282,1
9,1025,1
10,246,1
5,48,1
9,213,1
7,77,1
9,167,1
1,177,1
7,64,1
8,89,1
9,632,1
13,557,1
10,908,1
8,95,1
6,99,1
8,382,1
9,690,1
6,830,1
11,305,1
11,106,1
9,144,1
9,854,1
9,3224,1
6,52,1
6,20,1
6,493,1
6,41,1
8,88,1
7,75,1
8,69,1
13,1296,1
8,116,1
9,194,1
8,252,1
9,616,1
7,141,1
23,5488,1
9,1198,1
7,230,1
8,210,1
9,3214,1
11,575,1
10,268,1
1,89,1
9,890,1
8,176,1
6,66,1
8,56,1
10,289,1
9,1303,1
6,42,1
11,511,1
5,38,1
9,1307,1
18,876,1
9,387,1
