@relation page-blocks

@attribute Height numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
14,481,1
9,486,1
6,57,1
10,23,1
8,8,1
8,23,1
7,23,1
9,74,1
8,38,1
7,10,1
9,252,1
1,2,1
10,171,1
10,66,1
6,5,1
9,171,1
9,154,1
3,8,1
5,1,1
7,13,1
8,20,1
7,61,1
19,35,1
11,8,1
8,91,1
7,29,1
7,32,1
6,16,1
8,75,1
11,331,1
6,30,1
10,42,1
9,37,1
8,36,1
7,72,1
7,27,1
10,254,1
6,48,1
13,221,1
5,15,1
7,52,1
10,72,1
10,14,1
9,28,1
11,79,1
9,35,1
10,319,1
7,14,1
6,120,1
10,321,1
7,43,1
10,318,1
4,57,1
60,403,1
38,1815,1
9,336,1
10,386,1
13,43,1
11,138,1
14,651,1
9,328,1
7,51,1
8,98,1
9,530,1
8,22,1
9,110,1
13,547,1
6,16,1
5,9,1
10,559,1
8,15,1
11,24,1
9,27,1
9,57,1
9,36,1
10,10,1
10,80,1
17,431,1
9,175,1
11,366,1
8,2,1
8,39,1
8,67,1
9,125,1
7,38,1
8,33,1
9,82,1
10,94,1
8,196,1
24,158,1
13,463,1
7,31,1
9,138,1
9,180,1
8,55,1
19,9,1
9,314,1
7,17,1
8,55,1
9,65,1
6,3,1
6,89,1
10,193,1
9,155,1
8,244,1
9,144,1
9,69,1
10,351,1
6,18,1
8,47,1
7,260,1
5,117,1
5,45,1
9,58,1
12,248,1
5,37,1
8,89,1
10,80,1
9,218,1
8,64,1
11,32,1
9,532,1
6,38,1
8,25,1
12,14,1
12,176,1
11,388,1
7,117,1
8,106,1
8,46,1
1,16,1
6,1,1
8,134,1
8,155,1
11,5,1
13,537,1
9,342,1
7,7,1
10,83,1
9,75,1
8,30,1
9,88,1
8,82,1
8,88,1
10,66,1
7,19,1
8,17,1
5,43,1
7,32,1
7,54,1
9,111,1
5,3,1
10,146,1
4,6,1
22,72,1
11,206,1
9,69,1
9,27,1
10,263,1
9,69,1
10,66,1
7,21,1
11,101,1
9,59,1
13,395,1
9,88,1
5,31,1
9,146,1
7,77,1
8,6,1
10,68,1
7,46,1
10,42,1
9,171,1
7,62,1
5,7,1
10,87,1
10,23,1
9,676,1
8,49,1
13,637,1
9,225,1
8,20,1
15,410,1
9,119,1
11,177,1
9,65,1
8,351,1
7,92,1
10,45,1
8,20,1
12,404,1
36,292,1
10,447,1
23,162,1
8,45,1
13,19,1
9,126,1
6,6,1
19,21,1
5,12,1
7,3,1
14,207,1
11,13,1
5,7,1
26,456,1
8,22,1
7,14,1
7,54,1
8,67,1
9,151,1
7,15,1
3,1,1
6,60,1
16,401,1
13,82,1
8,111,1
8,19,1
12,291,1
8,8,1
8,11,1
6,46,1
6,14,1
13,108,1
16,218,1
9,176,1
15,107,1
10,86,1
10,49,1
10,99,1
11,173,1
10,89,1
12,184,1
7,18,1
8,53,1
9,56,1
12,17,1
9,10,1
7,1,1
10,51,1
6,14,1
27,613,1
10,15,1
7,29,1
7,3,1
9,193,1
5,82,1
2,6,1
10,575,1
12,181,1
8,6,1
7,64,1
7,6,1
8,126,1
11,332,1
3,59,1
7,48,1
5,2,1
10,49,1
10,124,1
8,44,1
9,35,1
6,31,1
7,31,1
10,40,1
8,40,1
10,56,1
7,111,1
12,193,1
9,63,1
7,49,1
6,18,1
8,14,1
10,382,1
10,557,1
7,12,1
19,439,1
9,94,1
8,486,1
13,344,1
4,12,1
10,88,1
9,115,1
8,294,1
5,45,1
16,418,1
10,10,1
8,69,1
9,164,1
31,408,1
7,27,1
16,201,1
7,11,1
7,50,1
9,52,1
7,20,1
9,46,1
1,19,1
7,14,1
7,204,1
9,30,1
7,38,1
8,40,1
4,26,1
10,202,1
9,65,1
7,11,1
7,26,1
9,113,1
8,48,1
8,31,1
9,61,1
9,50,1
4,96,1
9,419,1
8,61,1
10,123,1
11,10,1
6,46,1
6,8,1
10,160,1
7,14,1
6,52,1
7,29,1
9,525,1
7,44,1
9,74,1
6,83,1
7,82,1
8,26,1
10,65,1
9,313,1
5,77,1
14,377,1
9,358,1
10,34,1
12,245,1
23,242,1
9,29,1
9,131,1
5,21,1
6,14,1
8,25,1
8,44,1
8,35,1
7,13,1
10,94,1
15,167,1
7,19,1
8,6,1
9,469,1
24,269,1
5,4,1
5,22,1
7,12,1
9,35,1
9,220,1
11,144,1
1,19,1
5,26,1
8,146,1
7,137,1
12,171,1
11,3,1
11,67,1
7,77,1
5,17,1
7,215,1
7,55,1
9,147,1
9,132,1
11,210,1
8,22,1
6,106,1
9,44,1
11,98,1
11,74,1
10,45,1
8,154,1
8,62,1
8,42,1
5,9,1
6,111,1
9,114,1
9,326,1
7,128,1
7,279,1
9,618,1
6,103,1
1,11,1
6,15,1
8,87,1
7,17,1
4,6,1
8,98,1
11,30,1
10,14,1
12,142,1
13,190,1
8,6,1
11,93,1
10,55,1
7,79,1
9,28,1
9,86,1
10,121,1
