@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,8-9,11'

@attribute Height numeric
@attribute Blackpix numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
5,15,31,1
3,84,84,2
9,81,146,1
9,237,733,1
9,212,634,1
9,210,603,1
8,10,10,1
2,60,65,2
9,175,299,1
9,55,144,1
9,182,371,1
9,116,316,1
1,8,8,2
2,11,34,1
11,46,77,1
11,47,63,1
10,383,818,1
11,242,758,1
9,241,729,1
8,152,416,1
12,174,491,1
7,33,195,1
8,57,113,1
9,218,598,1
8,81,196,1
9,372,1040,1
11,33,53,1
9,178,296,1
1,23,32,2
8,204,400,1
8,48,109,1
8,249,546,1
9,199,315,1
10,471,902,1
9,184,374,1
66,130,180,4
10,597,1115,1
1,61,61,2
8,222,634,1
9,146,357,1
306,7861,17452,5
10,439,863,1
9,280,649,1
10,329,618,1
9,198,300,1
9,136,292,1
12,28,96,1
8,52,125,1
10,73,159,1
10,132,303,1
1,31,77,2
10,632,1113,1
7,58,155,1
1,8,14,2
8,77,197,1
12,86,259,1
1,92,98,2
9,181,363,1
8,128,329,1
8,31,117,1
4,16,48,1
9,183,471,1
11,159,356,1
7,21,23,1
76,76,76,4
8,83,186,1
10,439,903,1
10,570,1078,1
6,112,198,1
1,13,14,2
12,55,71,1
11,62,88,1
1,13,14,2
9,156,324,1
11,266,625,1
9,278,736,1
12,184,546,1
8,101,320,1
7,230,547,1
10,54,80,1
10,46,71,1
9,34,99,1
8,235,551,1
9,46,108,1
9,161,515,1
9,70,223,1
8,103,257,1
8,170,328,1
9,176,348,1
11,166,691,1
10,93,252,1
17,17,17,4
10,448,1056,1
13,13,13,4
23,23,23,4
8,348,975,1
9,112,250,1
10,321,682,1
7,202,591,1
15,489,1526,1
7,400,961,1
12,458,939,1
14,1525,3625,1
5,80,169,1
4,179,446,1
8,72,116,1
10,360,607,1
8,241,621,1
9,344,843,1
13,617,1410,1
22,784,1287,1
8,328,922,1
12,637,1265,1
12,96,193,1
7,49,96,1
8,225,516,1
8,167,512,1
7,147,428,1
13,1437,3301,1
11,125,244,1
10,338,645,1
10,10,10,4
19,208,498,1
12,53,95,1
9,619,1455,1
5,8,21,5
10,482,1479,1
14,34,144,5
7,17,50,5
7,8,10,1
8,404,1172,1
10,11,42,5
10,509,1803,1
21,74,156,5
8,83,317,1
10,469,1510,1
10,441,1437,1
10,247,809,1
7,57,171,1
11,177,653,1
8,36,77,1
6,116,308,1
5,20,54,1
5,59,162,1
8,20,74,1
6,23,78,1
10,27,62,1
7,32,98,1
7,22,57,1
7,29,88,1
7,80,226,1
9,456,1501,1
7,50,125,1
7,28,71,1
7,114,322,1
5,29,66,1
10,469,1587,1
7,51,122,1
7,136,427,1
9,131,414,1
6,41,81,1
7,98,240,1
9,16,53,1
6,49,161,1
7,94,272,1
5,16,35,1
7,25,72,1
7,33,91,1
7,8,28,1
7,31,77,1
7,28,71,1
7,19,49,1
5,31,61,1
7,40,108,1
7,69,210,1
9,36,99,1
9,50,117,1
7,32,121,1
6,20,64,1
8,61,188,1
7,45,109,1
5,13,29,1
4,31,74,1
7,68,180,1
9,42,90,1
8,27,82,1
7,61,195,1
7,38,136,1
7,35,114,1
7,22,47,1
9,22,73,1
7,101,325,1
7,50,98,1
7,36,105,1
9,95,307,1
7,15,47,1
4,9,15,1
7,53,133,1
5,8,15,1
7,66,230,1
7,35,83,1
9,181,415,1
5,10,14,1
7,81,221,1
8,31,120,1
7,45,133,1
7,52,135,1
7,85,251,1
6,96,259,1
7,75,211,1
7,24,55,1
9,47,110,1
5,67,157,1
8,79,317,1
7,115,331,1
8,88,170,1
24,60,163,5
8,46,102,1
8,61,128,1
8,108,189,1
7,9,38,5
8,59,152,1
9,40,108,1
11,67,177,1
11,118,350,1
21,46,84,1
13,21,36,5
8,65,176,1
9,29,74,1
8,14,19,5
10,105,250,1
9,28,71,1
8,34,74,1
9,133,380,1
8,92,236,1
9,53,118,1
9,520,1758,1
8,33,71,1
9,120,254,1
9,67,142,1
10,102,170,1
8,42,103,1
10,159,328,1
10,50,107,1
8,66,128,1
8,77,136,1
8,41,95,1
10,215,543,1
8,44,89,1
6,80,185,1
11,212,575,1
10,93,217,1
8,99,284,1
8,44,90,1
8,103,248,1
11,140,308,1
8,59,119,1
10,191,469,1
9,57,146,1
8,124,336,1
5,24,41,1
12,698,1810,1
8,92,194,1
9,65,157,1
11,131,302,1
8,42,94,1
8,111,273,1
6,47,78,1
8,54,145,1
8,26,61,1
10,71,212,1
8,51,89,2
8,54,85,1
7,14,28,1
10,427,1244,1
8,80,183,1
1,7,7,1
5,7,7,1
5,38,59,1
5,28,36,1
5,47,73,1
5,36,52,1
5,49,81,1
8,57,166,1
10,676,2001,1
9,29,59,1
8,36,89,1
10,96,273,1
6,10,10,1
10,116,246,1
8,28,44,1
6,81,150,1
5,64,102,1
5,59,100,1
5,33,45,1
8,54,76,1
8,86,153,1
5,58,90,1
8,42,96,1
10,52,124,1
11,64,165,1
8,16,47,1
8,93,205,1
7,21,42,1
10,56,127,1
7,170,378,1
8,44,79,1
11,747,2271,1
10,85,204,1
10,34,93,1
7,76,141,1
8,100,258,1
8,124,310,1
10,133,251,1
8,161,439,1
8,46,100,1
10,138,278,1
8,162,298,1
8,27,53,1
8,167,427,1
8,85,184,1
8,31,72,1
8,29,73,1
7,76,175,1
10,27,70,1
10,95,272,1
11,201,566,1
8,111,276,1
6,20,41,1
8,50,92,1
10,81,174,1
5,21,35,1
8,96,251,1
8,158,366,1
7,12,21,1
11,685,1643,1
7,100,200,1
10,110,304,1
8,12,24,1
7,61,154,1
8,136,332,1
7,109,210,1
8,161,388,1
10,452,1026,1
7,34,83,1
8,106,211,1
28,411,654,1
7,672,1346,1
8,197,825,1
1,10,13,1
5,126,392,1
7,18,72,1
8,54,190,1
9,374,1570,1
25,2221,4433,1
9,732,2379,1
9,629,2482,1
10,703,2771,1
13,164,462,1
9,216,756,1
9,537,1129,1
9,130,502,1
7,278,1099,1
8,153,470,1
2,419,480,2
2,43,64,2
9,681,2465,1
9,358,1545,1
9,655,2399,1
2,479,517,2
1,537,537,2
8,174,745,1
28,414,647,3
9,507,1104,1
8,290,1384,1
1,263,278,2
