@relation page-blocks

@attribute Height numeric
@attribute Lenght numeric
@attribute Eccen numeric
@attribute Mean_tr numeric
@attribute Class {1,2,3,4,5}

@data
4,96,24,2.56,1
8,124,15.5,2.6,1
10,100,10,2.53,1
9,270,30,1.27,1
7,30,4.286,1.77,1
11,193,17.545,1.59,1
6,12,2,1.5,1
7,87,12.429,1.91,1
7,7,1,2.13,1
7,32,4.571,1.28,1
9,42,4.667,1.37,1
7,121,17.286,1.79,1
9,12,1.333,1.63,1
8,10,1.25,1.73,1
10,316,31.6,2.74,1
13,45,3.462,6.61,1
10,59,5.9,1.81,1
8,8,1,1.53,1
10,19,1.9,8.23,1
7,11,1.571,1.5,1
9,53,5.889,1.24,1
8,158,19.75,1.33,1
10,22,2.2,1.74,1
6,12,2,1.44,1
8,256,32,1.26,1
16,337,21.063,5.19,1
10,256,25.6,2.84,1
9,36,4,2.93,1
4,11,2.75,1.36,1
10,34,3.4,1.98,1
6,12,2,1.93,1
19,45,2.368,3.01,1
9,47,5.222,1.78,1
7,31,4.429,2.13,1
12,167,13.917,1.93,1
7,14,2,1.56,1
8,39,4.875,2.2,1
8,34,4.25,2.1,1
9,19,2.111,2.63,1
9,535,59.444,1.23,1
8,24,3,2.21,1
8,261,32.625,1.34,1
9,50,5.556,2.67,1
10,7,0.7,30,1
8,14,1.75,2.1,1
3,3,1,8,1
5,28,5.6,1.45,1
10,511,51.1,1.3,1
9,108,12,2.55,1
8,17,2.125,2.38,1
11,272,24.727,1.97,1
8,23,2.875,1.7,1
9,7,0.778,1.9,1
10,22,2.2,2.09,1
6,43,7.167,1.67,1
10,96,9.6,2.49,1
11,302,27.455,2.81,1
11,79,7.182,2.2,1
8,15,1.875,2,1
8,298,37.25,1.18,1
9,108,12,2.35,1
10,88,8.8,2.16,1
6,49,8.167,2.94,1
2,19,9.5,1.4,1
6,95,15.833,1.63,1
7,13,1.857,2.2,1
4,137,34.25,3.28,1
8,52,6.5,1.75,1
10,64,6.4,2.58,1
6,31,5.167,1.94,1
6,24,4,1.56,1
3,27,9,1.77,1
6,101,16.833,1.98,1
7,40,5.714,1.38,1
7,119,17,1.5,1
8,53,6.625,1.83,1
8,8,1,1.6,1
9,90,10,2.18,1
9,34,3.778,1.71,1
16,405,25.313,5.3,1
8,4,0.5,3.75,1
5,4,0.8,3,1
7,213,30.429,1.25,1
7,40,5.714,1.59,1
10,36,3.6,2.24,1
9,83,9.222,2.93,1
8,148,18.5,1.2,1
7,70,10,3.23,1
8,28,3.5,2.07,1
22,70,3.182,11.54,1
5,39,7.8,1.74,1
9,240,26.667,1.26,1
10,98,9.8,2.41,1
6,13,2.167,1.53,1
5,43,8.6,1.33,1
10,18,1.8,6.94,1
6,21,3.5,1.58,1
13,322,24.769,4.62,1
9,244,27.111,1.59,1
9,82,9.111,2.49,1
8,45,5.625,1.88,1
9,321,35.667,1.32,1
11,7,0.636,36,1
8,31,3.875,2.02,1
16,424,26.5,5.16,1
8,6,0.75,3,1
8,30,3.75,1.35,1
7,14,2,1.84,1
12,117,9.75,1.86,1
10,263,26.3,1.54,1
9,151,16.778,1.4,1
11,11,1,4.73,1
8,27,3.375,2.05,1
7,13,1.857,1.61,1
9,12,1.333,1.78,1
9,33,3.667,2.53,1
6,32,5.333,1.41,1
9,91,10.111,1.98,1
7,105,15,1.69,1
7,9,1.286,2,1
8,107,13.375,2.4,1
8,192,24,1.74,1
8,26,3.25,2.18,1
8,162,20.25,2.85,1
9,25,2.778,2.55,1
7,23,3.286,1.36,1
7,13,1.857,1.82,1
6,13,2.167,3.38,1
11,65,5.909,1.65,1
8,6,0.75,2.75,1
9,56,6.222,1.97,1
7,50,7.143,1.23,1
7,8,1.143,2,1
5,53,10.6,1.28,1
7,190,27.143,1.79,1
8,33,4.125,1.89,1
8,82,10.25,2.24,1
10,51,5.1,3.12,1
7,346,49.429,1.26,1
5,20,4,2.35,1
7,35,5,1.32,1
8,9,1.125,2.09,1
9,123,13.667,2.21,1
5,96,19.2,2.14,1
8,12,1.5,2.57,1
9,163,18.111,2.82,1
5,75,15,1.22,1
10,83,8.3,2.92,1
9,86,9.556,2.85,1
11,52,4.727,1.79,1
5,20,4,2.35,1
11,12,1.091,4.13,1
10,98,9.8,2.22,1
7,30,4.286,1.64,1
7,40,5.714,2.26,1
10,18,1.8,2.3,1
11,261,23.727,1.87,1
9,172,19.111,1.31,1
7,8,1.143,2,1
9,4,0.444,5.67,1
9,21,2.333,1.57,1
9,99,11,2.16,1
10,78,7.8,2.52,1
8,7,0.875,1.67,1
8,13,1.625,1.95,1
5,5,1,10,1
