@relation page-blocks

@attribute Eccen numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
40.333,326,1
2.846,41,1
7.455,108,1
1.353,14,1
2.429,26,1
3.556,46,1
0.8,4,1
3.4,59,1
19.429,142,1
1.889,11,1
3.833,22,1
37.25,278,1
2.1,20,1
19.6,78,1
8.333,50,1
17.889,218,1
1.833,17,1
16.857,141,1
59.333,507,1
1,10,1
3.25,30,1
3.342,657,1
0.7,1,1
5.5,58,1
1.875,28,1
2,21,1
5.25,56,1
4.636,80,1
25.1,398,1
4.6,28,1
5,26,1
7.625,76,1
45,110,1
18.385,343,1
5.125,37,1
1.4,9,1
23.667,386,1
10.889,103,1
7.2,54,1
3.636,66,1
0.714,4,1
2.333,24,1
4.5,63,1
1.5,21,1
2.8,49,1
5,54,1
2.167,7,1
27.2,368,1
2.727,37,1
23,118,1
2.5,33,1
2.571,28,1
14.538,650,1
4.909,91,1
4.857,40,1
4.889,59,1
1.375,20,1
3.385,61,1
4,38,1
10.25,98,1
0.8,6,1
10.714,114,1
3.667,40,1
42.75,317,1
25,1,1
5.5,41,1
3.1,28,1
1.556,22,1
12.875,100,1
1.6,9,1
0.444,3,1
1.727,16,1
4.889,66,1
5.4,85,1
1.9,13,1
1.9,14,1
9.444,130,1
7,77,1
0.727,11,1
34.375,351,1
4.9,76,1
33.889,375,1
28.4,402,1
12.111,129,1
18.8,80,1
5.444,87,1
2.333,20,1
0.727,1,1
1.6,21,1
0.6,8,1
6.857,56,1
9.222,122,1
2.136,155,1
10.2,49,1
3.364,75,1
4.667,26,1
2.833,14,1
9,119,1
1.333,1,1
1.833,15,1
5.3,99,1
2.4,21,1
3.714,36,1
16.385,214,1
4.25,52,1
30.111,374,1
11.625,121,1
1.818,11,1
66.5,636,1
1.714,18,1
9.111,87,1
12.4,171,1
2.571,28,1
12.286,105,1
15.188,278,1
1,1,1
17,203,1
1.235,8,1
2.2,12,1
5.875,64,1
5.455,105,1
3,40,1
43,486,1
2.5,30,1
1.75,16,1
34,378,1
13.1,217,1
12.6,193,1
8.12,279,1
20.25,188,1
3,36,1
16.667,183,1
4.714,51,1
4.8,31,1
17.286,149,1
1.286,13,1
16.286,114,1
26.1,388,1
7.714,71,1
4.625,42,1
2,36,1
22.846,318,1
27.2,399,1
8.3,105,1
16.167,85,1
2,15,1
2.8,56,1
0.4,8,1
0.8,6,1
4.556,57,1
4.286,43,1
9.429,53,1
4.625,69,1
21,265,1
6.545,83,1
8.5,124,1
5.8,29,1
0.727,9,1
14.625,125,1
9.125,92,1
1,9,1
1.667,14,1
2.111,34,1
2.043,155,1
8.444,126,1
2.9,18,1
1.5,15,1
0.8,6,1
21.2,274,1
5,62,1
1.125,10,1
1.167,7,1
4.111,71,1
14,194,1
2,25,1
21,173,1
32.7,450,1
0.667,4,1
22.857,355,1
15.833,79,1
17.222,198,1
30.143,624,1
1.75,22,1
34.167,608,1
24.125,246,1
5.625,58,1
3.429,31,1
1.816,292,1
7.8,39,1
1,15,1
4.167,36,1
1.571,14,1
4,68,1
2.571,25,1
4.667,54,1
1.909,15,1
2.714,23,1
2.286,20,1
23.286,185,1
10.455,188,1
1.875,25,1
27.438,530,1
22.364,331,1
2.714,26,1
8,79,1
10,81,1
2.3,37,1
1.5,25,1
2.857,27,1
2.667,36,1
15.25,154,1
2,19,1
2.286,24,1
4.5,9,1
2,10,1
99,18,1
1.333,10,1
1.75,20,1
10.286,70,1
1.571,14,1
15.5,184,1
2.636,43,1
63.25,93,1
7.9,122,1
2.714,31,1
2,29,1
5.429,63,1
19.111,225,1
8.545,122,1
5.917,81,1
2.25,39,1
2.75,36,1
14,114,1
4.429,41,1
10.727,167,1
2.857,21,1
1.667,21,1
0.6,1,1
5.286,47,1
1.857,9,1
3.125,42,1
13.444,181,1
10.714,91,1
2,18,1
26.308,477,1
28.357,420,1
4.75,46,1
2.5,31,1
3.667,43,1
4,26,1
3.875,49,1
2.429,17,1
5.182,91,1
6.75,53,1
3,48,1
0.727,9,1
11.111,130,1
31.071,472,1
1,13,1
1.571,11,1
51.556,505,1
6,88,1
1.4,18,1
0.667,1,1
3.5,12,1
7.48,306,1
20.25,149,1
2,15,1
10.036,530,1
41.417,658,1
4,15,1
0.111,1,1
11.429,124,1
6.4,51,1
2.909,45,1
6.778,73,1
59.333,351,1
1,18,1
7.5,119,1
26.25,208,1
3.4,48,1
2.2,39,1
0.333,1,1
24,72,1
21.063,377,1
5.167,48,1
2.571,26,1
27.1,342,1
2.625,29,1
3.75,49,1
0.684,35,1
5.048,152,1
6.3,86,1
0.667,2,1
0.875,12,1
5,55,1
10.25,104,1
19.444,222,1
6.462,121,1
23.6,330,1
30,213,1
2.923,42,1
2.625,12,1
6.727,102,1
11.75,119,1
8.875,95,1
3,21,1
20,167,1
4.889,53,1
5.222,57,1
15.5,195,1
10.8,161,1
28.778,370,1
1.875,14,1
59.556,662,1
2.5,24,1
20.667,255,1
5.083,104,1
24.938,441,1
6.571,78,1
1.294,14,1
4,27,1
18.778,220,1
16,103,1
49.75,521,1
1.667,21,1
9.286,95,1
2.167,14,1
1,3,1
27.2,348,1
11.444,124,1
8.625,98,1
7.167,30,1
1.222,24,1
14.333,139,1
2,22,1
5.2,27,1
5.3,89,1
1.857,21,1
5.957,162,1
4.625,40,1
9.25,114,1
50.8,578,1
2.857,38,1
1.857,17,1
1.286,10,1
1.5,8,1
38.308,799,1
0.727,1,1
2.2,34,1
23.5,14,1
4.778,55,1
1.9,17,1
8.889,119,1
3.286,35,1
3.783,242,1
22.25,371,1
2.333,14,1
1,13,1
0.778,10,1
25.923,514,1
24.333,150,1
1.8,14,1
39.875,353,1
0.818,3,1
11.429,74,1
2.111,32,1
6,133,1
1.571,17,1
7.714,58,1
3,6,1
12.818,199,1
3.8,55,1
5.857,44,1
2.375,31,1
3.5,40,1
14.667,244,1
1.167,9,1
4.111,65,1
2.75,27,1
8.889,108,1
1.875,23,1
4.111,56,1
18.444,195,1
23.733,400,1
5.111,75,1
2,18,1
9,275,1
2.25,27,1
5.75,95,1
1.143,9,1
5.7,61,1
13.444,169,1
1.571,17,1
4.625,53,1
6.556,81,1
4.375,61,1
8.143,84,1
27.667,306,1
4.909,74,1
1.286,13,1
59.444,573,1
0.857,11,1
0.667,1,1
1.714,10,1
4,50,1
21.75,172,1
11.313,227,1
5.6,33,1
4.667,17,1
1.75,25,1
3.889,29,1
13.143,63,1
5.923,124,1
11.9,190,1
3.5,30,1
2,23,1
5,46,1
1.286,9,1
1.333,1,1
7.75,74,1
5.974,370,1
263,39,1
5.917,87,1
0.889,4,1
0.75,8,1
15.1,197,1
3,52,1
57.778,276,1
8.333,49,1
5.125,64,1
59.444,676,1
39.636,564,1
8.889,122,1
7.556,88,1
1.778,24,1
4.6,16,1
29.571,279,1
4.333,50,1
6.3,109,1
8.111,79,1
1.5,28,1
4.286,44,1
0.818,5,1
1.833,15,1
8.75,110,1
10.25,126,1
4.75,55,1
2.429,19,1
1.143,10,1
16,88,1
15.75,165,1
0.625,11,1
9.111,124,1
2,15,1
2.857,30,1
1.125,15,1
2.625,36,1
7.125,68,1
2.875,31,1
13.667,173,1
17.286,144,1
10.727,189,1
1,14,1
9.556,107,1
59.556,456,1
50.4,590,1
3.75,38,1
1.889,27,1
14.188,300,1
1.375,24,1
3,28,1
0.909,11,1
5,81,1
5.1,87,1
