@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,7,11'

@attribute Height numeric
@attribute Mean_tr numeric
@attribute Class {1,2,3,4,5}

@data
5,8,1
11,5.1,1
11,36,1
10,1.94,1
9,1.81,1
9,1.81,1
9,1.48,1
10,2.1,1
12,2.38,1
12,3.6,1
9,2.23,1
13,6.5,1
9,2.83,1
14,2.27,1
1,3.5,1
7,2.34,1
2,2,1
1,3.5,1
11,3.6,1
1,9.75,2
9,1.96,1
8,1.72,1
11,2.02,1
8,4.33,1
9,2.68,1
5,8,4
10,11,2
9,2.35,1
1,5.67,2
6,2,1
4,2.33,1
10,3.4,1
9,1.62,1
9,1.53,1
10,2.25,1
9,2.02,1
11,1.71,1
19,207,1
10,2.58,1
8,1.87,1
10,1.95,1
1,7.86,2
10,2.85,1
10,2.28,1
1,40,2
1,12,2
7,2.23,1
8,2.41,1
8,2,1
7,1.83,1
12,1.99,1
12,2.71,1
8,2.09,1
8,1.93,1
11,1.95,1
10,1.52,1
12,2.71,1
9,2.2,1
11,3.29,1
1,7,2
24,2.67,1
7,7,1
9,2.59,1
21,1.99,1
8,1.93,1
12,1.92,1
9,2.22,1
12,2.56,1
1,6.86,2
8,1.88,1
8,2.22,1
9,2.63,1
3,3.2,1
7,2.26,1
14,2.95,1
15,3.96,1
52,11.52,5
9,2.28,1
9,2.98,1
9,2.61,1
9,2.07,1
9,1.78,1
9,1.59,1
9,1.63,1
10,2.8,1
9,2.44,1
69,2.08,4
5,2.06,1
17,2.94,1
12,42,1
10,2.48,1
12,1.75,1
12,2.1,1
9,2.22,1
10,3.56,1
9,3.15,1
8,2.21,1
10,2.71,1
9,2.67,1
8,2.52,1
10,2.02,1
8,2.37,1
38,19.63,5
1,11.55,2
1,16,2
9,9,4
7,1.79,1
7,1.84,1
10,1.7,1
11,2.2,1
5,2.09,1
9,2.75,1
6,1.53,1
5,2.03,1
13,3.5,1
10,3.43,1
10,2.75,1
7,1.89,1
3,13.29,2
10,3.72,1
13,2.28,1
12,2.44,1
9,2.75,1
9,2.41,1
25,2.56,1
7,1.88,1
5,2.12,1
8,2.14,1
5,2.07,1
13,2.57,1
10,2.7,1
10,2.49,1
18,3.17,1
9,2.33,1
7,2.09,1
8,2.31,1
7,2.4,5
4,2,5
7,1.6,1
8,1.5,1
6,1.75,5
6,4,5
10,1.42,1
2,50,2
11,1.47,1
8,1.41,1
7,1.71,1
7,1.53,1
6,1.26,1
6,1.92,1
5,1.48,1
5,2.5,1
7,1.46,1
5,1.55,1
6,1.37,1
6,2.09,1
6,1.2,1
7,1.28,1
6,1.42,1
9,1.6,1
5,1.31,1
7,1.49,1
5,1.46,1
6,1.33,1
7,2.22,1
6,1.38,1
6,1.54,1
9,1.35,1
5,1.36,1
8,1.18,1
7,1.53,1
7,1.56,1
7,1.86,1
7,1.53,1
8,1.73,1
7,1.79,1
7,1.57,1
1,2.67,1
9,1.27,1
8,1.26,1
7,1.35,1
5,1.17,1
7,1.13,1
7,2.29,1
10,1.4,1
7,1.84,1
7,1.58,1
7,1.53,1
10,1.37,1
7,2.25,1
7,1.75,1
7,1.55,1
7,1.48,1
7,1.51,1
6,1.33,1
4,1.36,1
4,1.63,1
5,1.83,1
5,2.2,1
9,1.42,1
5,1.87,1
6,1.5,1
6,1.62,1
7,1.77,1
7,1.5,1
7,1.65,1
5,1.32,1
9,1.56,1
6,1.4,1
6,1.11,1
7,9,1
5,1.29,1
7,1.33,1
10,1.91,1
7,1.84,1
7,2.45,1
7,1.89,1
7,2.34,1
8,1.64,1
14,1.8,5
8,2.44,1
55,4.26,5
12,1.95,1
8,2.07,1
9,2.26,1
9,2.22,1
10,2.13,1
8,2.03,1
2,47,2
1,13.67,2
3,11.8,2
10,2.46,1
5,4.5,5
9,2.01,1
11,1.96,1
11,2.11,1
1,40,2
11,2.21,1
8,2.59,1
8,2,1
8,2.18,1
8,2.04,1
8,1.75,1
8,1.81,1
11,2.15,1
8,3,1
11,2.11,1
8,2.86,1
8,2.3,1
8,2.05,1
8,2.68,1
10,2.16,1
8,2.91,1
9,1.92,1
8,2.68,1
11,2.01,1
11,1.86,1
6,2,1
11,1.79,1
6,3.38,1
11,2.21,1
