@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1-2,11'

@attribute Height numeric
@attribute Lenght numeric
@attribute Class {1,2,3,4,5}

@data
5,8,1
5,6,1
5,19,1
5,4,1
2,22,2
11,85,1
3,116,2
1,44,2
8,8,1
9,40,1
9,40,1
2,46,2
9,41,1
1,10,2
9,123,1
2,11,1
11,8,1
10,49,1
10,21,1
8,83,1
11,101,1
12,26,1
12,40,1
9,64,1
9,99,1
11,118,1
10,126,1
9,46,1
9,22,1
11,301,1
1,52,2
9,12,1
9,97,1
12,13,1
12,43,1
8,6,1
9,20,1
11,96,1
10,20,1
12,118,1
11,49,1
9,69,1
9,82,1
22,47,1
9,41,1
1,115,2
10,131,1
7,17,1
8,16,1
12,8,1
11,86,1
10,37,1
11,92,1
9,47,1
9,98,1
3,286,2
9,82,1
12,102,1
23,26,1
9,83,1
12,13,1
10,42,1
1,35,2
7,8,1
8,36,1
8,16,5
9,10,5
11,118,1
9,126,1
8,47,1
11,22,1
9,53,1
11,84,1
11,14,1
8,36,1
10,122,1
12,118,1
9,42,1
1,44,2
1,17,2
11,9,1
1,29,2
9,36,1
10,67,1
7,11,1
9,32,1
12,43,1
8,41,1
8,5,1
10,8,1
1,69,2
9,20,1
8,84,1
8,83,1
9,46,1
9,83,1
11,43,1
9,83,1
9,126,1
26,1,4
13,65,1
7,9,5
2,6,2
10,108,1
6,172,1
15,1,4
14,44,1
13,408,1
8,17,1
8,70,1
8,44,1
13,116,1
10,128,1
7,14,1
6,50,1
5,29,1
13,409,1
13,277,1
3,11,2
31,71,5
10,33,1
9,108,1
7,16,1
9,91,1
8,62,1
6,46,1
9,12,1
12,122,1
9,5,1
5,39,1
4,89,1
8,123,1
8,68,1
10,127,1
7,100,1
6,50,1
10,33,1
11,101,1
8,28,1
8,132,1
13,414,1
85,69,5
10,272,1
9,271,1
5,3,5
8,240,1
10,236,1
10,272,1
8,98,1
5,12,1
9,258,1
11,243,1
8,26,1
8,80,1
5,34,1
6,2,1
7,8,1
9,29,1
6,50,1
9,16,1
1,114,2
7,37,1
7,41,1
4,12,1
6,40,1
7,37,1
7,41,1
1,41,2
7,19,1
6,6,1
7,29,1
8,26,1
7,6,1
8,38,1
9,49,1
7,21,1
7,19,1
9,135,1
7,35,1
9,214,1
7,11,1
7,49,1
10,38,1
9,49,1
7,19,1
7,29,1
6,26,1
7,42,1
9,21,1
9,49,1
7,56,1
8,54,1
7,38,1
7,13,1
9,65,1
5,13,1
8,93,1
7,24,1
5,28,1
5,32,1
7,7,1
7,48,1
7,8,1
7,10,1
7,34,1
7,52,1
5,36,1
7,16,1
5,14,1
7,19,1
7,20,1
5,19,1
7,14,1
8,15,1
7,21,1
5,8,1
6,10,1
5,20,1
7,14,1
6,6,1
7,20,1
7,31,1
6,44,1
6,25,1
10,37,1
7,23,1
6,40,1
7,23,1
7,5,1
7,11,1
9,53,1
9,16,1
7,16,1
7,7,1
7,18,1
7,10,1
8,19,1
6,10,1
6,20,1
5,4,1
5,6,1
8,10,1
9,36,1
8,9,1
10,29,1
8,16,1
8,20,1
8,4,1
10,60,1
8,9,1
10,29,1
8,141,1
1,13,2
10,4,1
6,13,1
10,18,1
9,20,1
11,30,1
54,48,5
52,48,5
10,59,1
27,4,4
9,38,1
11,45,1
4,19,2
8,37,1
8,25,1
8,15,1
11,272,1
9,1,1
10,51,1
8,16,1
8,24,1
5,18,1
8,9,1
5,7,1
11,271,1
9,17,1
9,20,1
8,26,1
8,36,1
8,18,1
10,34,1
11,36,1
11,73,1
8,27,1
11,91,1
8,39,1
10,30,1
8,26,1
10,53,1
9,49,1
8,45,1
10,25,1
8,33,1
8,12,1
7,33,1
8,50,1
8,38,1
11,26,1
9,10,1
11,25,1
10,30,1
8,9,1
8,29,1
6,221,1
6,49,1
9,41,1
2,14,2
37,20,5
6,14,1
36,43,5
8,14,1
7,34,1
7,20,1
11,221,1
7,35,1
7,20,1
6,15,1
5,19,1
10,41,1
10,9,1
10,15,1
7,20,1
9,18,1
8,9,1
8,21,1
5,5,1
8,33,1
8,92,1
8,15,1
8,12,1
8,24,1
8,8,1
10,46,1
10,260,1
8,19,1
10,262,1
8,34,1
10,27,1
8,20,1
8,22,1
8,70,1
9,30,1
8,35,1
8,24,1
8,33,1
10,242,1
8,14,1
8,12,1
9,9,1
7,20,1
8,6,1
10,9,1
8,4,1
7,72,1
5,15,1
10,93,1
9,10,1
8,36,1
10,35,1
8,40,1
7,12,1
6,8,1
8,98,1
9,509,1
5,31,1
2,536,2
4,7,1
8,344,1
6,13,1
13,57,1
13,38,1
24,176,1
4,4,1
9,101,1
2,535,2
9,534,1
3,470,2
10,508,1
1,263,1
8,59,1
7,96,1
2,537,2
8,62,1
9,109,1
9,535,1
9,279,1
7,155,1
9,219,1
5,13,1
7,61,1
10,251,1
9,262,1
1,145,2
13,104,1
28,32,1
7,14,1
7,14,1
7,15,1
6,83,1
10,510,1
24,281,1
28,31,3
9,534,1
7,143,1
7,245,1
9,172,1
1,45,1
9,535,1
29,32,3
7,105,1
7,13,1
5,14,1
9,306,1
7,13,1
1,31,1
29,61,5
9,123,1
1,40,1
7,13,1
7,136,1
2,536,2
7,40,1
1,22,2
9,9,1
10,37,1
10,80,1
11,71,1
14,27,1
93,104,3
14,340,1
9,12,1
12,320,1
1,136,2
4,137,1
24,99,1
14,1,4
10,18,1
8,68,1
10,154,1
24,157,1
14,435,1
10,143,1
14,321,1
7,156,1
10,19,1
8,74,1
1,40,1
14,359,1
10,18,1
11,245,1
14,153,1
11,251,1
3,3,1
9,1,4
25,1,4
9,8,1
13,130,1
10,280,1
13,349,1
9,17,1
10,327,1
10,19,1
11,98,1
14,340,1
12,1,4
14,395,1
9,19,1
8,215,1
1,15,2
10,9,1
7,57,1
11,20,1
15,138,1
17,382,1
13,135,1
11,22,1
9,87,1
16,399,1
11,81,1
16,405,1
16,352,1
3,4,1
16,243,1
9,171,1
7,13,1
10,88,1
10,268,1
3,104,1
6,130,1
7,219,1
9,125,1
7,239,1
18,185,1
7,48,1
23,249,1
9,169,1
6,28,1
77,245,1
9,225,1
10,325,1
9,184,1
7,50,1
12,167,1
5,95,1
6,96,1
6,95,1
6,95,1
37,1,4
5,39,1
430,5,4
8,75,1
7,164,1
9,93,1
1,33,1
4,44,1
9,32,1
1,42,1
5,280,2
7,34,1
8,80,1
10,285,1
7,61,1
5,42,1
6,12,1
5,110,2
13,390,1
10,227,1
10,18,1
12,274,1
12,207,1
12,245,1
10,23,1
1,34,2
7,158,1
1,22,1
9,321,1
1,67,2
8,21,1
33,180,1
12,39,1
14,102,1
10,21,1
10,87,1
11,65,1
7,4,1
