@relation 'australian-weka.filters.unsupervised.attribute.Remove-V-R2,6-8,10-11,13,15'

@attribute A2 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 {0,1}
@attribute A10 numeric
@attribute A11 {0,1}
@attribute A13 numeric
@attribute Class {0,1}

@data
1742,4,125,0,0,0,60,0
225,4,125,0,0,0,200,0
3317,8,204,1,1,1,180,1
4742,4,13875,1,2,1,519,1
2075,4,71,1,2,1,49,1
245,4,165,0,0,0,132,0
4317,5,225,0,0,1,141,0
245,8,15,1,0,0,280,1
195,4,4,0,0,1,380,0
215,4,5,1,0,1,100,0
2308,4,1,0,11,0,0,0
47,5,5165,1,9,1,0,1
3417,4,85,0,0,1,290,1
2225,4,85,0,0,0,0,0
3575,4,75,1,4,0,0,1
2275,4,25,1,7,1,100,1
2892,4,29,0,0,0,220,0
2083,2,1,0,0,0,260,0
4608,4,2375,1,8,1,396,1
1883,1,0,0,0,1,180,0
2567,4,121,1,67,1,140,1
2975,4,25,0,0,1,300,0
2942,8,25,0,2,1,400,0
3617,5,5,0,0,0,210,0
195,4,29,0,0,0,280,0
45,8,14,1,1,1,88,1
5642,4,285,1,40,0,0,1
6408,1,0,1,1,0,232,1
2242,8,75,1,4,0,0,1
1633,4,665,0,1,0,80,0
2175,4,25,0,0,1,180,0
34,5,1085,0,0,1,480,0
4825,4,175,1,3,0,120,1
3417,5,25,0,0,1,232,0
4425,4,1075,1,0,0,400,0
3892,4,5,0,0,1,300,0
1583,4,125,0,1,1,0,0
2267,4,2,0,2,1,200,0
3617,4,29,0,0,1,309,0
2267,3,225,0,0,1,0,1
2742,5,25,0,0,1,720,0
3408,4,125,1,0,1,443,0
5025,4,5,0,0,1,240,0
3175,3,0,0,0,0,160,0
205,8,6,1,0,0,340,1
2408,8,125,1,1,0,0,1
3142,4,5,1,0,0,120,0
2283,4,129,1,1,0,260,1
375,5,25,1,0,1,164,0
3633,4,1165,1,0,1,200,0
1967,4,2,1,2,1,80,1
2325,4,2375,1,3,1,0,1
25,4,45,1,0,0,120,0
1758,8,165,0,1,0,120,0
1825,4,1,0,1,0,120,0
3542,8,14,1,8,0,0,1
3192,8,604,1,3,0,311,1
595,4,175,1,5,1,60,1
4417,4,7375,1,3,1,0,1
2117,8,25,0,0,0,280,0
3417,4,45,1,12,1,0,1
3733,8,425,1,12,1,93,1
3667,8,9,1,0,1,102,1
32,8,4,1,0,1,393,1
235,1,45,0,0,0,160,0
41,8,125,1,23,1,455,1
1867,4,375,1,2,0,0,0
3157,4,875,1,0,1,928,0
2567,4,15,0,0,1,160,0
