@relation australian

@attribute A2 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 {0,1}
@attribute A10 numeric
@attribute A11 {0,1}
@attribute A13 numeric
@attribute Class {0,1}

@data
1858,1,415,0,0,0,80,0
34,4,1,1,0,1,240,0
2558,8,35,0,0,1,340,0
1517,4,1,0,0,0,600,0
2758,8,5085,0,2,1,369,0
3667,4,25,0,0,1,221,0
49,3,0,1,0,1,100,0
2358,4,415,0,1,1,200,0
5217,1,0,0,0,0,0,0
4533,4,125,0,0,1,263,0
3833,4,125,0,0,0,160,0
2042,4,15,0,0,0,108,0
1792,4,175,0,1,1,80,0
3033,8,85,0,0,1,252,0
2008,4,0,0,0,0,0,0
4425,4,15,1,0,0,0,0
20,4,125,0,0,0,140,0
2767,4,2,1,0,0,368,0
2342,8,85,1,0,0,180,0
1692,4,165,0,6,1,240,0
32,4,125,0,0,0,272,0
2725,8,125,0,1,1,272,0
2458,4,25,0,0,0,110,0
2475,8,15,0,0,0,280,0
4517,4,25,1,0,1,140,0
3157,4,425,0,0,1,460,0
3658,1,0,0,10,0,200,0
3233,4,5,0,0,1,232,0
2983,8,4,0,0,0,128,0
2817,4,85,0,0,0,216,0
2075,4,4,0,0,0,200,0
3425,5,25,1,0,1,163,0
2758,4,279,0,1,1,280,0
2442,2,165,0,2,0,320,0
4875,1,0,1,0,1,0,0
1825,4,25,0,0,1,280,0
295,8,2,0,0,0,256,0
5183,1,15,0,0,0,120,0
1708,4,335,0,0,1,140,0
2633,2,0,0,0,1,140,0
2525,4,1,0,0,1,180,0
4783,5,85,0,0,1,520,0
3157,4,85,0,0,1,411,0
2108,8,4,0,0,0,140,0
2167,4,25,1,1,0,180,0
2117,8,25,0,0,0,280,0
3058,8,85,0,12,1,129,0
5233,8,946,1,0,1,200,0
2858,4,25,0,1,1,40,0
1958,4,1,0,1,0,2000,0
3992,5,21,0,0,0,550,0
4733,4,1,0,0,1,0,0
2375,4,25,0,1,1,240,0
2592,4,375,0,2,1,174,0
5242,4,375,0,0,1,0,0
285,4,1,1,2,1,167,0
3825,4,125,0,0,0,160,0
3108,4,4,0,0,0,160,0
2217,4,3335,0,2,1,180,0
2542,4,129,1,2,0,200,0
2525,4,5,0,0,0,200,0
5708,5,1,1,0,1,252,0
3008,5,5,1,10,1,132,0
265,4,85,0,0,0,80,0
2225,4,125,0,0,1,280,0
1633,4,125,0,0,0,200,0
31,4,85,0,0,0,300,0
3157,4,3,1,0,1,300,0
2217,4,125,0,0,0,160,0
3242,4,165,0,0,1,120,0
2267,4,165,0,0,0,160,0
1733,4,175,0,10,1,0,0
2858,4,25,0,0,1,100,0
4158,4,21,1,0,0,160,0
3157,5,7,0,0,0,0,0
3158,4,35,0,0,1,320,0
2067,4,375,1,1,0,160,0
695,1,0,0,0,0,0,0
3483,5,125,1,0,1,184,0
2858,4,2415,1,0,1,440,0
2042,8,0,0,0,1,154,0
235,4,875,0,0,1,160,0
3675,1,0,0,0,0,160,0
2108,1,0,0,0,0,0,0
3225,4,25,0,0,1,372,0
2458,8,175,1,0,0,400,0
2767,4,25,0,0,1,180,0
2867,4,125,0,0,0,0,0
1883,4,665,0,0,0,160,0
3157,4,85,1,0,0,0,0
2983,4,165,0,0,0,216,0
2142,7,75,0,0,1,132,0
1883,4,165,0,1,0,200,0
45,8,1,0,0,1,240,0
2158,4,665,0,0,0,160,0
3858,4,135,1,0,1,980,0
225,4,335,0,0,1,144,0
2533,8,275,1,0,1,360,0
2567,4,4,1,0,0,188,0
3908,4,3,0,0,0,480,0
3525,4,4,1,0,0,80,0
2325,4,125,0,2,0,0,0
225,4,15,0,0,1,0,0
3375,5,1,1,3,1,212,0
2517,4,125,0,1,0,0,0
3775,8,115,1,7,1,300,0
2525,1,2,0,1,1,200,0
525,8,3,0,0,0,0,0
2767,8,165,0,0,1,220,0
2342,4,5,0,0,1,280,0
3983,4,25,1,0,0,288,0
1817,7,96,0,2,1,160,0
3325,4,25,0,0,1,0,0
4083,5,5,0,0,0,1160,0
1833,2,0,0,0,0,100,0
245,4,4,0,0,1,120,0
2433,5,45,0,0,0,200,0
2617,3,0,0,0,1,276,0
5683,1,5,0,0,1,0,0
2067,4,125,0,0,0,0,0
2208,4,75,0,0,0,180,0
3183,4,4,0,0,0,0,0
3208,4,15,0,0,1,120,0
165,4,165,0,0,0,132,0
1767,4,25,0,0,0,80,0
2408,4,85,0,4,0,254,0
35,4,1,0,0,1,210,0
2192,4,125,0,0,0,360,0
2225,1,325,0,0,0,280,0
4283,4,13875,0,1,1,352,0
2958,4,2,0,1,1,460,0
395,4,15,0,0,0,0,0
235,4,415,0,1,1,280,0
2075,4,29,0,0,0,140,0
35,8,829,0,0,1,0,0
22,5,165,0,0,1,184,0
2875,4,5,1,0,0,280,0
2658,1,0,0,0,1,180,0
6917,1,4,0,1,0,70,0
2967,4,4,0,0,0,240,0
3483,4,3,0,0,0,200,0
245,4,0,0,0,0,120,0
