@relation australian

@attribute A5 numeric
@attribute A8 {0,1}
@attribute A14 numeric
@attribute Class {0,1}

@data
11,0,1,0
3,0,1001,0
8,0,23,0
3,0,247,0
3,0,201,0
1,0,7,0
8,1,1,0
8,0,1,0
2,0,1,0
4,0,2011,0
8,0,1059,0
3,1,1,0
2,0,1,0
8,0,1,0
11,0,9,0
9,1,348,0
4,0,1,0
3,0,1,0
2,1,1,0
6,0,1,0
7,1,1,0
2,0,538,0
11,1,991,0
7,0,1,0
9,0,6,0
8,0,180,0
8,0,1,0
8,1,226,0
8,0,395,0
2,0,1,0
6,0,2,0
11,0,1,0
8,0,1,0
1,0,352,0
6,1,1,0
6,1,1,0
8,0,1,0
8,0,2,0
7,0,1,0
5,0,54,0
1,0,1,0
3,1,69,0
6,0,1,0
1,0,301,0
8,0,155,0
6,0,391,0
1,0,1,0
3,0,485,0
1,0,88,0
1,0,106,0
8,0,14,0
6,0,11,0
2,1,1,0
9,0,1,0
1,0,2,0
11,1,1,0
9,0,3553,0
11,1,1,0
8,0,6,0
8,0,7,0
14,0,33,0
7,0,1951,0
2,0,351,0
8,0,123,0
8,1,1,0
13,1,1,0
11,0,810,0
3,0,1,0
9,0,3,0
1,0,201,0
6,0,1,0
4,0,71,0
4,0,1,0
10,0,6,0
3,0,3,0
3,0,1,0
4,0,1,0
8,0,174,0
3,0,1,0
1,0,1,0
3,1,201,0
8,0,1,0
4,0,17,0
4,0,1,0
11,1,6,0
2,0,1,0
10,0,1,0
8,0,1,0
7,1,1,0
2,0,1,0
4,0,1,0
3,0,4001,0
11,0,1,0
3,0,36,0
7,0,11,0
13,0,3,0
7,0,113,0
3,0,1,0
14,0,2,0
6,1,1,0
1,0,5,0
6,0,1,0
7,0,4001,0
8,0,205,0
13,0,2,0
1,0,2,0
9,0,1,0
13,0,1,0
9,0,51,0
8,0,317,0
3,1,29,0
12,0,3,0
10,0,1111,0
6,0,1,0
8,0,1,0
8,1,1,0
8,0,1,0
9,0,2,0
4,0,1,0
8,0,109,0
2,0,1,0
7,1,1,0
9,0,7,0
8,0,42,0
6,0,238,0
8,0,17,0
4,0,19,0
8,0,723,0
1,0,1001,0
3,0,3,0
4,0,81,0
10,1,1,0
11,1,91,0
1,1,148,0
9,0,1,0
3,0,101,0
5,0,2,0
1,0,61,0
14,1,1,0
2,1,1,0
1,0,11,0
7,0,2,0
9,0,1,0
1,0,1,0
11,0,1,0
4,0,2101,0
6,0,476,0
7,0,1,0
3,0,6,0
9,1,1,0
2,0,43,0
3,0,2,0
13,1,21,0
1,1,2,0
3,0,101,0
8,0,1,0
9,0,1,0
1,0,19,0
8,0,3,0
7,0,1,0
8,1,2,0
8,0,2,0
8,1,401,0
1,0,28,0
3,0,1,0
2,0,287,0
6,1,1,0
8,0,352,0
8,0,8,0
6,0,101,0
2,0,1,0
1,0,20,0
8,0,2,0
3,0,1,0
4,0,3,0
3,0,1,0
6,1,1,0
6,0,22,0
6,0,118,0
1,1,1,0
7,0,69,0
1,0,1,0
4,1,1,0
2,0,1,0
3,0,11,0
13,0,502,0
3,0,688,0
14,1,1,0
8,1,6,0
9,1,1,0
4,0,1,0
4,1,1,0
8,1,1,0
6,0,1,0
8,0,141,0
11,1,1,0
2,0,1,0
3,0,1,0
6,1,376,0
8,1,1,0
1,0,2,0
1,0,1,0
10,0,18,0
10,0,1,0
7,0,1,0
3,0,1,0
4,0,41,0
4,1,51,0
9,0,2804,0
3,0,1,0
6,1,1,0
11,0,252,0
3,0,1,0
3,0,4501,0
4,0,1,0
3,0,10,0
3,0,1,0
6,0,1,0
7,1,1,0
8,0,1,0
1,0,2,0
6,0,751,0
4,0,1,0
13,0,1,0
9,0,2,0
6,0,1001,0
1,0,770,0
1,1,1,0
8,1,211,0
11,0,4,0
8,0,1,0
8,0,588,0
11,0,2,0
1,0,5,0
5,0,1,0
8,0,19,0
4,0,1,0
8,1,1,0
9,0,151,0
2,0,1,0
7,0,109,0
8,0,1,0
8,1,341,0
1,0,26,0
3,0,1001,0
6,0,2,0
4,0,365,0
1,0,1,0
1,0,1,0
2,0,1063,0
8,0,1,0
2,0,1,0
1,0,5201,0
6,0,68,0
11,0,2,0
7,0,2,0
8,1,101,0
13,0,1,0
11,0,161,0
8,0,1,0
11,1,39,0
8,0,1,0
6,0,1,0
1,0,147,0
4,0,1,0
5,0,1,0
8,0,1,0
8,0,1,0
9,1,1,0
11,0,99,0
4,0,6,0
8,0,1,0
4,0,56,0
8,1,1,0
9,0,1,0
5,1,28,0
6,0,1,0
4,0,1,0
8,0,1,0
8,0,205,0
3,0,457,0
1,0,2,0
11,0,1,0
11,0,8,0
4,0,1,0
7,0,1,0
3,0,1,0
11,0,1,0
4,1,21,0
4,0,4,0
8,0,1211,0
6,0,1005,0
1,0,5,0
9,0,1,0
6,1,1,0
9,0,68,0
1,0,4,0
1,0,127,0
13,0,1,0
9,1,1,0
11,0,12,0
6,1,1,0
1,0,1,0
8,0,45,0
11,1,1,0
