@relation 'ring-weka.filters.unsupervised.attribute.Remove-V-R1,5,7,12,16,18-19,21'

@attribute A1 numeric
@attribute A5 numeric
@attribute A7 numeric
@attribute A12 numeric
@attribute A16 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute Class {0,1}

@data
849,3114,3799,1633,-166,1664,309,0
1839,188,762,1662,76,51,41,1
-656,-432,2013,1305,1452,-2894,-151,0
1225,-521,-498,-3867,-296,114,2326,0
261,-57,1715,-76,1383,-1022,2562,1
-325,931,57,-76,634,1104,666,1
1668,1048,61,1288,-729,-156,1392,1
-1163,-3732,166,72,-282,1108,2262,0
1354,1583,1081,2246,-1255,361,2297,0
89,-154,-249,667,1152,2801,2162,1
87,-4293,-241,5028,-1562,2788,-131,0
2725,536,-221,-2048,-1294,-2423,-102,0
-298,-927,38,-1654,3381,-3182,-1604,0
1332,2332,21,296,-746,-68,603,1
-597,1175,-359,2736,1212,1601,599,1
403,-457,684,-42,1724,-572,-127,1
793,43,329,1117,258,316,-1047,1
-3694,-1733,-3207,-742,2261,-1116,-98,0
1587,-649,2384,-1243,-1472,-3421,-1172,0
-192,-1684,878,-754,-501,1551,-344,1
333,1787,-1668,-2306,1159,-1736,788,0
-1053,-2052,-2044,-1707,2357,-2108,2491,0
1091,576,-808,1438,-923,-358,-1276,1
-2206,-104,-122,-2809,4811,1572,-2244,0
32,1209,659,-1647,1397,-571,-29,1
-789,-244,4,-605,2149,739,-1499,0
103,-732,-1037,2426,128,398,-598,1
-1926,-495,-81,1142,2827,-2859,-3643,0
-445,1828,1035,-1544,-187,1154,1226,1
-466,-3628,-629,-245,1863,1684,102,0
342,935,-161,409,1124,-85,1688,1
8,-5119,2241,-2229,-1566,-1347,586,0
142,24,3447,-778,1425,-2137,-76,0
2638,15,-296,3689,-1109,848,695,0
-288,2438,-2542,1705,477,-3583,1808,0
-747,78,-376,587,1131,288,343,1
-577,-2291,2824,1352,-1256,1519,2856,0
426,474,2037,-7114,-1198,-926,1317,0
715,-107,1499,142,864,828,-2,1
-97,-1207,-1864,1531,407,347,-282,1
2146,-1152,-1139,2883,-2345,-1603,-3774,0
-1034,2522,-126,-83,837,-158,1582,1
-1274,-311,4437,-1867,-631,962,1811,0
1868,-18,-1666,108,-198,-38,455,1
2364,-385,5261,-2912,3571,-265,674,0
1148,-4391,1693,1611,-2522,-18,1093,0
-532,5,338,24,615,1854,576,1
2483,-1069,57,409,1596,1165,133,1
1839,704,415,1243,-346,-366,1272,1
-1267,305,-589,-504,-39,-1065,487,1
407,-105,164,1666,2486,73,1067,1
-612,475,-481,1686,149,-4,-55,1
-1202,1858,1308,-2594,2229,1886,381,0
2526,2064,-808,-821,1285,343,512,1
-4439,1552,-288,2196,259,129,373,0
1341,-15,593,-1008,-15,-582,-42,1
1421,206,-363,-703,1459,-566,17,1
