@relation ring

@attribute A1 numeric
@attribute A5 numeric
@attribute A7 numeric
@attribute A12 numeric
@attribute A16 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute Class {0,1}

@data
556,-1012,-1358,661,-1845,-257,-771,0
-494,1627,1548,87,77,-1727,-1019,0
-721,-2864,-314,-224,-1275,1399,-296,0
-1,-1577,1062,-476,-847,-4774,19,0
361,-3437,-1058,-2505,-4479,-2394,112,0
1928,455,3547,-1128,-4138,3018,1268,0
-1328,-222,-1488,-102,1732,-6,125,0
-1137,1728,-967,-823,3483,2131,1718,0
776,-981,2059,892,-49,-4841,-684,0
3008,-1934,-4457,2055,-791,882,-1369,0
-2504,97,2269,1612,-1009,-3557,-499,0
1349,209,1757,3716,-1597,5267,839,0
1081,1024,-196,-75,1347,-58,816,0
-2393,414,-951,-2917,-3162,-1592,-2313,0
-857,-1783,-2978,1545,391,69,-996,0
741,1289,2524,41,-1084,1833,-2116,0
1329,-644,-1546,1668,-21,-3756,-109,0
3851,-776,-308,87,455,451,1546,0
44,-411,-947,1033,751,-121,684,0
-1367,735,978,1848,-958,-4903,-1547,0
276,234,-3076,-1561,327,678,68,0
-1155,171,-1422,-1513,2022,2796,791,0
259,2652,1091,-1992,-1933,-173,1714,0
-2773,-1006,1782,-2235,-2309,-234,-652,0
1865,824,2725,-113,172,2004,1896,0
-2909,-1809,2103,-2413,-2109,-1083,379,0
-211,115,2003,381,-513,1262,-34,0
-183,-1541,-815,-1984,5,-199,736,0
868,18,-827,79,-1776,5303,2107,0
-102,-2246,-3945,-2019,-127,-691,-1286,0
314,2043,-1517,3702,-4046,-5148,1349,0
262,512,1743,-533,-1226,-1476,-504,0
2445,-477,1597,152,-3087,1443,-2553,0
32,226,-6715,785,2133,365,-1756,0
-485,2579,1603,-5773,-147,-1266,567,0
69,-2191,1863,1878,-78,-1331,77,0
995,957,-57,2595,3818,1192,-108,0
385,-2402,-11,678,4666,-118,769,0
-659,-95,-4921,2235,-3019,692,2511,0
-784,4384,-2704,4231,-4062,481,-1616,0
-2119,-207,-1705,-257,-2165,1453,2612,0
-2537,1031,979,234,-462,1375,-2253,0
3255,242,2781,-666,-216,-1632,-1324,0
926,-2095,1213,-188,4298,-1335,-2175,0
2043,153,-1893,-1602,46,758,1404,0
-21,-208,-4499,39,5278,1945,-1796,0
844,1,-2051,2594,87,-637,-2494,0
722,-209,153,-158,-185,-792,-1718,0
3588,385,272,1298,-97,148,-817,0
-666,-2712,3062,-1894,-684,756,-1251,0
-2182,-91,1131,-2986,-1404,-595,2816,0
-2165,-1015,222,1023,1971,1642,-2336,0
-504,1205,2502,1357,797,-207,-781,0
-288,2214,308,-1402,88,-432,1695,0
-896,-1981,-211,247,-3195,436,234,0
-328,-1684,-103,-1791,2519,18,3432,0
-559,-1142,-1127,-832,-232,-68,-216,0
2185,1966,356,-576,649,-1712,-2528,0
61,-686,105,728,-38,2254,336,0
363,-2079,2218,-1748,-1536,-116,3512,0
-383,1328,1482,2308,-2263,225,116,0
-144,128,1082,-1299,603,-1628,3258,0
94,-51,-14,1413,2237,-1476,-398,0
-1672,2914,1102,-172,273,3842,38,0
1721,2069,171,762,-692,-543,-472,0
-1372,-3417,79,-2962,1205,1146,1702,0
2294,571,2292,-3814,-203,-1598,1078,0
922,-1974,563,-2858,947,1265,-1098,0
3318,-2244,-961,-671,-208,267,-514,0
2629,-1369,-201,-338,-3203,-1458,-1498,0
401,-1241,2497,-3,-1332,486,532,0
1484,-3626,-1926,1842,3636,2854,-16,0
4303,-26,2067,583,2685,2725,48,0
-3494,643,-1944,-1802,-2005,522,1527,0
-2252,-2928,141,-3288,767,-2635,1111,0
118,2862,-387,545,982,-3137,-1038,0
439,-1508,-2291,1302,913,-2493,1735,0
-815,1592,262,971,31,-239,-1187,0
-3491,-628,256,-4298,-2155,-504,-1763,0
1728,-3468,1334,-716,-2373,-171,418,0
-1722,154,2877,-529,2564,1374,-5143,0
952,-1295,-1656,-44,235,266,-492,0
-1876,-1135,-1293,-338,-1496,707,2525,0
-46,81,-2135,454,2048,-2125,1376,0
75,-1639,801,-132,-3479,-3824,2792,0
-889,-2503,-2571,3192,-2483,9,69,0
2979,348,66,937,253,-52,-1168,0
-655,567,-201,106,2899,-821,-982,0
223,4057,4192,-2483,2699,907,1611,0
68,-2042,-3091,-3758,-1411,237,-989,0
-596,-2073,857,3342,5705,1162,1989,0
-163,1607,-1634,-2219,253,343,-1484,0
-1871,745,2298,-3753,-1817,-729,1421,0
-125,-817,372,192,3288,1581,-1482,0
-1423,-1192,2527,119,104,3197,-228,0
-887,571,-3093,43,-784,-4393,3695,0
5935,-761,946,-3813,3011,25,-1904,0
1125,1101,329,911,81,3046,129,0
-745,-61,-37,-1291,-6662,-2039,-1038,0
1301,-117,74,2627,-11,-2029,376,0
-1077,-2848,-3823,874,814,-108,-2606,0
147,-863,3902,-3418,-485,54,-327,0
227,-2786,1562,626,4,2204,1315,0
-3658,104,-376,1613,143,149,2461,0
-321,1142,308,-4759,-2337,-15,3297,0
1105,2842,-402,-716,1639,-1613,1121,0
39,1469,815,-3057,-1309,2209,1776,0
1509,482,1334,531,-967,32,-1562,0
1045,-814,-89,-4196,-26,1143,3108,0
2039,-38,-1281,-2422,-4146,-3934,-74,0
676,-3426,182,-772,-1262,73,2548,0
2741,-627,-224,2493,2379,882,-76,0
-12,-302,-399,-5,-2292,3194,428,0
-1083,-2736,288,-426,3379,132,-744,0
318,2026,-2887,-856,-1441,-1214,-3076,0
97,-4629,-624,-3448,2063,494,1565,0
-1101,-2157,1163,762,211,1657,4228,0
-491,4343,415,1451,232,-2009,2418,0
31,-4534,2579,516,1474,-1232,3291,0
-1053,16,652,-2383,-4349,-2009,1527,0
594,325,2482,-1787,-986,-1817,1953,0
-301,4197,-897,1915,1444,-1044,84,0
58,-488,-52,316,53,2902,-115,0
-3415,-1331,-1979,2167,1038,-79,-536,0
483,1903,1638,305,-1266,-3107,-2296,0
893,-2666,-88,1277,-1836,-859,491,0
-2548,1742,-2594,-4647,-1967,-1132,-1829,0
-92,-764,-4262,1997,1963,-1762,364,0
809,-2705,-2568,-1516,-777,2862,-361,0
2277,1068,-972,1148,-2768,117,-2893,0
3488,-1194,-562,1768,-2483,-851,2892,0
319,228,849,-6933,2555,-2564,2721,0
-51,96,-1841,-168,1083,656,92,0
247,1936,2991,524,-4564,317,-241,0
615,-2371,221,-3328,179,-939,1227,0
-3517,-1026,1843,-1606,-1199,777,-2618,0
-1074,2267,2534,1323,-1719,2669,632,0
-834,3051,-4068,663,514,4855,-1199,0
812,923,252,429,448,307,-4469,0
-1,198,-27,-1229,-1973,1182,4,0
1228,-1719,1452,1072,-225,2096,-3437,0
1531,-2058,-4262,-29,1945,-1397,67,0
-942,-352,2603,3109,-3765,434,978,0
2064,-1471,-2266,2235,3141,2424,1738,0
1262,-5078,313,1316,198,-3698,1378,0
1863,-1732,-1362,-129,-119,4767,-1298,0
1129,-2879,458,1097,-29,-412,3942,0
-1717,-43,-159,993,1786,4705,1217,0
1266,-4332,235,-246,-415,-1539,1039,0
