@relation 'ring-weka.filters.unsupervised.attribute.Remove-V-R1,3-5,17-18,21'

@attribute A1 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute Class {0,1}

@data
366,-4531,-1283,3117,1384,-619,0
2191,452,52,916,-1279,589,1
1305,-394,953,222,1984,33,0
127,-14,-343,-1101,848,263,0
-434,-887,808,-278,304,-979,1
1184,513,672,1486,3,-857,1
-3264,1477,339,11,4206,723,0
1667,-2664,571,1571,-58,-1314,1
44,538,47,-1415,-48,595,1
44,-876,974,865,1366,-676,1
1398,-368,571,-1411,-137,147,1
-631,-1451,-3862,-1992,935,-1218,0
-587,-285,-994,-1052,-296,274,0
3078,-1782,-1425,-698,-1243,1418,0
1133,-2976,-1265,887,-4468,907,0
64,107,3851,-1005,-1433,-17,0
1863,-632,2659,-1732,-2451,4767,0
1367,539,-1472,658,3591,-118,1
-83,344,-906,2626,239,12,1
304,-582,656,-53,-1315,483,1
228,-425,-369,-2433,-1768,-1429,0
-1273,832,-561,-391,849,1539,1
-669,1951,128,624,-217,-1918,0
423,-205,-2598,1745,45,62,1
2137,1714,-2002,811,421,-168,0
-623,313,428,-879,1571,38,1
38,171,-3,73,-101,1118,1
54,334,1346,-63,-284,1944,1
679,422,337,37,485,56,1
68,1544,1876,32,794,-1228,1
806,-308,-1169,632,1869,606,1
499,401,2326,788,695,1593,0
1436,-394,1135,-24,261,517,1
-1367,-638,-567,735,2828,-4903,0
-968,-527,2767,2152,-348,1187,1
-629,-836,-833,242,-54,1846,0
27,1035,963,952,-315,296,1
2492,-749,-4275,205,1892,-441,0
1327,-145,628,801,213,-133,1
972,2,779,3,3245,42,1
-46,-1305,175,46,528,-476,1
4428,1039,-2653,-3548,2753,-3206,0
841,1752,277,766,2371,1591,0
256,2264,-2462,-596,-1763,209,0
-117,1059,1072,-4,92,1352,1
764,2141,-857,1376,863,97,1
3008,2423,-1582,-2321,-298,-1816,0
418,-984,534,1211,-316,1621,1
3195,-81,276,428,613,-47,1
-154,-3171,-345,2861,-2097,-196,0
1075,1633,-911,1712,1638,29,1
948,743,-294,905,-1,1074,1
577,-5051,748,495,2099,662,0
483,691,1102,83,522,513,1
562,-77,-451,-465,54,413,1
-1446,-2073,-502,-1107,-3682,821,0
-1644,-2451,-1442,1542,-237,-1677,0
45,325,749,289,-2803,117,1
178,-5,-964,242,-86,-2432,0
599,615,-8,-368,62,2558,1
432,1298,-72,-202,62,221,1
75,-892,1442,418,1766,-267,1
-1635,-113,3778,3626,-2977,3793,0
572,1102,208,-79,786,1158,1
178,307,49,312,954,-1762,1
-3618,-1328,-1455,1087,394,-102,0
1195,1006,1865,-1059,469,326,1
1089,356,-186,-187,751,-514,1
215,-1384,-277,-702,1084,3094,0
712,-54,1347,-2699,58,666,0
-681,1674,1468,704,-608,-328,1
-1,-1283,3801,-1577,-644,-4774,0
1749,1104,1919,1115,366,296,1
167,899,592,895,-52,78,1
1683,2035,213,278,-622,3372,0
69,1065,85,-1918,604,-31,1
-982,1297,179,-369,55,589,1
-233,-857,-55,1647,878,589,1
1266,-605,-924,-726,639,845,1
3913,1994,-822,-252,1166,16,0
-1934,-3236,1925,12,-371,1444,0
3394,166,-2436,-246,-428,1113,0
578,1281,-213,-446,1581,948,1
-777,-891,2197,-1269,2295,-1212,0
1301,844,-861,394,773,554,1
1507,2585,-438,2852,-357,1398,0
1263,-917,-1444,1262,-1011,-308,0
-1094,-4791,-3311,-609,-228,-16,0
1355,-1421,-1299,-267,71,569,1
-2951,-889,32,-1929,1284,-742,0
4384,983,1532,-1009,-328,134,0
551,569,-1368,694,64,-1323,1
-88,-816,519,-2152,209,-93,1
2381,-902,-394,-1464,104,-856,1
-3583,736,2939,2204,-3606,-833,0
1053,769,-698,685,978,157,1
94,111,106,184,201,677,1
-95,1842,1011,769,689,-199,1
-331,974,-839,719,1171,873,1
-1212,609,-3108,2057,13,155,0
33,2631,-3562,2052,-439,501,0
-2302,-1238,-237,-4825,1242,2477,0
2349,368,-148,165,-157,1165,1
-1722,-2541,1963,954,915,2086,0
2158,107,-759,-442,928,1945,1
776,94,-2079,-981,-3283,-4841,0
343,152,394,1136,1006,-1105,1
1188,1416,649,-209,2988,-2167,0
1711,314,612,-1132,-672,2247,0
-987,-1411,711,1628,-467,231,1
1483,713,-26,1166,-831,1891,1
189,1005,-475,444,2771,-29,1
2414,-686,205,1343,521,-756,1
1257,533,-131,74,488,-245,1
1105,-967,-1171,-196,276,676,1
1993,2218,-1027,-669,139,1106,1
859,-923,-734,1562,-686,2572,0
737,2032,-529,-1438,3572,536,1
-3683,742,-309,-1361,-2277,-204,0
-1336,319,1406,-738,-3733,258,0
7,2355,614,76,-546,1897,1
-93,-3357,-249,-1032,-1046,-148,0
-1573,-131,1593,2031,-1074,2145,0
332,-362,1389,-2464,2868,-3167,0
139,396,1092,-1399,-64,115,1
42,763,381,-109,-302,624,1
-398,544,597,1474,242,-1553,1
1501,772,-982,2389,472,1514,1
708,-719,-14,3043,-1107,-61,0
425,62,2117,-1663,1408,72,1
1066,-1136,1772,844,1042,-14,1
-1581,1212,117,-569,2076,-1572,0
-1272,-2129,28,-57,-1113,-301,0
-338,2374,132,884,-2495,-75,1
334,913,182,2524,24,-892,1
2868,61,2081,1578,489,1179,1
-1814,-762,2794,2416,-859,-52,0
854,-6,-786,2571,1804,-726,1
-3157,449,-2053,1447,-1252,707,0
491,1256,787,616,-1622,-38,0
1255,1335,74,-112,387,-76,1
502,566,2233,721,1497,-254,1
198,2072,-172,-1165,-356,-104,0
6073,-1388,331,1051,2656,-1134,0
-1798,-1319,2054,1318,-1237,1134,0
-96,-17,1616,528,1062,1245,1
-89,827,-7,-975,-2723,-1836,0
-46,-277,-2252,81,-583,-2125,0
624,-371,2767,-424,-2838,1781,0
2074,424,1389,-1645,-9,604,1
593,1219,-576,-516,266,-444,1
-103,-203,-619,476,1228,163,1
3475,1549,432,2198,6373,2645,0
-215,-5359,-308,-829,1049,-917,0
162,-404,-1612,-2024,273,1737,1
68,-224,-631,333,-432,18,0
-1266,524,609,189,1321,28,1
1155,195,1411,91,158,626,1
-3627,1825,1973,6,-8,1688,0
-1396,-64,-196,393,44,-3357,0
205,2503,1264,-41,-69,3,1
958,2254,1735,1003,96,2294,1
111,73,635,952,-643,78,1
113,1566,1183,-634,657,384,1
228,-24,-524,-988,86,-2,1
-31,-352,1153,-95,624,789,1
1473,-441,-2724,227,-1657,-1555,0
-3932,1422,5176,-638,4004,-79,0
1395,99,2936,24,58,737,1
-3799,-3133,-2707,123,219,-1249,0
1276,134,1857,629,1188,-828,1
-192,-1056,-3513,1133,272,-4413,0
1516,-2451,1274,-451,1006,2492,0
-634,792,-575,-1011,-761,-25,1
32,193,2869,-1373,-1411,-33,0
-1043,-326,-2247,-676,2372,-1612,0
-594,1147,91,87,-1154,448,0
9,64,89,13,424,-7,1
-1159,172,-3456,214,-444,-406,0
916,979,332,-128,631,1555,1
606,-144,-2322,389,-1178,-2358,0
-593,-1468,1811,2195,323,854,1
-205,511,876,741,206,-1304,0
-1848,-2798,181,-449,75,1561,0
3356,-1811,931,-93,-2496,207,0
-239,-118,-1703,3361,-2155,-2343,0
3258,1133,-1451,772,-1622,-3302,0
855,116,896,386,872,216,0
-31,1718,-4,-115,-134,1108,1
-1778,1484,-134,1108,2062,485,1
2277,977,-1524,1068,-2471,117,0
298,196,-309,-94,2216,2691,1
-1729,2553,-814,-27,1091,899,1
-1296,1167,3817,-579,-1872,1958,0
139,-1978,-4192,-33,-2008,-1814,0
-714,-105,395,2096,953,2685,0
1508,-717,-66,-1283,2221,816,1
-43,1876,1414,2119,-74,644,1
3135,-2796,-2046,2148,2769,-4328,0
2126,-416,1109,3212,5381,58,0
1238,291,154,-1853,554,872,1
959,886,8,12,-2034,1145,1
187,-4062,84,-3877,-2764,-2024,0
773,-77,514,-174,-5,-746,1
598,-791,3,1492,157,896,1
-466,2443,1617,244,-397,1285,1
-619,834,1837,-743,-913,-1775,1
179,1479,124,-76,1858,1669,1
-828,-739,-112,2092,-1097,302,0
2372,3715,1455,-2103,144,-1796,0
1157,1074,-624,598,-354,-1579,0
124,-306,2783,263,-324,-444,1
-141,-495,-329,151,808,-734,1
-784,-556,-577,1342,47,1049,1
-249,-146,-179,264,148,1034,1
1347,-1545,1035,1083,4255,-3554,0
-3167,2388,-564,782,408,91,0
-1383,706,212,168,-1546,-1356,0
-23,806,212,1352,111,-1139,1
