@relation 'ring-weka.filters.unsupervised.attribute.Remove-V-R13-14,17-18,20-21'

@attribute A13 numeric
@attribute A14 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A20 numeric
@attribute Class {0,1}

@data
-151,-132,-2611,-2612,68,0
-707,39,73,701,803,1
1956,2323,-396,1061,-96,0
-442,-988,-249,2676,866,1
277,-0,1708,-638,884,1
1342,581,-1076,1226,66,0
362,1771,988,519,-906,1
1042,-282,-385,1163,52,1
-49,-1655,-3876,-2042,85,0
926,892,552,1519,651,1
304,221,1364,-761,2671,0
144,18,-645,-36,338,1
2801,108,-1809,1265,-1516,0
3321,-3406,204,2852,734,0
-482,892,188,-274,1634,1
-812,2133,1033,1208,2,0
-283,-3926,-653,-3562,-2672,0
26,1038,49,808,-33,1
-185,1814,-352,637,9,1
3112,319,-562,2854,238,0
1716,384,-585,-1017,1198,1
305,1082,1961,1922,15,1
751,-1057,-1014,-16,954,1
45,-65,2121,1831,655,1
1221,37,1559,363,72,1
-325,-1029,-7,992,132,0
629,1445,-78,1248,-81,0
-3065,1867,194,-1685,384,0
179,1726,-509,974,648,1
67,2886,-84,-349,1746,1
2616,1684,1037,-477,1498,1
-33,715,808,254,-927,1
-609,-152,-803,-3297,-1553,0
311,-34,1487,768,-1333,0
-517,1512,-1288,-91,-504,0
1751,-238,-2794,389,-123,0
-1195,-1972,1277,264,-619,0
-291,708,98,11,196,0
-5,696,-1242,2498,-1117,1
2024,1197,-996,1799,4,1
352,192,-351,1726,501,1
1728,703,136,-1085,-2835,0
-2339,255,18,2278,666,0
-954,3136,-2014,3253,-3126,0
1015,-1256,1122,1329,118,0
4053,-21,1689,1258,-356,0
752,1595,-1168,34,-1,1
1832,1816,1914,-353,2304,1
-1634,-1052,-124,-386,-3491,0
-614,-2319,-949,-144,-2297,0
2176,-1289,416,-1278,712,1
888,3295,-1438,-68,3437,0
1292,-1182,-302,158,2153,1
-262,-1571,4301,1213,-3476,0
-1393,2013,-1067,62,225,1
67,-162,1458,78,983,1
1259,916,-78,-3552,1244,0
71,-265,-688,469,15,1
762,1183,-2197,-349,2829,0
146,-61,11,-264,1708,0
228,1327,-1553,-151,2162,0
