@relation crx

@attribute A2 numeric
@attribute A7 {v,h,bb,ff,j,z,o,dd,n}
@attribute A9 {t,f}
@attribute A12 {f,t}
@attribute A14 numeric
@attribute A15 numeric
@attribute Class {positive,negative}

@data
1808,v,t,f,80,0,positive
6408,h,t,t,0,1000,positive
56,h,t,t,24,2028,positive
3417,v,t,t,0,221,positive
3917,v,t,t,480,0,positive
4858,v,t,f,380,2732,positive
3217,v,t,f,120,2079,positive
2842,v,t,f,280,0,positive
1883,v,t,f,100,0,positive
4775,v,t,t,0,1260,positive
2758,v,t,t,370,560,positive
1808,ff,f,t,300,0,positive
5842,bb,t,f,0,6700,positive
2333,v,t,t,160,300,positive
2783,v,t,t,434,35,positive
2075,v,t,t,49,0,positive
21,v,t,t,160,1,positive
3267,h,t,t,154,0,positive
2017,v,t,t,40,28,positive
3992,v,t,f,200,300,positive
4433,h,t,t,320,0,positive
4142,h,t,t,470,0,positive
4875,h,t,f,181,1655,positive
495,bb,t,t,0,5000,positive
3283,h,t,f,160,2072,positive
4417,v,t,t,0,0,positive
18,n,f,f,200,40,positive
5708,v,t,f,0,3000,positive
25,h,t,t,160,5860,positive
4858,h,t,t,350,0,positive
295,v,t,f,380,500,positive
5142,h,t,f,0,3000,positive
3917,v,t,f,186,4700,positive
2067,v,t,f,220,2503,positive
2325,v,t,t,0,582,positive
2692,h,t,f,0,5000,positive
4217,h,t,t,92,0,positive
6058,v,t,t,21,10561,positive
345,bb,t,t,195,0,positive
27,v,t,t,260,1065,positive
2417,v,t,t,520,2000,positive
41,v,f,f,560,0,positive
3925,v,t,f,240,4607,positive
285,h,t,f,70,0,positive
2725,h,t,f,399,827,positive
2183,v,t,f,121,0,positive
2992,h,t,f,260,200,positive
6542,z,t,t,22,0,positive
25,v,t,t,20,0,positive
2433,v,t,t,100,0,positive
2442,h,t,t,120,0,positive
2267,j,f,t,0,0,positive
2042,v,t,f,200,1391,positive
3742,v,t,t,400,5800,positive
415,bb,f,f,216,0,positive
2233,v,t,f,80,278,positive
36,v,t,f,0,456,positive
5658,bb,t,t,0,0,positive
3358,v,t,f,204,0,positive
1375,v,t,t,120,1000,positive
39,v,t,t,0,0,positive
2125,bb,t,f,80,0,positive
2783,v,t,t,100,3,positive
3575,v,t,f,0,1583,positive
4133,bb,t,t,0,300,positive
2817,v,t,f,80,0,positive
1608,v,t,t,352,690,positive
21,v,t,t,80,300,positive
2775,v,t,f,260,500,positive
3675,v,t,t,0,4000,positive
3417,v,f,t,290,6,positive
305,bb,t,t,0,3065,positive
2667,v,t,f,211,0,positive
4583,v,t,t,0,0,positive
3233,v,t,f,440,11177,positive
2292,v,t,f,80,1349,positive
3542,h,t,f,0,6590,positive
4308,v,t,t,300,162,positive
2325,bb,t,t,160,0,positive
47,bb,t,t,0,0,positive
2475,v,t,t,120,567,positive
3633,v,t,f,50,1187,positive
3667,h,t,t,102,639,positive
3858,v,t,f,383,1344,positive
2808,z,t,f,0,13212,positive
25,h,t,f,400,458,positive
5592,ff,t,f,0,8851,positive
3017,v,t,f,32,540,positive
1883,v,t,t,40,600,positive
2767,h,t,f,140,7544,positive
2167,j,t,t,0,0,positive
5008,v,t,t,156,0,positive
2833,v,t,t,70,0,positive
335,h,t,t,253,857,positive
26,v,t,t,280,0,positive
5783,v,t,t,360,1332,positive
2875,v,t,t,371,0,positive
3517,h,t,t,515,500,positive
4608,v,t,t,396,4159,positive
27,h,t,t,312,150,positive
42,h,t,f,400,0,positive
2392,h,t,f,200,327,positive
7342,ff,t,t,0,0,positive
3317,v,t,t,340,4071,positive
525,v,t,f,0,11202,positive
6867,z,t,f,0,3376,positive
3067,v,t,f,220,19,positive
3317,h,t,t,180,18027,positive
2575,bb,t,f,349,23,positive
6092,v,t,f,0,99,positive
595,v,t,t,60,58,positive
245,h,t,f,280,824,positive
4808,v,f,f,0,2690,positive
3992,v,t,f,200,1000,positive
3492,v,t,t,239,200,positive
3367,v,f,f,300,44,positive
2308,v,t,t,60,2184,positive
3933,h,t,t,399,0,positive
3167,v,t,f,250,730,positive
4117,h,t,f,320,0,positive
1967,h,t,f,80,99,positive
2575,v,t,t,312,0,positive
2325,v,t,f,120,245,positive
2342,v,t,t,80,400,positive
3867,v,t,t,280,0,positive
2242,v,t,f,129,3257,positive
1842,v,t,f,60,540,positive
2508,v,t,t,395,20,positive
3733,h,t,t,93,0,positive
3083,v,t,f,202,0,positive
5433,h,t,t,0,284,positive
3517,v,t,f,150,1270,positive
5867,h,t,f,43,560,positive
7675,z,t,t,0,109,positive
2392,v,f,f,100,0,positive
3825,v,t,t,0,0,positive
2517,h,t,f,360,0,positive
3275,h,t,t,0,0,positive
4667,h,t,t,440,6,positive
3267,h,t,t,408,1000,positive
205,v,t,t,200,3000,positive
2083,v,t,f,100,0,positive
5158,v,t,f,0,0,positive
205,h,t,f,340,0,positive
2517,v,t,f,0,7059,positive
4433,v,t,f,0,0,positive
2825,v,t,f,420,7,positive
5442,h,t,f,180,314,positive
255,v,t,f,260,15108,positive
2075,h,t,t,80,50,positive
42,h,t,f,0,0,positive
3775,v,t,t,228,0,positive
6008,ff,t,t,0,1000,positive
1917,v,t,f,120,2206,positive
2567,v,t,t,140,258,positive
3675,v,f,t,232,113,positive
2275,v,t,t,100,809,positive
3442,bb,t,f,274,610,positive
5675,v,t,t,200,0,positive
2867,h,t,f,381,168,positive
4058,v,t,f,0,3065,positive
40,bb,t,f,0,500,positive
3667,v,t,t,320,0,positive
1583,h,t,f,100,0,positive
2133,v,t,f,80,9800,positive
1883,h,t,f,240,0,positive
2925,v,t,t,168,0,positive
2267,h,t,f,0,0,positive
2042,v,t,f,100,150,positive
4325,h,t,f,80,0,positive
2317,h,t,f,100,0,positive
175,o,f,t,450,100000,positive
2667,v,t,t,120,0,positive
4175,v,t,f,510,600,positive
1892,v,t,t,80,500,positive
2617,bb,t,t,0,0,positive
3475,n,t,t,0,134,positive
3958,v,t,t,70,0,positive
3208,v,t,t,360,0,positive
3125,h,t,t,181,0,positive
2192,v,t,t,840,59,positive
2267,v,t,f,80,0,positive
2267,h,t,f,100,0,positive
2867,v,t,t,300,1430,positive
2183,h,t,t,0,0,positive
425,v,t,t,52,1442,positive
2967,h,t,f,240,100,positive
1617,v,f,f,0,0,positive
3517,h,f,t,711,0,positive
1758,v,t,t,0,0,positive
5967,v,t,t,260,0,positive
3317,h,t,t,164,31285,positive
25,v,t,f,200,1208,positive
2958,v,t,t,330,0,positive
1967,v,t,t,80,0,positive
2667,v,t,t,160,5777,positive
30,dd,t,t,99,500,positive
4025,z,t,f,0,1200,positive
2475,h,t,f,0,500,positive
2242,h,t,f,0,321,positive
