@relation crx

@attribute A2 numeric
@attribute A8 numeric
@attribute A9 {t,f}
@attribute A12 {f,t}
@attribute Class {positive,negative}

@data
4833,16,t,f,positive
2067,2085,t,f,positive
4133,225,t,t,positive
3133,7,t,f,positive
2392,165,f,f,positive
2325,317,t,f,positive
4142,5,t,t,positive
2075,71,t,t,positive
4433,25,t,f,positive
3417,85,f,t,positive
36,2,t,f,positive
5842,10,t,f,positive
205,2,t,t,positive
2533,29,t,t,positive
495,7585,t,t,positive
2775,25,t,f,positive
4742,65,t,f,positive
3317,65,t,t,positive
5283,55,t,f,positive
25,25,t,f,positive
2267,1335,t,f,positive
2667,429,t,t,positive
4767,15,t,f,positive
2258,4,t,f,positive
2758,2,t,t,positive
2892,5335,t,f,positive
2183,665,t,t,positive
2042,225,t,f,positive
6058,11,t,t,positive
2133,3,t,t,positive
2067,165,t,f,positive
2517,625,t,f,positive
4325,6,t,f,positive
1617,4,f,f,positive
1808,5,t,f,positive
4825,175,t,f,positive
4725,275,t,f,positive
1808,10,f,t,positive
2875,1085,t,t,positive
23,5,t,t,positive
2125,5,t,f,positive
3775,125,t,t,positive
30,225,t,t,positive
2042,1625,t,f,positive
42,5125,t,f,positive
5442,396,t,f,positive
2767,1,t,f,positive
4083,175,t,f,positive
2692,5,t,f,positive
2508,1665,t,t,positive
3425,7415,t,t,positive
5658,15,t,t,positive
3267,525,t,t,positive
1917,15,t,f,positive
3308,1625,t,f,positive
2192,4,t,t,positive
1842,121,t,f,positive
26,175,t,t,positive
4117,5,t,t,positive
2992,4335,t,f,positive
4858,25,t,f,positive
5458,14415,t,t,positive
41,4,f,f,positive
4033,8,t,f,positive
5392,8665,t,f,positive
2608,1415,t,f,positive
2392,1875,t,f,positive
1942,146,t,f,positive
27,425,t,t,positive
3992,5,t,f,positive
6542,20,t,t,positive
1892,1,t,t,positive
2242,75,t,f,positive
2275,25,t,t,positive
2333,1415,t,f,positive
2342,15,t,t,positive
2325,25,t,t,positive
3825,1,t,t,positive
2475,15,t,t,positive
2783,375,t,t,positive
2808,0,t,f,positive
5433,2625,t,t,positive
1933,1,t,t,positive
595,175,t,t,positive
3367,375,f,f,positive
3667,9,t,t,positive
1892,75,t,f,positive
1883,85,t,f,positive
2242,2585,t,f,positive
1883,1625,t,t,positive
2325,2375,t,t,positive
4417,7375,t,t,positive
3958,8625,t,t,positive
25,35,t,f,positive
3542,14,t,f,positive
2517,875,t,f,positive
4858,6,t,t,positive
2317,85,t,f,positive
2308,2125,t,t,positive
4192,21,t,f,positive
1917,0,f,t,positive
2308,35,t,f,positive
3575,75,t,f,positive
3192,604,t,f,positive
6775,13,t,t,positive
3283,275,t,f,positive
2267,3085,t,f,positive
43,175,t,f,positive
2767,575,t,t,positive
5675,125,t,t,positive
2575,875,t,t,positive
3275,55,t,t,positive
4208,5,t,t,positive
1967,2,t,t,positive
4217,1275,t,t,positive
44,175,t,t,positive
2825,15,t,t,positive
7675,1275,t,t,positive
3517,45,t,f,positive
4983,85,t,t,positive
525,629,t,f,positive
3492,75,t,t,positive
205,25,t,f,positive
345,85,t,t,positive
2033,1,t,f,positive
1608,175,t,t,positive
3125,625,t,t,positive
2725,5085,t,f,positive
5158,85,t,f,positive
3233,4,t,f,positive
3017,3125,t,f,positive
5867,304,t,f,positive
6517,0,t,t,positive
4817,35,t,f,positive
2867,25,t,t,positive
2325,835,t,f,positive
2833,11,t,t,positive
28,4165,t,t,positive
2575,25,t,f,positive
3517,1625,t,t,positive
2283,229,t,t,positive
4875,125,t,f,positive
1967,29,t,f,positive
3408,4,t,t,positive
1883,3,t,f,positive
2567,121,t,t,positive
2742,3085,t,f,positive
21,1085,t,t,positive
3358,425,t,f,positive
3217,1085,t,f,positive
2075,335,t,t,positive
3208,25,t,t,positive
4433,5,t,t,positive
2867,5665,t,f,positive
3517,575,f,t,positive
2442,1585,t,t,positive
21,225,t,t,positive
3675,15,f,t,positive
255,25,t,f,positive
4808,4,f,f,positive
3475,5375,t,t,positive
2133,1415,t,f,positive
5708,55,t,f,positive
3417,45,t,t,positive
6408,0,t,f,positive
4025,20,t,f,positive
3867,85,t,t,positive
45,14,t,t,positive
3625,25,t,f,positive
2208,665,t,f,positive
2183,29,t,f,positive
4608,2375,t,t,positive
2925,504,t,t,positive
2333,835,t,t,positive
225,246,f,f,positive
2517,1,t,f,positive
2675,125,t,f,positive
4133,15,t,f,positive
4117,7,t,f,positive
2508,25,t,t,positive
1375,175,t,t,positive
2233,2,t,f,positive
2575,146,t,t,positive
4308,375,t,t,positive
47,5165,t,t,positive
6092,4,t,f,positive
3917,125,t,t,positive
295,54,t,f,positive
3817,25,t,f,positive
2417,4625,t,t,positive
3317,204,t,t,positive
3858,4,t,f,positive
4817,155,t,f,positive
1917,75,t,f,positive
3167,3,t,f,positive
2958,75,t,t,positive
6408,175,t,t,positive
425,3165,t,t,positive
2017,196,t,f,positive
5592,5,t,f,positive
3733,425,t,t,positive
18,21,f,f,positive
2317,46,t,f,positive
4667,415,t,t,positive
3225,325,t,t,positive
2617,0,t,t,positive
5133,0,t,f,positive
3417,154,t,t,positive
175,0,f,t,positive
2817,585,t,f,positive
2475,1835,t,f,positive
6867,0,t,f,positive
2017,1665,t,t,positive
485,125,t,t,positive
40,35,t,f,positive
2208,2165,f,t,positive
4583,5,t,t,positive
185,15,t,f,positive
3925,65,t,f,positive
2825,475,t,f,positive
2283,129,t,f,positive
2825,96,t,t,positive
5142,4,t,f,positive
2725,1835,t,t,positive
3992,4,t,f,positive
245,15,t,f,positive
2308,1085,t,t,positive
3667,25,t,t,positive
5967,125,t,t,positive
3908,129,t,t,positive
3317,3165,t,t,positive
215,25,t,f,positive
4283,458,t,f,positive
3017,175,t,f,positive
42,796,t,f,positive
2017,171,t,f,positive
415,35,f,f,positive
3442,325,t,f,positive
3492,0,t,t,positive
