@relation 'crx-weka.filters.unsupervised.attribute.Remove-V-R9,12,16'

@attribute A9 {t,f}
@attribute A12 {f,t}
@attribute Class {positive,negative}

@data
t,t,positive
t,t,positive
t,t,positive
t,f,positive
f,f,positive
t,t,positive
t,t,positive
f,t,positive
t,t,positive
t,f,negative
t,f,negative
t,f,negative
t,t,positive
t,t,positive
t,f,positive
t,f,positive
t,f,positive
t,t,positive
t,t,positive
t,t,positive
t,t,positive
t,t,positive
t,f,positive
t,t,positive
t,t,positive
t,t,positive
t,f,positive
t,t,positive
t,t,positive
f,f,negative
f,t,negative
f,f,negative
t,t,negative
f,f,negative
f,f,negative
f,f,negative
f,f,negative
f,f,negative
f,t,negative
f,f,negative
f,t,negative
f,t,negative
f,t,negative
f,f,negative
f,f,negative
f,f,negative
f,f,negative
f,f,negative
f,f,negative
f,f,negative
f,f,negative
t,f,positive
t,t,positive
t,f,positive
t,t,negative
t,t,positive
t,f,positive
f,f,negative
f,f,negative
f,t,negative
f,t,negative
f,t,negative
f,t,negative
f,t,negative
f,t,negative
f,f,negative
f,f,negative
f,t,negative
