@relation crx

@attribute A9 {t,f}
@attribute A12 {f,t}
@attribute A14 numeric
@attribute A15 numeric
@attribute Class {positive,negative}

@data
t,t,140,2384,positive
t,t,0,1400,positive
f,f,0,2690,positive
t,t,0,0,positive
t,f,0,3000,positive
t,t,0,0,positive
t,f,32,540,positive
t,t,396,4159,positive
t,f,0,5000,positive
t,t,0,1260,positive
f,f,164,0,positive
t,f,100,0,positive
t,t,0,15,positive
f,t,500,1,positive
t,f,0,0,positive
t,f,80,99,positive
t,t,330,0,positive
f,f,150,8,positive
t,f,120,14,positive
t,f,520,196,positive
t,f,200,1208,positive
t,f,250,730,positive
t,t,0,0,positive
t,f,200,1391,positive
t,t,20,0,positive
t,t,395,20,positive
t,t,840,59,positive
t,t,0,0,positive
t,f,80,0,positive
t,f,60,158,positive
t,f,0,0,positive
t,f,260,800,positive
t,f,80,0,positive
t,f,0,2283,positive
t,t,195,0,positive
t,t,393,0,positive
t,f,333,892,positive
t,f,140,7544,positive
t,f,0,321,positive
t,f,117,1210,positive
t,t,120,567,positive
t,f,50,1187,positive
t,f,100,0,positive
t,t,300,162,positive
t,f,349,23,positive
t,f,0,0,positive
t,f,0,456,positive
t,t,70,0,positive
t,f,383,1344,positive
t,t,260,1065,positive
t,t,400,5800,positive
t,t,144,7,positive
t,t,0,4000,positive
t,f,240,100,positive
t,t,0,0,positive
t,f,80,2954,positive
t,t,396,0,positive
t,f,80,0,positive
t,t,360,1332,positive
t,f,0,367,positive
t,f,440,11177,positive
t,t,0,560,positive
t,f,260,500,positive
t,f,0,0,positive
t,f,0,1200,positive
t,t,0,0,positive
t,t,370,0,positive
t,f,80,0,positive
t,f,50,1465,positive
t,f,510,600,positive
t,t,352,690,positive
t,t,120,1000,positive
t,t,455,1236,positive
t,f,0,99,positive
f,t,450,100000,positive
f,t,300,0,positive
t,f,120,0,positive
t,t,160,0,positive
t,f,0,3376,positive
t,t,102,639,positive
t,t,500,10000,positive
t,f,399,827,positive
t,f,56,742,positive
t,f,330,1200,positive
f,t,711,0,positive
t,t,156,0,positive
t,t,0,0,positive
t,t,60,58,positive
t,f,181,1655,positive
t,t,371,0,positive
t,t,120,0,positive
t,t,80,0,positive
t,t,40,28,positive
t,f,0,0,positive
t,t,120,0,positive
t,t,370,560,positive
t,t,350,0,positive
t,t,312,0,positive
t,t,100,0,positive
t,f,0,0,positive
t,t,360,0,positive
t,f,0,1602,positive
t,t,0,1000,positive
t,f,360,0,positive
t,f,100,150,positive
t,f,0,0,positive
t,t,519,1704,positive
t,t,160,5860,positive
t,f,0,6700,positive
t,f,0,2200,positive
t,t,21,10561,positive
t,f,0,0,positive
t,f,0,678,positive
t,f,200,300,positive
t,f,232,100,positive
t,f,100,0,positive
f,t,128,0,positive
t,f,280,0,positive
t,t,100,809,positive
t,f,100,6,positive
f,f,300,44,positive
t,f,80,0,positive
t,f,0,0,positive
t,f,400,458,positive
t,t,0,300,positive
t,t,0,3065,positive
t,f,0,0,positive
t,t,88,2000,positive
t,t,253,857,positive
t,f,160,150,positive
t,f,120,2206,positive
t,t,24,2028,positive
t,t,0,0,positive
t,f,0,0,positive
t,f,96,0,positive
t,t,0,0,positive
t,t,0,0,positive
t,t,92,0,positive
t,f,0,3000,positive
t,t,583,713,positive
t,t,160,1,positive
t,t,49,0,positive
t,f,0,2300,positive
t,t,40,600,positive
t,t,303,3290,positive
f,f,216,0,positive
t,f,150,1270,positive
t,f,100,375,positive
t,f,0,15,positive
t,t,30,300,positive
t,t,120,0,positive
t,t,480,0,positive
t,t,200,0,positive
f,f,200,40,positive
f,t,431,0,positive
t,f,381,168,positive
t,f,380,2732,positive
t,f,211,0,positive
t,f,70,0,positive
t,f,0,11202,positive
t,t,145,0,positive
t,t,96,5124,positive
t,t,93,0,positive
t,t,22,0,positive
t,f,29,837,positive
t,t,0,0,positive
t,t,434,35,positive
f,t,0,0,positive
t,t,0,284,positive
f,f,560,0,positive
t,f,220,948,positive
t,f,375,51100,positive
t,t,280,2000,positive
t,t,300,1430,positive
t,f,0,7059,positive
t,f,0,3000,positive
t,t,60,2184,positive
f,t,232,113,positive
t,t,70,0,positive
t,f,0,0,positive
f,f,100,0,positive
t,t,280,0,positive
t,t,320,0,positive
t,f,0,500,positive
t,f,0,247,positive
t,f,80,1349,positive
t,t,100,3,positive
t,t,0,1000,positive
t,f,311,300,positive
t,t,164,31285,positive
t,t,0,1000,positive
t,f,88,591,positive
t,f,40,0,positive
t,t,140,258,positive
t,t,80,300,positive
t,f,110,0,positive
t,t,80,500,positive
t,t,108,1097,positive
t,t,487,500,positive
t,t,0,109,positive
t,f,100,960,positive
t,f,340,0,positive
t,t,515,500,positive
t,f,160,2072,positive
t,t,168,0,positive
t,t,0,0,positive
t,f,240,0,positive
t,f,80,278,positive
t,t,0,0,positive
t,f,129,3257,positive
t,t,380,0,positive
t,f,60,540,positive
t,f,0,1583,positive
t,f,0,8851,positive
t,f,186,4700,positive
t,t,160,300,positive
t,t,399,0,positive
t,f,320,0,positive
t,t,491,0,positive
t,f,43,560,positive
t,t,228,0,positive
t,t,154,0,positive
t,f,0,500,positive
t,f,204,0,positive
t,f,0,790,positive
t,f,380,500,positive
t,t,0,582,positive
t,t,225,0,positive
t,f,0,13212,positive
f,f,0,0,positive
t,f,202,0,positive
t,f,220,2503,positive
t,f,0,3065,positive
t,f,121,0,positive
t,f,0,5000,positive
t,t,0,5000,positive
t,f,240,4607,positive
t,t,239,200,positive
t,t,520,2000,positive
t,t,80,50,positive
t,f,0,5298,positive
t,t,300,551,positive
t,t,181,0,positive
t,t,80,400,positive
t,f,120,300,positive
t,t,160,5777,positive
t,t,280,0,positive
t,t,408,1000,positive
t,f,400,0,positive
t,f,100,0,positive
t,t,0,0,positive
t,t,440,6,positive
t,t,0,0,positive
t,f,60,396,positive
t,f,80,918,positive
t,t,200,3000,positive
t,f,180,314,positive
t,t,260,0,positive
t,t,520,50000,positive
t,f,0,15000,positive
t,t,60,400,positive
t,t,290,284,positive
t,f,422,200,positive
t,f,220,19,positive
f,t,290,6,positive
t,f,300,0,positive
t,t,312,150,positive
t,t,0,221,positive
f,f,0,351,negative
f,f,260,246,negative
f,t,62,27,negative
f,f,0,0,negative
f,t,232,0,negative
f,f,120,0,negative
f,t,180,173,negative
f,t,200,7,negative
