@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1,3,5-6'

@attribute Aa numeric
@attribute Dcl numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.307,2.656,-0.467,0
0.229,0.634,0,0
0.655,1.372,1.77,1
0.316,1.986,0.497,0
0.533,-0.595,-0.123,0
0.482,1.435,-0.762,1
0.967,-0.291,-0.107,0
0.42,1.358,0,0
0.218,1.048,-0.904,1
0.871,1.468,1.339,1
0.328,2.044,1.043,1
0.508,-0.498,-0.159,0
0.269,2.209,-0.323,0
1.195,-0.266,-0.086,0
0.089,1.451,0,0
1.235,-0.359,0.141,0
0.387,1.643,-0.624,1
0.267,0.677,1.49,0
0.181,1.833,-0.387,1
0.251,0.443,0.444,0
0.155,1.053,-0.71,0
0.192,0.498,1.219,1
2.01,0.359,-0.051,0
0.432,1.981,0.457,1
0.227,2.302,-0.354,0
0.164,-0.683,0,0
1.176,-0.336,-0.135,0
2.918,0.745,-0.079,0
0.268,0.712,-0.11,0
1.086,-0.272,-0.06,0
0.656,-0.554,0.378,1
0.536,1.008,0,0
0.131,0.492,0,0
3.483,-0.134,0.082,0
1.929,0.178,0.159,0
0.576,1.96,1.59,1
0.721,1.911,1.298,1
0.405,-0.609,-0.271,0
0.836,1.521,-0.173,1
3.684,-0.1,0.052,0
2.146,0.159,-0.139,0
0.204,2.562,0.398,0
0.414,0.988,0,1
0.695,-0.27,-0.07,0
0.247,0.797,0.977,0
0.338,2.791,-0.381,0
0.106,0.835,0,1
0.356,2.504,-0.344,1
2.733,-0.116,-0.041,0
0.374,1.206,-0.215,0
1.518,-0.23,-0.08,0
3.237,1.084,-0.096,0
2.328,-0.107,-0.038,0
1.31,-0.334,-0.103,0
0.316,1.342,-0.204,0
0.181,2.053,-0.25,0
1.203,0.944,-0.141,0
2.099,-0.175,-0.076,0
0.159,0.591,1.424,0
0.315,0.769,0.786,1
0.576,1.06,-0.229,0
0.58,1.528,0.478,1
0.406,2.009,-0.177,1
0.307,-0.427,-0.138,0
0.52,1.236,1.783,1
0.977,-0.536,-0.288,0
0.635,2.131,0.832,1
0.14,0.314,0.922,1
0.178,0.508,0,1
0.108,0.517,0,1
0.261,1.21,0,0
0.771,-0.676,-0.3,0
0.399,2.966,0.462,1
0.4,2.406,0.429,0
0.23,-0.395,-0.12,0
3.542,-0.158,0.064,0
-0.095,-0.636,0,1
0.098,0.294,1.322,1
1.126,0.629,-0.191,0
3.393,-0.111,-0.055,0
0.289,2.536,-0.358,0
