@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.136,0.736,1.073,0
0.699,2.295,0.403,0
1.312,2.591,0.534,0
1.607,2.312,0.222,0
0.856,1.875,0.366,0
0.12,0.443,-0.318,1
0.18,0.836,1.056,0
1.271,1.743,-0.404,0
2.075,2.142,0.457,0
0.245,0.552,-0.528,0
0.338,0.477,1.191,0
0.284,0.976,-0.786,1
3.115,0.571,-0.074,0
0.229,0.452,1.47,0
0.144,0.858,-0.718,0
2.822,0.316,0.091,0
0.472,2.321,0.716,0
0.567,0.863,-0.496,1
2.469,0.32,0.082,0
1.186,2.573,0.344,1
0.135,0.68,1.552,1
0.075,0.376,0.424,0
0.939,1.4,1.303,1
2.416,0.88,0.094,0
0.313,0.654,0.789,1
2.676,0.308,0.983,0
0.539,0.555,1.247,1
0.121,0.582,2.225,0
0.174,0.938,1.097,1
0.049,0.309,-0.447,0
0.118,0.384,0.973,0
0.634,3.05,0.876,0
0.077,-0.088,-0.326,1
2.646,0.98,-0.092,0
0.183,0.64,1.903,0
-0.712,0.483,0.148,0
1.094,2.35,0.183,0
0.241,1.884,0.272,0
0.87,2.369,-0.198,0
1.371,0.965,0.638,1
0.545,0.752,-0.604,1
0.356,1.503,-0.396,0
0.35,2.637,-0.26,0
0.828,2.132,-0.205,0
1.334,1.06,1.109,0
0.157,0.432,1.902,0
1.007,2.845,0.422,0
2.209,1.314,0.529,0
2.117,1.646,-0.302,0
0.619,1.695,-0.233,0
0.53,2.976,0.683,0
0.794,1.828,-0.201,0
2.198,0.27,1.842,0
0.541,2.888,-0.254,0
0.672,0.602,2.131,1
0.238,0.809,-0.604,1
0.072,0.265,1.007,0
0.563,2.441,-0.485,0
0.482,1.236,-0.705,0
1.383,0.79,-0.547,1
0.428,0.5,0.733,1
1.178,0.625,0.618,1
0.954,2.609,1.195,0
1.947,0.99,0.14,0
0.403,1.803,0.516,0
0.583,2.523,0.295,0
0.584,1.796,1.431,1
0.294,0.523,1.14,1
1.52,1.396,0.133,0
3.22,0.598,0.096,0
1.776,1.123,-0.071,0
1.619,1.55,-0.1,0
0.541,2.446,-0.44,0
2.084,1.911,-0.24,0
1.301,2.591,-0.246,0
0.719,2.628,0.253,0
0.148,1.029,-0.672,0
0.384,3.147,-0.41,1
0.263,0.913,-0.687,0
0.172,0.662,1.093,0
0.252,1.166,-0.726,0
2.51,1.063,0.72,0
0.557,0.596,1.204,1
2.956,0.36,-0.266,0
0.294,0.453,0.946,0
0.194,1.262,0.754,0
0.808,1.69,-0.151,0
0.254,2.007,0.607,0
0.874,2.65,0.584,1
1.677,1.266,0.394,0
0.321,0.674,2.252,1
-0.097,1.037,-0.632,0
0.129,0.969,1.683,1
0.145,0.331,-0.741,0
1.896,0.648,0.138,0
1.351,2.481,0.572,0
0.584,2.874,0.521,0
0.093,0.443,2.5,1
0.25,1.027,-0.859,0
0.307,0.846,1.537,1
0.171,-0.298,-1.084,1
0.235,0.673,1.332,1
2.451,-0.211,0.166,0
0.327,1.291,0.541,0
0.121,0.325,0.874,0
0.402,0.617,1.123,0
3.042,0.472,0.093,0
0.959,2.302,0.369,1
0.508,2.003,0.273,0
0.397,1.067,1.328,1
0.297,0.556,1.111,1
1.644,1.654,1.395,0
2.457,0.732,0.092,0
0.158,0.825,-0.892,0
1.084,0.767,0.078,0
0.352,0.541,0.79,1
0.374,0.712,0.826,1
0.627,1.375,-0.163,0
0.985,2.644,0.394,1
0.324,2.576,0.543,0
0.836,2.098,0.29,0
0.306,0.483,1.404,1
0.993,1.201,0.768,1
0.26,2.668,0.708,0
-0.163,-0.321,1.244,0
0.723,3.151,0.284,0
0.248,0.601,0.993,1
0.238,0.454,1.38,0
0.257,0.317,2.224,0
2.409,0.29,0.162,0
1.129,1.229,-0.089,0
0.37,0.488,2.657,1
0.472,0.956,-0.356,0
1.004,2.024,1.205,0
0.579,2.812,0.495,1
-0.194,2.018,0.504,0
0.365,1.607,-0.462,0
0.348,0.475,2.294,0
2.667,0.33,0.226,0
2.236,1.288,0.442,0
0.421,1.589,-0.226,0
0.179,1.111,-0.639,0
2.493,0.265,0.081,0
0.185,1.416,0.872,0
0.149,0.536,1.808,1
0.128,0.338,0.777,0
0.1,0.28,-0.186,0
0.269,0.579,-0.589,0
0.34,1.823,0.273,0
0.606,2.201,1.27,1
0.216,0.732,1.698,1
0.307,0.499,1.557,1
2.829,1.492,0.337,0
0.323,1.76,-0.406,0
0.332,1.406,-0.444,0
0.46,1.935,0.607,0
0.251,1.268,0.863,1
0.974,1.071,-0.079,0
0.524,2.625,0.481,0
0.627,0.871,-0.54,1
0.31,1.211,2.254,1
2.063,0.734,0.488,0
1.376,1.472,0.24,0
2.744,0.524,-0.331,0
2.993,0.385,-0.301,0
0.27,1.184,-0.609,0
0.52,1.97,0.248,0
0.272,0.527,1.185,1
0.231,1.25,-0.53,0
0.164,0.706,1.936,0
0.302,3.331,0.32,0
0.292,0.317,1.238,1
0.922,2.122,0.327,0
0.503,0.813,0.772,1
1.139,0.662,-0.607,1
0.253,0.292,1.273,1
0.851,2.024,0.524,1
0.5,2.247,-0.176,0
1.246,2.402,-0.18,0
0.315,2.086,0.343,0
1,1.795,0.242,0
0.161,0.548,1.674,0
0.577,1.909,-0.189,0
0.724,3.408,-0.215,0
0.593,0.593,1.154,1
0.717,0.72,-0.794,0
0.174,0.854,0.584,1
1.258,0.737,0.091,0
0.397,2.703,0.372,0
1.101,3.092,0.28,0
0.172,0.473,1.616,1
0.698,2.407,0.749,1
2.03,0.636,0.078,0
0.535,1.65,1.805,1
0.651,1.128,-0.506,0
1.392,1.958,0.615,1
3.909,0.584,-0.087,0
0.126,0.732,0.872,0
0.486,3.553,-0.26,0
1.253,2.393,0.23,0
3.53,-0.29,-0.071,0
1.264,2.951,-0.179,0
0.76,1.029,0.89,1
0.151,0.82,1.777,1
0.286,0.602,1.21,0
0.403,-0.648,-0.693,1
1.191,2.041,0.237,0
0.122,0.827,1.191,1
0.653,2.511,0.247,0
0.965,1.935,1.316,0
0.316,0.67,0.978,1
0.231,1.764,1.052,0
0.565,1.167,-0.516,1
0.195,0.854,0.779,1
0.265,1.313,-0.78,0
0.28,0.619,0.937,1
0.144,0.448,0.775,0
3.227,0.521,-0.08,0
0.418,2.138,0.707,0
