@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-2,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Class {0,1}

@data
1.567,0.867,0
0.303,0.609,1
1.039,2.271,1
0.6,1.405,1
0.648,2.479,0
0.125,0.548,1
0.362,0.688,1
0.155,0.514,0
0.105,0.594,1
0.82,2.083,0
0.734,0.647,1
0.887,2.167,0
3.177,-0.275,0
1.901,0.502,0
0.184,0.496,1
0.302,0.581,1
3.698,0.437,0
0.079,0.274,0
0.209,0.463,1
0.324,0.917,1
0.389,3.191,0
1.328,1.955,0
1.314,2.129,0
0.486,1.117,1
1.128,0.804,0
0.231,1.566,0
0.586,2.408,0
0.212,1.237,0
0.28,0.552,1
0.19,0.987,0
0.136,0.766,1
0.71,3.162,0
0.454,0.779,1
0.369,1.313,1
0.302,0.915,1
0.449,1.903,0
0.319,1.027,0
1.051,2.063,0
0.744,1.505,0
1.972,2.6,0
0.352,1.16,0
0.505,1.929,0
0.132,0.456,1
0.436,0.614,0
0.332,1.281,1
1.188,2.725,0
2.222,1.239,0
1.214,1.716,0
0.77,2.496,0
0.27,0.667,0
3.325,0.688,0
0.152,0.336,0
1.204,0.779,0
0.081,0.552,1
0.179,1.489,0
0.646,0.378,1
0.288,1.931,0
0.847,1.717,0
1.052,2.272,0
0.143,0.184,1
0.399,3.177,0
0.103,0.459,0
0.432,0.961,1
2.321,0.872,0
0.199,0.584,1
0.851,2.025,1
1.21,1.811,0
1.509,1.501,0
1.144,2.693,0
0.613,1.064,1
0.103,0.597,1
0.593,2.197,0
2.063,0.363,0
0.273,2.686,0
0.12,0.719,0
0.285,0.786,1
2.089,0.672,0
0.128,0.598,0
2.163,0.875,0
0.257,1.734,0
1.007,2.844,0
0.088,0.611,0
0.456,1.513,0
0.103,0.411,1
2.898,-0.254,0
0.412,3.66,0
0.278,0.809,1
2.203,1.252,0
0.528,3.087,0
0.098,0.335,0
3.133,0.656,0
1.515,1.091,0
0.657,0.49,0
1.482,1.573,0
1.312,1.38,0
0.518,0.45,1
0.312,1.078,1
0.441,2.011,0
0.475,2.938,0
0.334,1.312,0
2.654,1.16,0
0.666,1.858,0
0.269,1.522,0
0.796,0.545,0
0.221,1.392,0
2.981,0.531,0
0.231,0.885,1
0.762,1.413,0
0.495,2.202,0
0.898,1.405,0
0.425,3.034,0
2.314,0.674,0
0.369,3.048,0
0.718,2.29,0
0.215,0.588,0
0.626,3.136,0
0.36,0.689,1
1.157,2.585,0
0.414,1.584,0
0.499,0.901,1
0.4,1.26,1
0.359,0.566,0
3.043,-0.317,0
0.126,0.68,1
1.533,1.529,1
2.242,1.108,0
0.611,1.37,1
0.161,0.884,0
0.658,1.518,1
3.598,-0.319,0
0.89,1.42,0
0.715,2.722,0
1.009,2.476,0
0.186,1.112,0
0.119,0.639,0
0.226,0.837,1
0.445,0.875,1
2.938,0.357,0
0.838,0.258,1
0.133,0.503,0
0.344,1.121,0
0.936,2.178,0
2.866,0.545,0
0.691,0.817,1
3.059,-0.314,0
0.627,3.389,0
2.585,0.471,0
0.138,0.34,0
1.058,1.379,1
0.865,1.165,0
0.167,0.752,0
0.562,1.018,1
0.468,2.591,0
1.057,0.866,0
0.683,1.423,0
0.462,2.713,0
0.25,0.344,0
2.935,-0.233,0
0.255,1,0
0.259,0.583,0
0.415,2.713,0
0.603,2.469,1
1.932,0.888,0
0.666,3.208,0
0.335,0.705,1
0.516,1.19,1
0.749,1.506,0
3.576,-0.319,0
0.815,0.845,0
1.251,0.944,0
1.081,1.791,0
0.159,1.123,0
0.345,1.261,1
1.622,1.335,0
0.907,1.676,0
1.558,0.539,0
2.315,0.831,0
1.696,1.867,0
0.662,2.223,0
0.381,0.994,0
2.606,-0.26,0
0.434,0.381,0
0.553,2.15,0
0.098,0.526,0
2.174,1.091,0
2.545,0.316,0
1.838,0.583,0
1.158,0.988,0
0.811,2.098,0
0.928,2.511,1
1.405,2.724,0
0.89,2.261,0
2.328,0.651,0
1.839,0.735,0
3.266,-0.23,0
0.305,0.921,1
0.383,1.876,0
0.514,2.276,0
2.533,0.267,0
0.344,1.503,0
0.29,0.831,0
0.54,3.144,0
0.119,0.483,0
0.332,1.139,0
0.453,1.44,0
0.49,0.722,1
0.337,1.919,0
0.448,0.675,1
0.726,1.023,0
1.126,0.591,0
0.156,1.334,0
0.516,1.952,0
0.207,0.87,1
2.493,0.61,0
0.296,2.031,0
2.453,0.888,0
0.257,0.57,0
0.525,1.543,1
0.562,3.04,0
0.832,2.759,0
0.16,0.566,1
0.228,1.38,0
0.149,0.513,1
1.757,0.972,0
-0.191,-0.863,0
1.362,1.3,0
0.328,1.144,1
0.387,1.253,0
0.687,2.34,0
1.027,2.716,0
1.317,0.82,1
0.349,0.653,0
0.174,0.619,0
1.724,2.823,0
0.776,1.633,1
0.102,0.551,0
0.135,0.267,0
0.497,0.378,1
-0.146,2.06,0
0.309,2.579,0
0.315,1.189,1
0.497,0.773,1
0.301,2.09,0
0.363,0.4,0
0.478,2.033,0
0.494,1.763,0
1.379,1.73,0
0.221,0.845,1
0.055,0.259,0
0.562,0.458,1
0.303,1.407,0
0.554,0.741,1
0.106,0.608,0
3.658,-0.285,0
0.102,0.514,1
0.295,1.018,1
1.246,1.129,0
2.13,1.266,0
0.289,1.721,0
0.914,1.734,1
0.368,0.889,0
2.025,1.044,0
0.967,2.689,0
1.46,0.796,0
1.29,1.92,0
0.335,1.056,0
-0.268,0.813,1
3.516,-0.361,0
0.727,2.657,0
0.667,3.055,0
-0.199,1.723,0
0.19,0.449,1
0.674,2.122,0
2.807,0.776,0
0.212,0.585,1
0.507,1.163,1
1.29,2.79,0
3.01,0.67,0
0.886,2.959,0
0.275,1.133,0
2.631,1.024,0
0.345,0.688,1
1.793,1.773,0
1.432,2.759,0
0.279,2.745,0
0.254,0.422,1
-0.554,1.179,0
0.265,1.442,0
-0.106,0.548,0
3.438,0.434,0
0.936,2.239,0
0.409,2.816,0
0.157,0.642,1
2.657,0.441,0
1.841,0.911,0
0.717,1.183,1
2.064,1.895,0
0.304,1.152,1
0.872,2.166,0
1.12,1.599,0
0.594,0.557,1
0.098,0.381,0
3.58,0.496,0
2.424,-0.251,0
0.278,0.632,0
2.746,0.554,0
0.421,1.073,1
0.083,0.282,0
0.34,0.664,1
1.294,1.194,0
2.141,0.78,0
1.181,1.305,0
0.34,1.238,0
0.229,0.649,1
0.274,0.88,0
0.913,2.728,0
0.341,3.256,0
0.371,1.254,1
0.328,1.369,1
-0.801,0.884,0
-0.117,-0.583,0
1.3,1.38,1
1.645,0.57,0
0.21,0.454,1
0.201,0.714,1
0.145,1.035,1
0.114,0.615,1
0.854,2.146,0
0.423,1.251,1
0.123,0.586,0
2.51,0.295,0
0.429,1.794,0
1.702,1.179,1
1.013,1.817,1
0.483,2.187,0
2.793,0.285,0
0.172,0.638,1
0.153,0.563,1
0.146,0.557,1
0.561,3.107,0
0.479,3.332,0
0.12,0.773,1
3.183,0.633,0
0.233,0.824,0
0.181,0.721,1
1.529,1.078,0
0.828,2.41,1
0.716,1.75,0
0.11,0.787,0
1.313,1.111,0
0.411,0.834,1
0.429,0.815,0
1.141,2.816,0
1.138,2.163,0
0.807,1.647,1
0.243,1.234,0
0.319,1.171,1
0.556,0.612,1
0.802,3.022,0
2.216,0.504,0
