@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-3,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Dcl numeric
@attribute Class {0,1}

@data
0.268,1.352,1.035,0
0.401,1.159,2.064,0
0.541,2.145,-0.562,1
0.626,2.317,0.766,0
1.055,1.185,0.293,0
0.273,2.018,1.768,0
-0.073,-0.25,-0.445,1
0.371,2.324,-0.456,0
1.905,0.487,-0.127,0
0.693,1.713,-0.478,0
2.389,0.639,-0.107,0
0.289,0.832,1.765,0
1.312,1.232,0.433,0
0.565,3.345,-0.606,0
-0.115,0.697,1.321,1
0.232,1.298,1.482,0
-0.164,1.49,1.931,0
0.264,1.209,2.464,0
-0.993,-0.805,-0.294,0
0.297,0.661,2.416,1
1.127,2.254,-0.299,0
1.146,1.426,1.665,1
0.56,1.341,1.919,0
0.296,1.085,2.155,1
2.102,0.355,-0.092,0
0.152,0.824,1.225,0
0.745,2.821,-0.503,0
0.087,0.302,0.304,0
0.383,2.973,-0.529,0
0.295,0.921,1.125,1
0.144,0.335,0.474,0
0.169,1.441,1.267,0
0.363,0.802,1.001,1
0.279,1.395,2.985,0
0.279,0.892,2.474,0
0.644,1.852,-0.505,0
0.308,1.204,1.5,0
1.667,1.272,-0.24,0
2.411,1.293,0.256,0
0.283,1.136,2.694,1
0.448,2.024,0.899,0
0.197,2.013,1.871,0
0.216,0.796,0.792,1
0.227,0.614,1.646,0
0.641,2.998,-0.526,0
1.331,1.429,0.662,0
0.951,2.417,-0.392,0
0.523,0.813,1.771,1
0.62,1.132,2.107,1
0.418,0.603,2.147,1
-0.114,-0.497,-0.851,1
0.543,1.229,1.472,1
0.308,1.127,2.844,0
0.33,1.541,1.985,0
0.499,2.156,1.685,0
0.173,0.375,0.527,0
0.25,0.735,0.944,1
0.279,2.161,0.845,1
0.236,1.741,0.822,0
0.958,1.627,-0.302,0
1.495,2.295,0.593,0
0.249,1.066,2.355,0
0.648,2.694,-0.482,0
0.235,1.131,0.581,1
3.892,-0.241,0.488,0
0.567,1.824,1.135,0
0.12,0.311,0.426,0
0.477,3.228,-0.618,0
0.072,1.116,-0.282,0
0.709,2.371,1.326,1
1.956,1.436,-0.279,0
0.285,1.391,1.712,1
0.155,0.825,0.851,0
0.143,0.947,0.779,1
0.13,0.695,0.415,1
-0.144,1.214,1.673,0
0.567,0.51,1.018,1
0.234,0.722,1.274,1
0.538,0.682,1.767,1
2.581,0.735,0.341,0
1.639,2.471,-0.466,0
3.724,-0.302,-0.128,0
1.232,1.073,-0.213,0
0.863,2.356,1.69,1
0.108,0.753,0.402,0
1.04,2.638,-0.602,0
0.695,1.215,1.535,1
0.39,1.25,1.613,0
0.466,1.06,2.642,0
0.279,1.735,1.006,0
0.705,1.623,1.774,1
0.301,1.011,2.416,0
0.734,2.821,1.114,0
0.413,1.824,1.1,0
0.146,0.612,1.355,0
0.382,2.454,0.913,0
0.092,0.372,0.458,1
0.129,0.355,0.724,0
2.726,0.966,0.467,0
0.238,2.446,-0.545,0
-0.069,0.51,0.812,1
0.116,0.399,0.49,0
0.313,0.854,2.147,0
0.223,1.357,1.34,0
0.193,1.16,1.667,0
0.27,0.832,2.618,1
0.195,0.443,0.755,1
1.9,0.836,0.333,0
1.038,1.656,0.949,0
0.776,2.215,-0.572,0
2.511,1.155,-0.241,0
1.612,2.32,-0.385,0
0.521,3.176,-0.506,0
0.409,0.349,1.832,1
0.499,1.932,1.74,0
0.288,1.596,0.96,0
0.798,1.703,-0.323,0
0.183,1.354,2.581,0
-0.363,1.817,1.007,0
0.867,2.49,-0.311,0
2.479,0.616,-0.1,0
0.616,0.753,2.194,1
0.165,0.588,0.705,1
1.074,2.424,-0.399,0
0.834,2.757,-0.347,0
1.677,1.795,-0.379,0
0.618,1.016,2.178,0
1.802,1.243,-0.231,0
0.273,0.937,2.118,0
1.226,1.277,2.385,0
0.562,2.911,-0.433,0
0.259,0.861,0.785,1
0.136,0.627,1.501,0
0.834,0.372,1.216,1
0.108,0.298,0.471,0
0.331,0.59,2.549,0
0.2,1.367,1.592,0
0.624,2.58,-0.602,0
0.773,2.314,1.457,1
0.154,0.343,0.452,0
1.335,1.345,-0.219,0
0.404,1.284,0.837,0
0.438,2.465,-0.387,0
0.673,0.596,0.65,1
0.116,0.471,0.873,1
-0.118,0.497,0.8,1
1.131,2.61,-0.358,0
0.73,1.373,-0.254,0
2.133,1.473,-0.194,0
0.344,1.233,2.288,1
0.132,0.517,0.811,1
1.304,2.718,-0.422,0
0.178,1.103,1.556,0
0.311,1.405,1.519,0
0.445,2.413,-0.593,0
0.457,3.001,-0.43,0
0.437,1.387,2.311,0
0.233,0.543,0.622,1
0.523,1.005,1.486,1
0.214,0.546,0.415,1
0.283,1.261,2.762,0
0.238,1.519,0.643,0
0.51,2.301,-0.573,0
0.314,3.283,-0.709,0
0.219,0.484,-0.573,1
-0.523,-0.751,-0.851,1
0.147,0.417,0.515,0
0.064,0.286,0.689,1
0.455,2.558,-0.656,0
1.414,0.591,0.157,0
0.296,1.804,0.962,0
0.262,1.54,2.029,0
0.52,0.38,0.535,1
0.221,1.265,1.291,0
0.279,0.892,2.474,0
-0.089,1.333,-0.289,0
0.216,0.365,0.371,0
0.121,0.671,0.951,0
2.414,1.231,-0.281,0
1.231,1.8,0.877,1
0.94,1.464,1.335,1
0.154,0.339,0.454,0
0.404,1.193,1.848,0
0.394,2.329,0.972,1
0.233,0.86,2.49,0
1.172,1.957,-0.32,0
2.967,0.918,0.8,0
1.21,2.364,-0.326,0
0.079,0.355,0.635,0
1.101,0.717,-0.101,0
0.305,1.2,1.679,1
1.712,2.499,-0.446,0
0.201,1.369,1.387,0
0.096,0.498,0.84,1
0.128,0.389,0.516,0
1.02,0.605,1.869,1
0.243,1.014,2.373,0
0.199,0.636,0.753,1
0.17,0.986,2.489,0
0.218,0.816,1.317,0
1.592,1.644,0.581,0
0.444,0.698,2.216,1
0.461,0.585,1.306,0
0.651,2.023,1.176,0
1.061,2.04,-0.56,0
0.31,1.074,2.474,0
1.031,0.584,1.866,1
2.131,1.245,0.448,0
2.31,0.325,0.38,0
1.453,0.562,0.181,0
0.267,1.331,2.875,0
1.023,1.009,-0.209,0
0.757,1.605,0.535,0
0.213,0.325,0.7,1
0.108,0.355,0.418,0
0.892,1.429,0.88,1
0.265,1.079,2.209,1
1.526,1.931,-0.374,0
0.568,2.495,1.506,0
0.403,0.391,1.954,1
0.643,1.547,-0.301,0
0.381,0.55,1.864,0
0.311,2.639,-0.463,0
0.093,0.281,0.371,0
0.397,0.966,2.131,0
2.205,0.544,0.162,0
1.014,0.653,1.828,1
0.257,1.029,2.142,1
1.214,2.723,0.921,0
0.2,0.506,0.833,1
0.322,1.981,1.185,1
2.696,-0.22,0.158,0
3.126,0.482,0.232,0
0.668,1.559,-0.3,0
0.334,1.478,2.134,0
0.907,1.906,-0.415,0
1.062,2.243,-0.394,0
0.109,0.697,0.322,1
0.288,0.891,1.932,0
-0.239,-0.788,-0.517,0
0.234,1.794,2.113,0
0.895,0.559,1.321,1
-0.114,1.272,2.177,0
0.214,0.601,2.278,1
1.059,2.209,0.967,1
2.971,0.48,1.235,0
0.274,2.028,0.992,0
0.309,2.255,0.725,0
0.864,2.364,1.147,0
0.236,0.995,0.492,0
0.309,2.547,-0.477,0
1.246,2.16,-0.339,0
0.312,0.847,1.561,1
0.735,3.15,-0.74,0
0.19,1.045,1.586,0
0.449,2.339,1.345,1
2.991,0.411,-0.115,0
-0.83,1.088,-0.284,0
0.313,2.116,1.494,0
0.222,0.436,0.52,1
1.027,0.821,1.077,1
2.041,0.906,0.385,0
0.106,0.458,0.931,0
0.999,1.019,1.141,1
-0.26,-0.825,-1.641,0
0.093,0.613,1.14,1
0.127,0.705,1.639,0
0.232,0.77,1.629,1
0.259,1.255,2.004,1
1.18,0.843,0.243,0
0.215,0.611,1.407,1
1.441,0.97,0.396,0
-0.052,0.651,1.207,1
0.455,2.401,-0.457,0
0.959,1.399,-0.252,0
0.268,1.333,2.89,0
0.486,1.088,2.141,0
0.569,0.908,2.019,1
0.577,2.804,-0.435,0
0.584,1.413,2.371,1
-0.239,0.7,0.858,1
