@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-2,5-6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.279,0.99,0,0
1.404,1.531,-0.424,0
0.532,1.963,-0.122,0
0.111,0.299,0,0
2.881,0.896,-0.113,0
3.386,-0.301,-0.055,0
0.466,2.279,-0.253,0
0.423,1.781,1.106,0
1.093,1.692,1.608,0
0.165,1.031,-0.228,0
0.172,0.953,-0.572,0
0.137,0.519,0,1
0.421,1.055,0.344,0
1.371,1.441,-0.171,0
0.424,0.745,1.068,1
1.831,2.751,-0.099,0
0.721,0.502,-0.563,0
0.704,0.758,-0.85,1
0.459,0.541,-0.785,1
3.052,-0.233,-0.071,0
0.207,0.532,2.511,0
1.658,1.367,0.133,0
0.79,2.192,-0.166,0
0.209,0.617,0.705,1
2.307,1.995,-0.087,0
0.833,2.441,-0.162,1
2.531,0.387,-0.337,0
1.169,2.579,0.488,0
0.259,1.413,0.246,0
0.186,0.487,0,1
0.216,1.593,0,0
1.155,2.218,-0.166,1
1.029,1.893,1.155,0
0.152,0.52,-0.749,1
0.137,0.587,0.544,1
0.546,0.449,1.639,1
0.328,1.09,1.043,1
0.266,0.478,0.602,1
3.665,0.822,-0.055,0
0.555,2.197,-0.146,0
0.976,0.857,0.368,0
3.259,0.65,-0.066,0
0.656,1.465,-0.253,0
0.107,0.274,1.803,0
2.141,1.604,-0.134,0
1.512,2.058,0.487,0
0.608,2.771,-0.268,0
0.657,2.528,-0.241,1
0.082,0.389,1.555,0
0.255,1.078,0,0
0.237,1.014,0,0
0.312,2.136,-0.108,0
0.147,0.817,0,0
0.305,2.821,1.228,0
1.352,2.625,-0.12,1
0.566,2.962,-0.181,0
0.422,1.875,0.272,0
1.95,1.598,0.503,0
3.041,1.383,-0.179,0
0.532,1.06,-0.708,1
0.124,0.426,0,1
0.141,1.079,-0.166,0
0.227,1.501,1.152,0
0.109,0.381,-0.478,0
0.066,0.284,2.136,0
1.807,1.094,0.068,0
0.305,1.048,-0.969,1
0.271,0.811,0,1
1.346,2.116,-0.145,0
0.826,1.279,0.347,1
2.309,1.809,-0.26,0
2.848,0.753,-0.125,0
0.142,1.051,0,0
1.404,1.81,-0.085,0
1.945,1.221,-0.285,0
0.481,2.58,-0.24,0
0.242,0.679,0.545,1
-0.083,-0.477,0,0
0.49,1.113,1.024,1
0.383,1.686,-0.17,0
1.91,0.496,-0.149,0
0.396,0.676,0.514,1
0.346,1.786,-0.209,0
0.295,0.966,0.4,1
2.982,0.346,-0.234,0
-0.102,0.692,0,0
0.094,0.926,-0.305,0
0.961,1.392,1.277,1
0.28,0.553,-0.783,1
0.151,0.302,1.596,0
0.277,1.136,-0.41,0
1.909,2.524,-0.197,0
0.31,0.953,-0.639,1
0.316,0.742,-0.88,1
1.62,2.64,-0.213,0
0.408,0.563,-0.912,1
0.773,2.152,0.185,0
0.132,0.489,0,0
0.705,2.407,-0.124,0
0.225,0.958,1.215,1
0.244,0.692,0,0
0.496,0.764,0.721,1
0.465,2.779,-0.19,1
0.71,2.25,-0.117,0
2.18,1.275,-0.234,0
0.452,2.226,-0.096,0
0.966,2.283,-0.431,0
0.573,2.555,-0.19,0
0.243,1.585,1.123,0
-0.053,0.502,-0.594,0
1.011,2.776,-0.168,1
2.331,0.651,-0.052,0
0.881,1.289,0.834,1
0.231,1.302,-0.239,0
0.109,0.451,0,1
1.675,1.764,-0.117,0
0.145,0.384,-0.834,0
0.639,0.617,0.493,1
0.267,1.687,0,0
1.622,1.951,0.141,0
1.248,3.001,-0.128,0
1.207,1.059,-0.055,0
1.871,0.788,-0.159,0
0.126,0.814,0,0
1.845,2.214,-0.119,0
0.348,1.344,-0.321,0
0.183,1.414,0,0
0.839,1.08,1.503,1
0.268,0.558,0.709,1
1.139,0.662,-0.242,1
0.372,1.829,0,0
2.367,0.283,-0.06,0
2.255,0.648,-0.049,0
0.112,0.598,-0.826,0
0.182,0.614,0,1
1.7,0.823,-0.441,0
1.065,1.975,0.126,0
1.335,0.559,-0.214,0
1.834,2.557,-0.099,0
3.027,-0.315,-0.113,0
0.151,0.415,-0.987,0
2.521,0.403,-0.068,0
0.238,1.811,0.119,0
0.166,0.357,0,0
0.423,0.607,1.777,1
0.128,0.788,0,1
1.454,1.226,-0.054,0
0.421,2.318,-0.252,0
0.318,0.964,0,1
0.517,2.071,0,0
1.406,2.253,0.1,0
0.524,2.902,-0.328,0
0.384,1.701,0,0
0.95,0.555,1.496,1
0.352,1.119,-0.324,1
0.105,0.526,-0.709,0
0.49,0.442,-0.371,1
2.84,0.694,0.08,0
0.294,1.19,-0.33,0
0.644,1.912,0.136,0
1.061,2.765,0.73,0
3.273,0.455,0.307,0
0.377,0.801,-0.506,1
0.132,1.589,0,0
0.544,2.494,-0.355,1
0.962,2.006,-0.111,0
0.114,0.366,2.273,0
0.197,1.416,-0.299,0
0.391,2.897,0.953,0
0.255,1.428,-0.203,0
0.798,3.137,0.249,0
1.383,1.322,0.14,0
0.495,2.619,-0.155,0
0.272,0.699,-0.529,1
3.137,-0.266,-0.082,0
0.297,0.545,0.849,1
0.212,1.047,0,0
0.239,0.524,-1.046,0
2.115,0.421,-0.149,0
0.544,2.493,-0.355,1
0.723,2.415,-0.17,0
0.115,0.594,-0.477,1
0.31,-0.812,0.513,1
0.702,3.001,-0.129,0
0.647,1.483,1.016,0
0.103,0.435,-0.797,1
0.182,0.814,0,0
-1.595,0.679,-0.092,0
0.251,1.413,-0.505,0
0.301,1.704,-0.639,0
0.3,1.396,-0.214,0
0.13,0.623,-0.793,1
0.665,2.994,0.713,0
0.189,0.548,-0.614,0
0.27,0.812,0.415,1
2.999,0.473,-0.048,0
1.722,0.517,-0.191,0
0.132,0.436,0.881,0
0.519,2.216,-0.095,0
0.183,1.136,0,0
0.162,0.632,-0.638,1
0.211,0.32,1.188,1
0.556,2.03,-0.257,1
1.487,1.569,-0.131,0
0.298,1.866,-0.589,0
0.597,1.133,-0.231,1
2.744,-0.224,0.074,0
0.277,0.872,-0.449,0
0.213,0.51,1.975,1
0.997,1.578,0.979,1
1.295,1.097,-0.316,0
0.374,3.148,-0.174,1
0.522,0.539,1.138,1
0.264,0.936,1.148,1
0.334,1.781,-0.124,0
2.832,-0.255,-0.058,0
0.227,0.303,0.964,1
0.118,0.306,-0.666,0
2.666,0.329,-0.079,0
0.147,0.569,-0.639,0
0.209,1.072,-0.238,0
1.061,3.173,0.162,0
0.205,0.351,-0.935,1
-0.251,1.135,-0.274,0
1.205,0.722,-0.236,1
1.192,2.808,0.144,0
0.689,1.289,-0.418,1
0.229,0.718,0,1
0.24,1.547,0.172,0
0.168,0.49,-0.7,1
3.426,0.753,-0.053,0
0.902,1.984,-0.118,0
0.138,0.361,-0.665,0
2.046,0.532,-0.161,0
0.204,0.411,1.854,1
0.28,2.745,-0.146,0
0.729,2.246,-0.113,0
0.141,0.56,0,1
0.389,2.741,1.173,0
2.106,1.277,-0.065,0
0.391,1.409,-0.481,1
0.147,0.289,1.595,0
0.541,0.852,0.378,1
3.144,-0.268,-0.114,0
2.242,1.295,0.202,0
0.234,1.933,-0.27,0
0.109,0.517,-0.879,1
0.318,1.818,0,0
0.265,0.819,-0.34,0
0.15,0.635,-0.667,1
-0.385,-0.797,-0.069,0
-0.136,-0.397,1.456,1
0.642,2.805,-0.22,0
0.567,2.412,-0.362,1
1.162,0.769,-0.051,0
3.414,-0.243,0.082,0
2.007,0.997,0.062,0
0.426,0.358,1.176,0
0.347,0.96,0.433,1
0.393,1.922,-0.281,0
0.266,2.584,-0.143,0
