@relation phoneme

@attribute Aa numeric
@attribute Iy numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.311,-0.666,0,0
0.372,-0.44,0,0
0.533,0.496,0,0
0.108,0.723,1.293,0
3.307,-0.156,0.598,0
2.203,-0.092,-0.065,0
0.199,1.156,0,0
0.471,1.463,-0.486,0
0.189,-0.87,0.507,0
1.404,-0.125,-0.085,0
0.665,-0.309,0.713,0
0.349,-0.502,0.304,0
1.121,0.088,0.091,0
0.231,0.474,-0.253,0
0.317,-0.616,0.472,0
1.128,0.109,0,0
0.524,0.481,-0.194,0
-0.103,0.943,-0.424,0
2.203,0.438,-0.234,0
0.28,0.287,-0.125,0
1.09,0.189,-0.112,0
0.452,0.685,0,0
0.428,1.773,-0.608,0
0.539,0.588,-0.241,0
3.052,-0.165,0.48,0
0.115,1.742,0,0
0.155,-0.747,0,0
0.205,1.653,-0.468,0
0.719,0.339,-0.141,0
0.608,0.247,-0.213,0
1.822,0.149,0.099,0
0.137,0.996,1.737,0
0.455,-0.242,-0.123,0
1.146,-0.189,-0.178,0
0.35,-0.652,0.566,0
0.13,1.837,0.985,0
0.857,-0.187,-0.199,0
0.345,0.246,0.138,0
0.074,0.423,0,0
1.58,0.28,0.357,0
2.115,0.115,-0.061,0
-0.112,0.613,-0.195,0
0.662,0.661,-0.229,0
0.925,-0.144,-0.084,0
3.279,0.463,0.166,0
0.18,1.436,-1.007,0
0.256,2.29,-0.736,0
2.582,-0.076,0.119,0
3.909,-0.087,0.057,0
0.17,-0.74,0,0
0.692,-0.199,0,0
3.05,-0.298,-0.115,0
0.234,-0.552,0,0
0.828,-0.205,-0.147,0
0.136,0.674,0,0
0.73,-0.109,-0.058,0
0.39,0.452,0,0
1.068,-0.132,-0.066,0
2.879,0.148,-0.076,0
0.496,-0.645,-0.329,0
1.041,0.196,-0.412,0
3.108,-0.073,-0.053,0
2.181,0.698,-0.204,0
0.121,2.188,0,0
-0.144,-0.53,-0.214,0
0.466,-0.431,-0.202,0
1.383,-0.109,0.14,0
0.656,0.689,-0.253,0
0.41,-0.555,-0.271,0
2.84,0.679,-0.16,0
1.099,-0.169,-0.112,0
3.164,0.101,0.054,0
0.119,0.549,2.261,0
0.593,-0.201,-0.142,0
0.048,0.469,-1.092,0
0.14,2.025,-0.919,0
0.175,0.928,0,0
0.293,-0.756,0,0
3.043,-0.072,-0.053,0
1.141,0.359,0,0
0.627,-0.163,-0.075,0
0.273,0.226,-0.093,0
0.412,-0.174,-0.087,0
0.98,-0.186,-0.109,0
0.436,0.338,0.678,0
0.207,1.448,-0.469,0
0.555,-0.288,0,0
0.651,0.575,-0.228,0
2.063,0.108,0.1,0
0.251,-0.615,0,0
0.582,0.702,-0.25,0
1.078,-0.188,-0.122,0
3.137,0.443,-0.148,0
1.284,0.249,-0.181,0
1.364,-0.129,-0.075,0
1.042,-0.114,0.091,0
0.191,-0.708,0,0
1.825,0.207,-0.123,0
3.009,-0.276,-0.115,0
0.453,1.883,-0.557,0
