@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R2,4,6'

@attribute Ao numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.867,1.041,0
0.609,1.427,1
2.271,-0.369,1
1.405,-0.701,1
2.479,-0.317,0
0.548,0.836,1
0.688,0.699,1
0.514,-0.625,0
0.594,-0.808,1
2.083,0.283,0
0.647,0.556,1
2.167,0.475,0
-0.275,0.09,0
0.502,0.151,0
0.496,1.117,1
0.581,1.122,1
0.437,-0.082,0
0.274,1.157,0
0.463,1.13,1
0.917,2.418,1
3.191,-0.204,0
1.955,0.2,0
2.129,0.434,0
1.117,-0.587,1
0.804,0.109,0
1.566,0.474,0
2.408,-0.267,0
1.237,1.092,0
0.552,1.926,1
0.987,-0.656,0
0.766,2.249,1
3.162,-0.255,0
0.779,1.167,1
1.313,-0.574,1
0.915,-0.668,1
1.903,0.223,0
1.027,1.356,0
2.063,0.231,0
1.505,0.437,0
2.6,0.303,0
1.16,0.621,0
1.929,-0.626,0
0.456,-0.498,1
0.614,2.308,0
1.281,1.925,1
2.725,-0.186,0
1.239,0.147,0
1.716,-0.108,0
2.496,0.24,0
0.667,1.038,0
0.688,-0.089,0
0.336,-0.608,0
0.779,-0.105,0
0.552,0.6,1
1.489,0.601,0
0.378,0.796,1
1.931,-0.618,0
1.717,0.312,0
2.272,-0.186,0
0.184,-0.496,1
3.177,-0.212,0
0.459,0,0
0.961,0.865,1
0.872,1.212,0
0.584,0.621,1
2.025,0.524,1
1.811,0.463,0
1.501,1.513,0
2.693,-0.174,0
1.064,-0.556,1
0.597,2.278,1
2.197,-0.351,0
0.363,0.09,0
2.686,0.465,0
0.719,2.032,0
0.786,-0.399,1
0.672,0.078,0
0.598,0.634,0
0.875,-0.095,0
1.734,0.734,0
2.844,0.422,0
0.611,2.181,0
1.513,-0.545,0
0.411,-0.632,1
-0.254,0.135,0
3.66,-0.343,0
0.809,1.768,1
1.252,0.437,0
3.087,-0.29,0
0.335,1.478,0
0.656,0.117,0
1.091,-0.072,0
0.49,2.008,0
1.573,0.349,0
1.38,-0.154,0
0.45,1.317,1
1.078,1.277,1
2.011,0.308,0
2.938,-0.248,0
1.312,0.464,0
1.16,0.394,0
1.858,-0.432,0
1.522,-0.469,0
0.545,2.268,0
1.392,-0.615,0
0.531,-0.093,0
0.885,-0.405,1
1.413,0.195,0
2.202,-0.156,0
1.405,-0.113,0
3.034,-0.182,0
0.674,-0.059,0
3.048,0.7,0
2.29,-0.155,0
0.588,0.68,0
3.136,0.879,0
0.689,1.434,1
2.585,0.701,0
1.584,0.571,0
0.901,-0.638,1
1.26,0.906,1
0.566,0.719,0
-0.317,-0.072,0
0.68,0.754,1
1.529,0.391,1
1.108,0.11,0
1.37,-0.706,1
0.884,1.944,0
1.518,1.077,1
-0.319,0.078,0
1.42,-0.097,0
2.722,-0.281,0
2.476,0.426,0
1.112,1.309,0
0.639,0.549,0
0.837,-0.819,1
0.875,1,1
0.357,-0.287,0
0.258,0.769,1
0.503,0.981,0
1.121,1.178,0
2.178,-0.368,0
0.545,0.959,0
0.817,-0.679,1
-0.314,0.078,0
3.389,-0.251,0
0.471,-0.075,0
0.34,1.308,0
1.379,1.283,1
1.165,-0.395,0
0.752,0.984,0
1.018,-0.43,1
2.591,-0.238,0
0.866,0.073,0
1.423,-0.169,0
2.713,0.481,0
0.344,2.158,0
-0.233,0.077,0
1,-0.959,0
0.583,-0.363,0
2.713,0.789,0
2.469,1.279,1
0.888,0.439,0
3.208,-0.23,0
0.705,1.756,1
1.19,0.766,1
1.506,-0.115,0
-0.319,0.095,0
0.845,0.082,0
0.944,0.093,0
1.791,-0.111,0
1.123,-0.459,0
1.261,1.312,1
1.335,0.13,0
