@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1,4-6'

@attribute Aa numeric
@attribute Iy numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
1.24,-0.078,0.067,0
0.96,0.091,-0.061,0
0.108,1.08,-0.349,0
0.747,-0.998,1.722,1
0.96,1.114,0.729,1
0.531,-0.201,-0.103,0
3.084,-0.088,-0.061,0
0.141,1.899,0,1
0.148,1.672,0,0
0.64,-0.335,0,0
0.352,-0.165,0,0
0.515,1.058,-0.36,1
-0.077,-0.47,0,0
-0.145,-0.798,0,0
0.303,0.327,0.157,0
0.213,0.338,0,0
0.324,0.378,0.385,0
1.026,0.206,0.252,0
0.648,1.913,-0.599,0
1.16,-0.093,-0.058,0
2.586,0.162,0.101,0
0.999,0.438,-0.144,1
0.377,-0.743,-0.506,1
0.157,2.023,-0.689,0
1.576,-0.121,0.108,0
3.223,-0.061,-0.046,0
0.145,2.189,-0.911,0
1.918,0.114,-0.067,0
0.735,-0.355,0.216,0
2.885,0.503,-0.216,0
0.991,0.648,0.314,0
0.208,1.64,-0.648,1
4.107,-0.047,-0.033,0
0.195,1.248,1.47,1
2.917,0.432,0.385,0
0.365,1.509,0,1
0.711,0.255,0.166,0
0.358,0.907,0.39,1
0.294,1.111,-0.805,1
0.247,-0.56,0.573,0
0.55,0.503,-0.363,0
3.221,0.16,-0.06,0
0.308,0.271,0.174,0
2.286,-0.171,0.204,0
1.543,-0.126,0.103,0
0.192,-0.694,0,0
0.201,0.323,0.183,0
0.156,0.914,0,1
0.134,1.01,0.56,0
0.257,1.253,1.175,0
0.55,-0.207,-0.128,0
1.002,1.22,-0.531,1
0.205,0.508,-0.177,0
0.117,1.391,1.095,0
1.952,0.323,0.409,0
-0.239,-0.311,-0.169,0
3.065,-0.073,0.063,0
0.708,-0.188,0,0
3.061,0.326,-0.088,0
0.078,1.574,-0.853,0
1.49,-0.095,0.091,0
1.012,0.203,-0.092,0
1.004,0.833,-0.228,0
0.091,0.738,-0.721,0
0.622,-0.252,-0.155,0
0.396,1.114,-0.452,1
0.518,0.691,-0.269,0
0.847,0.351,-0.395,0
0.366,0.386,-0.202,0
0.239,0.904,1.064,0
1.065,0.252,0.342,0
0.136,1.897,0,1
0.207,-0.548,-0.229,0
0.978,-0.591,0.989,1
0.785,0.699,0.367,1
1.952,0.151,-0.149,0
0.53,-0.186,0.129,0
2.342,1.068,-0.276,0
1.654,0.716,0.826,0
1.063,-0.175,-0.116,0
0.23,2.243,0,1
0.314,0.995,1.038,0
-0.164,1.911,-1.145,1
0.683,0.319,0.275,0
0.665,0.256,-0.126,0
0.425,0.275,0,0
0.208,1.657,0,1
0.326,1.886,-0.972,1
0.106,0.825,-0.558,1
0.582,1.548,-0.667,1
2.364,-0.078,0.068,0
2.975,0.086,-0.05,0
1.303,0.406,1.379,0
1.121,0.329,-0.275,0
2.756,0.194,-0.063,0
0.346,0.268,0.137,0
0.31,1.696,1.766,1
2.036,0.373,-0.135,0
-0.154,1.003,1.676,1
0.402,-0.175,-0.092,0
0.27,-0.812,-0.394,0
0.1,1.385,1.829,0
0.102,-0.965,0,0
0.441,0.229,-0.096,0
0.125,1.127,0,0
0.134,-0.643,0.786,0
3.027,0.099,0.063,0
0.192,0.961,-0.506,0
1.62,0.716,0.837,1
0.947,0.853,-0.224,0
0.412,0.556,0,0
1.022,-0.106,0.1,0
0.942,0.107,0.116,0
0.431,-0.694,0.691,1
2.427,1.242,-0.393,0
0.495,0.4,-0.16,0
1.108,-0.091,0.077,0
2.032,0.152,-0.191,0
0.435,-0.217,0.127,0
0.517,1.471,-0.451,1
0.223,1.207,1.386,0
0.691,0.682,-0.224,0
0.503,0.493,-0.17,0
0.42,1.104,-0.415,0
0.891,0.861,0.854,1
0.242,0.4,-0.164,0
3.055,-0.075,-0.049,0
0.699,0.804,0.999,1
0.104,1.809,-1.037,0
0.648,1.265,-0.528,1
1.152,1.29,-0.369,0
0.356,-0.464,-0.294,0
0.89,1.343,-0.285,1
0.287,-0.593,-0.357,1
0.685,0.623,0.39,1
1.09,0.432,0.239,1
2.763,0.106,-0.06,0
0.234,1.016,1.183,0
0.589,0.931,-0.557,0
0.526,0.622,0,0
0.123,1.575,0,0
0.267,0.741,-0.342,0
2.522,0.146,-0.051,0
0.435,0.701,0,0
0.219,-0.599,0.462,0
2.014,-0.06,-0.038,0
0.314,1.111,0.659,1
0.822,1.127,1.375,1
0.519,-0.632,-0.309,0
2.967,-0.13,-0.074,0
0.378,0.783,-0.34,0
2.092,0.242,-0.067,0
0.162,1.923,0,1
0.627,1.082,-0.279,1
0.431,1.339,1.742,1
0.065,1.497,-0.623,0
0.487,1.629,-0.476,1
-0.32,-0.637,-0.47,0
0.163,-0.782,2.112,0
1.125,-0.13,0.135,0
1.265,-0.167,0.337,0
1.167,0.269,-0.134,1
0.32,0.23,-0.133,0
0.229,-0.651,-0.296,0
0.221,1.235,0,1
0.431,-0.469,-0.194,1
1.013,0.748,-0.207,1
2.038,-0.132,-0.083,1
1.859,0.158,0.16,0
0.218,-0.603,-0.226,0
0.537,1.35,0,1
2.942,0.081,-0.041,0
0.167,0.324,0.804,0
0.196,1.087,2.552,0
3.164,0.069,-0.057,0
1.4,0.157,-0.167,0
0.253,1.568,1.673,0
3.169,-0.073,-0.045,0
0.156,0.801,-0.423,1
0.458,-0.542,1.27,1
-0.104,1.942,-0.836,0
1.68,-0.138,0.135,0
0.593,0.25,0.214,0
3.264,0.101,0.056,0
0.386,0.464,-0.173,0
0.345,0.318,-0.109,0
0.729,0.736,1.285,1
2.283,0.071,-0.067,0
0.226,0.435,0.55,0
0.099,0.692,0.502,1
0.179,1.531,0,1
0.671,1.026,1.258,1
0.435,-0.294,0.625,0
0.348,1.037,0.421,0
0.607,-0.467,-0.205,0
0.182,1.773,0,1
0.236,0.909,0.646,0
0.337,0.741,-0.396,0
0.339,-0.593,-0.27,0
0.961,0.932,0.726,1
0.463,0.324,0.991,0
0.817,0.143,-0.098,0
0.202,-0.343,1.266,1
0.213,-0.78,1.386,1
0.122,2.191,0,0
1.453,-0.182,-0.107,0
0.305,0.721,-0.35,0
0.341,1.285,0,1
0.736,0.211,0.145,0
0.334,2.175,-0.879,0
0.89,-0.154,0.224,0
3.012,-0.123,-0.073,0
0.1,0.849,0.939,0
0.876,0.551,0.327,0
0.534,-0.215,-0.118,0
0.305,1.921,-0.636,1
-0.165,0.59,0.366,0
2.074,0.339,-0.134,0
2.869,0.5,-0.134,0
-0.184,-0.982,0,1
0.061,0.529,1.194,0
0.221,0.71,0,0
2.444,0.156,-0.063,0
0.763,-0.194,-0.135,0
0.816,-0.198,-0.133,0
0.218,-0.408,0.337,0
0.716,-0.232,0.504,0
0.461,1.196,0.839,1
1.509,1.303,-0.333,0
0.111,1.57,0.892,1
0.108,-0.23,0,1
0.356,1.089,0.986,0
0.158,2.135,-0.893,0
