@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.416,1.689,-0.252,0
0.121,0.311,1.978,0
2.571,-0.235,0.137,0
0.266,0.711,1.138,1
0.443,0.705,1.27,1
0.487,2.467,-0.213,0
0.53,1.273,0.733,1
0.66,0.885,-0.425,1
0.35,0.585,2.188,1
0.551,2.308,-0.189,0
0.226,0.807,-0.703,0
0.252,2.498,0.347,0
0.333,1.292,0.455,0
0.87,2.27,0.636,1
0.156,1.135,-0.448,0
3.279,0.547,0.463,0
2.063,0.377,0.108,0
3.151,-0.31,0.612,0
1,1.739,0.369,0
0.583,3.025,-0.302,0
0.258,1.379,0.799,0
0.453,0.577,1.883,0
0.538,1.064,-0.309,0
0.388,2.567,-0.26,0
0.106,0.772,1.13,1
1.247,2.31,-0.157,0
0.614,2.482,0.553,0
0.249,1.039,-0.81,0
0.312,0.538,0.777,1
0.37,1.143,-0.54,1
0.607,2.773,-0.168,0
0.692,1.18,0.683,0
0.235,0.527,0.925,0
0.095,0.413,0.544,0
2.673,0.831,-0.308,0
0.231,2.426,1.775,0
0.181,1.132,-0.56,0
0.181,0.509,1.97,0
0.451,1.433,-0.198,0
0.288,1.247,-0.914,0
0.098,0.307,1.045,1
0.465,0.499,0.939,1
0.091,0.36,-1.093,0
0.88,2.143,0.306,0
2.916,0.539,0.125,0
0.636,0.8,0.737,0
0.34,0.757,0.896,0
0.135,0.606,2.28,0
0.159,1.028,-0.768,0
0.453,1.5,0.959,1
-0.112,1.025,0.613,0
0.36,1.966,0.319,0
0.523,2.012,0.371,0
0.54,0.904,-0.803,0
0.38,2.526,-0.466,0
1.136,2.373,-0.3,1
0.098,0.335,0.887,1
0.747,0.593,1.936,1
0.427,1.543,-0.193,0
1.625,1.636,-0.134,0
0.081,0.381,0.93,0
0.442,0.747,1.08,1
-0.235,0.726,1.448,1
1.304,1.219,0.12,0
2.116,2.138,0.57,0
0.413,2.223,0.713,1
0.648,3.489,0.344,0
0.266,0.825,-0.527,0
0.175,0.516,1.92,1
0.67,3.124,-0.285,0
1.239,1.892,0.715,0
0.363,0.694,0.798,0
0.134,0.612,2.024,0
0.504,2.242,0.684,1
1.735,1.654,-0.351,0
3.287,0.685,0.871,0
0.119,0.807,1.762,0
0.123,0.402,0.635,1
3.104,-0.277,0.122,0
2.942,0.581,0.089,0
3.53,-0.271,-0.078,0
2.302,0.351,-0.052,0
0.524,2.158,0.695,0
0.369,1.723,-0.502,0
